,symbol,date,price
11868,Food Indices,Jan 1 2000,37.986729
11869,Food Indices,Jan 1 2001,38.745638
11870,Food Indices,Jan 1 2002,38.935927
11871,Food Indices,Jan 1 2003,38.718183
11872,Food Indices,Jan 1 2004,40.157261
11873,Food Indices,Jan 1 2005,42.522977
11874,Food Indices,Jan 1 2006,44.573074
11875,Food Indices,Jan 1 2007,48.937796
11876,Food Indices,Jan 1 2008,58.571047
11877,Food Indices,Jan 1 2009,68.898686
11878,Food Indices,Jan 1 2010,66.58406
11879,Food Indices,Jan 1 2011,75.908694
11880,Food Indices,Jan 1 2012,79.060994
11881,Food Indices,Jan 1 2013,84.693249
11882,Food Indices,Jan 1 2014,92.089029
11883,Food Indices,Jan 1 2015,100.85154
11884,Food Indices,Jan 1 2016,101.953742
11885,Food Indices,Jan 1 2017,107.839504
11886,Food Indices,Jan 1 2018,111.961742
11887,Food Indices,Jan 1 2019,112.942702
11888,Food Indices,Jan 1 2020,114.56294
11889,Food Indices,Jan 1 2021,115.202218
11890,Food Indices,Feb 1 2000,38.0539
11891,Food Indices,Feb 1 2001,38.765669
11892,Food Indices,Feb 1 2002,38.905881
11893,Food Indices,Feb 1 2003,38.83094
11894,Food Indices,Feb 1 2004,40.356011
11895,Food Indices,Feb 1 2005,42.280492
11896,Food Indices,Feb 1 2006,44.859647
11897,Food Indices,Feb 1 2007,49.433787
11898,Food Indices,Feb 1 2008,61.558016
11899,Food Indices,Feb 1 2009,68.27043
11900,Food Indices,Feb 1 2010,66.749391
11901,Food Indices,Feb 1 2011,78.1131
11902,Food Indices,Feb 1 2012,79.490853
11903,Food Indices,Feb 1 2013,85.78443
11904,Food Indices,Feb 1 2014,93.389628
11905,Food Indices,Feb 1 2015,100.96176
11906,Food Indices,Feb 1 2016,102.967769
11907,Food Indices,Feb 1 2017,108.787398
11908,Food Indices,Feb 1 2018,112.336491
11909,Food Indices,Feb 1 2019,112.490799
11910,Food Indices,Feb 1 2020,114.276367
11911,Food Indices,Feb 1 2021,115.389592
11912,Food Indices,Mar 1 2000,38.121071
11913,Food Indices,Mar 1 2001,38.785699
11914,Food Indices,Mar 1 2002,38.875836
11915,Food Indices,Mar 1 2003,38.943697
11916,Food Indices,Mar 1 2004,40.554761
11917,Food Indices,Mar 1 2005,42.379691
11918,Food Indices,Mar 1 2006,44.451832
11919,Food Indices,Mar 1 2007,49.433787
11920,Food Indices,Mar 1 2008,62.406712
11921,Food Indices,Mar 1 2009,66.980853
11922,Food Indices,Mar 1 2010,66.374642
11923,Food Indices,Mar 1 2011,78.664201
11924,Food Indices,Mar 1 2012,80.030932
11925,Food Indices,Mar 1 2013,85.817496
11926,Food Indices,Mar 1 2014,93.279408
11927,Food Indices,Mar 1 2015,98.746333
11928,Food Indices,Mar 1 2016,102.81346
11929,Food Indices,Mar 1 2017,108.6882
11930,Food Indices,Mar 1 2018,111.8405
11931,Food Indices,Mar 1 2019,112.105028
11932,Food Indices,Mar 1 2020,114.747304
11933,Food Indices,Mar 1 2021,115.521856
11934,Food Indices,Apr 1 2000,38.188242
11935,Food Indices,Apr 1 2001,38.80573
11936,Food Indices,Apr 1 2002,38.84579
11937,Food Indices,Apr 1 2003,39.056455
11938,Food Indices,Apr 1 2004,40.75351
11939,Food Indices,Apr 1 2005,41.773479
11940,Food Indices,Apr 1 2006,44.528986
11941,Food Indices,Apr 1 2007,48.827576
11942,Food Indices,Apr 1 2008,62.913725
11943,Food Indices,Apr 1 2009,65.834562
11944,Food Indices,Apr 1 2010,66.429752
11945,Food Indices,Apr 1 2011,77.914703
11946,Food Indices,Apr 1 2012,79.931734
11947,Food Indices,Apr 1 2013,84.891646
11948,Food Indices,Apr 1 2014,93.169187
11949,Food Indices,Apr 1 2015,97.269381
11950,Food Indices,Apr 1 2016,103.717266
11951,Food Indices,Apr 1 2017,106.858544
11952,Food Indices,Apr 1 2018,111.02487
11953,Food Indices,Apr 1 2019,112.556931
11954,Food Indices,Apr 1 2020,115.490191
11955,Food Indices,Apr 1 2021,115.384657
11956,Food Indices,May 1 2000,38.255412
11957,Food Indices,May 1 2001,38.82576
11958,Food Indices,May 1 2002,38.815745
11959,Food Indices,May 1 2003,39.169212
11960,Food Indices,May 1 2004,40.95226
11961,Food Indices,May 1 2005,42.456845
11962,Food Indices,May 1 2006,45.179285
11963,Food Indices,May 1 2007,49.400721
11964,Food Indices,May 1 2008,66.021937
11965,Food Indices,May 1 2009,65.404703
11966,Food Indices,May 1 2010,66.066025
