,symbol,date,indices
13416,Food Indices (2015=100),Jan 1 2000,31.43961
13417,Food Indices (2015=100),Jan 1 2001,32.37901
13418,Food Indices (2015=100),Jan 1 2002,35.57341
13419,Food Indices (2015=100),Jan 1 2003,43.04453
13420,Food Indices (2015=100),Jan 1 2004,45.68777
13421,Food Indices (2015=100),Jan 1 2005,47.40702
13422,Food Indices (2015=100),Jan 1 2006,48.02753
13423,Food Indices (2015=100),Jan 1 2007,48.97497
13424,Food Indices (2015=100),Jan 1 2008,54.61568
13425,Food Indices (2015=100),Jan 1 2009,60.22798
13426,Food Indices (2015=100),Jan 1 2010,62.37157
13427,Food Indices (2015=100),Jan 1 2011,68.87089
13428,Food Indices (2015=100),Jan 1 2012,73.60609
13429,Food Indices (2015=100),Jan 1 2013,81.77144
13430,Food Indices (2015=100),Jan 1 2014,87.70346
13431,Food Indices (2015=100),Jan 1 2015,95.34819
13432,Food Indices (2015=100),Jan 1 2016,107.6397
13433,Food Indices (2015=100),Jan 1 2017,114.7018
13434,Food Indices (2015=100),Jan 1 2018,112.9966
13435,Food Indices (2015=100),Jan 1 2019,117.7379
13436,Food Indices (2015=100),Jan 1 2020,124.595166
13437,Food Indices (2015=100),Jan 1 2021,143.116069
13438,Food Indices (2015=100),Feb 1 2000,31.36101
13439,Food Indices (2015=100),Feb 1 2001,32.3952
13440,Food Indices (2015=100),Feb 1 2002,35.64444
13441,Food Indices (2015=100),Feb 1 2003,43.56966
13442,Food Indices (2015=100),Feb 1 2004,45.75632
13443,Food Indices (2015=100),Feb 1 2005,47.63926
13444,Food Indices (2015=100),Feb 1 2006,47.89292
13445,Food Indices (2015=100),Feb 1 2007,49.35693
13446,Food Indices (2015=100),Feb 1 2008,54.94329
13447,Food Indices (2015=100),Feb 1 2009,60.39054
13448,Food Indices (2015=100),Feb 1 2010,62.9702
13449,Food Indices (2015=100),Feb 1 2011,69.02917
13450,Food Indices (2015=100),Feb 1 2012,73.74588
13451,Food Indices (2015=100),Feb 1 2013,82.95721
13452,Food Indices (2015=100),Feb 1 2014,88.19454
13453,Food Indices (2015=100),Feb 1 2015,96.12044
13454,Food Indices (2015=100),Feb 1 2016,108.7806
13455,Food Indices (2015=100),Feb 1 2017,114.1857
13456,Food Indices (2015=100),Feb 1 2018,112.6236
13457,Food Indices (2015=100),Feb 1 2019,118.6562
13458,Food Indices (2015=100),Feb 1 2020,124.724682
13459,Food Indices (2015=100),Feb 1 2021,143.504619
13460,Food Indices (2015=100),Mar 1 2000,31.21675
13461,Food Indices (2015=100),Mar 1 2001,32.77422
13462,Food Indices (2015=100),Mar 1 2002,35.78356
13463,Food Indices (2015=100),Mar 1 2003,44.29276
13464,Food Indices (2015=100),Mar 1 2004,45.95293
13465,Food Indices (2015=100),Mar 1 2005,47.76327
13466,Food Indices (2015=100),Mar 1 2006,47.77815
13467,Food Indices (2015=100),Mar 1 2007,49.84057
13468,Food Indices (2015=100),Mar 1 2008,55.43235
13469,Food Indices (2015=100),Mar 1 2009,60.57183
13470,Food Indices (2015=100),Mar 1 2010,63.94629
13471,Food Indices (2015=100),Mar 1 2011,69.54708
13472,Food Indices (2015=100),Mar 1 2012,73.93032
13473,Food Indices (2015=100),Mar 1 2013,83.90285
13474,Food Indices (2015=100),Mar 1 2014,89.88786
13475,Food Indices (2015=100),Mar 1 2015,97.24511
13476,Food Indices (2015=100),Mar 1 2016,110.1294
13477,Food Indices (2015=100),Mar 1 2017,114.574
13478,Food Indices (2015=100),Mar 1 2018,112.7025
13479,Food Indices (2015=100),Mar 1 2019,120.2819
13480,Food Indices (2015=100),Mar 1 2020,126.149367
13481,Food Indices (2015=100),Mar 1 2021,143.634136
13482,Food Indices (2015=100),Apr 1 2000,31.10437
13483,Food Indices (2015=100),Apr 1 2001,33.36416
13484,Food Indices (2015=100),Apr 1 2002,35.66902
13485,Food Indices (2015=100),Apr 1 2003,44.7401
13486,Food Indices (2015=100),Apr 1 2004,45.79668
13487,Food Indices (2015=100),Apr 1 2005,48.15018
13488,Food Indices (2015=100),Apr 1 2006,47.64918
