,symbol,date,indices
14964,Food Indices (2015=100),Jan 1 2000,53.75959
14965,Food Indices (2015=100),Jan 1 2001,59.317616
14966,Food Indices (2015=100),Jan 1 2002,62.271903
14967,Food Indices (2015=100),Jan 1 2003,58.117168
14968,Food Indices (2015=100),Jan 1 2004,63.594165
14969,Food Indices (2015=100),Jan 1 2005,64.023718
14970,Food Indices (2015=100),Jan 1 2006,68.20377
14971,Food Indices (2015=100),Jan 1 2007,72.508162
14972,Food Indices (2015=100),Jan 1 2008,87.646359
14973,Food Indices (2015=100),Jan 1 2009,92.715142
14974,Food Indices (2015=100),Jan 1 2010,88.731748
14975,Food Indices (2015=100),Jan 1 2011,92.820249
14976,Food Indices (2015=100),Jan 1 2012,95.689011
14977,Food Indices (2015=100),Jan 1 2013,102.342666
14978,Food Indices (2015=100),Jan 1 2014,100.549583
14979,Food Indices (2015=100),Jan 1 2015,99.509028
14980,Food Indices (2015=100),Jan 1 2016,100.03131
14981,Food Indices (2015=100),Jan 1 2017,104.00131
14982,Food Indices (2015=100),Jan 1 2018,105.025054
14983,Food Indices (2015=100),Jan 1 2019,108.793717
14984,Food Indices (2015=100),Jan 1 2020,117.521019
14985,Food Indices (2015=100),Jan 1 2021,117.047475
14986,Food Indices (2015=100),Feb 1 2000,54.741732
14987,Food Indices (2015=100),Feb 1 2001,59.151848
14988,Food Indices (2015=100),Feb 1 2002,62.879972
14989,Food Indices (2015=100),Feb 1 2003,58.376335
14990,Food Indices (2015=100),Feb 1 2004,63.818107
14991,Food Indices (2015=100),Feb 1 2005,64.64109
14992,Food Indices (2015=100),Feb 1 2006,69.409484
14993,Food Indices (2015=100),Feb 1 2007,72.920945
14994,Food Indices (2015=100),Feb 1 2008,89.142449
14995,Food Indices (2015=100),Feb 1 2009,92.079785
14996,Food Indices (2015=100),Feb 1 2010,90.032063
14997,Food Indices (2015=100),Feb 1 2011,95.653036
14998,Food Indices (2015=100),Feb 1 2012,97.235091
14999,Food Indices (2015=100),Feb 1 2013,102.258156
15000,Food Indices (2015=100),Feb 1 2014,100.729604
15001,Food Indices (2015=100),Feb 1 2015,100.690251
15002,Food Indices (2015=100),Feb 1 2016,100.499419
15003,Food Indices (2015=100),Feb 1 2017,104.23995
15004,Food Indices (2015=100),Feb 1 2018,105.305838
15005,Food Indices (2015=100),Feb 1 2019,110.599199
15006,Food Indices (2015=100),Feb 1 2020,118.186201
15007,Food Indices (2015=100),Feb 1 2021,118.400445
15008,Food Indices (2015=100),Mar 1 2000,53.862642
15009,Food Indices (2015=100),Mar 1 2001,58.98939
15010,Food Indices (2015=100),Mar 1 2002,63.00149
15011,Food Indices (2015=100),Mar 1 2003,58.746415
15012,Food Indices (2015=100),Mar 1 2004,63.633933
15013,Food Indices (2015=100),Mar 1 2005,64.861308
15014,Food Indices (2015=100),Mar 1 2006,69.535574
15015,Food Indices (2015=100),Mar 1 2007,72.60312
15016,Food Indices (2015=100),Mar 1 2008,90.042285
15017,Food Indices (2015=100),Mar 1 2009,91.995976
15018,Food Indices (2015=100),Mar 1 2010,89.925545
15019,Food Indices (2015=100),Mar 1 2011,96.875627
15020,Food Indices (2015=100),Mar 1 2012,97.903002
15021,Food Indices (2015=100),Mar 1 2013,102.70103
15022,Food Indices (2015=100),Mar 1 2014,100.46784
15023,Food Indices (2015=100),Mar 1 2015,101.008237
15024,Food Indices (2015=100),Mar 1 2016,99.590526
15025,Food Indices (2015=100),Mar 1 2017,103.697451
15026,Food Indices (2015=100),Mar 1 2018,104.920477
15027,Food Indices (2015=100),Mar 1 2019,110.802152
15028,Food Indices (2015=100),Mar 1 2020,118.259563
15029,Food Indices (2015=100),Mar 1 2021,118.307521
15030,Food Indices (2015=100),Apr 1 2000,52.477127
15031,Food Indices (2015=100),Apr 1 2001,58.493203
15032,Food Indices (2015=100),Apr 1 2002,62.467928
15033,Food Indices (2015=100),Apr 1 2003,59.259356
15034,Food Indices (2015=100),Apr 1 2004,63.892204
15035,Food Indices (2015=100),Apr 1 2005,65.724875
