,symbol,date,indices
15480,Food Indices (2015=100),Jan 1 2000,58.200652
15481,Food Indices (2015=100),Jan 1 2001,59.079521
15482,Food Indices (2015=100),Jan 1 2002,61.81378
15483,Food Indices (2015=100),Jan 1 2003,62.887953
15484,Food Indices (2015=100),Jan 1 2004,59.372477
15485,Food Indices (2015=100),Jan 1 2005,62.399692
15486,Food Indices (2015=100),Jan 1 2006,69.332991
15487,Food Indices (2015=100),Jan 1 2007,65.915168
15488,Food Indices (2015=100),Jan 1 2008,76.666664
15489,Food Indices (2015=100),Jan 1 2009,86.051031
15490,Food Indices (2015=100),Jan 1 2010,87.457221
15491,Food Indices (2015=100),Jan 1 2011,93.335878
15492,Food Indices (2015=100),Jan 1 2012,96.177554
15493,Food Indices (2015=100),Jan 1 2013,99.155943
15494,Food Indices (2015=100),Jan 1 2014,97.915761
15495,Food Indices (2015=100),Jan 1 2015,94.956902
15496,Food Indices (2015=100),Jan 1 2016,95.474459
15497,Food Indices (2015=100),Jan 1 2017,97.837639
15498,Food Indices (2015=100),Jan 1 2018,103.052262
15499,Food Indices (2015=100),Jan 1 2019,99.71256
15500,Food Indices (2015=100),Jan 1 2020,97.495857
15501,Food Indices (2015=100),Jan 1 2021,98.843456
15502,Food Indices (2015=100),Feb 1 2000,57.419435
15503,Food Indices (2015=100),Feb 1 2001,59.372477
15504,Food Indices (2015=100),Feb 1 2002,64.840995
15505,Food Indices (2015=100),Feb 1 2003,62.204388
15506,Food Indices (2015=100),Feb 1 2004,57.419435
15507,Food Indices (2015=100),Feb 1 2005,62.204388
15508,Food Indices (2015=100),Feb 1 2006,68.942383
15509,Food Indices (2015=100),Feb 1 2007,66.01282
15510,Food Indices (2015=100),Feb 1 2008,76.559247
15511,Food Indices (2015=100),Feb 1 2009,86.783422
15512,Food Indices (2015=100),Feb 1 2010,87.935716
15513,Food Indices (2015=100),Feb 1 2011,91.861331
15514,Food Indices (2015=100),Feb 1 2012,96.079902
15515,Food Indices (2015=100),Feb 1 2013,99.634438
15516,Food Indices (2015=100),Feb 1 2014,96.851353
15517,Food Indices (2015=100),Feb 1 2015,95.708824
15518,Food Indices (2015=100),Feb 1 2016,96.333797
15519,Food Indices (2015=100),Feb 1 2017,97.61304
15520,Food Indices (2015=100),Feb 1 2018,103.44287
15521,Food Indices (2015=100),Feb 1 2019,99.028995
15522,Food Indices (2015=100),Feb 1 2020,98.306369
15523,Food Indices (2015=100),Feb 1 2021,98.667682
15524,Food Indices (2015=100),Mar 1 2000,57.614739
15525,Food Indices (2015=100),Mar 1 2001,63.962126
15526,Food Indices (2015=100),Mar 1 2002,64.352734
15527,Food Indices (2015=100),Mar 1 2003,61.130215
15528,Food Indices (2015=100),Mar 1 2004,56.73587
15529,Food Indices (2015=100),Mar 1 2005,65.231603
15530,Food Indices (2015=100),Mar 1 2006,67.672906
15531,Food Indices (2015=100),Mar 1 2007,65.426907
15532,Food Indices (2015=100),Mar 1 2008,76.129577
15533,Food Indices (2015=100),Mar 1 2009,86.666239
15534,Food Indices (2015=100),Mar 1 2010,87.564638
15535,Food Indices (2015=100),Mar 1 2011,91.978513
15536,Food Indices (2015=100),Mar 1 2012,96.070136
15537,Food Indices (2015=100),Mar 1 2013,99.71256
15538,Food Indices (2015=100),Mar 1 2014,96.626753
15539,Food Indices (2015=100),Mar 1 2015,94.976433
15540,Food Indices (2015=100),Mar 1 2016,96.870884
15541,Food Indices (2015=100),Mar 1 2017,100.122699
15542,Food Indices (2015=100),Mar 1 2018,103.520992
15543,Food Indices (2015=100),Mar 1 2019,99.702795
15544,Food Indices (2015=100),Mar 1 2020,99.126647
15545,Food Indices (2015=100),Mar 1 2021,101.148046
15546,Food Indices (2015=100),Apr 1 2000,57.810043
15547,Food Indices (2015=100),Apr 1 2001,61.81378
15548,Food Indices (2015=100),Apr 1 2002,64.352734
15549,Food Indices (2015=100),Apr 1 2003,61.618475
15550,Food Indices (2015=100),Apr 1 2004,59.95839
15551,Food Indices (2015=100),Apr 1 2005,68.747079
15552,Food Indices (2015=100),Apr 1 2006,69.235339
15553,Food Indices (2015=100),Apr 1 2007,66.208124
15554,Food Indices (2015=100),Apr 1 2008,78.746654
15555,Food Indices (2015=100),Apr 1 2009,87.437691
15556,Food Indices (2015=100),Apr 1 2010,88.267734
15557,Food Indices (2015=100),Apr 1 2011,92.427713
15558,Food Indices (2015=100),Apr 1 2012,96.841588
15559,Food Indices (2015=100),Apr 1 2013,100.689081
15560,Food Indices (2015=100),Apr 1 2014,93.423764
15561,Food Indices (2015=100),Apr 1 2015,96.665814
15562,Food Indices (2015=100),Apr 1 2016,100.942976
15563,Food Indices (2015=100),Apr 1 2017,100.571898
15564,Food Indices (2015=100),Apr 1 2018,106.304077
15565,Food Indices (2015=100),Apr 1 2019,100.435185
15566,Food Indices (2015=100),Apr 1 2020,99.673499
15567,Food Indices (2015=100),Apr 1 2021,103.530757
15568,Food Indices (2015=100),May 1 2000,60.641954
15569,Food Indices (2015=100),May 1 2001,65.133951
15570,Food Indices (2015=100),May 1 2002,66.989341
15571,Food Indices (2015=100),May 1 2003,68.454122
15572,Food Indices (2015=100),May 1 2004,61.227867
15573,Food Indices (2015=100),May 1 2005,72.457859
15574,Food Indices (2015=100),May 1 2006,73.43438
15575,Food Indices (2015=100),May 1 2007,68.942383
15576,Food Indices (2015=100),May 1 2008,86.68577
