,symbol,date,indices
15996,Food Indices (2015=100),Jan 1 2000,27.796045
15997,Food Indices (2015=100),Jan 1 2001,28.646553
15998,Food Indices (2015=100),Jan 1 2002,26.351938
15999,Food Indices (2015=100),Jan 1 2003,30.007878
16000,Food Indices (2015=100),Jan 1 2004,30.736767
16001,Food Indices (2015=100),Jan 1 2005,39.191576
16002,Food Indices (2015=100),Jan 1 2006,36.693019
16003,Food Indices (2015=100),Jan 1 2007,43.216072
16004,Food Indices (2015=100),Jan 1 2008,48.320279
16005,Food Indices (2015=100),Jan 1 2009,66.024985
16006,Food Indices (2015=100),Jan 1 2010,66.101303
16007,Food Indices (2015=100),Jan 1 2011,69.506021
16008,Food Indices (2015=100),Jan 1 2012,82.25092
16009,Food Indices (2015=100),Jan 1 2013,87.640628
16010,Food Indices (2015=100),Jan 1 2014,94.350868
16011,Food Indices (2015=100),Jan 1 2015,93.205491
16012,Food Indices (2015=100),Jan 1 2016,102.108522
16013,Food Indices (2015=100),Jan 1 2017,122.661051
16014,Food Indices (2015=100),Jan 1 2018,126.866284
16015,Food Indices (2015=100),Jan 1 2019,113.133336
16016,Food Indices (2015=100),Jan 1 2020,122.833593
16017,Food Indices (2015=100),Jan 1 2021,135.040658
16018,Food Indices (2015=100),Feb 1 2000,26.72727
16019,Food Indices (2015=100),Feb 1 2001,28.288644
16020,Food Indices (2015=100),Feb 1 2002,26.165117
16021,Food Indices (2015=100),Feb 1 2003,27.800053
16022,Food Indices (2015=100),Feb 1 2004,30.825039
16023,Food Indices (2015=100),Feb 1 2005,38.291576
16024,Food Indices (2015=100),Feb 1 2006,37.961757
16025,Food Indices (2015=100),Feb 1 2007,41.83066
16026,Food Indices (2015=100),Feb 1 2008,50.456368
16027,Food Indices (2015=100),Feb 1 2009,64.37472
16028,Food Indices (2015=100),Feb 1 2010,66.830251
16029,Food Indices (2015=100),Feb 1 2011,69.258819
16030,Food Indices (2015=100),Feb 1 2012,80.233921
16031,Food Indices (2015=100),Feb 1 2013,88.839679
16032,Food Indices (2015=100),Feb 1 2014,94.538827
16033,Food Indices (2015=100),Feb 1 2015,91.844113
16034,Food Indices (2015=100),Feb 1 2016,101.875011
16035,Food Indices (2015=100),Feb 1 2017,135.99607
16036,Food Indices (2015=100),Feb 1 2018,124.250485
16037,Food Indices (2015=100),Feb 1 2019,111.062494
16038,Food Indices (2015=100),Feb 1 2020,125.340401
16039,Food Indices (2015=100),Feb 1 2021,135.912591
16040,Food Indices (2015=100),Mar 1 2000,26.768864
16041,Food Indices (2015=100),Mar 1 2001,29.440182
16042,Food Indices (2015=100),Mar 1 2002,25.940926
16043,Food Indices (2015=100),Mar 1 2003,28.482018
16044,Food Indices (2015=100),Mar 1 2004,33.368542
16045,Food Indices (2015=100),Mar 1 2005,39.31317
16046,Food Indices (2015=100),Mar 1 2006,40.047786
16047,Food Indices (2015=100),Mar 1 2007,41.735145
16048,Food Indices (2015=100),Mar 1 2008,52.343176
16049,Food Indices (2015=100),Mar 1 2009,64.018498
16050,Food Indices (2015=100),Mar 1 2010,67.612438
16051,Food Indices (2015=100),Mar 1 2011,70.72707
16052,Food Indices (2015=100),Mar 1 2012,85.174245
16053,Food Indices (2015=100),Mar 1 2013,92.686372
16054,Food Indices (2015=100),Mar 1 2014,93.78142
16055,Food Indices (2015=100),Mar 1 2015,95.891705
16056,Food Indices (2015=100),Mar 1 2016,102.039059
16057,Food Indices (2015=100),Mar 1 2017,137.003867
16058,Food Indices (2015=100),Mar 1 2018,122.179643
16059,Food Indices (2015=100),Mar 1 2019,112.806361
16060,Food Indices (2015=100),Mar 1 2020,126.212334
16061,Food Indices (2015=100),Mar 1 2021,138.855366
16062,Food Indices (2015=100),Apr 1 2000,27.670039
16063,Food Indices (2015=100),Apr 1 2001,29.886733
16064,Food Indices (2015=100),Apr 1 2002,25.928149
16065,Food Indices (2015=100),Apr 1 2003,29.498833
16066,Food Indices (2015=100),Apr 1 2004,31.75008
16067,Food Indices (2015=100),Apr 1 2005,40.17554
16068,Food Indices (2015=100),Apr 1 2006,39.943246
16069,Food Indices (2015=100),Apr 1 2007,41.481631
16070,Food Indices (2015=100),Apr 1 2008,55.827081
16071,Food Indices (2015=100),Apr 1 2009,65.129723
16072,Food Indices (2015=100),Apr 1 2010,68.452447
16073,Food Indices (2015=100),Apr 1 2011,72.781143
16074,Food Indices (2015=100),Apr 1 2012,88.603964
16075,Food Indices (2015=100),Apr 1 2013,92.242752
16076,Food Indices (2015=100),Apr 1 2014,93.856473
16077,Food Indices (2015=100),Apr 1 2015,101.888448
16078,Food Indices (2015=100),Apr 1 2016,104.441414
16079,Food Indices (2015=100),Apr 1 2017,135.752685
16080,Food Indices (2015=100),Apr 1 2018,122.724601
16081,Food Indices (2015=100),Apr 1 2019,115.422161
16082,Food Indices (2015=100),Apr 1 2020,129.700067
16083,Food Indices (2015=100),Apr 1 2021,141.362174
16084,Food Indices (2015=100),May 1 2000,28.151962
16085,Food Indices (2015=100),May 1 2001,28.636027
16086,Food Indices (2015=100),May 1 2002,26.577391
16087,Food Indices (2015=100),May 1 2003,30.373159
16088,Food Indices (2015=100),May 1 2004,35.172315
16089,Food Indices (2015=100),May 1 2005,40.419528
16090,Food Indices (2015=100),May 1 2006,41.453678
16091,Food Indices (2015=100),May 1 2007,42.02539
16092,Food Indices (2015=100),May 1 2008,55.551233
16093,Food Indices (2015=100),May 1 2009,64.844836
16094,Food Indices (2015=100),May 1 2010,70.296731
16095,Food Indices (2015=100),May 1 2011,74.51678
16096,Food Indices (2015=100),May 1 2012,88.247725
16097,Food Indices (2015=100),May 1 2013,93.746492
16098,Food Indices (2015=100),May 1 2014,95.376203
16099,Food Indices (2015=100),May 1 2015,103.445658
16100,Food Indices (2015=100),May 1 2016,106.387711
16101,Food Indices (2015=100),May 1 2017,135.823542
16102,Food Indices (2015=100),May 1 2018,124.141493
16103,Food Indices (2015=100),May 1 2019,117.057035
16104,Food Indices (2015=100),May 1 2020,134.168725
16105,Food Indices (2015=100),May 1 2021,141.144191
16106,Food Indices (2015=100),Jun 1 2000,28.405392
16107,Food Indices (2015=100),Jun 1 2001,28.331643
16108,Food Indices (2015=100),Jun 1 2002,26.14203
16109,Food Indices (2015=100),Jun 1 2003,30.516274
16110,Food Indices (2015=100),Jun 1 2004,32.337379
16111,Food Indices (2015=100),Jun 1 2005,40.903426
16112,Food Indices (2015=100),Jun 1 2006,41.03814
16113,Food Indices (2015=100),Jun 1 2007,43.099968
16114,Food Indices (2015=100),Jun 1 2008,57.812972
16115,Food Indices (2015=100),Jun 1 2009,64.040611
16116,Food Indices (2015=100),Jun 1 2010,69.305234
16117,Food Indices (2015=100),Jun 1 2011,74.321444
16118,Food Indices (2015=100),Jun 1 2012,83.676735
16119,Food Indices (2015=100),Jun 1 2013,93.737451
16120,Food Indices (2015=100),Jun 1 2014,95.394452
16121,Food Indices (2015=100),Jun 1 2015,104.957623
16122,Food Indices (2015=100),Jun 1 2016,109.192722
16123,Food Indices (2015=100),Jun 1 2017,131.912204
16124,Food Indices (2015=100),Jun 1 2018,121.634685
16125,Food Indices (2015=100),Jun 1 2019,111.280478
16126,Food Indices (2015=100),Jun 1 2020,125.994351
16127,Food Indices (2015=100),Jun 1 2021,141.362174
16128,Food Indices (2015=100),Jul 1 2000,28.123427
16129,Food Indices (2015=100),Jul 1 2001,27.254617
16130,Food Indices (2015=100),Jul 1 2002,25.145881
16131,Food Indices (2015=100),Jul 1 2003,29.669166
16132,Food Indices (2015=100),Jul 1 2004,30.912062
16133,Food Indices (2015=100),Jul 1 2005,43.452267
16134,Food Indices (2015=100),Jul 1 2006,38.471146
16135,Food Indices (2015=100),Jul 1 2007,41.345057
16136,Food Indices (2015=100),Jul 1 2008,58.034325
16137,Food Indices (2015=100),Jul 1 2009,63.394662
16138,Food Indices (2015=100),Jul 1 2010,68.330655
16139,Food Indices (2015=100),Jul 1 2011,73.641253
16140,Food Indices (2015=100),Jul 1 2012,84.182603
16141,Food Indices (2015=100),Jul 1 2013,93.901826
16142,Food Indices (2015=100),Jul 1 2014,95.175514
16143,Food Indices (2015=100),Jul 1 2015,105.11615
16144,Food Indices (2015=100),Jul 1 2016,109.901269
16145,Food Indices (2015=100),Jul 1 2017,130.477449
16146,Food Indices (2015=100),Jul 1 2018,119.454852
16147,Food Indices (2015=100),Jul 1 2019,112.152411
16148,Food Indices (2015=100),Jul 1 2020,125.667376
16149,Food Indices (2015=100),Aug 1 2000,27.284251
16150,Food Indices (2015=100),Aug 1 2001,26.550168
16151,Food Indices (2015=100),Aug 1 2002,25.395862
16152,Food Indices (2015=100),Aug 1 2003,29.456327
16153,Food Indices (2015=100),Aug 1 2004,34.400534
16154,Food Indices (2015=100),Aug 1 2005,40.754129
16155,Food Indices (2015=100),Aug 1 2006,38.663841
16156,Food Indices (2015=100),Aug 1 2007,41.859389
16157,Food Indices (2015=100),Aug 1 2008,59.569816
16158,Food Indices (2015=100),Aug 1 2009,62.975768
16159,Food Indices (2015=100),Aug 1 2010,67.967021
16160,Food Indices (2015=100),Aug 1 2011,74.888452
16161,Food Indices (2015=100),Aug 1 2012,83.917764
16162,Food Indices (2015=100),Aug 1 2013,92.040853
16163,Food Indices (2015=100),Aug 1 2014,94.880245
16164,Food Indices (2015=100),Aug 1 2015,99.272242
16165,Food Indices (2015=100),Aug 1 2016,106.877076
16166,Food Indices (2015=100),Aug 1 2017,130.916072
16167,Food Indices (2015=100),Aug 1 2018,116.73006
16168,Food Indices (2015=100),Aug 1 2019,113.351319
16169,Food Indices (2015=100),Aug 1 2020,125.122418
