,symbol,date,indices
17544,Food Indices (2015=100),Jan 1 2000,65.848398
17545,Food Indices (2015=100),Jan 1 2001,67.61998
17546,Food Indices (2015=100),Jan 1 2002,72.215691
17547,Food Indices (2015=100),Jan 1 2003,75.336613
17548,Food Indices (2015=100),Jan 1 2004,74.743026
17549,Food Indices (2015=100),Jan 1 2005,73.46253
17550,Food Indices (2015=100),Jan 1 2006,74.609928
17551,Food Indices (2015=100),Jan 1 2007,79.338737
17552,Food Indices (2015=100),Jan 1 2008,80.691137
17553,Food Indices (2015=100),Jan 1 2009,87.568893
17554,Food Indices (2015=100),Jan 1 2010,89.087303
17555,Food Indices (2015=100),Jan 1 2011,90.605714
17556,Food Indices (2015=100),Jan 1 2012,92.124124
17557,Food Indices (2015=100),Jan 1 2013,96.680214
17558,Food Indices (2015=100),Jan 1 2014,97.682553
17559,Food Indices (2015=100),Jan 1 2015,98.502649
17560,Food Indices (2015=100),Jan 1 2016,100.325085
17561,Food Indices (2015=100),Jan 1 2017,99.596111
17562,Food Indices (2015=100),Jan 1 2018,101.054059
17563,Food Indices (2015=100),Jan 1 2019,102.967617
17564,Food Indices (2015=100),Jan 1 2020,107.159219
17565,Food Indices (2015=100),Jan 1 2021,109.983994
17566,Food Indices (2015=100),Feb 1 2000,65.973847
17567,Food Indices (2015=100),Feb 1 2001,68.011625
17568,Food Indices (2015=100),Feb 1 2002,72.503306
17569,Food Indices (2015=100),Feb 1 2003,75.293777
17570,Food Indices (2015=100),Feb 1 2004,74.620637
17571,Food Indices (2015=100),Feb 1 2005,73.528314
17572,Food Indices (2015=100),Feb 1 2006,75.0337
17573,Food Indices (2015=100),Feb 1 2007,79.406051
17574,Food Indices (2015=100),Feb 1 2008,81.303082
17575,Food Indices (2015=100),Feb 1 2009,87.695427
17576,Food Indices (2015=100),Feb 1 2010,89.213838
17577,Food Indices (2015=100),Feb 1 2011,90.732248
17578,Food Indices (2015=100),Feb 1 2012,92.033003
17579,Food Indices (2015=100),Feb 1 2013,95.860118
17580,Food Indices (2015=100),Feb 1 2014,97.50031
17581,Food Indices (2015=100),Feb 1 2015,98.593771
17582,Food Indices (2015=100),Feb 1 2016,100.507329
17583,Food Indices (2015=100),Feb 1 2017,99.778354
17584,Food Indices (2015=100),Feb 1 2018,101.054059
17585,Food Indices (2015=100),Feb 1 2019,103.969956
17586,Food Indices (2015=100),Feb 1 2020,107.341463
17587,Food Indices (2015=100),Feb 1 2021,110.348481
17588,Food Indices (2015=100),Mar 1 2000,66.099296
17589,Food Indices (2015=100),Mar 1 2001,68.403271
17590,Food Indices (2015=100),Mar 1 2002,72.79092
17591,Food Indices (2015=100),Mar 1 2003,75.250941
17592,Food Indices (2015=100),Mar 1 2004,74.498248
17593,Food Indices (2015=100),Mar 1 2005,73.594099
17594,Food Indices (2015=100),Mar 1 2006,75.457473
17595,Food Indices (2015=100),Mar 1 2007,79.473365
17596,Food Indices (2015=100),Mar 1 2008,81.915028
17597,Food Indices (2015=100),Mar 1 2009,87.821961
17598,Food Indices (2015=100),Mar 1 2010,89.340372
17599,Food Indices (2015=100),Mar 1 2011,90.858782
17600,Food Indices (2015=100),Mar 1 2012,92.488612
17601,Food Indices (2015=100),Mar 1 2013,95.860118
17602,Food Indices (2015=100),Mar 1 2014,97.318066
17603,Food Indices (2015=100),Mar 1 2015,98.229284
