,symbol,date,price
19092,General Indices (2015=100),Jan 1 2000,52.518907
19093,General Indices (2015=100),Jan 1 2001,55.448612
19094,General Indices (2015=100),Jan 1 2002,57.039339
19095,General Indices (2015=100),Jan 1 2003,61.355052
19096,General Indices (2015=100),Jan 1 2004,58.657732
19097,General Indices (2015=100),Jan 1 2005,61.045206
19098,General Indices (2015=100),Jan 1 2006,62.467178
19099,General Indices (2015=100),Jan 1 2007,65.618315
19100,General Indices (2015=100),Jan 1 2008,67.323424
19101,General Indices (2015=100),Jan 1 2009,75.340747
19102,General Indices (2015=100),Jan 1 2010,75.368669
19103,General Indices (2015=100),Jan 1 2011,76.715024
19104,General Indices (2015=100),Jan 1 2012,80.26891
19105,General Indices (2015=100),Jan 1 2013,82.463156
19106,General Indices (2015=100),Jan 1 2014,90.044674
19107,General Indices (2015=100),Jan 1 2015,98.224373
19108,General Indices (2015=100),Jan 1 2016,109.184218
19109,General Indices (2015=100),Jan 1 2017,105.806845
19110,General Indices (2015=100),Jan 1 2018,109.886334
19111,General Indices (2015=100),Jan 1 2019,115.11974
19112,General Indices (2015=100),Jan 1 2020,114.100177
19113,General Indices (2015=100),Jan 1 2021,118.470444
19114,General Indices (2015=100),Feb 1 2000,53.431846
19115,General Indices (2015=100),Feb 1 2001,55.741859
19116,General Indices (2015=100),Feb 1 2002,56.610535
19117,General Indices (2015=100),Feb 1 2003,61.770025
19118,General Indices (2015=100),Feb 1 2004,58.317454
19119,General Indices (2015=100),Feb 1 2005,60.325921
19120,General Indices (2015=100),Feb 1 2006,63.6998
19121,General Indices (2015=100),Feb 1 2007,65.846548
19122,General Indices (2015=100),Feb 1 2008,67.617751
19123,General Indices (2015=100),Feb 1 2009,74.498697
19124,General Indices (2015=100),Feb 1 2010,74.262803
19125,General Indices (2015=100),Feb 1 2011,76.515762
19126,General Indices (2015=100),Feb 1 2012,80.883156
19127,General Indices (2015=100),Feb 1 2013,83.069792
19128,General Indices (2015=100),Feb 1 2014,97.283988
19129,General Indices (2015=100),Feb 1 2015,98.466633
19130,General Indices (2015=100),Feb 1 2016,109.909025
