,symbol,date,indices
19350,Food Indices (2015=100),Jan 1 2000,53.637552
19351,Food Indices (2015=100),Jan 1 2001,58.307908
19352,Food Indices (2015=100),Jan 1 2002,68.78473
19353,Food Indices (2015=100),Jan 1 2003,72.030493
19354,Food Indices (2015=100),Jan 1 2004,70.021162
19355,Food Indices (2015=100),Jan 1 2005,67.18134
19356,Food Indices (2015=100),Jan 1 2006,74.829926
19357,Food Indices (2015=100),Jan 1 2007,81.930664
19358,Food Indices (2015=100),Jan 1 2008,75.535172
19359,Food Indices (2015=100),Jan 1 2009,86.973636
19360,Food Indices (2015=100),Jan 1 2010,87.964218
19361,Food Indices (2015=100),Jan 1 2011,81.92818
19362,Food Indices (2015=100),Jan 1 2012,99.889074
19363,Food Indices (2015=100),Jan 1 2013,99.079362
19364,Food Indices (2015=100),Jan 1 2014,100.404346
19365,Food Indices (2015=100),Jan 1 2015,97.667696
19366,Food Indices (2015=100),Jan 1 2016,96.56826
19367,Food Indices (2015=100),Jan 1 2017,87.86829
19368,Food Indices (2015=100),Jan 1 2018,90.196543
19369,Food Indices (2015=100),Jan 1 2019,83.620397
19370,Food Indices (2015=100),Jan 1 2020,86.979367
19371,Food Indices (2015=100),Jan 1 2021,87.556026
19372,Food Indices (2015=100),Feb 1 2000,53.978099
19373,Food Indices (2015=100),Feb 1 2001,59.232249
19374,Food Indices (2015=100),Feb 1 2002,69.093798
19375,Food Indices (2015=100),Feb 1 2003,71.876512
19376,Food Indices (2015=100),Feb 1 2004,69.705626
19377,Food Indices (2015=100),Feb 1 2005,67.812412
19378,Food Indices (2015=100),Feb 1 2006,75.536726
19379,Food Indices (2015=100),Feb 1 2007,81.256602
19380,Food Indices (2015=100),Feb 1 2008,76.554365
19381,Food Indices (2015=100),Feb 1 2009,88.560471
19382,Food Indices (2015=100),Feb 1 2010,86.786454
19383,Food Indices (2015=100),Feb 1 2011,81.92818
19384,Food Indices (2015=100),Feb 1 2012,98.858531
19385,Food Indices (2015=100),Feb 1 2013,99.373803
19386,Food Indices (2015=100),Feb 1 2014,99.521023
19387,Food Indices (2015=100),Feb 1 2015,97.95133
19388,Food Indices (2015=100),Feb 1 2016,95.59852
19389,Food Indices (2015=100),Feb 1 2017,88.356957
19390,Food Indices (2015=100),Feb 1 2018,89.48985
19391,Food Indices (2015=100),Feb 1 2019,83.449598
19392,Food Indices (2015=100),Feb 1 2020,90.15099
19393,Food Indices (2015=100),Feb 1 2021,88.036574
19394,Food Indices (2015=100),Mar 1 2000,54.318646
19395,Food Indices (2015=100),Mar 1 2001,60.156591
19396,Food Indices (2015=100),Mar 1 2002,69.402866
19397,Food Indices (2015=100),Mar 1 2003,71.72253
19398,Food Indices (2015=100),Mar 1 2004,69.39009
19399,Food Indices (2015=100),Mar 1 2005,68.443483
19400,Food Indices (2015=100),Mar 1 2006,76.243526
19401,Food Indices (2015=100),Mar 1 2007,80.582539
19402,Food Indices (2015=100),Mar 1 2008,77.573558
19403,Food Indices (2015=100),Mar 1 2009,90.267201
19404,Food Indices (2015=100),Mar 1 2010,87.301726
19405,Food Indices (2015=100),Mar 1 2011,83.179553
19406,Food Indices (2015=100),Mar 1 2012,97.386327
19407,Food Indices (2015=100),Mar 1 2013,100.036295
19408,Food Indices (2015=100),Mar 1 2014,98.34326
19409,Food Indices (2015=100),Mar 1 2015,95.811732
19410,Food Indices (2015=100),Mar 1 2016,95.84107
19411,Food Indices (2015=100),Mar 1 2017,89.424095
19412,Food Indices (2015=100),Mar 1 2018,89.179327
19413,Food Indices (2015=100),Mar 1 2019,82.774349
19414,Food Indices (2015=100),Mar 1 2020,92.073186
19415,Food Indices (2015=100),Mar 1 2021,90.2471
19416,Food Indices (2015=100),Apr 1 2000,54.659192
19417,Food Indices (2015=100),Apr 1 2001,61.080932
19418,Food Indices (2015=100),Apr 1 2002,69.711933
19419,Food Indices (2015=100),Apr 1 2003,71.568549
19420,Food Indices (2015=100),Apr 1 2004,69.074555
19421,Food Indices (2015=100),Apr 1 2005,69.074555
19422,Food Indices (2015=100),Apr 1 2006,76.950326
19423,Food Indices (2015=100),Apr 1 2007,79.908477
19424,Food Indices (2015=100),Apr 1 2008,78.592751
19425,Food Indices (2015=100),Apr 1 2009,92.227444
19426,Food Indices (2015=100),Apr 1 2010,88.111438
19427,Food Indices (2015=100),Apr 1 2011,86.418403
19428,Food Indices (2015=100),Apr 1 2012,97.091886
19429,Food Indices (2015=100),Apr 1 2013,99.889074
19430,Food Indices (2015=100),Apr 1 2014,100.404346
19431,Food Indices (2015=100),Apr 1 2015,97.179714
