,symbol,date,price
20382,Food Indices (2015=100),Jan 1 2000,59.117092
20383,Food Indices (2015=100),Jan 1 2001,57.887354
20384,Food Indices (2015=100),Jan 1 2002,57.359609
20385,Food Indices (2015=100),Jan 1 2003,56.173393
20386,Food Indices (2015=100),Jan 1 2004,55.476188
20387,Food Indices (2015=100),Jan 1 2005,56.04018
20388,Food Indices (2015=100),Jan 1 2006,57.57904
20389,Food Indices (2015=100),Jan 1 2007,59.117901
20390,Food Indices (2015=100),Jan 1 2008,68.351066
20391,Food Indices (2015=100),Jan 1 2009,76.04537
20392,Food Indices (2015=100),Jan 1 2010,74.891224
20393,Food Indices (2015=100),Jan 1 2011,80.533713
20394,Food Indices (2015=100),Jan 1 2012,89.382163
20395,Food Indices (2015=100),Jan 1 2013,92.075169
20396,Food Indices (2015=100),Jan 1 2014,95.152891
20397,Food Indices (2015=100),Jan 1 2015,97.974135
20398,Food Indices (2015=100),Jan 1 2016,102.590718
20399,Food Indices (2015=100),Jan 1 2017,104.899009
20400,Food Indices (2015=100),Jan 1 2018,106.950823
20401,Food Indices (2015=100),Jan 1 2019,111.439167
20402,Food Indices (2015=100),Jan 1 2020,128.879589
20403,Food Indices (2015=100),Jan 1 2021,130.161973
20404,Food Indices (2015=100),Feb 1 2000,59.008819
20405,Food Indices (2015=100),Feb 1 2001,57.848621
20406,Food Indices (2015=100),Feb 1 2002,57.257934
20407,Food Indices (2015=100),Feb 1 2003,56.105609
20408,Food Indices (2015=100),Feb 1 2004,55.524605
20409,Food Indices (2015=100),Feb 1 2005,57.707279
20410,Food Indices (2015=100),Feb 1 2006,57.835517
20411,Food Indices (2015=100),Feb 1 2007,60.913239
20412,Food Indices (2015=100),Feb 1 2008,72.711171
20413,Food Indices (2015=100),Feb 1 2009,75.019462
20414,Food Indices (2015=100),Feb 1 2010,78.353661
20415,Food Indices (2015=100),Feb 1 2011,82.585528
20416,Food Indices (2015=100),Feb 1 2012,89.125686
20417,Food Indices (2015=100),Feb 1 2013,93.870507
20418,Food Indices (2015=100),Feb 1 2014,97.717659
20419,Food Indices (2015=100),Feb 1 2015,100.282427
20420,Food Indices (2015=100),Feb 1 2016,109.64383
20421,Food Indices (2015=100),Feb 1 2017,105.540201
20422,Food Indices (2015=100),Feb 1 2018,110.41326
20423,Food Indices (2015=100),Feb 1 2019,115.927511
20424,Food Indices (2015=100),Feb 1 2020,131.829072
20425,Food Indices (2015=100),Feb 1 2021,134.265602
20426,Food Indices (2015=100),Mar 1 2000,58.900546
20427,Food Indices (2015=100),Mar 1 2001,57.809887
20428,Food Indices (2015=100),Mar 1 2002,57.156258
20429,Food Indices (2015=100),Mar 1 2003,56.037825
20430,Food Indices (2015=100),Mar 1 2004,55.573022
20431,Food Indices (2015=100),Mar 1 2005,57.57904
20432,Food Indices (2015=100),Mar 1 2006,57.707279
20433,Food Indices (2015=100),Mar 1 2007,60.656762
20434,Food Indices (2015=100),Mar 1 2008,71.044072
20435,Food Indices (2015=100),Mar 1 2009,74.891224
20436,Food Indices (2015=100),Mar 1 2010,76.173608
20437,Food Indices (2015=100),Mar 1 2011,82.200813
20438,Food Indices (2015=100),Mar 1 2012,89.895116
20439,Food Indices (2015=100),Mar 1 2013,92.203408
20440,Food Indices (2015=100),Mar 1 2014,96.563513
20441,Food Indices (2015=100),Mar 1 2015,100.538903
20442,Food Indices (2015=100),Mar 1 2016,105.668439
20443,Food Indices (2015=100),Mar 1 2017,104.00134
20444,Food Indices (2015=100),Mar 1 2018,109.130876
20445,Food Indices (2015=100),Mar 1 2019,114.260412
20446,Food Indices (2015=100),Mar 1 2020,129.392543
20447,Food Indices (2015=100),Mar 1 2021,132.598503
20448,Food Indices (2015=100),Apr 1 2000,58.792273
20449,Food Indices (2015=100),Apr 1 2001,57.771154
20450,Food Indices (2015=100),Apr 1 2002,57.054582
20451,Food Indices (2015=100),Apr 1 2003,55.970042
20452,Food Indices (2015=100),Apr 1 2004,55.621439
20453,Food Indices (2015=100),Apr 1 2005,56.681372
20454,Food Indices (2015=100),Apr 1 2006,57.707279
20455,Food Indices (2015=100),Apr 1 2007,60.143808
20456,Food Indices (2015=100),Apr 1 2008,71.813502
20457,Food Indices (2015=100),Apr 1 2009,73.480602
20458,Food Indices (2015=100),Apr 1 2010,75.404178
20459,Food Indices (2015=100),Apr 1 2011,82.072574
20460,Food Indices (2015=100),Apr 1 2012,89.253924
20461,Food Indices (2015=100),Apr 1 2013,95.152891
20462,Food Indices (2015=100),Apr 1 2014,97.461182
20463,Food Indices (2015=100),Apr 1 2015,98.871804
20464,Food Indices (2015=100),Apr 1 2016,103.616625
20465,Food Indices (2015=100),Apr 1 2017,103.873102
20466,Food Indices (2015=100),Apr 1 2018,108.746161
20467,Food Indices (2015=100),Apr 1 2019,113.61922
20468,Food Indices (2015=100),Apr 1 2020,130.161973
20469,Food Indices (2015=100),Apr 1 2021,131.444357
20470,Food Indices (2015=100),May 1 2000,58.683999
20471,Food Indices (2015=100),May 1 2001,57.73242
20472,Food Indices (2015=100),May 1 2002,56.952906
20473,Food Indices (2015=100),May 1 2003,55.902258
20474,Food Indices (2015=100),May 1 2004,55.669856
20475,Food Indices (2015=100),May 1 2005,56.937848
20476,Food Indices (2015=100),May 1 2006,58.091994
20477,Food Indices (2015=100),May 1 2007,60.143808
20478,Food Indices (2015=100),May 1 2008,71.685264
20479,Food Indices (2015=100),May 1 2009,73.352363
20480,Food Indices (2015=100),May 1 2010,75.532416
20481,Food Indices (2015=100),May 1 2011,83.098481
20482,Food Indices (2015=100),May 1 2012,90.151593
20483,Food Indices (2015=100),May 1 2013,93.357553
20484,Food Indices (2015=100),May 1 2014,96.563513
20485,Food Indices (2015=100),May 1 2015,99.128281
20486,Food Indices (2015=100),May 1 2016,101.821287
20487,Food Indices (2015=100),May 1 2017,103.744863
20488,Food Indices (2015=100),May 1 2018,108.617922
20489,Food Indices (2015=100),May 1 2019,115.671034
20490,Food Indices (2015=100),May 1 2020,129.007828
20491,Food Indices (2015=100),May 1 2021,130.290212
20492,Food Indices (2015=100),Jun 1 2000,58.575726
20493,Food Indices (2015=100),Jun 1 2001,57.693686
20494,Food Indices (2015=100),Jun 1 2002,56.851231
20495,Food Indices (2015=100),Jun 1 2003,55.834474
20496,Food Indices (2015=100),Jun 1 2004,55.718273
20497,Food Indices (2015=100),Jun 1 2005,57.707279
20498,Food Indices (2015=100),Jun 1 2006,59.502616
20499,Food Indices (2015=100),Jun 1 2007,62.195623
20500,Food Indices (2015=100),Jun 1 2008,73.993555
20501,Food Indices (2015=100),Jun 1 2009,73.352363
20502,Food Indices (2015=100),Jun 1 2010,75.404178
20503,Food Indices (2015=100),Jun 1 2011,83.354958
20504,Food Indices (2015=100),Jun 1 2012,89.253924
20505,Food Indices (2015=100),Jun 1 2013,93.101076
20506,Food Indices (2015=100),Jun 1 2014,96.178798
20507,Food Indices (2015=100),Jun 1 2015,99.641235
20508,Food Indices (2015=100),Jun 1 2016,101.436572
20509,Food Indices (2015=100),Jun 1 2017,103.360148
20510,Food Indices (2015=100),Jun 1 2018,108.746161
20511,Food Indices (2015=100),Jun 1 2019,121.826477
20512,Food Indices (2015=100),Jun 1 2020,128.494874
20513,Food Indices (2015=100),Jun 1 2021,130.033735
20514,Food Indices (2015=100),Jul 1 2000,58.467453
20515,Food Indices (2015=100),Jul 1 2001,57.654953
20516,Food Indices (2015=100),Jul 1 2002,56.749555
20517,Food Indices (2015=100),Jul 1 2003,55.76669
20518,Food Indices (2015=100),Jul 1 2004,55.76669
20519,Food Indices (2015=100),Jul 1 2005,57.707279
20520,Food Indices (2015=100),Jul 1 2006,59.502616
20521,Food Indices (2015=100),Jul 1 2007,62.965053
20522,Food Indices (2015=100),Jul 1 2008,75.404178
20523,Food Indices (2015=100),Jul 1 2009,73.352363
20524,Food Indices (2015=100),Jul 1 2010,76.04537
20525,Food Indices (2015=100),Jul 1 2011,84.252627
20526,Food Indices (2015=100),Jul 1 2012,89.766878
20527,Food Indices (2015=100),Jul 1 2013,92.972838
20528,Food Indices (2015=100),Jul 1 2014,96.178798
20529,Food Indices (2015=100),Jul 1 2015,99.897711
20530,Food Indices (2015=100),Jul 1 2016,101.821287
20531,Food Indices (2015=100),Jul 1 2017,104.00134
20532,Food Indices (2015=100),Jul 1 2018,109.130876
20533,Food Indices (2015=100),Jul 1 2019,122.980623
20534,Food Indices (2015=100),Jul 1 2020,128.623112
20535,Food Indices (2015=100),Aug 1 2000,58.35918
20536,Food Indices (2015=100),Aug 1 2001,57.616219
20537,Food Indices (2015=100),Aug 1 2002,56.647879
20538,Food Indices (2015=100),Aug 1 2003,55.698906
20539,Food Indices (2015=100),Aug 1 2004,55.815107
20540,Food Indices (2015=100),Aug 1 2005,57.194325
20541,Food Indices (2015=100),Aug 1 2006,59.502616
20542,Food Indices (2015=100),Aug 1 2007,64.119199
20543,Food Indices (2015=100),Aug 1 2008,75.019462
20544,Food Indices (2015=100),Aug 1 2009,73.480602
20545,Food Indices (2015=100),Aug 1 2010,75.788893
20546,Food Indices (2015=100),Aug 1 2011,84.765581
20547,Food Indices (2015=100),Aug 1 2012,89.125686
20548,Food Indices (2015=100),Aug 1 2013,93.101076
20549,Food Indices (2015=100),Aug 1 2014,96.05056
20550,Food Indices (2015=100),Aug 1 2015,99.769473
20551,Food Indices (2015=100),Aug 1 2016,102.077764
20552,Food Indices (2015=100),Aug 1 2017,104.00134
20553,Food Indices (2015=100),Aug 1 2018,108.746161
20554,Food Indices (2015=100),Aug 1 2019,124.134769
20555,Food Indices (2015=100),Aug 1 2020,129.264304
20556,Food Indices (2015=100),Sep 1 2000,58.250907
20557,Food Indices (2015=100),Sep 1 2001,57.577486
20558,Food Indices (2015=100),Sep 1 2002,56.546204
20559,Food Indices (2015=100),Sep 1 2003,55.631123
20560,Food Indices (2015=100),Sep 1 2004,55.863524
20561,Food Indices (2015=100),Sep 1 2005,57.450802
20562,Food Indices (2015=100),Sep 1 2006,58.861424
20563,Food Indices (2015=100),Sep 1 2007,65.273344
20564,Food Indices (2015=100),Sep 1 2008,75.019462
20565,Food Indices (2015=100),Sep 1 2009,73.480602
20566,Food Indices (2015=100),Sep 1 2010,77.199515
20567,Food Indices (2015=100),Sep 1 2011,85.919726
20568,Food Indices (2015=100),Sep 1 2012,88.869209
20569,Food Indices (2015=100),Sep 1 2013,94.768176
20570,Food Indices (2015=100),Sep 1 2014,97.332943
20571,Food Indices (2015=100),Sep 1 2015,100.667142
20572,Food Indices (2015=100),Sep 1 2016,102.975433
20573,Food Indices (2015=100),Sep 1 2017,104.899009
