,symbol,date,indices
20898,Food Indices (2015=100),Jan 1 2000,48.922748
20899,Food Indices (2015=100),Jan 1 2001,48.489136
20900,Food Indices (2015=100),Jan 1 2002,47.291989
20901,Food Indices (2015=100),Jan 1 2003,46.641571
20902,Food Indices (2015=100),Jan 1 2004,46.707556
20903,Food Indices (2015=100),Jan 1 2005,48.37602
20904,Food Indices (2015=100),Jan 1 2006,50.204731
20905,Food Indices (2015=100),Jan 1 2007,52.353939
20906,Food Indices (2015=100),Jan 1 2008,59.895017
20907,Food Indices (2015=100),Jan 1 2009,67.238143
20908,Food Indices (2015=100),Jan 1 2010,69.660714
20909,Food Indices (2015=100),Jan 1 2011,73.93085
20910,Food Indices (2015=100),Jan 1 2012,81.481355
20911,Food Indices (2015=100),Jan 1 2013,86.807242
20912,Food Indices (2015=100),Jan 1 2014,92.642151
20913,Food Indices (2015=100),Jan 1 2015,97.666395
20914,Food Indices (2015=100),Jan 1 2016,101.738577
20915,Food Indices (2015=100),Jan 1 2017,103.454173
20916,Food Indices (2015=100),Jan 1 2018,105.791907
20917,Food Indices (2015=100),Jan 1 2019,109.105327
20918,Food Indices (2015=100),Jan 1 2020,114.973538
20919,Food Indices (2015=100),Jan 1 2021,114.901724
20920,Food Indices (2015=100),Feb 1 2000,49.262096
20921,Food Indices (2015=100),Feb 1 2001,48.328888
20922,Food Indices (2015=100),Feb 1 2002,47.735028
20923,Food Indices (2015=100),Feb 1 2003,46.603866
20924,Food Indices (2015=100),Feb 1 2004,47.348548
20925,Food Indices (2015=100),Feb 1 2005,48.979306
20926,Food Indices (2015=100),Feb 1 2006,50.54408
20927,Food Indices (2015=100),Feb 1 2007,53.419116
20928,Food Indices (2015=100),Feb 1 2008,62.732348
20929,Food Indices (2015=100),Feb 1 2009,67.558638
20930,Food Indices (2015=100),Feb 1 2010,70.820155
20931,Food Indices (2015=100),Feb 1 2011,75.052585
20932,Food Indices (2015=100),Feb 1 2012,81.914967
20933,Food Indices (2015=100),Feb 1 2013,87.994962
20934,Food Indices (2015=100),Feb 1 2014,93.924135
20935,Food Indices (2015=100),Feb 1 2015,98.448782
20936,Food Indices (2015=100),Feb 1 2016,103.633273
20937,Food Indices (2015=100),Feb 1 2017,103.774669
20938,Food Indices (2015=100),Feb 1 2018,107.045611
20939,Food Indices (2015=100),Feb 1 2019,109.730795
20940,Food Indices (2015=100),Feb 1 2020,116.409809
20941,Food Indices (2015=100),Feb 1 2021,114.973538
20942,Food Indices (2015=100),Mar 1 2000,49.120701
20943,Food Indices (2015=100),Mar 1 2001,48.046097
20944,Food Indices (2015=100),Mar 1 2002,47.310842
20945,Food Indices (2015=100),Mar 1 2003,46.707556
20946,Food Indices (2015=100),Mar 1 2004,47.009199
20947,Food Indices (2015=100),Mar 1 2005,49.318654
20948,Food Indices (2015=100),Mar 1 2006,50.44039
20949,Food Indices (2015=100),Mar 1 2007,53.739612
20950,Food Indices (2015=100),Mar 1 2008,62.515542
20951,Food Indices (2015=100),Mar 1 2009,68.454141
20952,Food Indices (2015=100),Mar 1 2010,71.27262
20953,Food Indices (2015=100),Mar 1 2011,76.183747
20954,Food Indices (2015=100),Mar 1 2012,83.413756
20955,Food Indices (2015=100),Mar 1 2013,88.588821
20956,Food Indices (2015=100),Mar 1 2014,94.34832
20957,Food Indices (2015=100),Mar 1 2015,99.523385
20958,Food Indices (2015=100),Mar 1 2016,103.293925
20959,Food Indices (2015=100),Mar 1 2017,103.670979
20960,Food Indices (2015=100),Mar 1 2018,106.809953
20961,Food Indices (2015=100),Mar 1 2019,110.038778
20962,Food Indices (2015=100),Mar 1 2020,115.978928
20963,Food Indices (2015=100),Mar 1 2021,114.973538
20964,Food Indices (2015=100),Apr 1 2000,49.073569
20965,Food Indices (2015=100),Apr 1 2001,48.16864
20966,Food Indices (2015=100),Apr 1 2002,46.990346
20967,Food Indices (2015=100),Apr 1 2003,46.462471
20968,Food Indices (2015=100),Apr 1 2004,47.056331
20969,Food Indices (2015=100),Apr 1 2005,48.753073
20970,Food Indices (2015=100),Apr 1 2006,50.892855
20971,Food Indices (2015=100),Apr 1 2007,53.946991
20972,Food Indices (2015=100),Apr 1 2008,63.986052
20973,Food Indices (2015=100),Apr 1 2009,68.275041
20974,Food Indices (2015=100),Apr 1 2010,71.715658
20975,Food Indices (2015=100),Apr 1 2011,76.391127
20976,Food Indices (2015=100),Apr 1 2012,83.668268
20977,Food Indices (2015=100),Apr 1 2013,89.833099
20978,Food Indices (2015=100),Apr 1 2014,94.998738
20979,Food Indices (2015=100),Apr 1 2015,99.48568
20980,Food Indices (2015=100),Apr 1 2016,103.058266
20981,Food Indices (2015=100),Apr 1 2017,103.774669
20982,Food Indices (2015=100),Apr 1 2018,106.753395
20983,Food Indices (2015=100),Apr 1 2019,110.175433
20984,Food Indices (2015=100),Apr 1 2020,116.050741
20985,Food Indices (2015=100),Apr 1 2021,115.260792
20986,Food Indices (2015=100),May 1 2000,48.885042
20987,Food Indices (2015=100),May 1 2001,48.178066
20988,Food Indices (2015=100),May 1 2002,46.509603
20989,Food Indices (2015=100),May 1 2003,46.471897
20990,Food Indices (2015=100),May 1 2004,46.745261
20991,Food Indices (2015=100),May 1 2005,49.158406
20992,Food Indices (2015=100),May 1 2006,51.119087
20993,Food Indices (2015=100),May 1 2007,54.18265
20994,Food Indices (2015=100),May 1 2008,64.259416
20995,Food Indices (2015=100),May 1 2009,68.472994
20996,Food Indices (2015=100),May 1 2010,71.857053
20997,Food Indices (2015=100),May 1 2011,76.749328
20998,Food Indices (2015=100),May 1 2012,84.346965
20999,Food Indices (2015=100),May 1 2013,89.399487
21000,Food Indices (2015=100),May 1 2014,94.791359
21001,Food Indices (2015=100),May 1 2015,99.683633
21002,Food Indices (2015=100),May 1 2016,102.775476
21003,Food Indices (2015=100),May 1 2017,104.443939
21004,Food Indices (2015=100),May 1 2018,107.030557
21005,Food Indices (2015=100),May 1 2019,110.255216
21006,Food Indices (2015=100),May 1 2020,115.61986
21007,Food Indices (2015=100),May 1 2021,115.404419
21008,Food Indices (2015=100),Jun 1 2000,48.885042
21009,Food Indices (2015=100),Jun 1 2001,48.592826
21010,Food Indices (2015=100),Jun 1 2002,46.839525
21011,Food Indices (2015=100),Jun 1 2003,46.358781
21012,Food Indices (2015=100),Jun 1 2004,47.056331
21013,Food Indices (2015=100),Jun 1 2005,49.676856
21014,Food Indices (2015=100),Jun 1 2006,51.958032
21015,Food Indices (2015=100),Jun 1 2007,55.455207
21016,Food Indices (2015=100),Jun 1 2008,65.531973
21017,Food Indices (2015=100),Jun 1 2009,68.868901
21018,Food Indices (2015=100),Jun 1 2010,71.960743
21019,Food Indices (2015=100),Jun 1 2011,77.371467
21020,Food Indices (2015=100),Jun 1 2012,84.290407
21021,Food Indices (2015=100),Jun 1 2013,89.738836
21022,Food Indices (2015=100),Jun 1 2014,95.158986
21023,Food Indices (2015=100),Jun 1 2015,100.060687
21024,Food Indices (2015=100),Jun 1 2016,102.63408
21025,Food Indices (2015=100),Jun 1 2017,104.453366
21026,Food Indices (2015=100),Jun 1 2018,107.139812
21027,Food Indices (2015=100),Jun 1 2019,110.732165
21028,Food Indices (2015=100),Jun 1 2020,114.82991
21029,Food Indices (2015=100),Jun 1 2021,115.731406
21030,Food Indices (2015=100),Jul 1 2000,48.715368
21031,Food Indices (2015=100),Jul 1 2001,48.564547
21032,Food Indices (2015=100),Jul 1 2002,46.886657
21033,Food Indices (2015=100),Jul 1 2003,46.226812
21034,Food Indices (2015=100),Jul 1 2004,47.603059
21035,Food Indices (2015=100),Jul 1 2005,49.987925
21036,Food Indices (2015=100),Jul 1 2006,51.618683
21037,Food Indices (2015=100),Jul 1 2007,55.709719
21038,Food Indices (2015=100),Jul 1 2008,66.83281
21039,Food Indices (2015=100),Jul 1 2009,68.982017
21040,Food Indices (2015=100),Jul 1 2010,72.14927
21041,Food Indices (2015=100),Jul 1 2011,78.153854
21042,Food Indices (2015=100),Jul 1 2012,84.563771
21043,Food Indices (2015=100),Jul 1 2013,89.993347
21044,Food Indices (2015=100),Jul 1 2014,95.479482
21045,Food Indices (2015=100),Jul 1 2015,100.277493
21046,Food Indices (2015=100),Jul 1 2016,102.700065
21047,Food Indices (2015=100),Jul 1 2017,104.557055
21048,Food Indices (2015=100),Jul 1 2018,107.366564
21049,Food Indices (2015=100),Jul 1 2019,111.247895
21050,Food Indices (2015=100),Jul 1 2020,114.82991
21051,Food Indices (2015=100),Aug 1 2000,48.65881
21052,Food Indices (2015=100),Aug 1 2001,48.149787
21053,Food Indices (2015=100),Aug 1 2002,47.273137
21054,Food Indices (2015=100),Aug 1 2003,46.207959
21055,Food Indices (2015=100),Aug 1 2004,47.819865
21056,Food Indices (2015=100),Aug 1 2005,49.573166
21057,Food Indices (2015=100),Aug 1 2006,51.712947
21058,Food Indices (2015=100),Aug 1 2007,56.378989
21059,Food Indices (2015=100),Aug 1 2008,66.72912
21060,Food Indices (2015=100),Aug 1 2009,68.727506
21061,Food Indices (2015=100),Aug 1 2010,72.083286
21062,Food Indices (2015=100),Aug 1 2011,78.427218
21063,Food Indices (2015=100),Aug 1 2012,85.035088
21064,Food Indices (2015=100),Aug 1 2013,90.21958
21065,Food Indices (2015=100),Aug 1 2014,95.564319
21066,Food Indices (2015=100),Aug 1 2015,100.616842
21067,Food Indices (2015=100),Aug 1 2016,102.728344
21068,Food Indices (2015=100),Aug 1 2017,104.613614
21069,Food Indices (2015=100),Aug 1 2018,107.325053
21070,Food Indices (2015=100),Aug 1 2019,111.613175
21071,Food Indices (2015=100),Aug 1 2020,114.901724
21072,Food Indices (2015=100),Sep 1 2000,48.517415
21073,Food Indices (2015=100),Sep 1 2001,48.159214
21074,Food Indices (2015=100),Sep 1 2002,47.131742
21075,Food Indices (2015=100),Sep 1 2003,46.839525
21076,Food Indices (2015=100),Sep 1 2004,48.479709
21077,Food Indices (2015=100),Sep 1 2005,49.865383
21078,Food Indices (2015=100),Sep 1 2006,51.430156
21079,Food Indices (2015=100),Sep 1 2007,57.123671
21080,Food Indices (2015=100),Sep 1 2008,66.512314
21081,Food Indices (2015=100),Sep 1 2009,68.991443
21082,Food Indices (2015=100),Sep 1 2010,72.507471
21083,Food Indices (2015=100),Sep 1 2011,79.24731
21084,Food Indices (2015=100),Sep 1 2012,85.110499
21085,Food Indices (2015=100),Sep 1 2013,91.454431
21086,Food Indices (2015=100),Sep 1 2014,96.450396
21087,Food Indices (2015=100),Sep 1 2015,100.861927
21088,Food Indices (2015=100),Sep 1 2016,102.916871
21089,Food Indices (2015=100),Sep 1 2017,104.934109
21090,Food Indices (2015=100),Sep 1 2018,107.920203
21091,Food Indices (2015=100),Sep 1 2019,112.675503
21092,Food Indices (2015=100),Sep 1 2020,114.686283
21093,Food Indices (2015=100),Oct 1 2000,48.498562
21094,Food Indices (2015=100),Oct 1 2001,47.67847
21095,Food Indices (2015=100),Oct 1 2002,47.26371
21096,Food Indices (2015=100),Oct 1 2003,46.462471
