,symbol,date,price
23478,Food Indices,Jan 1 2000,64.850158
23479,Food Indices,Jan 1 2001,67.356184
23480,Food Indices,Jan 1 2002,73.505968
23481,Food Indices,Jan 1 2003,78.290689
23482,Food Indices,Jan 1 2004,80.20307
23483,Food Indices,Jan 1 2005,80.913613
23484,Food Indices,Jan 1 2006,81.915593
23485,Food Indices,Jan 1 2007,83.696381
23486,Food Indices,Jan 1 2008,84.271619
23487,Food Indices,Jan 1 2009,88.965613
23488,Food Indices,Jan 1 2010,91.741702
23489,Food Indices,Jan 1 2011,93.473845
23490,Food Indices,Jan 1 2012,96.164852
23491,Food Indices,Jan 1 2013,97.958857
23492,Food Indices,Jan 1 2014,99.072378
23493,Food Indices,Jan 1 2015,100.154967
23494,Food Indices,Jan 1 2016,100.618934
23495,Food Indices,Jan 1 2017,101.330349
23496,Food Indices,Jan 1 2018,101.979903
23497,Food Indices,Jan 1 2019,102.876905
23498,Food Indices,Jan 1 2020,104.547186
23499,Food Indices,Jan 1 2021,107.207262
23500,Food Indices,Feb 1 2000,65.030622
23501,Food Indices,Feb 1 2001,67.877106
23502,Food Indices,Feb 1 2002,73.925614
23503,Food Indices,Feb 1 2003,78.459302
23504,Food Indices,Feb 1 2004,80.26071
23505,Food Indices,Feb 1 2005,80.990108
23506,Food Indices,Feb 1 2006,82.076125
23507,Food Indices,Feb 1 2007,83.711316
23508,Food Indices,Feb 1 2008,84.682577
23509,Food Indices,Feb 1 2009,89.16284
23510,Food Indices,Feb 1 2010,92.081945
23511,Food Indices,Feb 1 2011,93.690363
23512,Food Indices,Feb 1 2012,96.474164
23513,Food Indices,Feb 1 2013,98.2991
23514,Food Indices,Feb 1 2014,98.763066
23515,Food Indices,Feb 1 2015,100.093105
23516,Food Indices,Feb 1 2016,100.649865
23517,Food Indices,Feb 1 2017,101.423143
23518,Food Indices,Feb 1 2018,101.979903
23519,Food Indices,Feb 1 2019,103.031561
23520,Food Indices,Feb 1 2020,104.701842
23521,Food Indices,Feb 1 2021,107.516573
23522,Food Indices,Mar 1 2000,65.211086
23523,Food Indices,Mar 1 2001,68.398028
23524,Food Indices,Mar 1 2002,74.345261
23525,Food Indices,Mar 1 2003,78.627915
23526,Food Indices,Mar 1 2004,80.318351
23527,Food Indices,Mar 1 2005,81.066603
23528,Food Indices,Mar 1 2006,82.236657
