,symbol,date,price
26574,Food Indices,Jan 1 2000,72.8
26575,Food Indices,Jan 1 2001,75.9
26576,Food Indices,Jan 1 2002,78.8
26577,Food Indices,Jan 1 2003,73.7
26578,Food Indices,Jan 1 2004,76.9
26579,Food Indices,Jan 1 2005,76.5
26580,Food Indices,Jan 1 2006,76.2
26581,Food Indices,Jan 1 2007,78.2
26582,Food Indices,Jan 1 2008,87.6
26583,Food Indices,Jan 1 2009,86.3
26584,Food Indices,Jan 1 2010,83.6
26585,Food Indices,Jan 1 2011,87.2
26586,Food Indices,Jan 1 2012,93.2
26587,Food Indices,Jan 1 2013,98.6
26588,Food Indices,Jan 1 2014,102.4
26589,Food Indices,Jan 1 2015,100.9
26590,Food Indices,Jan 1 2016,98.9
26591,Food Indices,Jan 1 2017,102.4
26592,Food Indices,Jan 1 2018,107.0
26593,Food Indices,Jan 1 2019,106.8
26594,Food Indices,Jan 1 2020,113.5
26595,Food Indices,Jan 1 2021,114.2
26596,Food Indices,Feb 1 2000,72.9
26597,Food Indices,Feb 1 2001,75.5
26598,Food Indices,Feb 1 2002,78.3
26599,Food Indices,Feb 1 2003,73.5
26600,Food Indices,Feb 1 2004,76.6
26601,Food Indices,Feb 1 2005,76.5
26602,Food Indices,Feb 1 2006,76.0
26603,Food Indices,Feb 1 2007,78.3
26604,Food Indices,Feb 1 2008,87.2
26605,Food Indices,Feb 1 2009,86.0
26606,Food Indices,Feb 1 2010,83.9
26607,Food Indices,Feb 1 2011,87.5
26608,Food Indices,Feb 1 2012,93.6
26609,Food Indices,Feb 1 2013,98.3
26610,Food Indices,Feb 1 2014,102.4
26611,Food Indices,Feb 1 2015,100.8
26612,Food Indices,Feb 1 2016,99.2
26613,Food Indices,Feb 1 2017,103.8
26614,Food Indices,Feb 1 2018,106.2
26615,Food Indices,Feb 1 2019,107.6
26616,Food Indices,Feb 1 2020,113.5
26617,Food Indices,Feb 1 2021,114.2
26618,Food Indices,Mar 1 2000,72.3
26619,Food Indices,Mar 1 2001,75.5
26620,Food Indices,Mar 1 2002,77.8
26621,Food Indices,Mar 1 2003,73.4
26622,Food Indices,Mar 1 2004,76.7
26623,Food Indices,Mar 1 2005,76.4
26624,Food Indices,Mar 1 2006,75.9
26625,Food Indices,Mar 1 2007,78.4
26626,Food Indices,Mar 1 2008,86.9
26627,Food Indices,Mar 1 2009,85.9
26628,Food Indices,Mar 1 2010,84.6
26629,Food Indices,Mar 1 2011,87.7
26630,Food Indices,Mar 1 2012,95.4
26631,Food Indices,Mar 1 2013,99.2
26632,Food Indices,Mar 1 2014,102.8
26633,Food Indices,Mar 1 2015,100.8
26634,Food Indices,Mar 1 2016,99.2
26635,Food Indices,Mar 1 2017,103.6
26636,Food Indices,Mar 1 2018,105.6
26637,Food Indices,Mar 1 2019,107.6
26638,Food Indices,Mar 1 2020,114.5
26639,Food Indices,Mar 1 2021,114.2
26640,Food Indices,Apr 1 2000,71.9
26641,Food Indices,Apr 1 2001,76.2
26642,Food Indices,Apr 1 2002,77.5
26643,Food Indices,Apr 1 2003,73.5
26644,Food Indices,Apr 1 2004,76.9
26645,Food Indices,Apr 1 2005,76.3
26646,Food Indices,Apr 1 2006,76.0
26647,Food Indices,Apr 1 2007,79.7
26648,Food Indices,Apr 1 2008,87.3
26649,Food Indices,Apr 1 2009,85.4
26650,Food Indices,Apr 1 2010,84.9
26651,Food Indices,Apr 1 2011,88.1
26652,Food Indices,Apr 1 2012,93.9
26653,Food Indices,Apr 1 2013,98.6
26654,Food Indices,Apr 1 2014,101.9
26655,Food Indices,Apr 1 2015,101.1
26656,Food Indices,Apr 1 2016,99.5
26657,Food Indices,Apr 1 2017,103.1
26658,Food Indices,Apr 1 2018,105.0
26659,Food Indices,Apr 1 2019,106.9
26660,Food Indices,Apr 1 2020,115.2
26661,Food Indices,Apr 1 2021,115.1
26662,Food Indices,May 1 2000,72.1
26663,Food Indices,May 1 2001,76.9
26664,Food Indices,May 1 2002,77.2
26665,Food Indices,May 1 2003,73.8
26666,Food Indices,May 1 2004,76.6
