,symbol,date,indices
24510,Food Indices (2015=100),Jan 1 2000,56.361482
24511,Food Indices (2015=100),Jan 1 2001,60.380301
24512,Food Indices (2015=100),Jan 1 2002,63.51694
24513,Food Indices (2015=100),Jan 1 2003,69.104078
24514,Food Indices (2015=100),Jan 1 2004,66.163479
24515,Food Indices (2015=100),Jan 1 2005,66.065459
24516,Food Indices (2015=100),Jan 1 2006,67.437738
24517,Food Indices (2015=100),Jan 1 2007,70.868437
24518,Food Indices (2015=100),Jan 1 2008,79.484393
24519,Food Indices (2015=100),Jan 1 2009,83.454201
24520,Food Indices (2015=100),Jan 1 2010,84.610837
24521,Food Indices (2015=100),Jan 1 2011,95.471449
24522,Food Indices (2015=100),Jan 1 2012,96.637887
24523,Food Indices (2015=100),Jan 1 2013,101.225222
24524,Food Indices (2015=100),Jan 1 2014,97.872939
24525,Food Indices (2015=100),Jan 1 2015,98.794326
24526,Food Indices (2015=100),Jan 1 2016,100.803736
24527,Food Indices (2015=100),Jan 1 2017,103.607107
24528,Food Indices (2015=100),Jan 1 2018,102.509283
24529,Food Indices (2015=100),Jan 1 2019,103.803147
24530,Food Indices (2015=100),Jan 1 2020,107.782757
24531,Food Indices (2015=100),Jan 1 2021,111.272268
24532,Food Indices (2015=100),Feb 1 2000,56.263462
24533,Food Indices (2015=100),Feb 1 2001,61.06644
24534,Food Indices (2015=100),Feb 1 2002,63.90902
24535,Food Indices (2015=100),Feb 1 2003,69.300118
24536,Food Indices (2015=100),Feb 1 2004,65.379319
24537,Food Indices (2015=100),Feb 1 2005,65.967439
24538,Food Indices (2015=100),Feb 1 2006,67.633778
24539,Food Indices (2015=100),Feb 1 2007,72.338737
24540,Food Indices (2015=100),Feb 1 2008,78.317955
24541,Food Indices (2015=100),Feb 1 2009,83.189547
24542,Food Indices (2015=100),Feb 1 2010,84.414797
24543,Food Indices (2015=100),Feb 1 2011,95.951747
24544,Food Indices (2015=100),Feb 1 2012,97.000561
24545,Food Indices (2015=100),Feb 1 2013,101.009578
24546,Food Indices (2015=100),Feb 1 2014,97.353433
24547,Food Indices (2015=100),Feb 1 2015,98.480662
24548,Food Indices (2015=100),Feb 1 2016,101.813341
24549,Food Indices (2015=100),Feb 1 2017,103.469879
24550,Food Indices (2015=100),Feb 1 2018,103.783543
24551,Food Indices (2015=100),Feb 1 2019,103.352255
24552,Food Indices (2015=100),Feb 1 2020,108.978601
24553,Food Indices (2015=100),Feb 1 2021,115.095047
24554,Food Indices (2015=100),Mar 1 2000,59.008021
24555,Food Indices (2015=100),Mar 1 2001,62.04664
24556,Food Indices (2015=100),Mar 1 2002,64.203079
24557,Food Indices (2015=100),Mar 1 2003,69.398138
24558,Food Indices (2015=100),Mar 1 2004,65.673379
24559,Food Indices (2015=100),Mar 1 2005,66.457539
24560,Food Indices (2015=100),Mar 1 2006,68.515958
24561,Food Indices (2015=100),Mar 1 2007,73.809036
24562,Food Indices (2015=100),Mar 1 2008,79.258947
24563,Food Indices (2015=100),Mar 1 2009,83.238557
24564,Food Indices (2015=100),Mar 1 2010,85.326383
24565,Food Indices (2015=100),Mar 1 2011,98.892346
24566,Food Indices (2015=100),Mar 1 2012,96.098777
24567,Food Indices (2015=100),Mar 1 2013,100.029378
24568,Food Indices (2015=100),Mar 1 2014,95.804717
24569,Food Indices (2015=100),Mar 1 2015,98.970762
24570,Food Indices (2015=100),Mar 1 2016,104.273643
24571,Food Indices (2015=100),Mar 1 2017,102.852353
24572,Food Indices (2015=100),Mar 1 2018,103.783543
24573,Food Indices (2015=100),Mar 1 2019,103.822751
24574,Food Indices (2015=100),Mar 1 2020,109.713751
24575,Food Indices (2015=100),Mar 1 2021,115.428315
24576,Food Indices (2015=100),Apr 1 2000,60.184261
24577,Food Indices (2015=100),Apr 1 2001,62.24268
24578,Food Indices (2015=100),Apr 1 2002,65.281299
24579,Food Indices (2015=100),Apr 1 2003,69.986258
24580,Food Indices (2015=100),Apr 1 2004,66.751599
24581,Food Indices (2015=100),Apr 1 2005,67.143678
24582,Food Indices (2015=100),Apr 1 2006,69.006058
24583,Food Indices (2015=100),Apr 1 2007,73.809036
24584,Food Indices (2015=100),Apr 1 2008,81.307564
24585,Food Indices (2015=100),Apr 1 2009,84.306975
24586,Food Indices (2015=100),Apr 1 2010,89.786291
24587,Food Indices (2015=100),Apr 1 2011,112.869994
24588,Food Indices (2015=100),Apr 1 2012,97.059373
24589,Food Indices (2015=100),Apr 1 2013,101.695717
24590,Food Indices (2015=100),Apr 1 2014,97.431849
24591,Food Indices (2015=100),Apr 1 2015,99.950962
24592,Food Indices (2015=100),Apr 1 2016,107.635728
24593,Food Indices (2015=100),Apr 1 2017,105.234238
24594,Food Indices (2015=100),Apr 1 2018,104.910772
24595,Food Indices (2015=100),Apr 1 2019,105.498892
24596,Food Indices (2015=100),Apr 1 2020,111.458506
24597,Food Indices (2015=100),Apr 1 2021,117.310298
24598,Food Indices (2015=100),May 1 2000,60.674361
24599,Food Indices (2015=100),May 1 2001,63.71298
24600,Food Indices (2015=100),May 1 2002,66.065459
24601,Food Indices (2015=100),May 1 2003,70.770417
24602,Food Indices (2015=100),May 1 2004,67.633778
24603,Food Indices (2015=100),May 1 2005,68.417938
24604,Food Indices (2015=100),May 1 2006,69.986258
24605,Food Indices (2015=100),May 1 2007,74.593196
24606,Food Indices (2015=100),May 1 2008,81.562416
24607,Food Indices (2015=100),May 1 2009,85.924304
24608,Food Indices (2015=100),May 1 2010,90.001935
24609,Food Indices (2015=100),May 1 2011,105.057802
24610,Food Indices (2015=100),May 1 2012,97.804325
24611,Food Indices (2015=100),May 1 2013,100.72532
24612,Food Indices (2015=100),May 1 2014,100.558686
24613,Food Indices (2015=100),May 1 2015,102.293639
24614,Food Indices (2015=100),May 1 2016,111.497714
24615,Food Indices (2015=100),May 1 2017,105.018594
24616,Food Indices (2015=100),May 1 2018,105.900774
24617,Food Indices (2015=100),May 1 2019,108.155233
24618,Food Indices (2015=100),May 1 2020,112.056428
24619,Food Indices (2015=100),May 1 2021,119.937234
24620,Food Indices (2015=100),Jun 1 2000,62.63476
24621,Food Indices (2015=100),Jun 1 2001,65.085259
24622,Food Indices (2015=100),Jun 1 2002,67.437738
24623,Food Indices (2015=100),Jun 1 2003,71.750617
24624,Food Indices (2015=100),Jun 1 2004,67.339718
24625,Food Indices (2015=100),Jun 1 2005,69.300118
24626,Food Indices (2015=100),Jun 1 2006,72.142697
24627,Food Indices (2015=100),Jun 1 2007,75.279336
24628,Food Indices (2015=100),Jun 1 2008,83.414993
24629,Food Indices (2015=100),Jun 1 2009,84.963709
24630,Food Indices (2015=100),Jun 1 2010,91.011541
24631,Food Indices (2015=100),Jun 1 2011,99.25502
24632,Food Indices (2015=100),Jun 1 2012,99.392248
24633,Food Indices (2015=100),Jun 1 2013,101.16641
24634,Food Indices (2015=100),Jun 1 2014,99.813734
