,symbol,date,price
29670,Food Indices,Jan 1 2000,18.563559
29671,Food Indices,Jan 1 2001,38.160288
29672,Food Indices,Jan 1 2002,49.377616
29673,Food Indices,Jan 1 2003,53.072862
29674,Food Indices,Jan 1 2004,54.306963
29675,Food Indices,Jan 1 2005,54.95725
29676,Food Indices,Jan 1 2006,58.488384
29677,Food Indices,Jan 1 2007,60.59147
29678,Food Indices,Jan 1 2008,65.249943
29679,Food Indices,Jan 1 2009,74.99191
29680,Food Indices,Jan 1 2010,78.690083
29681,Food Indices,Jan 1 2011,82.527817
29682,Food Indices,Jan 1 2012,87.519776
29683,Food Indices,Jan 1 2013,91.940998
29684,Food Indices,Jan 1 2014,94.751865
29685,Food Indices,Jan 1 2015,97.778133
29686,Food Indices,Jan 1 2016,101.056928
29687,Food Indices,Jan 1 2017,102.557421
29688,Food Indices,Jan 1 2018,101.89464
29689,Food Indices,Jan 1 2019,102.301302
29690,Food Indices,Jan 1 2020,101.555652
29691,Food Indices,Jan 1 2021,100.803774
29692,Food Indices,Feb 1 2000,20.25507
29693,Food Indices,Feb 1 2001,39.150392
29694,Food Indices,Feb 1 2002,49.703796
29695,Food Indices,Feb 1 2003,53.180127
29696,Food Indices,Feb 1 2004,54.361154
29697,Food Indices,Feb 1 2005,55.339328
29698,Food Indices,Feb 1 2006,59.567489
29699,Food Indices,Feb 1 2007,60.655891
29700,Food Indices,Feb 1 2008,66.559141
29701,Food Indices,Feb 1 2009,75.25847
29702,Food Indices,Feb 1 2010,79.12505
29703,Food Indices,Feb 1 2011,83.293178
29704,Food Indices,Feb 1 2012,88.402307
29705,Food Indices,Feb 1 2013,91.804063
29706,Food Indices,Feb 1 2014,94.400247
29707,Food Indices,Feb 1 2015,98.187491
29708,Food Indices,Feb 1 2016,101.812659
29709,Food Indices,Feb 1 2017,103.03862
29710,Food Indices,Feb 1 2018,102.255658
29711,Food Indices,Feb 1 2019,102.144269
29712,Food Indices,Feb 1 2020,101.055439
29713,Food Indices,Feb 1 2021,101.155074
29714,Food Indices,Mar 1 2000,21.946582
29715,Food Indices,Mar 1 2001,40.140496
29716,Food Indices,Mar 1 2002,50.029976
29717,Food Indices,Mar 1 2003,53.287391
29718,Food Indices,Mar 1 2004,54.415345
29719,Food Indices,Mar 1 2005,55.777298
29720,Food Indices,Mar 1 2006,60.598925
29721,Food Indices,Mar 1 2007,60.870232
29722,Food Indices,Mar 1 2008,68.974194
29723,Food Indices,Mar 1 2009,76.570802
29724,Food Indices,Mar 1 2010,79.483721
29725,Food Indices,Mar 1 2011,83.748161
29726,Food Indices,Mar 1 2012,90.576366
29727,Food Indices,Mar 1 2013,92.513707
29728,Food Indices,Mar 1 2014,95.820087
29729,Food Indices,Mar 1 2015,98.648515
29730,Food Indices,Mar 1 2016,102.459332
29731,Food Indices,Mar 1 2017,103.771981
29732,Food Indices,Mar 1 2018,102.85355
29733,Food Indices,Mar 1 2019,101.772753
29734,Food Indices,Mar 1 2020,102.125602
29735,Food Indices,Mar 1 2021,101.715176
