,symbol,date,indices
30186,Food Indices (2015=100),Jan 1 2000,20.31898
30187,Food Indices (2015=100),Jan 1 2001,20.486491
30188,Food Indices (2015=100),Jan 1 2002,21.223535
30189,Food Indices (2015=100),Jan 1 2003,22.161592
30190,Food Indices (2015=100),Jan 1 2004,24.635977
30191,Food Indices (2015=100),Jan 1 2005,25.995925
30192,Food Indices (2015=100),Jan 1 2006,27.286132
30193,Food Indices (2015=100),Jan 1 2007,31.488022
30194,Food Indices (2015=100),Jan 1 2008,35.738905
30195,Food Indices (2015=100),Jan 1 2009,41.532701
30196,Food Indices (2015=100),Jan 1 2010,51.577379
30197,Food Indices (2015=100),Jan 1 2011,61.343095
30198,Food Indices (2015=100),Jan 1 2012,68.184916
30199,Food Indices (2015=100),Jan 1 2013,73.542283
30200,Food Indices (2015=100),Jan 1 2014,87.240458
30201,Food Indices (2015=100),Jan 1 2015,92.268023
30202,Food Indices (2015=100),Jan 1 2016,104.612757
30203,Food Indices (2015=100),Jan 1 2017,143.568577
30204,Food Indices (2015=100),Jan 1 2018,167.762305
30205,Food Indices (2015=100),Jan 1 2019,188.732761
30206,Food Indices (2015=100),Jan 1 2020,193.681248
30207,Food Indices (2015=100),Jan 1 2021,192.712369
30208,Food Indices (2015=100),Feb 1 2000,20.302229
30209,Food Indices (2015=100),Feb 1 2001,20.519993
30210,Food Indices (2015=100),Feb 1 2002,21.240286
30211,Food Indices (2015=100),Feb 1 2003,22.278849
30212,Food Indices (2015=100),Feb 1 2004,25.751832
30213,Food Indices (2015=100),Feb 1 2005,25.734396
30214,Food Indices (2015=100),Feb 1 2006,27.355873
30215,Food Indices (2015=100),Feb 1 2007,31.802902
30216,Food Indices (2015=100),Feb 1 2008,37.155866
30217,Food Indices (2015=100),Feb 1 2009,42.508829
30218,Food Indices (2015=100),Feb 1 2010,52.008187
30219,Food Indices (2015=100),Feb 1 2011,61.473508
30220,Food Indices (2015=100),Feb 1 2012,69.1999
30221,Food Indices (2015=100),Feb 1 2013,75.667174
30222,Food Indices (2015=100),Feb 1 2014,87.525382
30223,Food Indices (2015=100),Feb 1 2015,94.541963
30224,Food Indices (2015=100),Feb 1 2016,106.37095
30225,Food Indices (2015=100),Feb 1 2017,149.470871
30226,Food Indices (2015=100),Feb 1 2018,169.197947
30227,Food Indices (2015=100),Feb 1 2019,195.296253
30228,Food Indices (2015=100),Feb 1 2020,193.551508
30229,Food Indices (2015=100),Feb 1 2021,192.629359
30230,Food Indices (2015=100),Mar 1 2000,20.385984
30231,Food Indices (2015=100),Mar 1 2001,20.603748
30232,Food Indices (2015=100),Mar 1 2002,21.374294
30233,Food Indices (2015=100),Mar 1 2003,22.530114
30234,Food Indices (2015=100),Mar 1 2004,26.623593
30235,Food Indices (2015=100),Mar 1 2005,26.030795
30236,Food Indices (2015=100),Mar 1 2006,27.390743
30237,Food Indices (2015=100),Mar 1 2007,32.086294
30238,Food Indices (2015=100),Mar 1 2008,38.667291
30239,Food Indices (2015=100),Mar 1 2009,43.579422
30240,Food Indices (2015=100),Mar 1 2010,52.730075
30241,Food Indices (2015=100),Mar 1 2011,63.532803
30242,Food Indices (2015=100),Mar 1 2012,70.484401
30243,Food Indices (2015=100),Mar 1 2013,76.730541
30244,Food Indices (2015=100),Mar 1 2014,88.710524
30245,Food Indices (2015=100),Mar 1 2015,96.828047
30246,Food Indices (2015=100),Mar 1 2016,108.525195
30247,Food Indices (2015=100),Mar 1 2017,153.926237
30248,Food Indices (2015=100),Mar 1 2018,172.16604
30249,Food Indices (2015=100),Mar 1 2019,198.274467
30250,Food Indices (2015=100),Mar 1 2020,194.834186
30251,Food Indices (2015=100),Mar 1 2021,196.870583
30252,Food Indices (2015=100),Apr 1 2000,20.436238
30253,Food Indices (2015=100),Apr 1 2001,20.570246
30254,Food Indices (2015=100),Apr 1 2002,21.407796
30255,Food Indices (2015=100),Apr 1 2003,22.697624
30256,Food Indices (2015=100),Apr 1 2004,26.885121
30257,Food Indices (2015=100),Apr 1 2005,26.152842
30258,Food Indices (2015=100),Apr 1 2006,27.634836
30259,Food Indices (2015=100),Apr 1 2007,32.212246
30260,Food Indices (2015=100),Apr 1 2008,39.297051
30261,Food Indices (2015=100),Apr 1 2009,44.681503
30262,Food Indices (2015=100),Apr 1 2010,53.594658
30263,Food Indices (2015=100),Apr 1 2011,65.203611
30264,Food Indices (2015=100),Apr 1 2012,72.269633
30265,Food Indices (2015=100),Apr 1 2013,78.788236
30266,Food Indices (2015=100),Apr 1 2014,89.349903
30267,Food Indices (2015=100),Apr 1 2015,98.115588
30268,Food Indices (2015=100),Apr 1 2016,110.594497
30269,Food Indices (2015=100),Apr 1 2017,158.784984
30270,Food Indices (2015=100),Apr 1 2018,176.341109
30271,Food Indices (2015=100),Apr 1 2019,199.282798
30272,Food Indices (2015=100),Apr 1 2020,201.926107
30273,Food Indices (2015=100),Apr 1 2021,201.444831
30274,Food Indices (2015=100),May 1 2000,20.46974
30275,Food Indices (2015=100),May 1 2001,20.586997
30276,Food Indices (2015=100),May 1 2002,21.491551
30277,Food Indices (2015=100),May 1 2003,22.881886
30278,Food Indices (2015=100),May 1 2004,26.885121
30279,Food Indices (2015=100),May 1 2005,26.396935
30280,Food Indices (2015=100),May 1 2006,28.436857
30281,Food Indices (2015=100),May 1 2007,32.054806
30282,Food Indices (2015=100),May 1 2008,40.714012
30283,Food Indices (2015=100),May 1 2009,45.815072
30284,Food Indices (2015=100),May 1 2010,54.166949
30285,Food Indices (2015=100),May 1 2011,64.908589
30286,Food Indices (2015=100),May 1 2012,71.893906
30287,Food Indices (2015=100),May 1 2013,78.349319
30288,Food Indices (2015=100),May 1 2014,87.523309
30289,Food Indices (2015=100),May 1 2015,100.436416
30290,Food Indices (2015=100),May 1 2016,114.815831
30291,Food Indices (2015=100),May 1 2017,162.002255
30292,Food Indices (2015=100),May 1 2018,175.861944
30293,Food Indices (2015=100),May 1 2019,202.353445
30294,Food Indices (2015=100),May 1 2020,201.029724
30295,Food Indices (2015=100),May 1 2021,204.568007
30296,Food Indices (2015=100),Jun 1 2000,20.486491
30297,Food Indices (2015=100),Jun 1 2001,20.670752
30298,Food Indices (2015=100),Jun 1 2002,21.541804
30299,Food Indices (2015=100),Jun 1 2003,22.982392
30300,Food Indices (2015=100),Jun 1 2004,26.919992
30301,Food Indices (2015=100),Jun 1 2005,26.274889
30302,Food Indices (2015=100),Jun 1 2006,29.326053
30303,Food Indices (2015=100),Jun 1 2007,32.275222
30304,Food Indices (2015=100),Jun 1 2008,41.028892
30305,Food Indices (2015=100),Jun 1 2009,46.035488
30306,Food Indices (2015=100),Jun 1 2010,54.600158
30307,Food Indices (2015=100),Jun 1 2011,64.991542
30308,Food Indices (2015=100),Jun 1 2012,70.959314
30309,Food Indices (2015=100),Jun 1 2013,79.966761
30310,Food Indices (2015=100),Jun 1 2014,89.020498
30311,Food Indices (2015=100),Jun 1 2015,98.739059
30312,Food Indices (2015=100),Jun 1 2016,116.112379
30313,Food Indices (2015=100),Jun 1 2017,162.89327
30314,Food Indices (2015=100),Jun 1 2018,179.4057
30315,Food Indices (2015=100),Jun 1 2019,197.957053
30316,Food Indices (2015=100),Jun 1 2020,198.214832
