,symbol,date,indices
32766,Food Indices (2015=100),Jan 1 2000,13.406708
32767,Food Indices (2015=100),Jan 1 2001,14.102339
32768,Food Indices (2015=100),Jan 1 2002,12.252985
32769,Food Indices (2015=100),Jan 1 2003,15.286231
32770,Food Indices (2015=100),Jan 1 2004,15.743539
32771,Food Indices (2015=100),Jan 1 2005,17.670537
32772,Food Indices (2015=100),Jan 1 2006,20.042745
32773,Food Indices (2015=100),Jan 1 2007,23.61257
32774,Food Indices (2015=100),Jan 1 2008,30.213822
32775,Food Indices (2015=100),Jan 1 2009,43.746062
32776,Food Indices (2015=100),Jan 1 2010,43.937638
32777,Food Indices (2015=100),Jan 1 2011,49.914101
32778,Food Indices (2015=100),Jan 1 2012,71.939279
32779,Food Indices (2015=100),Jan 1 2013,81.079323
32780,Food Indices (2015=100),Jan 1 2014,85.223919
32781,Food Indices (2015=100),Jan 1 2015,91.315374
32782,Food Indices (2015=100),Jan 1 2016,102.647437
32783,Food Indices (2015=100),Jan 1 2017,108.224329
32784,Food Indices (2015=100),Jan 1 2018,125.171251
32785,Food Indices (2015=100),Jan 1 2019,139.543957
32786,Food Indices (2015=100),Jan 1 2020,170.22003
32787,Food Indices (2015=100),Jan 1 2021,209.700714
32788,Food Indices (2015=100),Feb 1 2000,13.409301
32789,Food Indices (2015=100),Feb 1 2001,14.061492
32790,Food Indices (2015=100),Feb 1 2002,12.098583
32791,Food Indices (2015=100),Feb 1 2003,15.48951
32792,Food Indices (2015=100),Feb 1 2004,15.90693
32793,Food Indices (2015=100),Feb 1 2005,17.751339
32794,Food Indices (2015=100),Feb 1 2006,20.245805
32795,Food Indices (2015=100),Feb 1 2007,24.304749
32796,Food Indices (2015=100),Feb 1 2008,31.638415
32797,Food Indices (2015=100),Feb 1 2009,43.940276
32798,Food Indices (2015=100),Feb 1 2010,43.857139
32799,Food Indices (2015=100),Feb 1 2011,49.441654
32800,Food Indices (2015=100),Feb 1 2012,73.973791
32801,Food Indices (2015=100),Feb 1 2013,80.873212
32802,Food Indices (2015=100),Feb 1 2014,84.657578
32803,Food Indices (2015=100),Feb 1 2015,92.757833
32804,Food Indices (2015=100),Feb 1 2016,101.256742
32805,Food Indices (2015=100),Feb 1 2017,109.404178
32806,Food Indices (2015=100),Feb 1 2018,127.316431
32807,Food Indices (2015=100),Feb 1 2019,141.045583
32808,Food Indices (2015=100),Feb 1 2020,176.441052
32809,Food Indices (2015=100),Feb 1 2021,216.663784
32810,Food Indices (2015=100),Mar 1 2000,13.411894
32811,Food Indices (2015=100),Mar 1 2001,13.61247
32812,Food Indices (2015=100),Mar 1 2002,12.20379
32813,Food Indices (2015=100),Mar 1 2003,15.849075
32814,Food Indices (2015=100),Mar 1 2004,16.319364
32815,Food Indices (2015=100),Mar 1 2005,18.265003
32816,Food Indices (2015=100),Mar 1 2006,20.481226
32817,Food Indices (2015=100),Mar 1 2007,24.901539
32818,Food Indices (2015=100),Mar 1 2008,34.700468
32819,Food Indices (2015=100),Mar 1 2009,43.900823
32820,Food Indices (2015=100),Mar 1 2010,43.842095
32821,Food Indices (2015=100),Mar 1 2011,55.040159
32822,Food Indices (2015=100),Mar 1 2012,77.650892
32823,Food Indices (2015=100),Mar 1 2013,81.712539
32824,Food Indices (2015=100),Mar 1 2014,86.660497
32825,Food Indices (2015=100),Mar 1 2015,95.409333
32826,Food Indices (2015=100),Mar 1 2016,102.383821
32827,Food Indices (2015=100),Mar 1 2017,113.801797
32828,Food Indices (2015=100),Mar 1 2018,129.354352
32829,Food Indices (2015=100),Mar 1 2019,144.048835
32830,Food Indices (2015=100),Mar 1 2020,182.876592
32831,Food Indices (2015=100),Mar 1 2021,223.087778
32832,Food Indices (2015=100),Apr 1 2000,13.414488
32833,Food Indices (2015=100),Apr 1 2001,13.251019
32834,Food Indices (2015=100),Apr 1 2002,12.301561
32835,Food Indices (2015=100),Apr 1 2003,16.269162
32836,Food Indices (2015=100),Apr 1 2004,17.001669
32837,Food Indices (2015=100),Apr 1 2005,18.715096
32838,Food Indices (2015=100),Apr 1 2006,20.559338
32839,Food Indices (2015=100),Apr 1 2007,25.436393
32840,Food Indices (2015=100),Apr 1 2008,35.381126
32841,Food Indices (2015=100),Apr 1 2009,44.356885
32842,Food Indices (2015=100),Apr 1 2010,43.984882
32843,Food Indices (2015=100),Apr 1 2011,58.134692
32844,Food Indices (2015=100),Apr 1 2012,80.255098
32845,Food Indices (2015=100),Apr 1 2013,81.50278
32846,Food Indices (2015=100),Apr 1 2014,88.064038
32847,Food Indices (2015=100),Apr 1 2015,97.587834
32848,Food Indices (2015=100),Apr 1 2016,103.667547
32849,Food Indices (2015=100),Apr 1 2017,117.126826
32850,Food Indices (2015=100),Apr 1 2018,130.426942
32851,Food Indices (2015=100),Apr 1 2019,149.304526
32852,Food Indices (2015=100),Apr 1 2020,187.917765
32853,Food Indices (2015=100),Apr 1 2021,228.568388
32854,Food Indices (2015=100),May 1 2000,13.417081
32855,Food Indices (2015=100),May 1 2001,13.082786
32856,Food Indices (2015=100),May 1 2002,12.31053
32857,Food Indices (2015=100),May 1 2003,16.338942
32858,Food Indices (2015=100),May 1 2004,17.161003
32859,Food Indices (2015=100),May 1 2005,18.930469
32860,Food Indices (2015=100),May 1 2006,21.455704
32861,Food Indices (2015=100),May 1 2007,25.490254
32862,Food Indices (2015=100),May 1 2008,39.282164
32863,Food Indices (2015=100),May 1 2009,43.845082
32864,Food Indices (2015=100),May 1 2010,43.866771
32865,Food Indices (2015=100),May 1 2011,61.725294
32866,Food Indices (2015=100),May 1 2012,81.120797
32867,Food Indices (2015=100),May 1 2013,83.841096
32868,Food Indices (2015=100),May 1 2014,89.167635
32869,Food Indices (2015=100),May 1 2015,98.204814
32870,Food Indices (2015=100),May 1 2016,106.418659
32871,Food Indices (2015=100),May 1 2017,117.234085
32872,Food Indices (2015=100),May 1 2018,131.177755
32873,Food Indices (2015=100),May 1 2019,158.314281
32874,Food Indices (2015=100),May 1 2020,190.491981
32875,Food Indices (2015=100),May 1 2021,235.666227
32876,Food Indices (2015=100),Jun 1 2000,13.419674
32877,Food Indices (2015=100),Jun 1 2001,12.989155
32878,Food Indices (2015=100),Jun 1 2002,12.700422
32879,Food Indices (2015=100),Jun 1 2003,16.977705
32880,Food Indices (2015=100),Jun 1 2004,17.3542
