,symbol,date,price
34314,Food Indices,Jan 1 2000,76.5
34315,Food Indices,Jan 1 2001,79.21
34316,Food Indices,Jan 1 2002,84.44
34317,Food Indices,Jan 1 2003,84.83
34318,Food Indices,Jan 1 2004,86.59
34319,Food Indices,Jan 1 2005,86.05
34320,Food Indices,Jan 1 2006,87.12
34321,Food Indices,Jan 1 2007,88.59
34322,Food Indices,Jan 1 2008,92.5
34323,Food Indices,Jan 1 2009,94.59
34324,Food Indices,Jan 1 2010,94.42
34325,Food Indices,Jan 1 2011,94.48
34326,Food Indices,Jan 1 2012,97.86
34327,Food Indices,Jan 1 2013,99.81
34328,Food Indices,Jan 1 2014,99.92
34329,Food Indices,Jan 1 2015,99.54
34330,Food Indices,Jan 1 2016,99.86
34331,Food Indices,Jan 1 2017,101.23
34332,Food Indices,Jan 1 2018,102.51
34333,Food Indices,Jan 1 2019,105.44
34334,Food Indices,Jan 1 2020,107.47
34335,Food Indices,Jan 1 2021,108.57
34336,Food Indices,Feb 1 2000,76.79
34337,Food Indices,Feb 1 2001,79.52
34338,Food Indices,Feb 1 2002,84.21
34339,Food Indices,Feb 1 2003,85.2
34340,Food Indices,Feb 1 2004,86.18
34341,Food Indices,Feb 1 2005,86.56
34342,Food Indices,Feb 1 2006,87.58
34343,Food Indices,Feb 1 2007,88.2
34344,Food Indices,Feb 1 2008,92.65
34345,Food Indices,Feb 1 2009,94.59
34346,Food Indices,Feb 1 2010,94.49
34347,Food Indices,Feb 1 2011,94.8
34348,Food Indices,Feb 1 2012,98.39
34349,Food Indices,Feb 1 2013,99.85
34350,Food Indices,Feb 1 2014,99.75
34351,Food Indices,Feb 1 2015,99.74
34352,Food Indices,Feb 1 2016,99.82
34353,Food Indices,Feb 1 2017,101.51
34354,Food Indices,Feb 1 2018,102.36
34355,Food Indices,Feb 1 2019,105.52
34356,Food Indices,Feb 1 2020,107.39
34357,Food Indices,Feb 1 2021,108.31
34358,Food Indices,Mar 1 2000,76.76
34359,Food Indices,Mar 1 2001,80.53
34360,Food Indices,Mar 1 2002,84.24
34361,Food Indices,Mar 1 2003,85.6
34362,Food Indices,Mar 1 2004,86.74
34363,Food Indices,Mar 1 2005,87.39
34364,Food Indices,Mar 1 2006,87.69
