,symbol,date,indices
34830,Food Indices (2015=100),Jan 1 2000,66.602532
34831,Food Indices (2015=100),Jan 1 2001,67.892461
34832,Food Indices (2015=100),Jan 1 2002,71.060205
34833,Food Indices (2015=100),Jan 1 2003,72.087581
34834,Food Indices (2015=100),Jan 1 2004,72.661157
34835,Food Indices (2015=100),Jan 1 2005,75.077672
34836,Food Indices (2015=100),Jan 1 2006,77.774783
34837,Food Indices (2015=100),Jan 1 2007,79.992605
34838,Food Indices (2015=100),Jan 1 2008,82.704173
34839,Food Indices (2015=100),Jan 1 2009,86.341765
34840,Food Indices (2015=100),Jan 1 2010,88.061321
34841,Food Indices (2015=100),Jan 1 2011,90.117608
34842,Food Indices (2015=100),Jan 1 2012,94.029544
34843,Food Indices (2015=100),Jan 1 2013,95.721375
34844,Food Indices (2015=100),Jan 1 2014,97.241673
34845,Food Indices (2015=100),Jan 1 2015,99.278061
34846,Food Indices (2015=100),Jan 1 2016,101.901263
34847,Food Indices (2015=100),Jan 1 2017,102.23784
34848,Food Indices (2015=100),Jan 1 2018,102.700764
34849,Food Indices (2015=100),Jan 1 2019,100.715336
34850,Food Indices (2015=100),Jan 1 2020,104.687574
34851,Food Indices (2015=100),Jan 1 2021,107.574425
34852,Food Indices (2015=100),Feb 1 2000,66.545456
34853,Food Indices (2015=100),Feb 1 2001,67.863922
34854,Food Indices (2015=100),Feb 1 2002,71.94489
34855,Food Indices (2015=100),Feb 1 2003,72.196026
34856,Food Indices (2015=100),Feb 1 2004,73.082592
34857,Food Indices (2015=100),Feb 1 2005,75.055149
34858,Food Indices (2015=100),Feb 1 2006,78.008107
34859,Food Indices (2015=100),Feb 1 2007,80.320575
34860,Food Indices (2015=100),Feb 1 2008,83.053284
34861,Food Indices (2015=100),Feb 1 2009,86.734791
34862,Food Indices (2015=100),Feb 1 2010,87.74971
34863,Food Indices (2015=100),Feb 1 2011,90.23048
34864,Food Indices (2015=100),Feb 1 2012,93.067612
34865,Food Indices (2015=100),Feb 1 2013,96.50107
34866,Food Indices (2015=100),Feb 1 2014,97.843284
34867,Food Indices (2015=100),Feb 1 2015,100.161291
34868,Food Indices (2015=100),Feb 1 2016,101.682284
34869,Food Indices (2015=100),Feb 1 2017,104.249498
34870,Food Indices (2015=100),Feb 1 2018,103.248011
34871,Food Indices (2015=100),Feb 1 2019,100.65353
34872,Food Indices (2015=100),Feb 1 2020,103.741724
34873,Food Indices (2015=100),Feb 1 2021,107.354737
34874,Food Indices (2015=100),Mar 1 2000,66.60824
34875,Food Indices (2015=100),Mar 1 2001,67.664155
34876,Food Indices (2015=100),Mar 1 2002,72.156073
34877,Food Indices (2015=100),Mar 1 2003,72.45287
34878,Food Indices (2015=100),Mar 1 2004,73.601479
34879,Food Indices (2015=100),Mar 1 2005,75.077665
34880,Food Indices (2015=100),Mar 1 2006,77.813087
34881,Food Indices (2015=100),Mar 1 2007,80.352703
34882,Food Indices (2015=100),Mar 1 2008,83.734422
34883,Food Indices (2015=100),Mar 1 2009,86.436714
34884,Food Indices (2015=100),Mar 1 2010,87.91243
34885,Food Indices (2015=100),Mar 1 2011,91.249997
34886,Food Indices (2015=100),Mar 1 2012,92.763095
34887,Food Indices (2015=100),Mar 1 2013,97.585701
34888,Food Indices (2015=100),Mar 1 2014,98.142385
34889,Food Indices (2015=100),Mar 1 2015,101.898633
34890,Food Indices (2015=100),Mar 1 2016,102.923678
34891,Food Indices (2015=100),Mar 1 2017,105.405441
34892,Food Indices (2015=100),Mar 1 2018,103.786632
34893,Food Indices (2015=100),Mar 1 2019,101.227337
34894,Food Indices (2015=100),Mar 1 2020,106.287145
34895,Food Indices (2015=100),Mar 1 2021,106.17034
34896,Food Indices (2015=100),Apr 1 2000,66.636778
34897,Food Indices (2015=100),Apr 1 2001,67.470095
34898,Food Indices (2015=100),Apr 1 2002,72.378671
34899,Food Indices (2015=100),Apr 1 2003,72.498532
34900,Food Indices (2015=100),Apr 1 2004,73.756042
34901,Food Indices (2015=100),Apr 1 2005,75.310406
34902,Food Indices (2015=100),Apr 1 2006,77.673024
34903,Food Indices (2015=100),Apr 1 2007,80.633937
34904,Food Indices (2015=100),Apr 1 2008,84.435476
34905,Food Indices (2015=100),Apr 1 2009,86.049234
34906,Food Indices (2015=100),Apr 1 2010,87.978752
34907,Food Indices (2015=100),Apr 1 2011,90.815386
34908,Food Indices (2015=100),Apr 1 2012,94.174138
34909,Food Indices (2015=100),Apr 1 2013,97.679966
34910,Food Indices (2015=100),Apr 1 2014,98.510188
34911,Food Indices (2015=100),Apr 1 2015,99.975542
34912,Food Indices (2015=100),Apr 1 2016,102.608237
34913,Food Indices (2015=100),Apr 1 2017,104.891349
34914,Food Indices (2015=100),Apr 1 2018,101.127246
34915,Food Indices (2015=100),Apr 1 2019,101.4912
34916,Food Indices (2015=100),Apr 1 2020,105.934638
34917,Food Indices (2015=100),Apr 1 2021,106.691207
34918,Food Indices (2015=100),May 1 2000,66.882207
34919,Food Indices (2015=100),May 1 2001,67.355942
34920,Food Indices (2015=100),May 1 2002,72.504239
34921,Food Indices (2015=100),May 1 2003,72.766791
34922,Food Indices (2015=100),May 1 2004,73.903554
34923,Food Indices (2015=100),May 1 2005,75.227565
34924,Food Indices (2015=100),May 1 2006,78.185666
34925,Food Indices (2015=100),May 1 2007,80.827459
34926,Food Indices (2015=100),May 1 2008,84.243757
34927,Food Indices (2015=100),May 1 2009,86.414195
34928,Food Indices (2015=100),May 1 2010,88.022535
34929,Food Indices (2015=100),May 1 2011,91.444348
34930,Food Indices (2015=100),May 1 2012,93.40551
34931,Food Indices (2015=100),May 1 2013,96.764005
34932,Food Indices (2015=100),May 1 2014,96.869289
34933,Food Indices (2015=100),May 1 2015,101.035322
34934,Food Indices (2015=100),May 1 2016,103.238356
34935,Food Indices (2015=100),May 1 2017,104.52381
34936,Food Indices (2015=100),May 1 2018,100.832654
34937,Food Indices (2015=100),May 1 2019,101.678277
34938,Food Indices (2015=100),May 1 2020,104.873563
34939,Food Indices (2015=100),May 1 2021,106.829959
34940,Food Indices (2015=100),Jun 1 2000,66.808008
34941,Food Indices (2015=100),Jun 1 2001,68.040859
34942,Food Indices (2015=100),Jun 1 2002,72.201734
34943,Food Indices (2015=100),Jun 1 2003,72.749668
34944,Food Indices (2015=100),Jun 1 2004,74.110484
34945,Food Indices (2015=100),Jun 1 2005,75.265179
34946,Food Indices (2015=100),Jun 1 2006,78.693872
34947,Food Indices (2015=100),Jun 1 2007,80.924452
34948,Food Indices (2015=100),Jun 1 2008,85.221195
34949,Food Indices (2015=100),Jun 1 2009,86.326107
34950,Food Indices (2015=100),Jun 1 2010,88.141772
34951,Food Indices (2015=100),Jun 1 2011,91.056595
34952,Food Indices (2015=100),Jun 1 2012,92.131149
34953,Food Indices (2015=100),Jun 1 2013,96.43756
