,symbol,date,price
35346,Food Indices,Jan 1 2000,65.960425
35347,Food Indices,Jan 1 2001,66.546996
35348,Food Indices,Jan 1 2002,69.585979
35349,Food Indices,Jan 1 2003,69.79257
35350,Food Indices,Jan 1 2004,70.868813
35351,Food Indices,Jan 1 2005,69.678822
35352,Food Indices,Jan 1 2006,70.278306
35353,Food Indices,Jan 1 2007,74.523895
35354,Food Indices,Jan 1 2008,76.682488
35355,Food Indices,Jan 1 2009,82.639716
35356,Food Indices,Jan 1 2010,84.556253
35357,Food Indices,Jan 1 2011,88.884407
35358,Food Indices,Jan 1 2012,90.974664
35359,Food Indices,Jan 1 2013,96.841709
35360,Food Indices,Jan 1 2014,95.445365
35361,Food Indices,Jan 1 2015,96.924899
35362,Food Indices,Jan 1 2016,99.610619
35363,Food Indices,Jan 1 2017,99.061268
35364,Food Indices,Jan 1 2018,98.024397
35365,Food Indices,Jan 1 2019,105.032277
35366,Food Indices,Jan 1 2020,106.656451
35367,Food Indices,Jan 1 2021,108.033939
35368,Food Indices,Feb 1 2000,65.988708
35369,Food Indices,Feb 1 2001,66.822451
35370,Food Indices,Feb 1 2002,69.594956
35371,Food Indices,Feb 1 2003,69.900416
35372,Food Indices,Feb 1 2004,70.758754
35373,Food Indices,Feb 1 2005,69.699481
35374,Food Indices,Feb 1 2006,70.650539
35375,Food Indices,Feb 1 2007,74.674918
35376,Food Indices,Feb 1 2008,77.179828
35377,Food Indices,Feb 1 2009,82.799427
35378,Food Indices,Feb 1 2010,85.102802
35379,Food Indices,Feb 1 2011,86.164872
35380,Food Indices,Feb 1 2012,91.439748
35381,Food Indices,Feb 1 2013,91.45024
35382,Food Indices,Feb 1 2014,96.95778
35383,Food Indices,Feb 1 2015,98.283791
35384,Food Indices,Feb 1 2016,99.109927
35385,Food Indices,Feb 1 2017,99.382868
35386,Food Indices,Feb 1 2018,99.954856
35387,Food Indices,Feb 1 2019,104.886208
35388,Food Indices,Feb 1 2020,106.85806
35389,Food Indices,Feb 1 2021,108.348907
35390,Food Indices,Mar 1 2000,66.016991
35391,Food Indices,Mar 1 2001,67.097907
35392,Food Indices,Mar 1 2002,69.603933
35393,Food Indices,Mar 1 2003,70.008262
35394,Food Indices,Mar 1 2004,70.648695
35395,Food Indices,Mar 1 2005,69.720141
35396,Food Indices,Mar 1 2006,71.022773
35397,Food Indices,Mar 1 2007,74.825941
35398,Food Indices,Mar 1 2008,77.677168
35399,Food Indices,Mar 1 2009,82.959139
35400,Food Indices,Mar 1 2010,84.0685
35401,Food Indices,Mar 1 2011,87.539187
35402,Food Indices,Mar 1 2012,93.877265
35403,Food Indices,Mar 1 2013,93.098377
35404,Food Indices,Mar 1 2014,101.771765
35405,Food Indices,Mar 1 2015,98.9027
35406,Food Indices,Mar 1 2016,99.163181
35407,Food Indices,Mar 1 2017,99.025375
35408,Food Indices,Mar 1 2018,100.312348
35409,Food Indices,Mar 1 2019,105.317399
35410,Food Indices,Mar 1 2020,106.75307
35411,Food Indices,Mar 1 2021,108.348907
35412,Food Indices,Apr 1 2000,66.045275
35413,Food Indices,Apr 1 2001,67.373362
35414,Food Indices,Apr 1 2002,69.61291
35415,Food Indices,Apr 1 2003,70.116107
35416,Food Indices,Apr 1 2004,70.538636
35417,Food Indices,Apr 1 2005,69.7408
35418,Food Indices,Apr 1 2006,71.395006
35419,Food Indices,Apr 1 2007,74.976964
35420,Food Indices,Apr 1 2008,78.174509
35421,Food Indices,Apr 1 2009,83.11885
35422,Food Indices,Apr 1 2010,83.931677
35423,Food Indices,Apr 1 2011,86.92675
35424,Food Indices,Apr 1 2012,93.542815
35425,Food Indices,Apr 1 2013,93.009327
35426,Food Indices,Apr 1 2014,100.060688
35427,Food Indices,Apr 1 2015,100.317198
35428,Food Indices,Apr 1 2016,99.932863
35429,Food Indices,Apr 1 2017,100.026354
35430,Food Indices,Apr 1 2018,101.813816
35431,Food Indices,Apr 1 2019,105.816337
35432,Food Indices,Apr 1 2020,108.264916
35433,Food Indices,Apr 1 2021,108.338442
35434,Food Indices,May 1 2000,66.073558
35435,Food Indices,May 1 2001,67.648817
35436,Food Indices,May 1 2002,69.621887
35437,Food Indices,May 1 2003,70.223953
35438,Food Indices,May 1 2004,70.428577
35439,Food Indices,May 1 2005,69.761459
35440,Food Indices,May 1 2006,71.767239
35441,Food Indices,May 1 2007,75.127987
35442,Food Indices,May 1 2008,78.671849
35443,Food Indices,May 1 2009,83.278562
35444,Food Indices,May 1 2010,82.557949
35445,Food Indices,May 1 2011,88.06664
35446,Food Indices,May 1 2012,92.797429
35447,Food Indices,May 1 2013,95.487704
35448,Food Indices,May 1 2014,95.822472
35449,Food Indices,May 1 2015,99.942541
35450,Food Indices,May 1 2016,98.355635
35451,Food Indices,May 1 2017,99.382868
35452,Food Indices,May 1 2018,102.457302
35453,Food Indices,May 1 2019,105.446014
35454,Food Indices,May 1 2020,107.330511
35455,Food Indices,May 1 2021,108.360217
35456,Food Indices,Jun 1 2000,66.101841
35457,Food Indices,Jun 1 2001,67.924272
35458,Food Indices,Jun 1 2002,69.630864
35459,Food Indices,Jun 1 2003,70.331798
35460,Food Indices,Jun 1 2004,70.318517
35461,Food Indices,Jun 1 2005,69.782118
35462,Food Indices,Jun 1 2006,72.139472
35463,Food Indices,Jun 1 2007,75.27901
35464,Food Indices,Jun 1 2008,79.169189
35465,Food Indices,Jun 1 2009,83.438273
35466,Food Indices,Jun 1 2010,86.787305
35467,Food Indices,Jun 1 2011,88.964669
35468,Food Indices,Jun 1 2012,94.614108
35469,Food Indices,Jun 1 2013,92.114509
35470,Food Indices,Jun 1 2014,96.165864
35471,Food Indices,Jun 1 2015,101.218849
35472,Food Indices,Jun 1 2016,98.783462
35473,Food Indices,Jun 1 2017,99.883357
35474,Food Indices,Jun 1 2018,103.815773
