,symbol,date,indices
36378,Food Indices (2015=100),Jan 1 2000,38.924089
36379,Food Indices (2015=100),Jan 1 2001,39.618186
36380,Food Indices (2015=100),Jan 1 2002,42.277948
36381,Food Indices (2015=100),Jan 1 2003,45.430308
36382,Food Indices (2015=100),Jan 1 2004,48.671131
36383,Food Indices (2015=100),Jan 1 2005,52.40474
36384,Food Indices (2015=100),Jan 1 2006,55.124738
36385,Food Indices (2015=100),Jan 1 2007,64.173938
36386,Food Indices (2015=100),Jan 1 2008,72.727824
36387,Food Indices (2015=100),Jan 1 2009,75.228963
36388,Food Indices (2015=100),Jan 1 2010,77.558717
36389,Food Indices (2015=100),Jan 1 2011,97.127707
36390,Food Indices (2015=100),Jan 1 2012,95.598938
36391,Food Indices (2015=100),Jan 1 2013,93.001857
36392,Food Indices (2015=100),Jan 1 2014,97.816317
36393,Food Indices (2015=100),Jan 1 2015,99.477878
36394,Food Indices (2015=100),Jan 1 2016,104.588631
36395,Food Indices (2015=100),Jan 1 2017,108.033175
36396,Food Indices (2015=100),Jan 1 2018,113.094795
36397,Food Indices (2015=100),Jan 1 2019,116.72782
36398,Food Indices (2015=100),Jan 1 2020,129.960636
36399,Food Indices (2015=100),Jan 1 2021,138.308279
36400,Food Indices (2015=100),Feb 1 2000,38.967375
36401,Food Indices (2015=100),Feb 1 2001,39.836131
36402,Food Indices (2015=100),Feb 1 2002,42.540314
36403,Food Indices (2015=100),Feb 1 2003,45.696643
36404,Food Indices (2015=100),Feb 1 2004,48.982265
36405,Food Indices (2015=100),Feb 1 2005,52.599281
36406,Food Indices (2015=100),Feb 1 2006,55.282677
36407,Food Indices (2015=100),Feb 1 2007,64.911598
36408,Food Indices (2015=100),Feb 1 2008,73.667411
36409,Food Indices (2015=100),Feb 1 2009,73.73389
36410,Food Indices (2015=100),Feb 1 2010,80.123513
36411,Food Indices (2015=100),Feb 1 2011,102.906072
36412,Food Indices (2015=100),Feb 1 2012,95.639108
36413,Food Indices (2015=100),Feb 1 2013,92.483138
36414,Food Indices (2015=100),Feb 1 2014,97.721288
36415,Food Indices (2015=100),Feb 1 2015,99.586934
36416,Food Indices (2015=100),Feb 1 2016,104.145603
36417,Food Indices (2015=100),Feb 1 2017,109.856908
36418,Food Indices (2015=100),Feb 1 2018,113.573676
36419,Food Indices (2015=100),Feb 1 2019,116.863019
36420,Food Indices (2015=100),Feb 1 2020,131.668674
36421,Food Indices (2015=100),Feb 1 2021,139.846924
36422,Food Indices (2015=100),Mar 1 2000,39.010662
36423,Food Indices (2015=100),Mar 1 2001,40.054077
36424,Food Indices (2015=100),Mar 1 2002,42.80268
36425,Food Indices (2015=100),Mar 1 2003,45.962979
36426,Food Indices (2015=100),Mar 1 2004,49.293399
36427,Food Indices (2015=100),Mar 1 2005,53.064053
36428,Food Indices (2015=100),Mar 1 2006,55.352808
36429,Food Indices (2015=100),Mar 1 2007,63.265142
36430,Food Indices (2015=100),Mar 1 2008,72.88319
36431,Food Indices (2015=100),Mar 1 2009,73.065614
36432,Food Indices (2015=100),Mar 1 2010,79.82083
36433,Food Indices (2015=100),Mar 1 2011,102.780999
36434,Food Indices (2015=100),Mar 1 2012,95.10603
36435,Food Indices (2015=100),Mar 1 2013,92.182778
36436,Food Indices (2015=100),Mar 1 2014,97.145385
36437,Food Indices (2015=100),Mar 1 2015,100.77783
36438,Food Indices (2015=100),Mar 1 2016,103.142276
36439,Food Indices (2015=100),Mar 1 2017,108.668253
36440,Food Indices (2015=100),Mar 1 2018,112.933784
36441,Food Indices (2015=100),Mar 1 2019,118.365728
36442,Food Indices (2015=100),Mar 1 2020,134.285674
36443,Food Indices (2015=100),Mar 1 2021,141.966535
36444,Food Indices (2015=100),Apr 1 2000,39.053949
36445,Food Indices (2015=100),Apr 1 2001,40.272022
36446,Food Indices (2015=100),Apr 1 2002,43.065046
36447,Food Indices (2015=100),Apr 1 2003,46.229314
36448,Food Indices (2015=100),Apr 1 2004,49.604533
36449,Food Indices (2015=100),Apr 1 2005,53.415703
36450,Food Indices (2015=100),Apr 1 2006,56.722475
36451,Food Indices (2015=100),Apr 1 2007,63.383659
36452,Food Indices (2015=100),Apr 1 2008,72.854474
36453,Food Indices (2015=100),Apr 1 2009,74.164219
36454,Food Indices (2015=100),Apr 1 2010,79.929969
36455,Food Indices (2015=100),Apr 1 2011,102.812537
36456,Food Indices (2015=100),Apr 1 2012,94.499752
36457,Food Indices (2015=100),Apr 1 2013,90.960842
36458,Food Indices (2015=100),Apr 1 2014,97.866197
36459,Food Indices (2015=100),Apr 1 2015,100.523782
36460,Food Indices (2015=100),Apr 1 2016,102.428851
36461,Food Indices (2015=100),Apr 1 2017,110.191793
36462,Food Indices (2015=100),Apr 1 2018,112.509098
36463,Food Indices (2015=100),Apr 1 2019,119.136171
36464,Food Indices (2015=100),Apr 1 2020,138.296327
36465,Food Indices (2015=100),Apr 1 2021,142.437532
36466,Food Indices (2015=100),May 1 2000,39.097235
36467,Food Indices (2015=100),May 1 2001,40.489967
36468,Food Indices (2015=100),May 1 2002,43.327412
36469,Food Indices (2015=100),May 1 2003,46.495649
36470,Food Indices (2015=100),May 1 2004,49.915667
36471,Food Indices (2015=100),May 1 2005,51.802943
36472,Food Indices (2015=100),May 1 2006,59.214983
36473,Food Indices (2015=100),May 1 2007,64.15128
36474,Food Indices (2015=100),May 1 2008,73.67571
36475,Food Indices (2015=100),May 1 2009,76.521445
36476,Food Indices (2015=100),May 1 2010,79.367677
36477,Food Indices (2015=100),May 1 2011,103.73345
36478,Food Indices (2015=100),May 1 2012,92.387278
36479,Food Indices (2015=100),May 1 2013,93.721922
36480,Food Indices (2015=100),May 1 2014,96.156084
36481,Food Indices (2015=100),May 1 2015,99.928458
36482,Food Indices (2015=100),May 1 2016,101.292316
36483,Food Indices (2015=100),May 1 2017,109.742541
36484,Food Indices (2015=100),May 1 2018,111.727866
36485,Food Indices (2015=100),May 1 2019,120.554723
36486,Food Indices (2015=100),May 1 2020,138.260142
36487,Food Indices (2015=100),May 1 2021,142.826198
36488,Food Indices (2015=100),Jun 1 2000,39.140522
36489,Food Indices (2015=100),Jun 1 2001,40.707912
36490,Food Indices (2015=100),Jun 1 2002,43.589778
36491,Food Indices (2015=100),Jun 1 2003,46.761985
36492,Food Indices (2015=100),Jun 1 2004,50.226802
36493,Food Indices (2015=100),Jun 1 2005,49.989584
