,symbol,date,price
37926,Food Indices,Jan 1 2000,70.30145
37927,Food Indices,Jan 1 2001,71.66664
37928,Food Indices,Jan 1 2002,80.87743
37929,Food Indices,Jan 1 2003,79.73267
37930,Food Indices,Jan 1 2004,82.53906
37931,Food Indices,Jan 1 2005,82.99632
37932,Food Indices,Jan 1 2006,84.32659
37933,Food Indices,Jan 1 2007,88.01019
37934,Food Indices,Jan 1 2008,92.87951
37935,Food Indices,Jan 1 2009,96.39579
37936,Food Indices,Jan 1 2010,94.57394
37937,Food Indices,Jan 1 2011,96.84641
37938,Food Indices,Jan 1 2012,99.75906
37939,Food Indices,Jan 1 2013,99.96563
37940,Food Indices,Jan 1 2014,99.2094
37941,Food Indices,Jan 1 2015,98.73742
37942,Food Indices,Jan 1 2016,100.3556
37943,Food Indices,Jan 1 2017,101.441
37944,Food Indices,Jan 1 2018,100.2386
37945,Food Indices,Jan 1 2019,102.1131
37946,Food Indices,Jan 1 2020,102.0429
37947,Food Indices,Jan 1 2021,101.5997
37948,Food Indices,Feb 1 2000,71.3545
37949,Food Indices,Feb 1 2001,72.5867
37950,Food Indices,Feb 1 2002,78.85748
37951,Food Indices,Feb 1 2003,81.7849
37952,Food Indices,Feb 1 2004,84.8343
37953,Food Indices,Feb 1 2005,84.09598
37954,Food Indices,Feb 1 2006,85.80505
37955,Food Indices,Feb 1 2007,87.75752
37956,Food Indices,Feb 1 2008,93.5329
37957,Food Indices,Feb 1 2009,96.96268
37958,Food Indices,Feb 1 2010,95.35598
37959,Food Indices,Feb 1 2011,97.66273
37960,Food Indices,Feb 1 2012,99.83262
37961,Food Indices,Feb 1 2013,99.88986
37962,Food Indices,Feb 1 2014,98.59908
37963,Food Indices,Feb 1 2015,99.53015
37964,Food Indices,Feb 1 2016,100.0034
37965,Food Indices,Feb 1 2017,101.3874
37966,Food Indices,Feb 1 2018,100.3766
37967,Food Indices,Feb 1 2019,102.4434
37968,Food Indices,Feb 1 2020,102.2967
37969,Food Indices,Feb 1 2021,101.7979
37970,Food Indices,Mar 1 2000,71.88241
37971,Food Indices,Mar 1 2001,73.36403
37972,Food Indices,Mar 1 2002,79.33326
37973,Food Indices,Mar 1 2003,83.07822
37974,Food Indices,Mar 1 2004,85.41048
37975,Food Indices,Mar 1 2005,84.26528
37976,Food Indices,Mar 1 2006,86.07571
37977,Food Indices,Mar 1 2007,88.37774
37978,Food Indices,Mar 1 2008,93.80244
37979,Food Indices,Mar 1 2009,97.03725
37980,Food Indices,Mar 1 2010,95.47959
37981,Food Indices,Mar 1 2011,97.91231
37982,Food Indices,Mar 1 2012,100.2396
37983,Food Indices,Mar 1 2013,100.546
37984,Food Indices,Mar 1 2014,99.30104
37985,Food Indices,Mar 1 2015,99.99382
37986,Food Indices,Mar 1 2016,99.62043
37987,Food Indices,Mar 1 2017,101.173
37988,Food Indices,Mar 1 2018,100.3835
37989,Food Indices,Mar 1 2019,101.7866
37990,Food Indices,Mar 1 2020,101.6789
37991,Food Indices,Mar 1 2021,101.4148
37992,Food Indices,Apr 1 2000,72.31972
37993,Food Indices,Apr 1 2001,74.15768
37994,Food Indices,Apr 1 2002,79.50936
37995,Food Indices,Apr 1 2003,84.1368
37996,Food Indices,Apr 1 2004,84.43317
37997,Food Indices,Apr 1 2005,84.33447
37998,Food Indices,Apr 1 2006,87.54318
37999,Food Indices,Apr 1 2007,89.01404
38000,Food Indices,Apr 1 2008,94.89384
38001,Food Indices,Apr 1 2009,97.1791
38002,Food Indices,Apr 1 2010,96.29807
38003,Food Indices,Apr 1 2011,98.92542
38004,Food Indices,Apr 1 2012,100.5581
38005,Food Indices,Apr 1 2013,101.1998
38006,Food Indices,Apr 1 2014,99.49995
38007,Food Indices,Apr 1 2015,100.4309
38008,Food Indices,Apr 1 2016,99.40406
38009,Food Indices,Apr 1 2017,101.2496
38010,Food Indices,Apr 1 2018,100.2006
38011,Food Indices,Apr 1 2019,101.5457
38012,Food Indices,Apr 1 2020,102.5467
38013,Food Indices,Apr 1 2021,101.324
38014,Food Indices,May 1 2000,72.08659
38015,Food Indices,May 1 2001,75.39176
38016,Food Indices,May 1 2002,77.64471
38017,Food Indices,May 1 2003,85.60517
38018,Food Indices,May 1 2004,84.77229
38019,Food Indices,May 1 2005,84.43736
38020,Food Indices,May 1 2006,86.88525
38021,Food Indices,May 1 2007,88.6375
38022,Food Indices,May 1 2008,94.52732
38023,Food Indices,May 1 2009,97.02473
38024,Food Indices,May 1 2010,95.93443
38025,Food Indices,May 1 2011,99.27198
38026,Food Indices,May 1 2012,101.0078
38027,Food Indices,May 1 2013,101.5207
38028,Food Indices,May 1 2014,98.54854
38029,Food Indices,May 1 2015,99.07326
38030,Food Indices,May 1 2016,99.81675
38031,Food Indices,May 1 2017,99.6848
38032,Food Indices,May 1 2018,100.0826
38033,Food Indices,May 1 2019,100.5388
38034,Food Indices,May 1 2020,102.0266
38035,Food Indices,May 1 2021,101.8703
38036,Food Indices,Jun 1 2000,69.74573
38037,Food Indices,Jun 1 2001,74.51116
38038,Food Indices,Jun 1 2002,77.40636
38039,Food Indices,Jun 1 2003,84.26553
38040,Food Indices,Jun 1 2004,82.97706
38041,Food Indices,Jun 1 2005,82.57091
38042,Food Indices,Jun 1 2006,85.44824
38043,Food Indices,Jun 1 2007,87.41129
38044,Food Indices,Jun 1 2008,92.62236
38045,Food Indices,Jun 1 2009,95.40141
38046,Food Indices,Jun 1 2010,94.62166
38047,Food Indices,Jun 1 2011,98.51132
38048,Food Indices,Jun 1 2012,100.4385
38049,Food Indices,Jun 1 2013,101.2855
38050,Food Indices,Jun 1 2014,98.29509
38051,Food Indices,Jun 1 2015,99.32248
38052,Food Indices,Jun 1 2016,99.66492
38053,Food Indices,Jun 1 2017,98.87916
38054,Food Indices,Jun 1 2018,100.1486
38055,Food Indices,Jun 1 2019,99.01113
38056,Food Indices,Jun 1 2020,102.5472
38057,Food Indices,Jun 1 2021,102.9369
38058,Food Indices,Jul 1 2000,68.82647
38059,Food Indices,Jul 1 2001,73.25468
38060,Food Indices,Jul 1 2002,76.1167
38061,Food Indices,Jul 1 2003,81.7614
38062,Food Indices,Jul 1 2004,79.68121
38063,Food Indices,Jul 1 2005,80.2302
38064,Food Indices,Jul 1 2006,84.89511
38065,Food Indices,Jul 1 2007,87.16526
