,symbol,date,price
38442,Food Indices (2015=100),Jan 1 2000,62.586171
38443,Food Indices (2015=100),Jan 1 2001,64.379233
38444,Food Indices (2015=100),Jan 1 2002,66.592468
38445,Food Indices (2015=100),Jan 1 2003,69.181903
38446,Food Indices (2015=100),Jan 1 2004,70.559679
38447,Food Indices (2015=100),Jan 1 2005,71.690725
38448,Food Indices (2015=100),Jan 1 2006,73.647458
38449,Food Indices (2015=100),Jan 1 2007,75.552892
38450,Food Indices (2015=100),Jan 1 2008,78.113013
38451,Food Indices (2015=100),Jan 1 2009,82.799794
38452,Food Indices (2015=100),Jan 1 2010,86.705445
38453,Food Indices (2015=100),Jan 1 2011,88.580157
38454,Food Indices (2015=100),Jan 1 2012,93.501277
38455,Food Indices (2015=100),Jan 1 2013,94.907311
38456,Food Indices (2015=100),Jan 1 2014,96.469572
38457,Food Indices (2015=100),Jan 1 2015,98.812962
38458,Food Indices (2015=100),Jan 1 2016,102.093709
38459,Food Indices (2015=100),Jan 1 2017,104.280873
38460,Food Indices (2015=100),Jan 1 2018,105.686907
38461,Food Indices (2015=100),Jan 1 2019,106.780489
38462,Food Indices (2015=100),Jan 1 2020,108.889541
38463,Food Indices (2015=100),Jan 1 2021,108.811428
38464,Food Indices (2015=100),Feb 1 2000,62.732743
38465,Food Indices (2015=100),Feb 1 2001,64.560005
38466,Food Indices (2015=100),Feb 1 2002,66.817211
38467,Food Indices (2015=100),Feb 1 2003,69.299161
38468,Food Indices (2015=100),Feb 1 2004,70.647622
38469,Food Indices (2015=100),Feb 1 2005,71.854396
38470,Food Indices (2015=100),Feb 1 2006,73.803802
38471,Food Indices (2015=100),Feb 1 2007,75.73855
38472,Food Indices (2015=100),Feb 1 2008,78.803012
38473,Food Indices (2015=100),Feb 1 2009,83.177341
38474,Food Indices (2015=100),Feb 1 2010,86.835633
38475,Food Indices (2015=100),Feb 1 2011,89.035817
38476,Food Indices (2015=100),Feb 1 2012,93.514296
38477,Food Indices (2015=100),Feb 1 2013,94.959387
38478,Food Indices (2015=100),Feb 1 2014,96.703911
38479,Food Indices (2015=100),Feb 1 2015,98.982207
38480,Food Indices (2015=100),Feb 1 2016,102.275972
38481,Food Indices (2015=100),Feb 1 2017,104.54125
38482,Food Indices (2015=100),Feb 1 2018,105.699926
