,symbol,date,price
38958,Food Indices,Jan 1 2000,59.69151
38959,Food Indices,Jan 1 2001,62.123048
38960,Food Indices,Jan 1 2002,62.644947
38961,Food Indices,Jan 1 2003,61.738041
38962,Food Indices,Jan 1 2004,63.474851
38963,Food Indices,Jan 1 2005,65.185994
38964,Food Indices,Jan 1 2006,69.412518
38965,Food Indices,Jan 1 2007,72.227348
38966,Food Indices,Jan 1 2008,81.253627
38967,Food Indices,Jan 1 2009,91.007143
38968,Food Indices,Jan 1 2010,85.557152
38969,Food Indices,Jan 1 2011,91.657377
38970,Food Indices,Jan 1 2012,97.218592
38971,Food Indices,Jan 1 2013,97.885938
38972,Food Indices,Jan 1 2014,98.493394
38973,Food Indices,Jan 1 2015,100.418429
38974,Food Indices,Jan 1 2016,98.801399
38975,Food Indices,Jan 1 2017,97.762236
38976,Food Indices,Jan 1 2018,99.066626
38977,Food Indices,Jan 1 2019,99.425967
38978,Food Indices,Jan 1 2020,100.101868
38979,Food Indices,Jan 1 2021,101.539228
38980,Food Indices,Feb 1 2000,59.894138
38981,Food Indices,Feb 1 2001,61.823598
38982,Food Indices,Feb 1 2002,62.097381
38983,Food Indices,Feb 1 2003,61.686707
38984,Food Indices,Feb 1 2004,63.389294
38985,Food Indices,Feb 1 2005,65.297219
38986,Food Indices,Feb 1 2006,69.018955
38987,Food Indices,Feb 1 2007,72.312905
38988,Food Indices,Feb 1 2008,81.450409
38989,Food Indices,Feb 1 2009,90.596468
38990,Food Indices,Feb 1 2010,88.825435
38991,Food Indices,Feb 1 2011,91.760046
38992,Food Indices,Feb 1 2012,97.509486
38993,Food Indices,Feb 1 2013,97.984329
38994,Food Indices,Feb 1 2014,98.365058
38995,Food Indices,Feb 1 2015,100.290094
38996,Food Indices,Feb 1 2016,98.014274
38997,Food Indices,Feb 1 2017,97.890504
38998,Food Indices,Feb 1 2018,99.117961
38999,Food Indices,Feb 1 2019,99.314742
39000,Food Indices,Feb 1 2020,100.272982
39001,Food Indices,Feb 1 2021,101.650452
39002,Food Indices,Mar 1 2000,60.096766
39003,Food Indices,Mar 1 2001,61.344478
39004,Food Indices,Mar 1 2002,61.60115
39005,Food Indices,Mar 1 2003,61.669595
39006,Food Indices,Mar 1 2004,63.466295
39007,Food Indices,Mar 1 2005,65.288663
39008,Food Indices,Mar 1 2006,69.155846
39009,Food Indices,Mar 1 2007,72.578132
39010,Food Indices,Mar 1 2008,82.074976
39011,Food Indices,Mar 1 2009,89.860677
39012,Food Indices,Mar 1 2010,89.432891
39013,Food Indices,Mar 1 2011,93.06907
39014,Food Indices,Mar 1 2012,97.150146
39015,Food Indices,Mar 1 2013,97.853426
39016,Food Indices,Mar 1 2014,98.125498
39017,Food Indices,Mar 1 2015,100.264427
39018,Food Indices,Mar 1 2016,97.577932
39019,Food Indices,Mar 1 2017,97.925432
39020,Food Indices,Mar 1 2018,99.126516
39021,Food Indices,Mar 1 2019,99.460189
39022,Food Indices,Mar 1 2020,100.358539
39023,Food Indices,Mar 1 2021,101.597311
39024,Food Indices,Apr 1 2000,60.299394
39025,Food Indices,Apr 1 2001,61.584038
39026,Food Indices,Apr 1 2002,61.258921
39027,Food Indices,Apr 1 2003,61.626817
39028,Food Indices,Apr 1 2004,63.663077
39029,Food Indices,Apr 1 2005,65.528223
39030,Food Indices,Apr 1 2006,69.643522
39031,Food Indices,Apr 1 2007,72.638022
39032,Food Indices,Apr 1 2008,83.769008
39033,Food Indices,Apr 1 2009,89.201887
39034,Food Indices,Apr 1 2010,90.818917
39035,Food Indices,Apr 1 2011,93.762083
39036,Food Indices,Apr 1 2012,97.175813
39037,Food Indices,Apr 1 2013,97.791825
39038,Food Indices,Apr 1 2014,98.125498
