,symbol,date,indices
39990,Food Indices (2015=100),Jan 1 2000,45.509112
39991,Food Indices (2015=100),Jan 1 2001,46.442383
39992,Food Indices (2015=100),Jan 1 2002,49.229549
39993,Food Indices (2015=100),Jan 1 2003,52.292935
39994,Food Indices (2015=100),Jan 1 2004,55.395634
39995,Food Indices (2015=100),Jan 1 2005,60.528627
39996,Food Indices (2015=100),Jan 1 2006,65.432916
39997,Food Indices (2015=100),Jan 1 2007,69.506833
39998,Food Indices (2015=100),Jan 1 2008,72.002921
39999,Food Indices (2015=100),Jan 1 2009,78.198577
40000,Food Indices (2015=100),Jan 1 2010,81.565162
40001,Food Indices (2015=100),Jan 1 2011,81.00093
40002,Food Indices (2015=100),Jan 1 2012,85.76332
40003,Food Indices (2015=100),Jan 1 2013,90.404803
40004,Food Indices (2015=100),Jan 1 2014,93.064755
40005,Food Indices (2015=100),Jan 1 2015,97.67937
40006,Food Indices (2015=100),Jan 1 2016,100.245284
40007,Food Indices (2015=100),Jan 1 2017,96.564339
40008,Food Indices (2015=100),Jan 1 2018,100.970725
40009,Food Indices (2015=100),Jan 1 2019,103.657546
40010,Food Indices (2015=100),Jan 1 2020,104.517329
40011,Food Indices (2015=100),Jan 1 2021,107.741514
40012,Food Indices (2015=100),Feb 1 2000,45.573039
40013,Food Indices (2015=100),Feb 1 2001,46.672454
40014,Food Indices (2015=100),Feb 1 2002,49.485942
40015,Food Indices (2015=100),Feb 1 2003,52.535995
40016,Food Indices (2015=100),Feb 1 2004,55.824666
40017,Food Indices (2015=100),Feb 1 2005,60.942274
40018,Food Indices (2015=100),Feb 1 2006,65.787081
40019,Food Indices (2015=100),Feb 1 2007,69.684941
40020,Food Indices (2015=100),Feb 1 2008,72.539823
40021,Food Indices (2015=100),Feb 1 2009,78.513059
40022,Food Indices (2015=100),Feb 1 2010,81.477841
40023,Food Indices (2015=100),Feb 1 2011,81.397236
40024,Food Indices (2015=100),Feb 1 2012,86.166343
40025,Food Indices (2015=100),Feb 1 2013,90.613031
40026,Food Indices (2015=100),Feb 1 2014,93.434193
40027,Food Indices (2015=100),Feb 1 2015,98.230168
40028,Food Indices (2015=100),Feb 1 2016,99.573579
40029,Food Indices (2015=100),Feb 1 2017,95.758293
40030,Food Indices (2015=100),Feb 1 2018,101.588694
40031,Food Indices (2015=100),Feb 1 2019,104.141174
40032,Food Indices (2015=100),Feb 1 2020,105.538321
40033,Food Indices (2015=100),Feb 1 2021,107.875855
40034,Food Indices (2015=100),Mar 1 2000,45.636967
40035,Food Indices (2015=100),Mar 1 2001,46.902524
40036,Food Indices (2015=100),Mar 1 2002,49.742335
40037,Food Indices (2015=100),Mar 1 2003,52.779056
40038,Food Indices (2015=100),Mar 1 2004,56.253697
40039,Food Indices (2015=100),Mar 1 2005,61.355922
40040,Food Indices (2015=100),Mar 1 2006,66.141245
40041,Food Indices (2015=100),Mar 1 2007,69.863049
40042,Food Indices (2015=100),Mar 1 2008,73.076725
40043,Food Indices (2015=100),Mar 1 2009,78.82754
40044,Food Indices (2015=100),Mar 1 2010,81.390519
40045,Food Indices (2015=100),Mar 1 2011,81.793542
40046,Food Indices (2015=100),Mar 1 2012,86.569366
40047,Food Indices (2015=100),Mar 1 2013,90.82126
40048,Food Indices (2015=100),Mar 1 2014,93.803631
40049,Food Indices (2015=100),Mar 1 2015,98.780967
40050,Food Indices (2015=100),Mar 1 2016,98.901873
40051,Food Indices (2015=100),Mar 1 2017,94.952247
40052,Food Indices (2015=100),Mar 1 2018,102.206663
40053,Food Indices (2015=100),Mar 1 2019,104.624802
40054,Food Indices (2015=100),Mar 1 2020,106.559313
40055,Food Indices (2015=100),Mar 1 2021,108.010196
40056,Food Indices (2015=100),Apr 1 2000,45.700894
40057,Food Indices (2015=100),Apr 1 2001,47.132594
40058,Food Indices (2015=100),Apr 1 2002,49.998728
40059,Food Indices (2015=100),Apr 1 2003,53.022117
40060,Food Indices (2015=100),Apr 1 2004,56.682728
40061,Food Indices (2015=100),Apr 1 2005,61.76957
40062,Food Indices (2015=100),Apr 1 2006,66.495409
40063,Food Indices (2015=100),Apr 1 2007,70.041157
40064,Food Indices (2015=100),Apr 1 2008,73.613626
40065,Food Indices (2015=100),Apr 1 2009,79.142021
40066,Food Indices (2015=100),Apr 1 2010,81.303197
40067,Food Indices (2015=100),Apr 1 2011,82.189848
40068,Food Indices (2015=100),Apr 1 2012,86.972389
40069,Food Indices (2015=100),Apr 1 2013,91.029489
40070,Food Indices (2015=100),Apr 1 2014,94.173069
40071,Food Indices (2015=100),Apr 1 2015,99.331765
40072,Food Indices (2015=100),Apr 1 2016,99.573579
40073,Food Indices (2015=100),Apr 1 2017,95.919502
40074,Food Indices (2015=100),Apr 1 2018,102.260399
40075,Food Indices (2015=100),Apr 1 2019,104.409856
40076,Food Indices (2015=100),Apr 1 2020,106.908599
40077,Food Indices (2015=100),Apr 1 2021,108.213218
40078,Food Indices (2015=100),May 1 2000,45.764822
40079,Food Indices (2015=100),May 1 2001,47.362664
40080,Food Indices (2015=100),May 1 2002,50.255121
40081,Food Indices (2015=100),May 1 2003,53.265178
40082,Food Indices (2015=100),May 1 2004,57.11176
40083,Food Indices (2015=100),May 1 2005,62.183217
40084,Food Indices (2015=100),May 1 2006,66.849574
40085,Food Indices (2015=100),May 1 2007,70.219265
40086,Food Indices (2015=100),May 1 2008,74.150528
40087,Food Indices (2015=100),May 1 2009,79.456502
40088,Food Indices (2015=100),May 1 2010,81.215876
40089,Food Indices (2015=100),May 1 2011,82.586154
40090,Food Indices (2015=100),May 1 2012,87.375412
40091,Food Indices (2015=100),May 1 2013,91.237717
40092,Food Indices (2015=100),May 1 2014,94.542507
40093,Food Indices (2015=100),May 1 2015,99.882563
40094,Food Indices (2015=100),May 1 2016,100.245284
40095,Food Indices (2015=100),May 1 2017,96.886758
40096,Food Indices (2015=100),May 1 2018,102.314136
40097,Food Indices (2015=100),May 1 2019,104.19491
40098,Food Indices (2015=100),May 1 2020,107.257886
40099,Food Indices (2015=100),May 1 2021,108.416239
40100,Food Indices (2015=100),Jun 1 2000,45.828749
40101,Food Indices (2015=100),Jun 1 2001,47.592734
40102,Food Indices (2015=100),Jun 1 2002,50.511515
40103,Food Indices (2015=100),Jun 1 2003,53.508238
40104,Food Indices (2015=100),Jun 1 2004,57.540791
40105,Food Indices (2015=100),Jun 1 2005,62.596865
40106,Food Indices (2015=100),Jun 1 2006,67.203738
40107,Food Indices (2015=100),Jun 1 2007,70.397372
40108,Food Indices (2015=100),Jun 1 2008,74.68743
40109,Food Indices (2015=100),Jun 1 2009,79.770983
40110,Food Indices (2015=100),Jun 1 2010,81.128554
40111,Food Indices (2015=100),Jun 1 2011,82.98246
40112,Food Indices (2015=100),Jun 1 2012,87.778435
40113,Food Indices (2015=100),Jun 1 2013,91.445946
40114,Food Indices (2015=100),Jun 1 2014,94.911945
40115,Food Indices (2015=100),Jun 1 2015,100.433361
40116,Food Indices (2015=100),Jun 1 2016,100.916989
40117,Food Indices (2015=100),Jun 1 2017,97.854013
40118,Food Indices (2015=100),Jun 1 2018,102.367872
40119,Food Indices (2015=100),Jun 1 2019,103.979965
