,symbol,date,price
41022,Food Indices (2015=100),Jan 1 2000,7.403177
41023,Food Indices (2015=100),Jan 1 2001,7.718763
41024,Food Indices (2015=100),Jan 1 2002,8.271126
41025,Food Indices (2015=100),Jan 1 2003,8.933771
41026,Food Indices (2015=100),Jan 1 2004,10.841478
41027,Food Indices (2015=100),Jan 1 2005,13.310724
41028,Food Indices (2015=100),Jan 1 2006,20.531452
41029,Food Indices (2015=100),Jan 1 2007,22.218968
41030,Food Indices (2015=100),Jan 1 2008,34.304314
41031,Food Indices (2015=100),Jan 1 2009,39.017429
41032,Food Indices (2015=100),Jan 1 2010,44.829986
41033,Food Indices (2015=100),Jan 1 2011,56.957946
41034,Food Indices (2015=100),Jan 1 2012,68.625674
41035,Food Indices (2015=100),Jan 1 2013,77.881447
41036,Food Indices (2015=100),Jan 1 2014,86.370167
41037,Food Indices (2015=100),Jan 1 2015,95.35321
41038,Food Indices (2015=100),Jan 1 2016,104.660119
41039,Food Indices (2015=100),Jan 1 2017,118.03241
41040,Food Indices (2015=100),Jan 1 2018,135.299625
41041,Food Indices (2015=100),Jan 1 2019,150.999425
41042,Food Indices (2015=100),Jan 1 2020,168.533694
41043,Food Indices (2015=100),Jan 1 2021,194.486822
41044,Food Indices (2015=100),Feb 1 2000,7.427682
41045,Food Indices (2015=100),Feb 1 2001,7.764793
41046,Food Indices (2015=100),Feb 1 2002,8.317156
41047,Food Indices (2015=100),Feb 1 2003,9.090083
41048,Food Indices (2015=100),Feb 1 2004,11.029755
41049,Food Indices (2015=100),Feb 1 2005,13.708928
41050,Food Indices (2015=100),Feb 1 2006,21.093957
41051,Food Indices (2015=100),Feb 1 2007,31.210534
41052,Food Indices (2015=100),Feb 1 2008,35.310006
41053,Food Indices (2015=100),Feb 1 2009,38.403786
41054,Food Indices (2015=100),Feb 1 2010,45.528856
41055,Food Indices (2015=100),Feb 1 2011,58.398301
41056,Food Indices (2015=100),Feb 1 2012,69.73364
41057,Food Indices (2015=100),Feb 1 2013,79.40703
41058,Food Indices (2015=100),Feb 1 2014,87.827567
41059,Food Indices (2015=100),Feb 1 2015,96.546403
41060,Food Indices (2015=100),Feb 1 2016,106.194225
41061,Food Indices (2015=100),Feb 1 2017,119.617653
41062,Food Indices (2015=100),Feb 1 2018,137.174643
41063,Food Indices (2015=100),Feb 1 2019,152.898736
41064,Food Indices (2015=100),Feb 1 2020,171.301484
41065,Food Indices (2015=100),Feb 1 2021,195.994972
41066,Food Indices (2015=100),Mar 1 2000,7.452187
41067,Food Indices (2015=100),Mar 1 2001,7.810823
41068,Food Indices (2015=100),Mar 1 2002,8.363186
41069,Food Indices (2015=100),Mar 1 2003,9.246394
41070,Food Indices (2015=100),Mar 1 2004,11.218031
41071,Food Indices (2015=100),Mar 1 2005,14.107132
41072,Food Indices (2015=100),Mar 1 2006,21.511575
41073,Food Indices (2015=100),Mar 1 2007,31.116783
41074,Food Indices (2015=100),Mar 1 2008,36.238992
41075,Food Indices (2015=100),Mar 1 2009,37.542983
41076,Food Indices (2015=100),Mar 1 2010,46.031702
41077,Food Indices (2015=100),Mar 1 2011,60.298888
41078,Food Indices (2015=100),Mar 1 2012,70.406942
41079,Food Indices (2015=100),Mar 1 2013,79.95249
41080,Food Indices (2015=100),Mar 1 2014,88.296322
41081,Food Indices (2015=100),Mar 1 2015,97.637323
41082,Food Indices (2015=100),Mar 1 2016,107.685717
41083,Food Indices (2015=100),Mar 1 2017,121.475625
41084,Food Indices (2015=100),Mar 1 2018,138.870683
41085,Food Indices (2015=100),Mar 1 2019,155.211826
41086,Food Indices (2015=100),Mar 1 2020,173.690033
41087,Food Indices (2015=100),Mar 1 2021,197.95791
41088,Food Indices (2015=100),Apr 1 2000,7.476692
41089,Food Indices (2015=100),Apr 1 2001,7.856854
41090,Food Indices (2015=100),Apr 1 2002,8.409217
41091,Food Indices (2015=100),Apr 1 2003,9.402706
41092,Food Indices (2015=100),Apr 1 2004,11.406308
41093,Food Indices (2015=100),Apr 1 2005,14.505336
41094,Food Indices (2015=100),Apr 1 2006,22.005898
41095,Food Indices (2015=100),Apr 1 2007,30.784393
41096,Food Indices (2015=100),Apr 1 2008,38.795836
41097,Food Indices (2015=100),Apr 1 2009,39.92937
41098,Food Indices (2015=100),Apr 1 2010,46.66239
41099,Food Indices (2015=100),Apr 1 2011,61.688106
41100,Food Indices (2015=100),Apr 1 2012,70.986493
41101,Food Indices (2015=100),Apr 1 2013,80.489427
41102,Food Indices (2015=100),Apr 1 2014,89.344628
41103,Food Indices (2015=100),Apr 1 2015,98.532218
41104,Food Indices (2015=100),Apr 1 2016,109.083458
41105,Food Indices (2015=100),Apr 1 2017,123.444395
41106,Food Indices (2015=100),Apr 1 2018,140.762747
41107,Food Indices (2015=100),Apr 1 2019,156.059963
41108,Food Indices (2015=100),Apr 1 2020,177.202064
41109,Food Indices (2015=100),Apr 1 2021,206.104908
41110,Food Indices (2015=100),May 1 2000,7.501197
41111,Food Indices (2015=100),May 1 2001,7.902884
41112,Food Indices (2015=100),May 1 2002,8.455247
41113,Food Indices (2015=100),May 1 2003,9.559018
41114,Food Indices (2015=100),May 1 2004,11.594584
41115,Food Indices (2015=100),May 1 2005,14.90354
41116,Food Indices (2015=100),May 1 2006,23.335457
41117,Food Indices (2015=100),May 1 2007,29.548586
41118,Food Indices (2015=100),May 1 2008,38.693562
41119,Food Indices (2015=100),May 1 2009,40.338465
41120,Food Indices (2015=100),May 1 2010,47.080008
41121,Food Indices (2015=100),May 1 2011,62.386977
41122,Food Indices (2015=100),May 1 2012,72.12855
41123,Food Indices (2015=100),May 1 2013,80.779203
41124,Food Indices (2015=100),May 1 2014,89.421333
41125,Food Indices (2015=100),May 1 2015,98.736766
41126,Food Indices (2015=100),May 1 2016,109.824943
41127,Food Indices (2015=100),May 1 2017,124.364858
41128,Food Indices (2015=100),May 1 2018,141.862189
41129,Food Indices (2015=100),May 1 2019,157.234833
41130,Food Indices (2015=100),May 1 2020,178.197296
41131,Food Indices (2015=100),May 1 2021,209.764776
41132,Food Indices (2015=100),Jun 1 2000,7.525702
41133,Food Indices (2015=100),Jun 1 2001,7.948914
41134,Food Indices (2015=100),Jun 1 2002,8.501277
41135,Food Indices (2015=100),Jun 1 2003,9.71533
41136,Food Indices (2015=100),Jun 1 2004,11.782861
41137,Food Indices (2015=100),Jun 1 2005,15.301744
41138,Food Indices (2015=100),Jun 1 2006,24.52865
41139,Food Indices (2015=100),Jun 1 2007,30.238933
41140,Food Indices (2015=100),Jun 1 2008,39.162317
41141,Food Indices (2015=100),Jun 1 2009,40.611194
41142,Food Indices (2015=100),Jun 1 2010,47.506149
41143,Food Indices (2015=100),Jun 1 2011,63.418237
41144,Food Indices (2015=100),Jun 1 2012,72.639918
41145,Food Indices (2015=100),Jun 1 2013,81.614438
41146,Food Indices (2015=100),Jun 1 2014,90.082893
41147,Food Indices (2015=100),Jun 1 2015,99.563478
41148,Food Indices (2015=100),Jun 1 2016,110.966999
41149,Food Indices (2015=100),Jun 1 2017,126.043852
41150,Food Indices (2015=100),Jun 1 2018,143.745731
41151,Food Indices (2015=100),Jun 1 2019,158.894371
41152,Food Indices (2015=100),Jun 1 2020,180.274499
41153,Food Indices (2015=100),Jun 1 2021,213.43656
41154,Food Indices (2015=100),Jul 1 2000,7.550207
41155,Food Indices (2015=100),Jul 1 2001,7.994944
41156,Food Indices (2015=100),Jul 1 2002,8.547307
41157,Food Indices (2015=100),Jul 1 2003,9.871642
41158,Food Indices (2015=100),Jul 1 2004,11.971137
41159,Food Indices (2015=100),Jul 1 2005,15.699948
41160,Food Indices (2015=100),Jul 1 2006,25.449114
41161,Food Indices (2015=100),Jul 1 2007,31.040078
41162,Food Indices (2015=100),Jul 1 2008,39.614026
41163,Food Indices (2015=100),Jul 1 2009,40.986198
41164,Food Indices (2015=100),Jul 1 2010,48.29877
41165,Food Indices (2015=100),Jul 1 2011,63.477896
41166,Food Indices (2015=100),Jul 1 2012,72.34162
41167,Food Indices (2015=100),Jul 1 2013,81.836031
41168,Food Indices (2015=100),Jul 1 2014,89.420425
41169,Food Indices (2015=100),Jul 1 2015,100.304963
41170,Food Indices (2015=100),Jul 1 2016,112.143147
41171,Food Indices (2015=100),Jul 1 2017,127.714323
41172,Food Indices (2015=100),Jul 1 2018,144.930401
41173,Food Indices (2015=100),Jul 1 2019,161.477062
41174,Food Indices (2015=100),Jul 1 2020,182.873956
41175,Food Indices (2015=100),Aug 1 2000,7.574712
41176,Food Indices (2015=100),Aug 1 2001,8.040975
41177,Food Indices (2015=100),Aug 1 2002,8.593338
41178,Food Indices (2015=100),Aug 1 2003,10.027954
41179,Food Indices (2015=100),Aug 1 2004,12.159414
41180,Food Indices (2015=100),Aug 1 2005,16.098152
41181,Food Indices (2015=100),Aug 1 2006,26.480374
41182,Food Indices (2015=100),Aug 1 2007,32.19918
41183,Food Indices (2015=100),Aug 1 2008,40.08278
41184,Food Indices (2015=100),Aug 1 2009,42.017458
41185,Food Indices (2015=100),Aug 1 2010,50.719248
41186,Food Indices (2015=100),Aug 1 2011,64.423928
41187,Food Indices (2015=100),Aug 1 2012,73.577427
41188,Food Indices (2015=100),Aug 1 2013,82.688312
41189,Food Indices (2015=100),Aug 1 2014,89.346846
41190,Food Indices (2015=100),Aug 1 2015,101.131675
41191,Food Indices (2015=100),Aug 1 2016,113.123271
41192,Food Indices (2015=100),Aug 1 2017,129.265475
41193,Food Indices (2015=100),Aug 1 2018,145.348019
41194,Food Indices (2015=100),Aug 1 2019,162.083846
41195,Food Indices (2015=100),Aug 1 2020,182.704322
41196,Food Indices (2015=100),Sep 1 2000,7.599217
41197,Food Indices (2015=100),Sep 1 2001,8.087005
41198,Food Indices (2015=100),Sep 1 2002,8.639368
41199,Food Indices (2015=100),Sep 1 2003,10.184266
41200,Food Indices (2015=100),Sep 1 2004,12.34769
41201,Food Indices (2015=100),Sep 1 2005,16.496356
41202,Food Indices (2015=100),Sep 1 2006,27.025834
41203,Food Indices (2015=100),Sep 1 2007,33.042938
41204,Food Indices (2015=100),Sep 1 2008,40.525966
41205,Food Indices (2015=100),Sep 1 2009,42.682238
41206,Food Indices (2015=100),Sep 1 2010,51.869828
41207,Food Indices (2015=100),Sep 1 2011,65.037571
41208,Food Indices (2015=100),Sep 1 2012,74.770621
41209,Food Indices (2015=100),Sep 1 2013,83.881506
41210,Food Indices (2015=100),Sep 1 2014,88.294535
41211,Food Indices (2015=100),Sep 1 2015,102.231118
41212,Food Indices (2015=100),Sep 1 2016,114.870447
41213,Food Indices (2015=100),Sep 1 2017,131.012651
41214,Food Indices (2015=100),Sep 1 2018,147.069627
41215,Food Indices (2015=100),Sep 1 2019,164.112391
41216,Food Indices (2015=100),Sep 1 2020,184.601946
41217,Food Indices (2015=100),Oct 1 2000,7.623723
41218,Food Indices (2015=100),Oct 1 2001,8.133035
41219,Food Indices (2015=100),Oct 1 2002,8.685398
41220,Food Indices (2015=100),Oct 1 2003,10.340578
41221,Food Indices (2015=100),Oct 1 2004,12.535967
41222,Food Indices (2015=100),Oct 1 2005,16.89456
41223,Food Indices (2015=100),Oct 1 2006,27.460497
41224,Food Indices (2015=100),Oct 1 2007,33.315668
41225,Food Indices (2015=100),Oct 1 2008,40.508921
41226,Food Indices (2015=100),Oct 1 2009,43.304403
41227,Food Indices (2015=100),Oct 1 2010,52.841428
41228,Food Indices (2015=100),Oct 1 2011,66.418266
41229,Food Indices (2015=100),Oct 1 2012,75.835972
41230,Food Indices (2015=100),Oct 1 2013,84.708219
41231,Food Indices (2015=100),Oct 1 2014,87.83108
41232,Food Indices (2015=100),Oct 1 2015,103.049308
41233,Food Indices (2015=100),Oct 1 2016,115.927275
41234,Food Indices (2015=100),Oct 1 2017,132.112094
41235,Food Indices (2015=100),Oct 1 2018,148.152024
41236,Food Indices (2015=100),Oct 1 2019,165.046928
41237,Food Indices (2015=100),Oct 1 2020,186.527945
41238,Food Indices (2015=100),Nov 1 2000,7.648228
41239,Food Indices (2015=100),Nov 1 2001,8.179065
41240,Food Indices (2015=100),Nov 1 2002,8.731428
41241,Food Indices (2015=100),Nov 1 2003,10.49689
41242,Food Indices (2015=100),Nov 1 2004,12.724243
41243,Food Indices (2015=100),Nov 1 2005,17.292764
41244,Food Indices (2015=100),Nov 1 2006,28.099708
41245,Food Indices (2015=100),Nov 1 2007,33.622489
41246,Food Indices (2015=100),Nov 1 2008,38.599811
41247,Food Indices (2015=100),Nov 1 2009,43.815771
41248,Food Indices (2015=100),Nov 1 2010,55.679524
41249,Food Indices (2015=100),Nov 1 2011,67.432481
41250,Food Indices (2015=100),Nov 1 2012,76.841664
41251,Food Indices (2015=100),Nov 1 2013,85.492317
41252,Food Indices (2015=100),Nov 1 2014,86.369319
41253,Food Indices (2015=100),Nov 1 2015,103.526585
41254,Food Indices (2015=100),Nov 1 2016,116.6091
41255,Food Indices (2015=100),Nov 1 2017,133.237105
41256,Food Indices (2015=100),Nov 1 2018,149.35374
41257,Food Indices (2015=100),Nov 1 2019,166.745051
41258,Food Indices (2015=100),Nov 1 2020,187.779202
41259,Food Indices (2015=100),Dec 1 2000,7.672733
41260,Food Indices (2015=100),Dec 1 2001,8.225096
41261,Food Indices (2015=100),Dec 1 2002,8.777459
41262,Food Indices (2015=100),Dec 1 2003,10.653202
41263,Food Indices (2015=100),Dec 1 2004,12.91252
41264,Food Indices (2015=100),Dec 1 2005,17.690968
41265,Food Indices (2015=100),Dec 1 2006,29.420744
41266,Food Indices (2015=100),Dec 1 2007,34.551476
41267,Food Indices (2015=100),Dec 1 2008,39.162317
41268,Food Indices (2015=100),Dec 1 2009,44.11407
41269,Food Indices (2015=100),Dec 1 2010,56.173847
41270,Food Indices (2015=100),Dec 1 2011,67.892713
41271,Food Indices (2015=100),Dec 1 2012,76.901324
41272,Food Indices (2015=100),Dec 1 2013,85.995163
41273,Food Indices (2015=100),Dec 1 2014,85.996993
41274,Food Indices (2015=100),Dec 1 2015,103.816361
41275,Food Indices (2015=100),Dec 1 2016,117.248311
41276,Food Indices (2015=100),Dec 1 2017,134.208705
41277,Food Indices (2015=100),Dec 1 2018,150.419092
41278,Food Indices (2015=100),Dec 1 2019,167.93432
41279,Food Indices (2015=100),Dec 1 2020,188.70395
41280,General Indices (2015=100),Jan 1 2000,11.529206
41281,General Indices (2015=100),Jan 1 2001,12.295149
41282,General Indices (2015=100),Jan 1 2002,12.930303
41283,General Indices (2015=100),Jan 1 2003,13.402501
41284,General Indices (2015=100),Jan 1 2004,15.790575
41285,General Indices (2015=100),Jan 1 2005,20.011159
41286,General Indices (2015=100),Jan 1 2006,25.922639
41287,General Indices (2015=100),Jan 1 2007,19.238938
41288,General Indices (2015=100),Jan 1 2008,40.222029
41289,General Indices (2015=100),Jan 1 2009,44.868666
41290,General Indices (2015=100),Jan 1 2010,49.54193
41291,General Indices (2015=100),Jan 1 2011,60.006847
41292,General Indices (2015=100),Jan 1 2012,71.110844
41293,General Indices (2015=100),Jan 1 2013,80.404116
41294,General Indices (2015=100),Jan 1 2014,88.618943
41295,General Indices (2015=100),Jan 1 2015,96.474288
41296,General Indices (2015=100),Jan 1 2016,103.584041
41297,General Indices (2015=100),Jan 1 2017,112.464575
41298,General Indices (2015=100),Jan 1 2018,123.288974
41299,General Indices (2015=100),Jan 1 2019,135.267417
41300,General Indices (2015=100),Jan 1 2020,147.535863
41301,General Indices (2015=100),Jan 1 2021,166.083012
41302,General Indices (2015=100),Feb 1 2000,11.593851
41303,General Indices (2015=100),Feb 1 2001,12.349998
41304,General Indices (2015=100),Feb 1 2002,12.962127
41305,General Indices (2015=100),Feb 1 2003,13.524637
41306,General Indices (2015=100),Feb 1 2004,15.923716
41307,General Indices (2015=100),Feb 1 2005,20.157614
41308,General Indices (2015=100),Feb 1 2006,26.468518
41309,General Indices (2015=100),Feb 1 2007,36.680467
41310,General Indices (2015=100),Feb 1 2008,40.781223
41311,General Indices (2015=100),Feb 1 2009,44.762152
41312,General Indices (2015=100),Feb 1 2010,50.167695
41313,General Indices (2015=100),Feb 1 2011,60.952152
41314,General Indices (2015=100),Feb 1 2012,72.149347
41315,General Indices (2015=100),Feb 1 2013,81.429305
41316,General Indices (2015=100),Feb 1 2014,89.710703
41317,General Indices (2015=100),Feb 1 2015,97.366336
41318,General Indices (2015=100),Feb 1 2016,104.689115
41319,General Indices (2015=100),Feb 1 2017,113.423194
41320,General Indices (2015=100),Feb 1 2018,124.433991
41321,General Indices (2015=100),Feb 1 2019,136.495617
41322,General Indices (2015=100),Feb 1 2020,149.198185
41323,General Indices (2015=100),Feb 1 2021,167.996676
41324,General Indices (2015=100),Mar 1 2000,11.658496
41325,General Indices (2015=100),Mar 1 2001,12.404846
41326,General Indices (2015=100),Mar 1 2002,12.993951
41327,General Indices (2015=100),Mar 1 2003,13.646773
41328,General Indices (2015=100),Mar 1 2004,15.883774
41329,General Indices (2015=100),Mar 1 2005,20.250813
41330,General Indices (2015=100),Mar 1 2006,26.921199
41331,General Indices (2015=100),Mar 1 2007,36.800294
41332,General Indices (2015=100),Mar 1 2008,41.580072
41333,General Indices (2015=100),Mar 1 2009,44.389356
41334,General Indices (2015=100),Mar 1 2010,51.459167
41335,General Indices (2015=100),Mar 1 2011,62.256938
41336,General Indices (2015=100),Mar 1 2012,72.881625
41337,General Indices (2015=100),Mar 1 2013,82.334667
41338,General Indices (2015=100),Mar 1 2014,90.53618
41339,General Indices (2015=100),Mar 1 2015,98.191813
41340,General Indices (2015=100),Mar 1 2016,105.714304
41341,General Indices (2015=100),Mar 1 2017,114.541582
41342,General Indices (2015=100),Mar 1 2018,125.658892
41343,General Indices (2015=100),Mar 1 2019,137.815088
41344,General Indices (2015=100),Mar 1 2020,150.845646
41345,General Indices (2015=100),Mar 1 2021,169.418563
41346,General Indices (2015=100),Apr 1 2000,11.723141
