,symbol,date,indices
43860,Food Indices (2015=100),Jan 1 2000,51.20199
43861,Food Indices (2015=100),Jan 1 2001,52.06597
43862,Food Indices (2015=100),Jan 1 2002,59.29609
43863,Food Indices (2015=100),Jan 1 2003,56.38585
43864,Food Indices (2015=100),Jan 1 2004,56.70416
43865,Food Indices (2015=100),Jan 1 2005,57.7955
43866,Food Indices (2015=100),Jan 1 2006,57.20435
43867,Food Indices (2015=100),Jan 1 2007,62.20633
43868,Food Indices (2015=100),Jan 1 2008,60.79668
43869,Food Indices (2015=100),Jan 1 2009,78.92447
43870,Food Indices (2015=100),Jan 1 2010,83.58909
43871,Food Indices (2015=100),Jan 1 2011,84.83202
43872,Food Indices (2015=100),Jan 1 2012,90.11639
43873,Food Indices (2015=100),Jan 1 2013,94.91108
43874,Food Indices (2015=100),Jan 1 2014,98.37417
43875,Food Indices (2015=100),Jan 1 2015,99.61676
43876,Food Indices (2015=100),Jan 1 2016,100.7888
43877,Food Indices (2015=100),Jan 1 2017,100.1888
43878,Food Indices (2015=100),Jan 1 2018,100.1351
43879,Food Indices (2015=100),Jan 1 2019,104.945
43880,Food Indices (2015=100),Jan 1 2020,106.3085
43881,Food Indices (2015=100),Jan 1 2021,113.385
43882,Food Indices (2015=100),Feb 1 2000,51.42935
43883,Food Indices (2015=100),Feb 1 2001,52.06597
43884,Food Indices (2015=100),Feb 1 2002,59.15967
43885,Food Indices (2015=100),Feb 1 2003,56.43132
43886,Food Indices (2015=100),Feb 1 2004,56.29491
43887,Food Indices (2015=100),Feb 1 2005,57.38625
43888,Food Indices (2015=100),Feb 1 2006,57.47719
43889,Food Indices (2015=100),Feb 1 2007,62.29727
43890,Food Indices (2015=100),Feb 1 2008,61.35811
43891,Food Indices (2015=100),Feb 1 2009,79.10583
43892,Food Indices (2015=100),Feb 1 2010,83.98853
43893,Food Indices (2015=100),Feb 1 2011,85.53072
43894,Food Indices (2015=100),Feb 1 2012,90.16256
43895,Food Indices (2015=100),Feb 1 2013,95.64733
43896,Food Indices (2015=100),Feb 1 2014,97.66223
43897,Food Indices (2015=100),Feb 1 2015,98.90366
43898,Food Indices (2015=100),Feb 1 2016,100.7982
43899,Food Indices (2015=100),Feb 1 2017,100.2957
43900,Food Indices (2015=100),Feb 1 2018,100.0767
43901,Food Indices (2015=100),Feb 1 2019,104.5039
43902,Food Indices (2015=100),Feb 1 2020,106.4071
43903,Food Indices (2015=100),Feb 1 2021,113.2532
43904,Food Indices (2015=100),Mar 1 2000,51.47482
43905,Food Indices (2015=100),Mar 1 2001,52.11144
43906,Food Indices (2015=100),Mar 1 2002,58.47758
43907,Food Indices (2015=100),Mar 1 2003,56.29491
43908,Food Indices (2015=100),Mar 1 2004,55.88565
43909,Food Indices (2015=100),Mar 1 2005,55.93113
43910,Food Indices (2015=100),Mar 1 2006,57.52266
43911,Food Indices (2015=100),Mar 1 2007,57.65908
43912,Food Indices (2015=100),Mar 1 2008,61.5756
43913,Food Indices (2015=100),Mar 1 2009,78.37117
43914,Food Indices (2015=100),Mar 1 2010,83.72932
43915,Food Indices (2015=100),Mar 1 2011,85.32391
43916,Food Indices (2015=100),Mar 1 2012,90.36314
43917,Food Indices (2015=100),Mar 1 2013,96.15724
43918,Food Indices (2015=100),Mar 1 2014,97.48746
43919,Food Indices (2015=100),Mar 1 2015,98.81524
43920,Food Indices (2015=100),Mar 1 2016,100.9437
43921,Food Indices (2015=100),Mar 1 2017,99.3609
43922,Food Indices (2015=100),Mar 1 2018,100.2613
43923,Food Indices (2015=100),Mar 1 2019,104.4228
43924,Food Indices (2015=100),Mar 1 2020,106.9075
43925,Food Indices (2015=100),Mar 1 2021,113.3129
43926,Food Indices (2015=100),Apr 1 2000,51.42935
43927,Food Indices (2015=100),Apr 1 2001,53.79392
43928,Food Indices (2015=100),Apr 1 2002,57.47719
43929,Food Indices (2015=100),Apr 1 2003,56.11301
43930,Food Indices (2015=100),Apr 1 2004,55.61282
43931,Food Indices (2015=100),Apr 1 2005,54.43053
43932,Food Indices (2015=100),Apr 1 2006,57.7955
43933,Food Indices (2015=100),Apr 1 2007,57.15888
43934,Food Indices (2015=100),Apr 1 2008,65.50215
