,symbol,date,price
45924,Food Indices,Jan 1 2000,25.387076
45925,Food Indices,Jan 1 2001,24.836833
45926,Food Indices,Jan 1 2002,26.891385
45927,Food Indices,Jan 1 2003,29.514915
45928,Food Indices,Jan 1 2004,34.160941
45929,Food Indices,Jan 1 2005,37.564997
45930,Food Indices,Jan 1 2006,46.230045
45931,Food Indices,Jan 1 2007,59.253215
45932,Food Indices,Jan 1 2008,67.322572
45933,Food Indices,Jan 1 2009,74.623458
45934,Food Indices,Jan 1 2010,81.924532
45935,Food Indices,Jan 1 2011,88.846111
45936,Food Indices,Jan 1 2012,91.859095
45937,Food Indices,Jan 1 2013,97.331206
45938,Food Indices,Jan 1 2014,97.478901
45939,Food Indices,Jan 1 2015,97.921987
45940,Food Indices,Jan 1 2016,101.086009
45941,Food Indices,Jan 1 2017,96.974376
45942,Food Indices,Jan 1 2018,96.773808
45943,Food Indices,Jan 1 2019,98.679199
45944,Food Indices,Jan 1 2020,97.475794
45945,Food Indices,Jan 1 2021,98.176492
45946,Food Indices,Feb 1 2000,25.321745
45947,Food Indices,Feb 1 2001,25.005233
45948,Food Indices,Feb 1 2002,27.093534
45949,Food Indices,Feb 1 2003,29.914816
45950,Food Indices,Feb 1 2004,34.408064
45951,Food Indices,Feb 1 2005,38.250705
45952,Food Indices,Feb 1 2006,47.352309
45953,Food Indices,Feb 1 2007,59.931483
45954,Food Indices,Feb 1 2008,67.930978
45955,Food Indices,Feb 1 2009,75.231881
45956,Food Indices,Feb 1 2010,82.532955
45957,Food Indices,Feb 1 2011,89.075038
45958,Food Indices,Feb 1 2012,92.353874
45959,Food Indices,Feb 1 2013,97.360745
45960,Food Indices,Feb 1 2014,97.301667
45961,Food Indices,Feb 1 2015,97.591839
45962,Food Indices,Feb 1 2016,101.086009
45963,Food Indices,Feb 1 2017,97.776646
45964,Food Indices,Feb 1 2018,96.874092
45965,Food Indices,Feb 1 2019,97.576078
45966,Food Indices,Feb 1 2020,97.475794
45967,Food Indices,Feb 1 2021,98.41502
45968,Food Indices,Mar 1 2000,25.256413
45969,Food Indices,Mar 1 2001,25.173633
45970,Food Indices,Mar 1 2002,27.295682
45971,Food Indices,Mar 1 2003,30.314716
45972,Food Indices,Mar 1 2004,34.655187
45973,Food Indices,Mar 1 2005,38.936413
45974,Food Indices,Mar 1 2006,48.474573
45975,Food Indices,Mar 1 2007,60.609752
45976,Food Indices,Mar 1 2008,68.539383
45977,Food Indices,Mar 1 2009,75.840303
45978,Food Indices,Mar 1 2010,83.141377
45979,Food Indices,Mar 1 2011,89.303966
45980,Food Indices,Mar 1 2012,92.848653
45981,Food Indices,Mar 1 2013,97.390284
45982,Food Indices,Mar 1 2014,97.124432
45983,Food Indices,Mar 1 2015,96.865513
45984,Food Indices,Mar 1 2016,100.083172
45985,Food Indices,Mar 1 2017,99.481469
45986,Food Indices,Mar 1 2018,96.974376
45987,Food Indices,Mar 1 2019,99.982888
45988,Food Indices,Mar 1 2020,100.283739
45989,Food Indices,Mar 1 2021,98.527047
45990,Food Indices,Apr 1 2000,25.191082
45991,Food Indices,Apr 1 2001,25.342034
45992,Food Indices,Apr 1 2002,27.49783
45993,Food Indices,Apr 1 2003,30.714616
45994,Food Indices,Apr 1 2004,34.902309
45995,Food Indices,Apr 1 2005,39.62212
45996,Food Indices,Apr 1 2006,49.596837
45997,Food Indices,Apr 1 2007,61.28802
45998,Food Indices,Apr 1 2008,69.147789
45999,Food Indices,Apr 1 2009,76.448726
46000,Food Indices,Apr 1 2010,83.7498
46001,Food Indices,Apr 1 2011,89.532894
46002,Food Indices,Apr 1 2012,93.343433
46003,Food Indices,Apr 1 2013,97.419823
46004,Food Indices,Apr 1 2014,96.947198
46005,Food Indices,Apr 1 2015,98.714343
46006,Food Indices,Apr 1 2016,101.086009
46007,Food Indices,Apr 1 2017,101.687711
46008,Food Indices,Apr 1 2018,97.475794
46009,Food Indices,Apr 1 2019,98.578916
46010,Food Indices,Apr 1 2020,100.484307
46011,Food Indices,Apr 1 2021,99.357143
46012,Food Indices,May 1 2000,25.125751
46013,Food Indices,May 1 2001,25.510434
46014,Food Indices,May 1 2002,27.699978
46015,Food Indices,May 1 2003,31.114517
46016,Food Indices,May 1 2004,35.149432
46017,Food Indices,May 1 2005,40.307828
46018,Food Indices,May 1 2006,50.7191
46019,Food Indices,May 1 2007,61.966288
46020,Food Indices,May 1 2008,69.756195
46021,Food Indices,May 1 2009,77.057149
46022,Food Indices,May 1 2010,84.358223
46023,Food Indices,May 1 2011,89.761822
46024,Food Indices,May 1 2012,93.838212
46025,Food Indices,May 1 2013,97.449362
46026,Food Indices,May 1 2014,96.769964
46027,Food Indices,May 1 2015,97.525809
46028,Food Indices,May 1 2016,99.080334
46029,Food Indices,May 1 2017,97.776646
46030,Food Indices,May 1 2018,96.773808
46031,Food Indices,May 1 2019,97.174943
46032,Food Indices,May 1 2020,96.974376
46033,Food Indices,May 1 2021,99.141393
46034,Food Indices,Jun 1 2000,25.06042
46035,Food Indices,Jun 1 2001,25.678835
46036,Food Indices,Jun 1 2002,27.902126
46037,Food Indices,Jun 1 2003,31.514417
46038,Food Indices,Jun 1 2004,35.396554
46039,Food Indices,Jun 1 2005,40.993536
46040,Food Indices,Jun 1 2006,51.841364
46041,Food Indices,Jun 1 2007,62.644556
46042,Food Indices,Jun 1 2008,70.364601
46043,Food Indices,Jun 1 2009,77.665572
46044,Food Indices,Jun 1 2010,84.966646
46045,Food Indices,Jun 1 2011,89.990749
46046,Food Indices,Jun 1 2012,94.332991
46047,Food Indices,Jun 1 2013,97.478901
46048,Food Indices,Jun 1 2014,96.592729
46049,Food Indices,Jun 1 2015,98.780373
46050,Food Indices,Jun 1 2016,97.576078
46051,Food Indices,Jun 1 2017,94.868417
46052,Food Indices,Jun 1 2018,96.673524
46053,Food Indices,Jun 1 2019,96.874092
46054,Food Indices,Jun 1 2020,94.868417
46055,Food Indices,Jun 1 2021,96.541242
46056,Food Indices,Jul 1 2000,24.995088
46057,Food Indices,Jul 1 2001,25.847235
46058,Food Indices,Jul 1 2002,28.104274
46059,Food Indices,Jul 1 2003,31.914317
46060,Food Indices,Jul 1 2004,35.643677
46061,Food Indices,Jul 1 2005,41.679243
