,symbol,date,price
49536,Food Indices (2015=100),Jan 1 2000,26.019435
49537,Food Indices (2015=100),Jan 1 2001,30.067338
49538,Food Indices (2015=100),Jan 1 2002,33.381866
49539,Food Indices (2015=100),Jan 1 2003,35.659519
49540,Food Indices (2015=100),Jan 1 2004,38.164694
49541,Food Indices (2015=100),Jan 1 2005,41.115805
49542,Food Indices (2015=100),Jan 1 2006,44.743682
49543,Food Indices (2015=100),Jan 1 2007,48.099781
49544,Food Indices (2015=100),Jan 1 2008,61.83262
49545,Food Indices (2015=100),Jan 1 2009,67.416817
49546,Food Indices (2015=100),Jan 1 2010,69.524491
49547,Food Indices (2015=100),Jan 1 2011,77.835925
49548,Food Indices (2015=100),Jan 1 2012,82.92027
49549,Food Indices (2015=100),Jan 1 2013,87.247036
49550,Food Indices (2015=100),Jan 1 2014,90.076197
49551,Food Indices (2015=100),Jan 1 2015,98.011766
49552,Food Indices (2015=100),Jan 1 2016,109.420678
49553,Food Indices (2015=100),Jan 1 2017,119.297683
49554,Food Indices (2015=100),Jan 1 2018,126.240989
49555,Food Indices (2015=100),Jan 1 2019,133.337076
49556,Food Indices (2015=100),Jan 1 2020,145.681575
49557,Food Indices (2015=100),Jan 1 2021,162.339029
49558,Food Indices (2015=100),Feb 1 2000,26.36159
49559,Food Indices (2015=100),Feb 1 2001,30.351534
49560,Food Indices (2015=100),Feb 1 2002,33.570233
49561,Food Indices (2015=100),Feb 1 2003,35.865143
49562,Food Indices (2015=100),Feb 1 2004,38.408013
49563,Food Indices (2015=100),Feb 1 2005,41.526963
49564,Food Indices (2015=100),Feb 1 2006,45.862274
49565,Food Indices (2015=100),Feb 1 2007,48.580779
49566,Food Indices (2015=100),Feb 1 2008,62.574611
49567,Food Indices (2015=100),Feb 1 2009,67.619067
49568,Food Indices (2015=100),Feb 1 2010,70.418475
49569,Food Indices (2015=100),Feb 1 2011,79.392644
49570,Food Indices (2015=100),Feb 1 2012,83.417792
49571,Food Indices (2015=100),Feb 1 2013,87.596025
49572,Food Indices (2015=100),Feb 1 2014,91.42734
49573,Food Indices (2015=100),Feb 1 2015,98.20779
49574,Food Indices (2015=100),Feb 1 2016,110.405464
49575,Food Indices (2015=100),Feb 1 2017,120.967851
49576,Food Indices (2015=100),Feb 1 2018,127.250917
49577,Food Indices (2015=100),Feb 1 2019,135.337132
49578,Food Indices (2015=100),Feb 1 2020,146.992709
49579,Food Indices (2015=100),Feb 1 2021,164.124758
49580,Food Indices (2015=100),Mar 1 2000,26.703745
49581,Food Indices (2015=100),Mar 1 2001,30.635731
49582,Food Indices (2015=100),Mar 1 2002,33.758599
49583,Food Indices (2015=100),Mar 1 2003,36.070766
49584,Food Indices (2015=100),Mar 1 2004,38.651332
49585,Food Indices (2015=100),Mar 1 2005,41.859179
49586,Food Indices (2015=100),Mar 1 2006,46.275035
49587,Food Indices (2015=100),Mar 1 2007,48.872264
49588,Food Indices (2015=100),Mar 1 2008,63.137783
49589,Food Indices (2015=100),Mar 1 2009,67.957163
49590,Food Indices (2015=100),Mar 1 2010,71.31246
49591,Food Indices (2015=100),Mar 1 2011,80.102991
49592,Food Indices (2015=100),Mar 1 2012,83.834881
49593,Food Indices (2015=100),Mar 1 2013,87.771217
49594,Food Indices (2015=100),Mar 1 2014,92.615896
49595,Food Indices (2015=100),Mar 1 2015,98.399164
49596,Food Indices (2015=100),Mar 1 2016,110.957491
49597,Food Indices (2015=100),Mar 1 2017,121.693658
49598,Food Indices (2015=100),Mar 1 2018,128.268924
49599,Food Indices (2015=100),Mar 1 2019,136.690503
49600,Food Indices (2015=100),Mar 1 2020,149.491585
49601,Food Indices (2015=100),Mar 1 2021,165.437756
49602,Food Indices (2015=100),Apr 1 2000,27.0459
49603,Food Indices (2015=100),Apr 1 2001,30.919928
49604,Food Indices (2015=100),Apr 1 2002,33.946965
49605,Food Indices (2015=100),Apr 1 2003,36.276389
49606,Food Indices (2015=100),Apr 1 2004,38.894651
49607,Food Indices (2015=100),Apr 1 2005,42.110334
49608,Food Indices (2015=100),Apr 1 2006,46.50641
49609,Food Indices (2015=100),Apr 1 2007,49.214369
49610,Food Indices (2015=100),Apr 1 2008,63.832298
49611,Food Indices (2015=100),Apr 1 2009,68.704691
49612,Food Indices (2015=100),Apr 1 2010,72.00014
49613,Food Indices (2015=100),Apr 1 2011,80.904021
49614,Food Indices (2015=100),Apr 1 2012,84.086385
49615,Food Indices (2015=100),Apr 1 2013,87.946759
49616,Food Indices (2015=100),Apr 1 2014,93.542055
49617,Food Indices (2015=100),Apr 1 2015,98.694362
49618,Food Indices (2015=100),Apr 1 2016,111.734194
49619,Food Indices (2015=100),Apr 1 2017,122.42382
49620,Food Indices (2015=100),Apr 1 2018,129.038538
49621,Food Indices (2015=100),Apr 1 2019,137.920718
49622,Food Indices (2015=100),Apr 1 2020,152.331926
49623,Food Indices (2015=100),Apr 1 2021,167.092134
49624,Food Indices (2015=100),May 1 2000,27.388055
49625,Food Indices (2015=100),May 1 2001,31.204124
49626,Food Indices (2015=100),May 1 2002,34.135332
49627,Food Indices (2015=100),May 1 2003,36.482012
49628,Food Indices (2015=100),May 1 2004,39.13797
49629,Food Indices (2015=100),May 1 2005,42.489327
49630,Food Indices (2015=100),May 1 2006,46.599423
49631,Food Indices (2015=100),May 1 2007,49.608084
49632,Food Indices (2015=100),May 1 2008,64.789783
49633,Food Indices (2015=100),May 1 2009,69.323034
49634,Food Indices (2015=100),May 1 2010,72.550285
49635,Food Indices (2015=100),May 1 2011,81.389445
49636,Food Indices (2015=100),May 1 2012,84.254558
49637,Food Indices (2015=100),May 1 2013,88.122653
49638,Food Indices (2015=100),May 1 2014,94.290391
49639,Food Indices (2015=100),May 1 2015,98.694362
49640,Food Indices (2015=100),May 1 2016,112.18113
49641,Food Indices (2015=100),May 1 2017,123.035939
49642,Food Indices (2015=100),May 1 2018,129.167576
49643,Food Indices (2015=100),May 1 2019,139.162004
49644,Food Indices (2015=100),May 1 2020,154.159909
49645,Food Indices (2015=100),May 1 2021,168.428871
49646,Food Indices (2015=100),Jun 1 2000,27.73021
49647,Food Indices (2015=100),Jun 1 2001,31.488321
49648,Food Indices (2015=100),Jun 1 2002,34.323698
49649,Food Indices (2015=100),Jun 1 2003,36.687636
49650,Food Indices (2015=100),Jun 1 2004,39.381289
49651,Food Indices (2015=100),Jun 1 2005,42.659284
49652,Food Indices (2015=100),Jun 1 2006,46.552823
49653,Food Indices (2015=100),Jun 1 2007,50.104165
49654,Food Indices (2015=100),Jun 1 2008,66.020789
49655,Food Indices (2015=100),Jun 1 2009,69.392357
49656,Food Indices (2015=100),Jun 1 2010,72.622835
49657,Food Indices (2015=100),Jun 1 2011,81.552224
49658,Food Indices (2015=100),Jun 1 2012,84.423067
49659,Food Indices (2015=100),Jun 1 2013,88.210775
49660,Food Indices (2015=100),Jun 1 2014,94.667553
49661,Food Indices (2015=100),Jun 1 2015,98.20089
49662,Food Indices (2015=100),Jun 1 2016,112.966398
49663,Food Indices (2015=100),Jun 1 2017,123.897191
49664,Food Indices (2015=100),Jun 1 2018,129.038409
49665,Food Indices (2015=100),Jun 1 2019,139.440328
49666,Food Indices (2015=100),Jun 1 2020,154.930708
49667,Food Indices (2015=100),Jun 1 2021,171.292162
49668,Food Indices (2015=100),Jul 1 2000,28.072366
49669,Food Indices (2015=100),Jul 1 2001,31.772517
