,symbol,date,indices
50568,Food Indices (2015=100),Jan 1 2000,68.444037
50569,Food Indices (2015=100),Jan 1 2001,70.240759
50570,Food Indices (2015=100),Jan 1 2002,74.331362
50571,Food Indices (2015=100),Jan 1 2003,76.818959
50572,Food Indices (2015=100),Jan 1 2004,78.815173
50573,Food Indices (2015=100),Jan 1 2005,78.807504
50574,Food Indices (2015=100),Jan 1 2006,78.951961
50575,Food Indices (2015=100),Jan 1 2007,84.484577
50576,Food Indices (2015=100),Jan 1 2008,84.764813
50577,Food Indices (2015=100),Jan 1 2009,119.948058
50578,Food Indices (2015=100),Jan 1 2010,113.663923
50579,Food Indices (2015=100),Jan 1 2011,106.770487
50580,Food Indices (2015=100),Jan 1 2012,101.558483
50581,Food Indices (2015=100),Jan 1 2013,103.316172
50582,Food Indices (2015=100),Jan 1 2014,99.066722
50583,Food Indices (2015=100),Jan 1 2015,99.938279
50584,Food Indices (2015=100),Jan 1 2016,100.435057
50585,Food Indices (2015=100),Jan 1 2017,99.553707
50586,Food Indices (2015=100),Jan 1 2018,100.348724
50587,Food Indices (2015=100),Jan 1 2019,101.469722
50588,Food Indices (2015=100),Jan 1 2020,99.961814
50589,Food Indices (2015=100),Jan 1 2021,100.796932
50590,Food Indices (2015=100),Feb 1 2000,68.575302
50591,Food Indices (2015=100),Feb 1 2001,70.593574
50592,Food Indices (2015=100),Feb 1 2002,74.541005
50593,Food Indices (2015=100),Feb 1 2003,77.00048
50594,Food Indices (2015=100),Feb 1 2004,78.814662
50595,Food Indices (2015=100),Feb 1 2005,78.805458
50596,Food Indices (2015=100),Feb 1 2006,79.031029
50597,Food Indices (2015=100),Feb 1 2007,84.315943
50598,Food Indices (2015=100),Feb 1 2008,86.18835
50599,Food Indices (2015=100),Feb 1 2009,123.884125
50600,Food Indices (2015=100),Feb 1 2010,107.86829
50601,Food Indices (2015=100),Feb 1 2011,104.959366
50602,Food Indices (2015=100),Feb 1 2012,100.371319
50603,Food Indices (2015=100),Feb 1 2013,100.212428
50604,Food Indices (2015=100),Feb 1 2014,99.565451
50605,Food Indices (2015=100),Feb 1 2015,99.513878
50606,Food Indices (2015=100),Feb 1 2016,100.683055
50607,Food Indices (2015=100),Feb 1 2017,99.115799
50608,Food Indices (2015=100),Feb 1 2018,99.00028
50609,Food Indices (2015=100),Feb 1 2019,102.242065
50610,Food Indices (2015=100),Feb 1 2020,100.222528
50611,Food Indices (2015=100),Feb 1 2021,100.854504
50612,Food Indices (2015=100),Mar 1 2000,68.706566
50613,Food Indices (2015=100),Mar 1 2001,70.946388
50614,Food Indices (2015=100),Mar 1 2002,74.750648
50615,Food Indices (2015=100),Mar 1 2003,77.182
50616,Food Indices (2015=100),Mar 1 2004,78.814151
50617,Food Indices (2015=100),Mar 1 2005,78.803413
50618,Food Indices (2015=100),Mar 1 2006,78.99786
50619,Food Indices (2015=100),Mar 1 2007,84.714686
50620,Food Indices (2015=100),Mar 1 2008,89.299821
50621,Food Indices (2015=100),Mar 1 2009,121.021813
50622,Food Indices (2015=100),Mar 1 2010,105.397137
50623,Food Indices (2015=100),Mar 1 2011,102.111765
50624,Food Indices (2015=100),Mar 1 2012,102.48841
50625,Food Indices (2015=100),Mar 1 2013,100.541605
50626,Food Indices (2015=100),Mar 1 2014,104.562412
50627,Food Indices (2015=100),Mar 1 2015,99.513878
50628,Food Indices (2015=100),Mar 1 2016,100.918766
50629,Food Indices (2015=100),Mar 1 2017,99.18895
50630,Food Indices (2015=100),Mar 1 2018,98.850505
50631,Food Indices (2015=100),Mar 1 2019,100.392496
50632,Food Indices (2015=100),Mar 1 2020,100.249508
50633,Food Indices (2015=100),Mar 1 2021,100.912076
50634,Food Indices (2015=100),Apr 1 2000,68.83783
50635,Food Indices (2015=100),Apr 1 2001,71.299203
50636,Food Indices (2015=100),Apr 1 2002,74.960292
50637,Food Indices (2015=100),Apr 1 2003,77.363521
50638,Food Indices (2015=100),Apr 1 2004,78.813639
50639,Food Indices (2015=100),Apr 1 2005,78.801368
50640,Food Indices (2015=100),Apr 1 2006,78.99786
50641,Food Indices (2015=100),Apr 1 2007,83.556778
50642,Food Indices (2015=100),Apr 1 2008,89.286207
50643,Food Indices (2015=100),Apr 1 2009,121.31172
50644,Food Indices (2015=100),Apr 1 2010,105.308303
50645,Food Indices (2015=100),Apr 1 2011,103.783825
50646,Food Indices (2015=100),Apr 1 2012,109.83227
50647,Food Indices (2015=100),Apr 1 2013,101.253902
50648,Food Indices (2015=100),Apr 1 2014,104.416894
50649,Food Indices (2015=100),Apr 1 2015,98.734513
50650,Food Indices (2015=100),Apr 1 2016,100.28537
50651,Food Indices (2015=100),Apr 1 2017,103.729323
50652,Food Indices (2015=100),Apr 1 2018,99.571675
50653,Food Indices (2015=100),Apr 1 2019,100.367404
50654,Food Indices (2015=100),Apr 1 2020,100.27878
50655,Food Indices (2015=100),Apr 1 2021,100.969649
50656,Food Indices (2015=100),May 1 2000,68.969095
50657,Food Indices (2015=100),May 1 2001,71.652017
50658,Food Indices (2015=100),May 1 2002,75.169935
50659,Food Indices (2015=100),May 1 2003,77.545041
50660,Food Indices (2015=100),May 1 2004,78.813128
50661,Food Indices (2015=100),May 1 2005,78.799322
50662,Food Indices (2015=100),May 1 2006,78.99786
50663,Food Indices (2015=100),May 1 2007,83.556778
50664,Food Indices (2015=100),May 1 2008,92.578936
50665,Food Indices (2015=100),May 1 2009,121.420422
50666,Food Indices (2015=100),May 1 2010,105.308303
50667,Food Indices (2015=100),May 1 2011,103.812386
50668,Food Indices (2015=100),May 1 2012,105.193845
50669,Food Indices (2015=100),May 1 2013,100.833091
50670,Food Indices (2015=100),May 1 2014,104.274014
50671,Food Indices (2015=100),May 1 2015,98.350144
50672,Food Indices (2015=100),May 1 2016,100.380372
50673,Food Indices (2015=100),May 1 2017,103.562252
50674,Food Indices (2015=100),May 1 2018,100.902122
50675,Food Indices (2015=100),May 1 2019,96.841697
50676,Food Indices (2015=100),May 1 2020,100.336353
50677,Food Indices (2015=100),May 1 2021,101.027221
50678,Food Indices (2015=100),Jun 1 2000,69.100359
50679,Food Indices (2015=100),Jun 1 2001,72.004832
50680,Food Indices (2015=100),Jun 1 2002,75.379579
50681,Food Indices (2015=100),Jun 1 2003,77.726562
50682,Food Indices (2015=100),Jun 1 2004,78.812617
50683,Food Indices (2015=100),Jun 1 2005,78.797277
50684,Food Indices (2015=100),Jun 1 2006,75.595513
50685,Food Indices (2015=100),Jun 1 2007,83.556778
50686,Food Indices (2015=100),Jun 1 2008,95.707369
50687,Food Indices (2015=100),Jun 1 2009,123.316117
50688,Food Indices (2015=100),Jun 1 2010,108.627262
50689,Food Indices (2015=100),Jun 1 2011,103.35515
50690,Food Indices (2015=100),Jun 1 2012,104.113512
50691,Food Indices (2015=100),Jun 1 2013,100.73945
50692,Food Indices (2015=100),Jun 1 2014,102.383143
50693,Food Indices (2015=100),Jun 1 2015,99.202998
50694,Food Indices (2015=100),Jun 1 2016,101.034817
50695,Food Indices (2015=100),Jun 1 2017,103.017375
50696,Food Indices (2015=100),Jun 1 2018,100.152009
50697,Food Indices (2015=100),Jun 1 2019,97.081082
50698,Food Indices (2015=100),Jun 1 2020,100.393925
50699,Food Indices (2015=100),Jun 1 2021,101.084793
50700,Food Indices (2015=100),Jul 1 2000,69.231623
50701,Food Indices (2015=100),Jul 1 2001,72.357646
50702,Food Indices (2015=100),Jul 1 2002,75.589222
50703,Food Indices (2015=100),Jul 1 2003,77.908082
50704,Food Indices (2015=100),Jul 1 2004,78.812105
50705,Food Indices (2015=100),Jul 1 2005,78.795232
50706,Food Indices (2015=100),Jul 1 2006,77.237381
50707,Food Indices (2015=100),Jul 1 2007,82.701969
50708,Food Indices (2015=100),Jul 1 2008,108.05067
50709,Food Indices (2015=100),Jul 1 2009,122.59742
50710,Food Indices (2015=100),Jul 1 2010,106.984578
50711,Food Indices (2015=100),Jul 1 2011,105.596233
50712,Food Indices (2015=100),Jul 1 2012,97.989794
50713,Food Indices (2015=100),Jul 1 2013,100.20566
50714,Food Indices (2015=100),Jul 1 2014,98.651049
50715,Food Indices (2015=100),Jul 1 2015,100.740312
50716,Food Indices (2015=100),Jul 1 2016,100.915233
50717,Food Indices (2015=100),Jul 1 2017,101.327107
50718,Food Indices (2015=100),Jul 1 2018,99.202486
50719,Food Indices (2015=100),Jul 1 2019,95.95292
50720,Food Indices (2015=100),Jul 1 2020,100.451497
50721,Food Indices (2015=100),Aug 1 2000,69.362887
50722,Food Indices (2015=100),Aug 1 2001,72.71046
50723,Food Indices (2015=100),Aug 1 2002,75.798865
50724,Food Indices (2015=100),Aug 1 2003,78.089603
50725,Food Indices (2015=100),Aug 1 2004,78.811594
50726,Food Indices (2015=100),Aug 1 2005,78.793186
50727,Food Indices (2015=100),Aug 1 2006,79.050663
50728,Food Indices (2015=100),Aug 1 2007,82.788275
50729,Food Indices (2015=100),Aug 1 2008,122.502565
50730,Food Indices (2015=100),Aug 1 2009,124.39611
50731,Food Indices (2015=100),Aug 1 2010,103.041089
50732,Food Indices (2015=100),Aug 1 2011,102.773288
50733,Food Indices (2015=100),Aug 1 2012,95.954388
50734,Food Indices (2015=100),Aug 1 2013,99.760274
50735,Food Indices (2015=100),Aug 1 2014,99.816783
50736,Food Indices (2015=100),Aug 1 2015,100.630357
50737,Food Indices (2015=100),Aug 1 2016,101.072287
50738,Food Indices (2015=100),Aug 1 2017,100.994127
50739,Food Indices (2015=100),Aug 1 2018,100.377746
50740,Food Indices (2015=100),Aug 1 2019,96.432981
50741,Food Indices (2015=100),Aug 1 2020,100.50907
50742,Food Indices (2015=100),Sep 1 2000,69.494152
50743,Food Indices (2015=100),Sep 1 2001,73.063275
50744,Food Indices (2015=100),Sep 1 2002,76.008509
50745,Food Indices (2015=100),Sep 1 2003,78.271123
50746,Food Indices (2015=100),Sep 1 2004,78.811083
50747,Food Indices (2015=100),Sep 1 2005,78.791141
50748,Food Indices (2015=100),Sep 1 2006,77.66331
50749,Food Indices (2015=100),Sep 1 2007,82.788275
50750,Food Indices (2015=100),Sep 1 2008,117.631867
50751,Food Indices (2015=100),Sep 1 2009,114.484958
50752,Food Indices (2015=100),Sep 1 2010,104.482802
50753,Food Indices (2015=100),Sep 1 2011,104.37189
50754,Food Indices (2015=100),Sep 1 2012,98.827972
50755,Food Indices (2015=100),Sep 1 2013,99.297046
50756,Food Indices (2015=100),Sep 1 2014,97.717166
50757,Food Indices (2015=100),Sep 1 2015,100.982075
50758,Food Indices (2015=100),Sep 1 2016,101.734985
50759,Food Indices (2015=100),Sep 1 2017,100.463489
50760,Food Indices (2015=100),Sep 1 2018,98.717833
50761,Food Indices (2015=100),Sep 1 2019,97.07654
50762,Food Indices (2015=100),Sep 1 2020,100.566642
50763,Food Indices (2015=100),Oct 1 2000,69.625416
50764,Food Indices (2015=100),Oct 1 2001,73.416089
50765,Food Indices (2015=100),Oct 1 2002,76.218152
50766,Food Indices (2015=100),Oct 1 2003,78.452644
50767,Food Indices (2015=100),Oct 1 2004,78.810572
50768,Food Indices (2015=100),Oct 1 2005,78.789096
50769,Food Indices (2015=100),Oct 1 2006,77.434055
50770,Food Indices (2015=100),Oct 1 2007,82.701969
50771,Food Indices (2015=100),Oct 1 2008,116.625713
50772,Food Indices (2015=100),Oct 1 2009,113.537224
50773,Food Indices (2015=100),Oct 1 2010,104.482802
50774,Food Indices (2015=100),Oct 1 2011,101.301077
50775,Food Indices (2015=100),Oct 1 2012,97.660087
50776,Food Indices (2015=100),Oct 1 2013,101.262424
50777,Food Indices (2015=100),Oct 1 2014,97.786202
50778,Food Indices (2015=100),Oct 1 2015,101.529312
50779,Food Indices (2015=100),Oct 1 2016,104.114436
