,symbol,date,price
55728,Food Indices,Jan 1 2000,67.95493
55729,Food Indices,Jan 1 2001,70.60528
55730,Food Indices,Jan 1 2002,74.26806
55731,Food Indices,Jan 1 2003,75.91245
55732,Food Indices,Jan 1 2004,77.80187
55733,Food Indices,Jan 1 2005,78.35
55734,Food Indices,Jan 1 2006,80.16
55735,Food Indices,Jan 1 2007,82.62
55736,Food Indices,Jan 1 2008,86.9
55737,Food Indices,Jan 1 2009,89.46
55738,Food Indices,Jan 1 2010,89.51
55739,Food Indices,Jan 1 2011,91.73
55740,Food Indices,Jan 1 2012,93.26
55741,Food Indices,Jan 1 2013,97.12
55742,Food Indices,Jan 1 2014,100.12
55743,Food Indices,Jan 1 2015,99.53
55744,Food Indices,Jan 1 2016,100.87
55745,Food Indices,Jan 1 2017,103.49
55746,Food Indices,Jan 1 2018,105.39
55747,Food Indices,Jan 1 2019,108.09
55748,Food Indices,Jan 1 2020,109.69
55749,Food Indices,Jan 1 2021,110.99
55750,Food Indices,Feb 1 2000,68.14838
55751,Food Indices,Feb 1 2001,70.68266
55752,Food Indices,Feb 1 2002,74.39703
55753,Food Indices,Feb 1 2003,76.06076
55754,Food Indices,Feb 1 2004,77.86636
55755,Food Indices,Feb 1 2005,78.81
55756,Food Indices,Feb 1 2006,80.25
55757,Food Indices,Feb 1 2007,82.64
55758,Food Indices,Feb 1 2008,87.16
55759,Food Indices,Feb 1 2009,89.65
55760,Food Indices,Feb 1 2010,89.54
55761,Food Indices,Feb 1 2011,92.04
55762,Food Indices,Feb 1 2012,94.13
55763,Food Indices,Feb 1 2013,97.44
55764,Food Indices,Feb 1 2014,99.87
55765,Food Indices,Feb 1 2015,99.45
55766,Food Indices,Feb 1 2016,100.64
55767,Food Indices,Feb 1 2017,104.11
55768,Food Indices,Feb 1 2018,105.56
55769,Food Indices,Feb 1 2019,108.12
55770,Food Indices,Feb 1 2020,110.11
55771,Food Indices,Feb 1 2021,111.11
55772,Food Indices,Mar 1 2000,68.27735
55773,Food Indices,Mar 1 2001,70.91481
55774,Food Indices,Mar 1 2002,74.40993
55775,Food Indices,Mar 1 2003,76.08656
55776,Food Indices,Mar 1 2004,77.85346
55777,Food Indices,Mar 1 2005,78.95
55778,Food Indices,Mar 1 2006,80.58
55779,Food Indices,Mar 1 2007,82.91
55780,Food Indices,Mar 1 2008,87.85
55781,Food Indices,Mar 1 2009,89.93
55782,Food Indices,Mar 1 2010,89.69
55783,Food Indices,Mar 1 2011,92.43
55784,Food Indices,Mar 1 2012,94.5
55785,Food Indices,Mar 1 2013,97.84
55786,Food Indices,Mar 1 2014,99.34
55787,Food Indices,Mar 1 2015,99.44
55788,Food Indices,Mar 1 2016,100.45
55789,Food Indices,Mar 1 2017,103.84
55790,Food Indices,Mar 1 2018,106.07
55791,Food Indices,Mar 1 2019,107.33
55792,Food Indices,Mar 1 2020,110.52
55793,Food Indices,Mar 1 2021,111.89
55794,Food Indices,Apr 1 2000,68.35473
55795,Food Indices,Apr 1 2001,71.53387
55796,Food Indices,Apr 1 2002,74.61629
55797,Food Indices,Apr 1 2003,76.27357
55798,Food Indices,Apr 1 2004,78.14365
55799,Food Indices,Apr 1 2005,79.28
55800,Food Indices,Apr 1 2006,80.77
55801,Food Indices,Apr 1 2007,82.93
55802,Food Indices,Apr 1 2008,87.77
55803,Food Indices,Apr 1 2009,90.12
55804,Food Indices,Apr 1 2010,90.11
55805,Food Indices,Apr 1 2011,92.28
55806,Food Indices,Apr 1 2012,94.55
55807,Food Indices,Apr 1 2013,98.38
55808,Food Indices,Apr 1 2014,99.72
55809,Food Indices,Apr 1 2015,99.36
55810,Food Indices,Apr 1 2016,101.26
55811,Food Indices,Apr 1 2017,103.73
55812,Food Indices,Apr 1 2018,106.2
55813,Food Indices,Apr 1 2019,107.68
55814,Food Indices,Apr 1 2020,112.28
55815,Food Indices,Apr 1 2021,111.68
55816,Food Indices,May 1 2000,68.59978
55817,Food Indices,May 1 2001,71.92723
55818,Food Indices,May 1 2002,75.19666
55819,Food Indices,May 1 2003,76.47992
55820,Food Indices,May 1 2004,78.0985
55821,Food Indices,May 1 2005,79.28
55822,Food Indices,May 1 2006,80.85
55823,Food Indices,May 1 2007,83.27
55824,Food Indices,May 1 2008,88.25
