,symbol,date,indices
56760,Food Indices (2015=100),Jan 1 2000,17.936294
56761,Food Indices (2015=100),Jan 1 2001,21.389675
56762,Food Indices (2015=100),Jan 1 2002,24.682751
56763,Food Indices (2015=100),Jan 1 2003,26.839292
56764,Food Indices (2015=100),Jan 1 2004,27.747323
56765,Food Indices (2015=100),Jan 1 2005,32.043006
56766,Food Indices (2015=100),Jan 1 2006,37.788047
56767,Food Indices (2015=100),Jan 1 2007,41.455094
56768,Food Indices (2015=100),Jan 1 2008,44.249034
56769,Food Indices (2015=100),Jan 1 2009,47.933544
56770,Food Indices (2015=100),Jan 1 2010,51.164037
56771,Food Indices (2015=100),Jan 1 2011,52.66578
56772,Food Indices (2015=100),Jan 1 2012,55.86135
56773,Food Indices (2015=100),Jan 1 2013,70.916807
56774,Food Indices (2015=100),Jan 1 2014,82.424375
56775,Food Indices (2015=100),Jan 1 2015,100.156461
56776,Food Indices (2015=100),Jan 1 2016,128.679632
56777,Food Indices (2015=100),Jan 1 2017,155.792914
56778,Food Indices (2015=100),Jan 1 2018,167.56922
56779,Food Indices (2015=100),Jan 1 2019,185.430333
56780,Food Indices (2015=100),Jan 1 2020,218.217014
56781,Food Indices (2015=100),Jan 1 2021,239.283104
56782,Food Indices (2015=100),Feb 1 2000,18.499052
56783,Food Indices (2015=100),Feb 1 2001,21.952434
56784,Food Indices (2015=100),Feb 1 2002,25.602014
56785,Food Indices (2015=100),Feb 1 2003,27.747323
56786,Food Indices (2015=100),Feb 1 2004,28.829975
56787,Food Indices (2015=100),Feb 1 2005,33.30028
56788,Food Indices (2015=100),Feb 1 2006,39.935889
56789,Food Indices (2015=100),Feb 1 2007,43.550549
56790,Food Indices (2015=100),Feb 1 2008,46.484187
56791,Food Indices (2015=100),Feb 1 2009,50.552863
56792,Food Indices (2015=100),Feb 1 2010,53.992902
56793,Food Indices (2015=100),Feb 1 2011,55.948661
56794,Food Indices (2015=100),Feb 1 2012,59.755405
56795,Food Indices (2015=100),Feb 1 2013,78.79002
56796,Food Indices (2015=100),Feb 1 2014,88.877336
56797,Food Indices (2015=100),Feb 1 2015,105.741797
56798,Food Indices (2015=100),Feb 1 2016,136.000218
56799,Food Indices (2015=100),Feb 1 2017,159.859906
56800,Food Indices (2015=100),Feb 1 2018,171.531423
56801,Food Indices (2015=100),Feb 1 2019,190.069958
56802,Food Indices (2015=100),Feb 1 2020,222.392676
56803,Food Indices (2015=100),Feb 1 2021,245.369438
56804,Food Indices (2015=100),Mar 1 2000,17.607407
56805,Food Indices (2015=100),Mar 1 2001,21.060788
56806,Food Indices (2015=100),Mar 1 2002,25.157946
56807,Food Indices (2015=100),Mar 1 2003,27.101224
56808,Food Indices (2015=100),Mar 1 2004,28.498194
56809,Food Indices (2015=100),Mar 1 2005,33.370128
56810,Food Indices (2015=100),Mar 1 2006,39.761267
56811,Food Indices (2015=100),Mar 1 2007,43.044148
56812,Food Indices (2015=100),Mar 1 2008,46.030172
56813,Food Indices (2015=100),Mar 1 2009,50.046461
56814,Food Indices (2015=100),Mar 1 2010,53.434114
56815,Food Indices (2015=100),Mar 1 2011,55.424797
56816,Food Indices (2015=100),Mar 1 2012,59.563321
56817,Food Indices (2015=100),Mar 1 2013,77.805868
56818,Food Indices (2015=100),Mar 1 2014,87.142086
56819,Food Indices (2015=100),Mar 1 2015,102.000164
56820,Food Indices (2015=100),Mar 1 2016,128.950765
56821,Food Indices (2015=100),Mar 1 2017,150.912523
56822,Food Indices (2015=100),Mar 1 2018,166.879327
56823,Food Indices (2015=100),Mar 1 2019,190.843228
56824,Food Indices (2015=100),Mar 1 2020,218.990285
56825,Food Indices (2015=100),Mar 1 2021,248.52325
56826,Food Indices (2015=100),Apr 1 2000,16.173037
56827,Food Indices (2015=100),Apr 1 2001,19.626419
56828,Food Indices (2015=100),Apr 1 2002,24.107566
56829,Food Indices (2015=100),Apr 1 2003,26.00111
56830,Food Indices (2015=100),Apr 1 2004,27.520315
56831,Food Indices (2015=100),Apr 1 2005,32.427173
56832,Food Indices (2015=100),Apr 1 2006,38.416683
56833,Food Indices (2015=100),Apr 1 2007,41.437632
56834,Food Indices (2015=100),Apr 1 2008,44.109337
56835,Food Indices (2015=100),Apr 1 2009,47.776384
56836,Food Indices (2015=100),Apr 1 2010,50.797333
56837,Food Indices (2015=100),Apr 1 2011,52.456235
