,symbol,date,price
59856,Food Indices (2015=100),Jan 1 2000,36.35467
59857,Food Indices (2015=100),Jan 1 2001,37.84491
59858,Food Indices (2015=100),Jan 1 2002,40.245723
59859,Food Indices (2015=100),Jan 1 2003,42.084225
59860,Food Indices (2015=100),Jan 1 2004,44.804805
59861,Food Indices (2015=100),Jan 1 2005,49.956991
59862,Food Indices (2015=100),Jan 1 2006,56.431882
59863,Food Indices (2015=100),Jan 1 2007,59.730221
59864,Food Indices (2015=100),Jan 1 2008,65.966077
59865,Food Indices (2015=100),Jan 1 2009,72.255673
59866,Food Indices (2015=100),Jan 1 2010,75.342068
59867,Food Indices (2015=100),Jan 1 2011,80.86466
59868,Food Indices (2015=100),Jan 1 2012,85.058533
59869,Food Indices (2015=100),Jan 1 2013,87.553251
59870,Food Indices (2015=100),Jan 1 2014,92.247138
59871,Food Indices (2015=100),Jan 1 2015,98.834721
59872,Food Indices (2015=100),Jan 1 2016,99.657974
59873,Food Indices (2015=100),Jan 1 2017,104.152961
59874,Food Indices (2015=100),Jan 1 2018,107.337346
59875,Food Indices (2015=100),Jan 1 2019,111.437537
59876,Food Indices (2015=100),Jan 1 2020,114.066416
59877,Food Indices (2015=100),Jan 1 2021,118.247376
59878,Food Indices (2015=100),Feb 1 2000,36.471529
59879,Food Indices (2015=100),Feb 1 2001,38.049702
59880,Food Indices (2015=100),Feb 1 2002,40.393821
59881,Food Indices (2015=100),Feb 1 2003,42.293645
59882,Food Indices (2015=100),Feb 1 2004,45.221762
59883,Food Indices (2015=100),Feb 1 2005,50.522649
59884,Food Indices (2015=100),Feb 1 2006,56.684527
59885,Food Indices (2015=100),Feb 1 2007,60.249469
59886,Food Indices (2015=100),Feb 1 2008,66.49021
59887,Food Indices (2015=100),Feb 1 2009,72.512872
59888,Food Indices (2015=100),Feb 1 2010,75.845779
59889,Food Indices (2015=100),Feb 1 2011,81.041126
59890,Food Indices (2015=100),Feb 1 2012,85.21095
59891,Food Indices (2015=100),Feb 1 2013,87.675258
59892,Food Indices (2015=100),Feb 1 2014,92.172443
59893,Food Indices (2015=100),Feb 1 2015,99.15305
59894,Food Indices (2015=100),Feb 1 2016,99.671227
59895,Food Indices (2015=100),Feb 1 2017,103.523382
59896,Food Indices (2015=100),Feb 1 2018,107.496398
59897,Food Indices (2015=100),Feb 1 2019,110.916298
59898,Food Indices (2015=100),Feb 1 2020,114.017228
59899,Food Indices (2015=100),Feb 1 2021,119.03438
59900,Food Indices (2015=100),Mar 1 2000,36.588388
59901,Food Indices (2015=100),Mar 1 2001,38.254494
59902,Food Indices (2015=100),Mar 1 2002,40.541919
59903,Food Indices (2015=100),Mar 1 2003,42.503065
59904,Food Indices (2015=100),Mar 1 2004,45.638719
59905,Food Indices (2015=100),Mar 1 2005,51.088308
59906,Food Indices (2015=100),Mar 1 2006,56.937172
59907,Food Indices (2015=100),Mar 1 2007,60.768716
59908,Food Indices (2015=100),Mar 1 2008,67.014343
59909,Food Indices (2015=100),Mar 1 2009,72.770072
59910,Food Indices (2015=100),Mar 1 2010,76.063876
59911,Food Indices (2015=100),Mar 1 2011,81.566095
59912,Food Indices (2015=100),Mar 1 2012,85.505406
59913,Food Indices (2015=100),Mar 1 2013,87.783211
59914,Food Indices (2015=100),Mar 1 2014,92.260089
59915,Food Indices (2015=100),Mar 1 2015,99.414369
59916,Food Indices (2015=100),Mar 1 2016,99.899948
59917,Food Indices (2015=100),Mar 1 2017,103.558492
59918,Food Indices (2015=100),Mar 1 2018,108.324166
59919,Food Indices (2015=100),Mar 1 2019,111.112487
59920,Food Indices (2015=100),Mar 1 2020,114.312355
59921,Food Indices (2015=100),Mar 1 2021,118.739253
59922,Food Indices (2015=100),Apr 1 2000,36.705247
59923,Food Indices (2015=100),Apr 1 2001,38.459287
59924,Food Indices (2015=100),Apr 1 2002,40.690018
59925,Food Indices (2015=100),Apr 1 2003,42.712486
59926,Food Indices (2015=100),Apr 1 2004,46.055676
59927,Food Indices (2015=100),Apr 1 2005,51.653967
59928,Food Indices (2015=100),Apr 1 2006,57.189816
59929,Food Indices (2015=100),Apr 1 2007,61.287964
59930,Food Indices (2015=100),Apr 1 2008,67.538476
59931,Food Indices (2015=100),Apr 1 2009,73.027272
59932,Food Indices (2015=100),Apr 1 2010,76.369045
59933,Food Indices (2015=100),Apr 1 2011,81.678313
59934,Food Indices (2015=100),Apr 1 2012,85.967238
59935,Food Indices (2015=100),Apr 1 2013,88.484724
59936,Food Indices (2015=100),Apr 1 2014,92.318199
59937,Food Indices (2015=100),Apr 1 2015,98.741164
59938,Food Indices (2015=100),Apr 1 2016,99.980698
59939,Food Indices (2015=100),Apr 1 2017,103.880621
59940,Food Indices (2015=100),Apr 1 2018,108.51843
59941,Food Indices (2015=100),Apr 1 2019,111.051186
59942,Food Indices (2015=100),Apr 1 2020,114.312355
59943,Food Indices (2015=100),Apr 1 2021,119.03438
59944,Food Indices (2015=100),May 1 2000,36.822106
59945,Food Indices (2015=100),May 1 2001,38.664079
59946,Food Indices (2015=100),May 1 2002,40.838116
59947,Food Indices (2015=100),May 1 2003,42.921906
59948,Food Indices (2015=100),May 1 2004,46.472633
59949,Food Indices (2015=100),May 1 2005,52.219626
59950,Food Indices (2015=100),May 1 2006,57.442461
59951,Food Indices (2015=100),May 1 2007,61.807211
59952,Food Indices (2015=100),May 1 2008,68.062609
59953,Food Indices (2015=100),May 1 2009,73.284471
59954,Food Indices (2015=100),May 1 2010,77.042496
59955,Food Indices (2015=100),May 1 2011,81.950831
59956,Food Indices (2015=100),May 1 2012,86.006716
59957,Food Indices (2015=100),May 1 2013,88.96638
59958,Food Indices (2015=100),May 1 2014,92.846484
59959,Food Indices (2015=100),May 1 2015,97.568574
59960,Food Indices (2015=100),May 1 2016,100.772079
59961,Food Indices (2015=100),May 1 2017,104.770579
59962,Food Indices (2015=100),May 1 2018,109.010584
59963,Food Indices (2015=100),May 1 2019,111.482908
59964,Food Indices (2015=100),May 1 2020,114.41073
59965,Food Indices (2015=100),May 1 2021,119.526257
59966,Food Indices (2015=100),Jun 1 2000,36.938965
59967,Food Indices (2015=100),Jun 1 2001,38.868871
59968,Food Indices (2015=100),Jun 1 2002,40.986214
59969,Food Indices (2015=100),Jun 1 2003,43.131326
59970,Food Indices (2015=100),Jun 1 2004,46.88959
59971,Food Indices (2015=100),Jun 1 2005,52.785285
59972,Food Indices (2015=100),Jun 1 2006,57.695105
59973,Food Indices (2015=100),Jun 1 2007,62.326459
59974,Food Indices (2015=100),Jun 1 2008,68.586742
59975,Food Indices (2015=100),Jun 1 2009,73.541671
59976,Food Indices (2015=100),Jun 1 2010,77.255008
59977,Food Indices (2015=100),Jun 1 2011,82.155314
59978,Food Indices (2015=100),Jun 1 2012,86.080873
59979,Food Indices (2015=100),Jun 1 2013,89.741266
59980,Food Indices (2015=100),Jun 1 2014,93.237731
59981,Food Indices (2015=100),Jun 1 2015,98.035393
59982,Food Indices (2015=100),Jun 1 2016,101.385468
59983,Food Indices (2015=100),Jun 1 2017,104.465103
59984,Food Indices (2015=100),Jun 1 2018,109.600647
59985,Food Indices (2015=100),Jun 1 2019,111.751525
59986,Food Indices (2015=100),Jun 1 2020,114.509106
59987,Food Indices (2015=100),Jun 1 2021,119.862605
59988,Food Indices (2015=100),Jul 1 2000,37.055823
59989,Food Indices (2015=100),Jul 1 2001,39.073663
59990,Food Indices (2015=100),Jul 1 2002,41.134313
59991,Food Indices (2015=100),Jul 1 2003,43.340746
