,symbol,date,indices
62952,Food Indices (2015=100),Jan 1 2000,62.059137
62953,Food Indices (2015=100),Jan 1 2001,64.302395
62954,Food Indices (2015=100),Jan 1 2002,68.074422
62955,Food Indices (2015=100),Jan 1 2003,67.327134
62956,Food Indices (2015=100),Jan 1 2004,66.793356
62957,Food Indices (2015=100),Jan 1 2005,68.999637
62958,Food Indices (2015=100),Jan 1 2006,71.988791
62959,Food Indices (2015=100),Jan 1 2007,74.550923
62960,Food Indices (2015=100),Jan 1 2008,78.002684
62961,Food Indices (2015=100),Jan 1 2009,86.614294
62962,Food Indices (2015=100),Jan 1 2010,88.012791
62963,Food Indices (2015=100),Jan 1 2011,91.06244
62964,Food Indices (2015=100),Jan 1 2012,98.222175
62965,Food Indices (2015=100),Jan 1 2013,101.563622
62966,Food Indices (2015=100),Jan 1 2014,100.919531
62967,Food Indices (2015=100),Jan 1 2015,100.051623
62968,Food Indices (2015=100),Jan 1 2016,100.152542
62969,Food Indices (2015=100),Jan 1 2017,100.354381
62970,Food Indices (2015=100),Jan 1 2018,98.769945
62971,Food Indices (2015=100),Jan 1 2019,98.154335
62972,Food Indices (2015=100),Jan 1 2020,101.414036
62973,Food Indices (2015=100),Jan 1 2021,103.149852
62974,Food Indices (2015=100),Feb 1 2000,62.246075
62975,Food Indices (2015=100),Feb 1 2001,65.832557
62976,Food Indices (2015=100),Feb 1 2002,68.394689
62977,Food Indices (2015=100),Feb 1 2003,67.149208
62978,Food Indices (2015=100),Feb 1 2004,66.828942
62979,Food Indices (2015=100),Feb 1 2005,68.287933
62980,Food Indices (2015=100),Feb 1 2006,71.668524
62981,Food Indices (2015=100),Feb 1 2007,75.298211
62982,Food Indices (2015=100),Feb 1 2008,78.002684
62983,Food Indices (2015=100),Feb 1 2009,86.756634
62984,Food Indices (2015=100),Feb 1 2010,88.347291
62985,Food Indices (2015=100),Feb 1 2011,90.671003
62986,Food Indices (2015=100),Feb 1 2012,99.186533
62987,Food Indices (2015=100),Feb 1 2013,101.780692
62988,Food Indices (2015=100),Feb 1 2014,100.939714
62989,Food Indices (2015=100),Feb 1 2015,99.799324
62990,Food Indices (2015=100),Feb 1 2016,99.839692
62991,Food Indices (2015=100),Feb 1 2017,98.971784
62992,Food Indices (2015=100),Feb 1 2018,98.134151
62993,Food Indices (2015=100),Feb 1 2019,97.891945
62994,Food Indices (2015=100),Feb 1 2020,101.504864
62995,Food Indices (2015=100),Feb 1 2021,103.149852
62996,Food Indices (2015=100),Mar 1 2000,62.433013
62997,Food Indices (2015=100),Mar 1 2001,68.003252
62998,Food Indices (2015=100),Mar 1 2002,67.932082
62999,Food Indices (2015=100),Mar 1 2003,66.757771
63000,Food Indices (2015=100),Mar 1 2004,68.465859
63001,Food Indices (2015=100),Mar 1 2005,68.110008
63002,Food Indices (2015=100),Mar 1 2006,71.668524
63003,Food Indices (2015=100),Mar 1 2007,75.476137
63004,Food Indices (2015=100),Mar 1 2008,78.429706
63005,Food Indices (2015=100),Mar 1 2009,86.898975
63006,Food Indices (2015=100),Mar 1 2010,88.347291
63007,Food Indices (2015=100),Mar 1 2011,91.560632
63008,Food Indices (2015=100),Mar 1 2012,99.254145
63009,Food Indices (2015=100),Mar 1 2013,101.798484
63010,Food Indices (2015=100),Mar 1 2014,100.677324
63011,Food Indices (2015=100),Mar 1 2015,99.72868
63012,Food Indices (2015=100),Mar 1 2016,98.729577
63013,Food Indices (2015=100),Mar 1 2017,98.820404
63014,Food Indices (2015=100),Mar 1 2018,98.628657
63015,Food Indices (2015=100),Mar 1 2019,98.699301
63016,Food Indices (2015=100),Mar 1 2020,101.565416
63017,Food Indices (2015=100),Mar 1 2021,103.149852
63018,Food Indices (2015=100),Apr 1 2000,62.619951
63019,Food Indices (2015=100),Apr 1 2001,66.651016
63020,Food Indices (2015=100),Apr 1 2002,67.754156
63021,Food Indices (2015=100),Apr 1 2003,67.327134
63022,Food Indices (2015=100),Apr 1 2004,68.359104
63023,Food Indices (2015=100),Apr 1 2005,69.568999
63024,Food Indices (2015=100),Apr 1 2006,71.668524
63025,Food Indices (2015=100),Apr 1 2007,76.009914
63026,Food Indices (2015=100),Apr 1 2008,79.995453
63027,Food Indices (2015=100),Apr 1 2009,87.432753
63028,Food Indices (2015=100),Apr 1 2010,88.002115
63029,Food Indices (2015=100),Apr 1 2011,91.560632
63030,Food Indices (2015=100),Apr 1 2012,99.542385
63031,Food Indices (2015=100),Apr 1 2013,101.492452
63032,Food Indices (2015=100),Apr 1 2014,100.747967
63033,Food Indices (2015=100),Apr 1 2015,100.071806
63034,Food Indices (2015=100),Apr 1 2016,99.597485
63035,Food Indices (2015=100),Apr 1 2017,99.698404
63036,Food Indices (2015=100),Apr 1 2018,98.860772
63037,Food Indices (2015=100),Apr 1 2019,99.466289
63038,Food Indices (2015=100),Apr 1 2020,101.514956
63039,Food Indices (2015=100),Apr 1 2021,103.334952
63040,Food Indices (2015=100),May 1 2000,62.806889
63041,Food Indices (2015=100),May 1 2001,66.046068
63042,Food Indices (2015=100),May 1 2002,67.896497
63043,Food Indices (2015=100),May 1 2003,65.832557
63044,Food Indices (2015=100),May 1 2004,69.462244
63045,Food Indices (2015=100),May 1 2005,69.462244
63046,Food Indices (2015=100),May 1 2006,71.668524
63047,Food Indices (2015=100),May 1 2007,75.796403
63048,Food Indices (2015=100),May 1 2008,79.817527
63049,Food Indices (2015=100),May 1 2009,87.148071
63050,Food Indices (2015=100),May 1 2010,88.272563
63051,Food Indices (2015=100),May 1 2011,93.233135
63052,Food Indices (2015=100),May 1 2012,99.851976
63053,Food Indices (2015=100),May 1 2013,101.777133
63054,Food Indices (2015=100),May 1 2014,100.485577
63055,Food Indices (2015=100),May 1 2015,100.031439
63056,Food Indices (2015=100),May 1 2016,99.819508
63057,Food Indices (2015=100),May 1 2017,100.263554
63058,Food Indices (2015=100),May 1 2018,99.173623
63059,Food Indices (2015=100),May 1 2019,98.85068
63060,Food Indices (2015=100),May 1 2020,101.575507
63061,Food Indices (2015=100),May 1 2021,103.520051
63062,Food Indices (2015=100),Jun 1 2000,62.993828
63063,Food Indices (2015=100),Jun 1 2001,65.832557
63064,Food Indices (2015=100),Jun 1 2002,67.967667
63065,Food Indices (2015=100),Jun 1 2003,66.117238
63066,Food Indices (2015=100),Jun 1 2004,69.319903
63067,Food Indices (2015=100),Jun 1 2005,69.604585
63068,Food Indices (2015=100),Jun 1 2006,72.237887
63069,Food Indices (2015=100),Jun 1 2007,75.725233
63070,Food Indices (2015=100),Jun 1 2008,81.027423
63071,Food Indices (2015=100),Jun 1 2009,87.824189
63072,Food Indices (2015=100),Jun 1 2010,87.272619
63073,Food Indices (2015=100),Jun 1 2011,92.272335
63074,Food Indices (2015=100),Jun 1 2012,100.125981
63075,Food Indices (2015=100),Jun 1 2013,101.182861
63076,Food Indices (2015=100),Jun 1 2014,100.24337
63077,Food Indices (2015=100),Jun 1 2015,99.940611
63078,Food Indices (2015=100),Jun 1 2016,100.213094
63079,Food Indices (2015=100),Jun 1 2017,100.112174
63080,Food Indices (2015=100),Jun 1 2018,98.558014
63081,Food Indices (2015=100),Jun 1 2019,99.67822
63082,Food Indices (2015=100),Jun 1 2020,101.212197
63083,Food Indices (2015=100),Jun 1 2021,103.705151
63084,Food Indices (2015=100),Jul 1 2000,63.180766
63085,Food Indices (2015=100),Jul 1 2001,65.156439
63086,Food Indices (2015=100),Jul 1 2002,68.074422
63087,Food Indices (2015=100),Jul 1 2003,65.725801
63088,Food Indices (2015=100),Jul 1 2004,68.643785
63089,Food Indices (2015=100),Jul 1 2005,69.960436
63090,Food Indices (2015=100),Jul 1 2006,73.127516
63091,Food Indices (2015=100),Jul 1 2007,75.689648
63092,Food Indices (2015=100),Jul 1 2008,81.881467
63093,Food Indices (2015=100),Jul 1 2009,87.824189
63094,Food Indices (2015=100),Jul 1 2010,87.368699
63095,Food Indices (2015=100),Jul 1 2011,93.33989
63096,Food Indices (2015=100),Jul 1 2012,101.129483
63097,Food Indices (2015=100),Jul 1 2013,101.175744
63098,Food Indices (2015=100),Jul 1 2014,99.940611
63099,Food Indices (2015=100),Jul 1 2015,100.19291
63100,Food Indices (2015=100),Jul 1 2016,99.698404
63101,Food Indices (2015=100),Jul 1 2017,99.557117
63102,Food Indices (2015=100),Jul 1 2018,98.426818
63103,Food Indices (2015=100),Jul 1 2019,99.769048
63104,Food Indices (2015=100),Jul 1 2020,101.84799
63105,Food Indices (2015=100),Aug 1 2000,63.367704
63106,Food Indices (2015=100),Aug 1 2001,65.690216
63107,Food Indices (2015=100),Aug 1 2002,68.145593
63108,Food Indices (2015=100),Aug 1 2003,65.049683
63109,Food Indices (2015=100),Aug 1 2004,68.892881
63110,Food Indices (2015=100),Aug 1 2005,70.387458
63111,Food Indices (2015=100),Aug 1 2006,73.341027
63112,Food Indices (2015=100),Aug 1 2007,75.938744
63113,Food Indices (2015=100),Aug 1 2008,82.771096
63114,Food Indices (2015=100),Aug 1 2009,86.898975
63115,Food Indices (2015=100),Aug 1 2010,90.46105
63116,Food Indices (2015=100),Aug 1 2011,94.265105
63117,Food Indices (2015=100),Aug 1 2012,101.773575
63118,Food Indices (2015=100),Aug 1 2013,101.609883
63119,Food Indices (2015=100),Aug 1 2014,99.577301
63120,Food Indices (2015=100),Aug 1 2015,99.536933
63121,Food Indices (2015=100),Aug 1 2016,99.577301
63122,Food Indices (2015=100),Aug 1 2017,99.21399
63123,Food Indices (2015=100),Aug 1 2018,99.133255
63124,Food Indices (2015=100),Aug 1 2019,101.585599
63125,Food Indices (2015=100),Aug 1 2020,102.029645
63126,Food Indices (2015=100),Sep 1 2000,63.554642
63127,Food Indices (2015=100),Sep 1 2001,66.046068
63128,Food Indices (2015=100),Sep 1 2002,68.216763
63129,Food Indices (2015=100),Sep 1 2003,65.049683
63130,Food Indices (2015=100),Sep 1 2004,68.892881
63131,Food Indices (2015=100),Sep 1 2005,70.850065
63132,Food Indices (2015=100),Sep 1 2006,73.98156
63133,Food Indices (2015=100),Sep 1 2007,75.938744
63134,Food Indices (2015=100),Sep 1 2008,83.269288
63135,Food Indices (2015=100),Sep 1 2009,87.468338
63136,Food Indices (2015=100),Sep 1 2010,89.816959
63137,Food Indices (2015=100),Sep 1 2011,94.265105
63138,Food Indices (2015=100),Sep 1 2012,101.812718
63139,Food Indices (2015=100),Sep 1 2013,101.90524
63140,Food Indices (2015=100),Sep 1 2014,99.456197
63141,Food Indices (2015=100),Sep 1 2015,99.748864
63142,Food Indices (2015=100),Sep 1 2016,99.72868
63143,Food Indices (2015=100),Sep 1 2017,99.032335
63144,Food Indices (2015=100),Sep 1 2018,98.568105
63145,Food Indices (2015=100),Sep 1 2019,100.223186
