,symbol,date,price
69852,Food Indices,Jan 1 2000,77.6
69853,Food Indices,Jan 1 2001,80.0
69854,Food Indices,Jan 1 2002,75.1
69855,Food Indices,Jan 1 2003,77.1
69856,Food Indices,Jan 1 2004,79.4
69857,Food Indices,Jan 1 2005,80.3
69858,Food Indices,Jan 1 2006,81.5
69859,Food Indices,Jan 1 2007,83.0
69860,Food Indices,Jan 1 2008,85.2
69861,Food Indices,Jan 1 2009,89.4
69862,Food Indices,Jan 1 2010,91.6
69863,Food Indices,Jan 1 2011,90.1
69864,Food Indices,Jan 1 2012,92.0
69865,Food Indices,Jan 1 2013,92.1
69866,Food Indices,Jan 1 2014,94.9
69867,Food Indices,Jan 1 2015,97.2
69868,Food Indices,Jan 1 2016,98.9
69869,Food Indices,Jan 1 2017,100.9
69870,Food Indices,Jan 1 2018,103.5
69871,Food Indices,Jan 1 2019,104.7
69872,Food Indices,Jan 1 2020,106.9
69873,Food Indices,Jan 1 2021,107.7
69874,Food Indices,Feb 1 2000,78.4
69875,Food Indices,Feb 1 2001,79.9
69876,Food Indices,Feb 1 2002,75.3
69877,Food Indices,Feb 1 2003,77.8
69878,Food Indices,Feb 1 2004,79.8
69879,Food Indices,Feb 1 2005,81.2
69880,Food Indices,Feb 1 2006,82.0
69881,Food Indices,Feb 1 2007,83.9
69882,Food Indices,Feb 1 2008,87.0
69883,Food Indices,Feb 1 2009,91.7
69884,Food Indices,Feb 1 2010,92.2
69885,Food Indices,Feb 1 2011,92.5
69886,Food Indices,Feb 1 2012,93.7
69887,Food Indices,Feb 1 2013,92.7
69888,Food Indices,Feb 1 2014,96.2
69889,Food Indices,Feb 1 2015,99.1
69890,Food Indices,Feb 1 2016,102.3
69891,Food Indices,Feb 1 2017,102.4
69892,Food Indices,Feb 1 2018,105.5
69893,Food Indices,Feb 1 2019,107.6
69894,Food Indices,Feb 1 2020,109.8
69895,Food Indices,Feb 1 2021,109.9
69896,Food Indices,Mar 1 2000,78.6
69897,Food Indices,Mar 1 2001,80.2
69898,Food Indices,Mar 1 2002,75.7
69899,Food Indices,Mar 1 2003,78.0
69900,Food Indices,Mar 1 2004,80.3
69901,Food Indices,Mar 1 2005,81.3
69902,Food Indices,Mar 1 2006,82.0
69903,Food Indices,Mar 1 2007,84.2
69904,Food Indices,Mar 1 2008,87.3
69905,Food Indices,Mar 1 2009,91.9
69906,Food Indices,Mar 1 2010,92.2
69907,Food Indices,Mar 1 2011,92.0
69908,Food Indices,Mar 1 2012,94.0
69909,Food Indices,Mar 1 2013,92.2
69910,Food Indices,Mar 1 2014,97.0
69911,Food Indices,Mar 1 2015,97.7
69912,Food Indices,Mar 1 2016,99.0
69913,Food Indices,Mar 1 2017,102.0
69914,Food Indices,Mar 1 2018,103.6
69915,Food Indices,Mar 1 2019,106.6
69916,Food Indices,Mar 1 2020,109.5
69917,Food Indices,Mar 1 2021,109.2
69918,Food Indices,Apr 1 2000,78.4
69919,Food Indices,Apr 1 2001,80.4
69920,Food Indices,Apr 1 2002,75.7
69921,Food Indices,Apr 1 2003,78.2
69922,Food Indices,Apr 1 2004,80.4
69923,Food Indices,Apr 1 2005,81.4
69924,Food Indices,Apr 1 2006,82.2
69925,Food Indices,Apr 1 2007,84.2
69926,Food Indices,Apr 1 2008,88.0
69927,Food Indices,Apr 1 2009,91.9
69928,Food Indices,Apr 1 2010,92.7
69929,Food Indices,Apr 1 2011,91.7
69930,Food Indices,Apr 1 2012,92.7
69931,Food Indices,Apr 1 2013,93.2
69932,Food Indices,Apr 1 2014,96.1
69933,Food Indices,Apr 1 2015,98.1
69934,Food Indices,Apr 1 2016,102.0
69935,Food Indices,Apr 1 2017,99.9
69936,Food Indices,Apr 1 2018,103.8
69937,Food Indices,Apr 1 2019,105.8
69938,Food Indices,Apr 1 2020,110.5
69939,Food Indices,Apr 1 2021,108.2
69940,Food Indices,May 1 2000,79.0
69941,Food Indices,May 1 2001,81.4
69942,Food Indices,May 1 2002,76.0
69943,Food Indices,May 1 2003,78.5
69944,Food Indices,May 1 2004,80.4
69945,Food Indices,May 1 2005,81.6
69946,Food Indices,May 1 2006,82.7
69947,Food Indices,May 1 2007,84.6
