,symbol,date,price
2580,Food Indices (2015=100),Jan 1 2000,65.722759
2581,Food Indices (2015=100),Jan 1 2001,67.310281
2582,Food Indices (2015=100),Jan 1 2002,72.547198
2583,Food Indices (2015=100),Jan 1 2003,74.376266
2584,Food Indices (2015=100),Jan 1 2004,76.378585
2585,Food Indices (2015=100),Jan 1 2005,76.976616
2586,Food Indices (2015=100),Jan 1 2006,79.762512
2587,Food Indices (2015=100),Jan 1 2007,86.32764
2588,Food Indices (2015=100),Jan 1 2008,88.251129
2589,Food Indices (2015=100),Jan 1 2009,93.625924
2590,Food Indices (2015=100),Jan 1 2010,94.355826
2591,Food Indices (2015=100),Jan 1 2011,97.671801
2592,Food Indices (2015=100),Jan 1 2012,97.624398
2593,Food Indices (2015=100),Jan 1 2013,97.508752
2594,Food Indices (2015=100),Jan 1 2014,98.63704
2595,Food Indices (2015=100),Jan 1 2015,99.878471
2596,Food Indices (2015=100),Jan 1 2016,100.006828
2597,Food Indices (2015=100),Jan 1 2017,101.618144
2598,Food Indices (2015=100),Jan 1 2018,100.890014
2599,Food Indices (2015=100),Jan 1 2019,103.229767
2600,Food Indices (2015=100),Jan 1 2020,109.738062
2601,Food Indices (2015=100),Jan 1 2021,121.04131
2602,Food Indices (2015=100),Feb 1 2000,65.876648
2603,Food Indices (2015=100),Feb 1 2001,68.246488
2604,Food Indices (2015=100),Feb 1 2002,72.674554
2605,Food Indices (2015=100),Feb 1 2003,74.858593
2606,Food Indices (2015=100),Feb 1 2004,76.897787
2607,Food Indices (2015=100),Feb 1 2005,77.202452
2608,Food Indices (2015=100),Feb 1 2006,80.169518
2609,Food Indices (2015=100),Feb 1 2007,85.377944
2610,Food Indices (2015=100),Feb 1 2008,88.902823
2611,Food Indices (2015=100),Feb 1 2009,94.369309
2612,Food Indices (2015=100),Feb 1 2010,94.717608
2613,Food Indices (2015=100),Feb 1 2011,98.849753
2614,Food Indices (2015=100),Feb 1 2012,96.674726
2615,Food Indices (2015=100),Feb 1 2013,97.155173
2616,Food Indices (2015=100),Feb 1 2014,98.727026
2617,Food Indices (2015=100),Feb 1 2015,99.753833
2618,Food Indices (2015=100),Feb 1 2016,99.630556
2619,Food Indices (2015=100),Feb 1 2017,101.513892
2620,Food Indices (2015=100),Feb 1 2018,100.918985
2621,Food Indices (2015=100),Feb 1 2019,103.858613
2622,Food Indices (2015=100),Feb 1 2020,110.553573
2623,Food Indices (2015=100),Feb 1 2021,121.198448
2624,Food Indices (2015=100),Mar 1 2000,66.035543
2625,Food Indices (2015=100),Mar 1 2001,69.181998
2626,Food Indices (2015=100),Mar 1 2002,72.79917
2627,Food Indices (2015=100),Mar 1 2003,75.341523
2628,Food Indices (2015=100),Mar 1 2004,77.417386
2629,Food Indices (2015=100),Mar 1 2005,77.428776
2630,Food Indices (2015=100),Mar 1 2006,80.574262
2631,Food Indices (2015=100),Mar 1 2007,84.427845
2632,Food Indices (2015=100),Mar 1 2008,89.55544
2633,Food Indices (2015=100),Mar 1 2009,95.10387
2634,Food Indices (2015=100),Mar 1 2010,95.07216
2635,Food Indices (2015=100),Mar 1 2011,100.012761
2636,Food Indices (2015=100),Mar 1 2012,95.720051
2637,Food Indices (2015=100),Mar 1 2013,96.798545
2638,Food Indices (2015=100),Mar 1 2014,98.812328
2639,Food Indices (2015=100),Mar 1 2015,99.749175
2640,Food Indices (2015=100),Mar 1 2016,99.436394
2641,Food Indices (2015=100),Mar 1 2017,101.336606
2642,Food Indices (2015=100),Mar 1 2018,101.208395
2643,Food Indices (2015=100),Mar 1 2019,104.489743
2644,Food Indices (2015=100),Mar 1 2020,111.522015
2645,Food Indices (2015=100),Mar 1 2021,121.300855
2646,Food Indices (2015=100),Apr 1 2000,66.202426
2647,Food Indices (2015=100),Apr 1 2001,69.331986
2648,Food Indices (2015=100),Apr 1 2002,72.564361
2649,Food Indices (2015=100),Apr 1 2003,75.245553
2650,Food Indices (2015=100),Apr 1 2004,77.080357
2651,Food Indices (2015=100),Apr 1 2005,77.385081
2652,Food Indices (2015=100),Apr 1 2006,81.899597
2653,Food Indices (2015=100),Apr 1 2007,84.978875
2654,Food Indices (2015=100),Apr 1 2008,89.432624
2655,Food Indices (2015=100),Apr 1 2009,94.665685
2656,Food Indices (2015=100),Apr 1 2010,94.849242
2657,Food Indices (2015=100),Apr 1 2011,100.498931
2658,Food Indices (2015=100),Apr 1 2012,95.91731
2659,Food Indices (2015=100),Apr 1 2013,96.811706
2660,Food Indices (2015=100),Apr 1 2014,98.958092
2661,Food Indices (2015=100),Apr 1 2015,99.748023
2662,Food Indices (2015=100),Apr 1 2016,99.392393
2663,Food Indices (2015=100),Apr 1 2017,101.034649
2664,Food Indices (2015=100),Apr 1 2018,100.949187
2665,Food Indices (2015=100),Apr 1 2019,104.252584
2666,Food Indices (2015=100),Apr 1 2020,111.873199
2667,Food Indices (2015=100),Apr 1 2021,121.770826
2668,Food Indices (2015=100),May 1 2000,66.370192
2669,Food Indices (2015=100),May 1 2001,69.482298
2670,Food Indices (2015=100),May 1 2002,72.329157
2671,Food Indices (2015=100),May 1 2003,75.150489
2672,Food Indices (2015=100),May 1 2004,76.7433
2673,Food Indices (2015=100),May 1 2005,77.341172
2674,Food Indices (2015=100),May 1 2006,83.226722
2675,Food Indices (2015=100),May 1 2007,85.528784
2676,Food Indices (2015=100),May 1 2008,89.309871
2677,Food Indices (2015=100),May 1 2009,94.235387
2678,Food Indices (2015=100),May 1 2010,94.636075
2679,Food Indices (2015=100),May 1 2011,100.984815
2680,Food Indices (2015=100),May 1 2012,96.056395
2681,Food Indices (2015=100),May 1 2013,96.821795
2682,Food Indices (2015=100),May 1 2014,99.10416
2683,Food Indices (2015=100),May 1 2015,99.852849
2684,Food Indices (2015=100),May 1 2016,99.201126
2685,Food Indices (2015=100),May 1 2017,101.215104
2686,Food Indices (2015=100),May 1 2018,100.640572
2687,Food Indices (2015=100),May 1 2019,104.14961
2688,Food Indices (2015=100),May 1 2020,111.962751
2689,Food Indices (2015=100),May 1 2021,122.251777
2690,Food Indices (2015=100),Jun 1 2000,66.536658
2691,Food Indices (2015=100),Jun 1 2001,69.635861
2692,Food Indices (2015=100),Jun 1 2002,72.092212
2693,Food Indices (2015=100),Jun 1 2003,75.054264
2694,Food Indices (2015=100),Jun 1 2004,76.406484
2695,Food Indices (2015=100),Jun 1 2005,77.298646
2696,Food Indices (2015=100),Jun 1 2006,84.552454
2697,Food Indices (2015=100),Jun 1 2007,86.079983
2698,Food Indices (2015=100),Jun 1 2008,89.191505
2699,Food Indices (2015=100),Jun 1 2009,93.800258
2700,Food Indices (2015=100),Jun 1 2010,94.413259
2701,Food Indices (2015=100),Jun 1 2011,101.474917
2702,Food Indices (2015=100),Jun 1 2012,96.213388
2703,Food Indices (2015=100),Jun 1 2013,96.829352
2704,Food Indices (2015=100),Jun 1 2014,99.252007
2705,Food Indices (2015=100),Jun 1 2015,99.999881
2706,Food Indices (2015=100),Jun 1 2016,99.126544
2707,Food Indices (2015=100),Jun 1 2017,101.074635
2708,Food Indices (2015=100),Jun 1 2018,100.414665
2709,Food Indices (2015=100),Jun 1 2019,103.833809
2710,Food Indices (2015=100),Jun 1 2020,112.225633
2711,Food Indices (2015=100),Jun 1 2021,122.725309
2712,Food Indices (2015=100),Jul 1 2000,66.34845
2713,Food Indices (2015=100),Jul 1 2001,69.813122
2714,Food Indices (2015=100),Jul 1 2002,72.34807
2715,Food Indices (2015=100),Jul 1 2003,74.907503
2716,Food Indices (2015=100),Jul 1 2004,76.142517
2717,Food Indices (2015=100),Jul 1 2005,77.453424
2718,Food Indices (2015=100),Jul 1 2006,85.356821
2719,Food Indices (2015=100),Jul 1 2007,86.69535
2720,Food Indices (2015=100),Jul 1 2008,89.723365
2721,Food Indices (2015=100),Jul 1 2009,93.470985
2722,Food Indices (2015=100),Jul 1 2010,94.27877
2723,Food Indices (2015=100),Jul 1 2011,101.348386
2724,Food Indices (2015=100),Jul 1 2012,96.968799
2725,Food Indices (2015=100),Jul 1 2013,96.909069
2726,Food Indices (2015=100),Jul 1 2014,99.533465
2727,Food Indices (2015=100),Jul 1 2015,100.234398
2728,Food Indices (2015=100),Jul 1 2016,99.777655
2729,Food Indices (2015=100),Jul 1 2017,100.584161
2730,Food Indices (2015=100),Jul 1 2018,100.693043
2731,Food Indices (2015=100),Jul 1 2019,104.064866
2732,Food Indices (2015=100),Jul 1 2020,112.292399
2733,Food Indices (2015=100),Aug 1 2000,66.160939
2734,Food Indices (2015=100),Aug 1 2001,69.98964
2735,Food Indices (2015=100),Aug 1 2002,72.602883
2736,Food Indices (2015=100),Aug 1 2003,74.760069
2737,Food Indices (2015=100),Aug 1 2004,75.878098
2738,Food Indices (2015=100),Aug 1 2005,77.607591
2739,Food Indices (2015=100),Aug 1 2006,86.160345
2740,Food Indices (2015=100),Aug 1 2007,87.312647
2741,Food Indices (2015=100),Aug 1 2008,90.260005
2742,Food Indices (2015=100),Aug 1 2009,93.145925
2743,Food Indices (2015=100),Aug 1 2010,94.128314
2744,Food Indices (2015=100),Aug 1 2011,101.210621
2745,Food Indices (2015=100),Aug 1 2012,97.724911
2746,Food Indices (2015=100),Aug 1 2013,97.001185
2747,Food Indices (2015=100),Aug 1 2014,100.010733
2748,Food Indices (2015=100),Aug 1 2015,100.267958
2749,Food Indices (2015=100),Aug 1 2016,100.653021
2750,Food Indices (2015=100),Aug 1 2017,100.214004
2751,Food Indices (2015=100),Aug 1 2018,100.763479
2752,Food Indices (2015=100),Aug 1 2019,104.247193
2753,Food Indices (2015=100),Aug 1 2020,112.267704
2754,Food Indices (2015=100),Sep 1 2000,65.974218
2755,Food Indices (2015=100),Sep 1 2001,70.166994
2756,Food Indices (2015=100),Sep 1 2002,72.858671
2757,Food Indices (2015=100),Sep 1 2003,74.615003
2758,Food Indices (2015=100),Sep 1 2004,75.615999
2759,Food Indices (2015=100),Sep 1 2005,77.76362
2760,Food Indices (2015=100),Sep 1 2006,86.961934
2761,Food Indices (2015=100),Sep 1 2007,87.929287
2762,Food Indices (2015=100),Sep 1 2008,90.788571
2763,Food Indices (2015=100),Sep 1 2009,92.819068
2764,Food Indices (2015=100),Sep 1 2010,93.981575
2765,Food Indices (2015=100),Sep 1 2011,101.066597
2766,Food Indices (2015=100),Sep 1 2012,98.476302
2767,Food Indices (2015=100),Sep 1 2013,97.082463
2768,Food Indices (2015=100),Sep 1 2014,100.322652
2769,Food Indices (2015=100),Sep 1 2015,100.33346
2770,Food Indices (2015=100),Sep 1 2016,101.192786
2771,Food Indices (2015=100),Sep 1 2017,99.72026
2772,Food Indices (2015=100),Sep 1 2018,100.886194
2773,Food Indices (2015=100),Sep 1 2019,104.296238
2774,Food Indices (2015=100),Sep 1 2020,111.919503
2775,Food Indices (2015=100),Oct 1 2000,66.10714
2776,Food Indices (2015=100),Oct 1 2001,70.917015
2777,Food Indices (2015=100),Oct 1 2002,73.204132
2778,Food Indices (2015=100),Oct 1 2003,75.030045
2779,Food Indices (2015=100),Oct 1 2004,75.994654
2780,Food Indices (2015=100),Oct 1 2005,78.292634
2781,Food Indices (2015=100),Oct 1 2006,87.066092
2782,Food Indices (2015=100),Oct 1 2007,87.815579
2783,Food Indices (2015=100),Oct 1 2008,91.481181
2784,Food Indices (2015=100),Oct 1 2009,93.20259
2785,Food Indices (2015=100),Oct 1 2010,94.811102
2786,Food Indices (2015=100),Oct 1 2011,100.23015
2787,Food Indices (2015=100),Oct 1 2012,98.258299
2788,Food Indices (2015=100),Oct 1 2013,97.562091
2789,Food Indices (2015=100),Oct 1 2014,100.132291
2790,Food Indices (2015=100),Oct 1 2015,100.135332
2791,Food Indices (2015=100),Oct 1 2016,101.182943
2792,Food Indices (2015=100),Oct 1 2017,99.933578
2793,Food Indices (2015=100),Oct 1 2018,101.422337
2794,Food Indices (2015=100),Oct 1 2019,105.71807
2795,Food Indices (2015=100),Oct 1 2020,114.824228
2796,Food Indices (2015=100),Nov 1 2000,66.24034
2797,Food Indices (2015=100),Nov 1 2001,71.66808
2798,Food Indices (2015=100),Nov 1 2002,73.549408
2799,Food Indices (2015=100),Nov 1 2003,75.44653
2800,Food Indices (2015=100),Nov 1 2004,76.37237
2801,Food Indices (2015=100),Nov 1 2005,78.820155
2802,Food Indices (2015=100),Nov 1 2006,87.169858
2803,Food Indices (2015=100),Nov 1 2007,87.707435
2804,Food Indices (2015=100),Nov 1 2008,92.175924
2805,Food Indices (2015=100),Nov 1 2009,93.590826
2806,Food Indices (2015=100),Nov 1 2010,95.637219
2807,Food Indices (2015=100),Nov 1 2011,99.394418
2808,Food Indices (2015=100),Nov 1 2012,98.043988
2809,Food Indices (2015=100),Nov 1 2013,98.047272
2810,Food Indices (2015=100),Nov 1 2014,99.831926
2811,Food Indices (2015=100),Nov 1 2015,100.092602
2812,Food Indices (2015=100),Nov 1 2016,101.297264
2813,Food Indices (2015=100),Nov 1 2017,100.295662
2814,Food Indices (2015=100),Nov 1 2018,101.932616
2815,Food Indices (2015=100),Nov 1 2019,107.083791
2816,Food Indices (2015=100),Nov 1 2020,117.681905
2817,Food Indices (2015=100),Dec 1 2000,66.373795
2818,Food Indices (2015=100),Dec 1 2001,72.418495
2819,Food Indices (2015=100),Dec 1 2002,73.893754
