,symbol,date,price
70884,Food Indices (2015=100),Jan 1 2000,28.637225
70885,Food Indices (2015=100),Jan 1 2001,29.520672
70886,Food Indices (2015=100),Jan 1 2002,30.116564
70887,Food Indices (2015=100),Jan 1 2003,31.28739
70888,Food Indices (2015=100),Jan 1 2004,32.301012
70889,Food Indices (2015=100),Jan 1 2005,35.730204
70890,Food Indices (2015=100),Jan 1 2006,39.209429
70891,Food Indices (2015=100),Jan 1 2007,42.621196
70892,Food Indices (2015=100),Jan 1 2008,47.883472
70893,Food Indices (2015=100),Jan 1 2009,55.183676
70894,Food Indices (2015=100),Jan 1 2010,63.704617
70895,Food Indices (2015=100),Jan 1 2011,76.863305
70896,Food Indices (2015=100),Jan 1 2012,84.013166
70897,Food Indices (2015=100),Jan 1 2013,90.417675
70898,Food Indices (2015=100),Jan 1 2014,96.458709
70899,Food Indices (2015=100),Jan 1 2015,98.510729
70900,Food Indices (2015=100),Jan 1 2016,99.706973
70901,Food Indices (2015=100),Jan 1 2017,101.662373
70902,Food Indices (2015=100),Jan 1 2018,106.847632
70903,Food Indices (2015=100),Jan 1 2019,108.540778
70904,Food Indices (2015=100),Jan 1 2020,133.900999
70905,Food Indices (2015=100),Jan 1 2021,139.678678
70906,Food Indices (2015=100),Feb 1 2000,28.713443
70907,Food Indices (2015=100),Feb 1 2001,29.565715
70908,Food Indices (2015=100),Feb 1 2002,30.216983
70909,Food Indices (2015=100),Feb 1 2003,31.353604
70910,Food Indices (2015=100),Feb 1 2004,32.586281
70911,Food Indices (2015=100),Feb 1 2005,36.021446
70912,Food Indices (2015=100),Feb 1 2006,39.484989
70913,Food Indices (2015=100),Feb 1 2007,43.001803
70914,Food Indices (2015=100),Feb 1 2008,48.959077
70915,Food Indices (2015=100),Feb 1 2009,56.692784
70916,Food Indices (2015=100),Feb 1 2010,63.907058
70917,Food Indices (2015=100),Feb 1 2011,75.386404
70918,Food Indices (2015=100),Feb 1 2012,83.364434
70919,Food Indices (2015=100),Feb 1 2013,89.12021
