,symbol,date,price
75012,Food Indices (2015=100),Jan 1 2000,66.74173
75013,Food Indices (2015=100),Jan 1 2001,71.79059
75014,Food Indices (2015=100),Jan 1 2002,73.51965
75015,Food Indices (2015=100),Jan 1 2003,70.96064
75016,Food Indices (2015=100),Jan 1 2004,72.41305
75017,Food Indices (2015=100),Jan 1 2005,77.32359
75018,Food Indices (2015=100),Jan 1 2006,76.77028
75019,Food Indices (2015=100),Jan 1 2007,78.93719
75020,Food Indices (2015=100),Jan 1 2008,84.89617
75021,Food Indices (2015=100),Jan 1 2009,87.6048
75022,Food Indices (2015=100),Jan 1 2010,90.62299
75023,Food Indices (2015=100),Jan 1 2011,95.03418
75024,Food Indices (2015=100),Jan 1 2012,99.2906
75025,Food Indices (2015=100),Jan 1 2013,102.8505
75026,Food Indices (2015=100),Jan 1 2014,104.3209
75027,Food Indices (2015=100),Jan 1 2015,100.2967
75028,Food Indices (2015=100),Jan 1 2016,100.5288
75029,Food Indices (2015=100),Jan 1 2017,103.8566
75030,Food Indices (2015=100),Jan 1 2018,108.8095
75031,Food Indices (2015=100),Jan 1 2019,109.6608
75032,Food Indices (2015=100),Jan 1 2020,118.0188
75033,Food Indices (2015=100),Jan 1 2021,118.7927
75034,Food Indices (2015=100),Feb 1 2000,67.50252
75035,Food Indices (2015=100),Feb 1 2001,71.65226
75036,Food Indices (2015=100),Feb 1 2002,73.58881
75037,Food Indices (2015=100),Feb 1 2003,70.82231
75038,Food Indices (2015=100),Feb 1 2004,72.62054
75039,Food Indices (2015=100),Feb 1 2005,77.1161
75040,Food Indices (2015=100),Feb 1 2006,77.00245
75041,Food Indices (2015=100),Feb 1 2007,79.47891
75042,Food Indices (2015=100),Feb 1 2008,85.05095
75043,Food Indices (2015=100),Feb 1 2009,88.14652
75044,Food Indices (2015=100),Feb 1 2010,90.93254
75045,Food Indices (2015=100),Feb 1 2011,95.73068
75046,Food Indices (2015=100),Feb 1 2012,99.9871
75047,Food Indices (2015=100),Feb 1 2013,102.6183
75048,Food Indices (2015=100),Feb 1 2014,104.0887
75049,Food Indices (2015=100),Feb 1 2015,100.2967
75050,Food Indices (2015=100),Feb 1 2016,100.8384
75051,Food Indices (2015=100),Feb 1 2017,104.8626
75052,Food Indices (2015=100),Feb 1 2018,108.3452
75053,Food Indices (2015=100),Feb 1 2019,110.6668
75054,Food Indices (2015=100),Feb 1 2020,118.9475
75055,Food Indices (2015=100),Feb 1 2021,119.4892
75056,Food Indices (2015=100),Mar 1 2000,68.05582
75057,Food Indices (2015=100),Mar 1 2001,71.99808
75058,Food Indices (2015=100),Mar 1 2002,73.86546
75059,Food Indices (2015=100),Mar 1 2003,71.0298
75060,Food Indices (2015=100),Mar 1 2004,73.17384
75061,Food Indices (2015=100),Mar 1 2005,77.25442
75062,Food Indices (2015=100),Mar 1 2006,76.84767
75063,Food Indices (2015=100),Mar 1 2007,80.09803
75064,Food Indices (2015=100),Mar 1 2008,85.3605
75065,Food Indices (2015=100),Mar 1 2009,89.84909
75066,Food Indices (2015=100),Mar 1 2010,91.2421
75067,Food Indices (2015=100),Mar 1 2011,97.74281
75068,Food Indices (2015=100),Mar 1 2012,101.2253
75069,Food Indices (2015=100),Mar 1 2013,102.6957
75070,Food Indices (2015=100),Mar 1 2014,103.7792
75071,Food Indices (2015=100),Mar 1 2015,100.2193
75072,Food Indices (2015=100),Mar 1 2016,101.2253
75073,Food Indices (2015=100),Mar 1 2017,104.4757
75074,Food Indices (2015=100),Mar 1 2018,108.2678
75075,Food Indices (2015=100),Mar 1 2019,111.1312
75076,Food Indices (2015=100),Mar 1 2020,119.8762
75077,Food Indices (2015=100),Mar 1 2021,120.3405
75078,Food Indices (2015=100),Apr 1 2000,68.53996
75079,Food Indices (2015=100),Apr 1 2001,73.10468
75080,Food Indices (2015=100),Apr 1 2002,74.21127
75081,Food Indices (2015=100),Apr 1 2003,71.44478
75082,Food Indices (2015=100),Apr 1 2004,74.69541
75083,Food Indices (2015=100),Apr 1 2005,77.6694
75084,Food Indices (2015=100),Apr 1 2006,77.31201
75085,Food Indices (2015=100),Apr 1 2007,80.79453
75086,Food Indices (2015=100),Apr 1 2008,85.97962
75087,Food Indices (2015=100),Apr 1 2009,91.31949
