,symbol,date,indices
75528,Food Indices (2015=100),Jan 1 2000,78.37997
75529,Food Indices (2015=100),Jan 1 2001,82.90794
75530,Food Indices (2015=100),Jan 1 2002,86.60806
75531,Food Indices (2015=100),Jan 1 2003,87.76073
75532,Food Indices (2015=100),Jan 1 2004,89.27267
75533,Food Indices (2015=100),Jan 1 2005,88.57871
75534,Food Indices (2015=100),Jan 1 2006,90.06408
75535,Food Indices (2015=100),Jan 1 2007,93.75929
75536,Food Indices (2015=100),Jan 1 2008,95.59213
75537,Food Indices (2015=100),Jan 1 2009,96.93674
75538,Food Indices (2015=100),Jan 1 2010,92.4196
75539,Food Indices (2015=100),Jan 1 2011,94.50739
75540,Food Indices (2015=100),Jan 1 2012,97.64349
75541,Food Indices (2015=100),Jan 1 2013,99.88287
75542,Food Indices (2015=100),Jan 1 2014,100.0778
75543,Food Indices (2015=100),Jan 1 2015,99.95078
75544,Food Indices (2015=100),Jan 1 2016,100.1614
75545,Food Indices (2015=100),Jan 1 2017,101.4903
75546,Food Indices (2015=100),Jan 1 2018,102.9609
75547,Food Indices (2015=100),Jan 1 2019,103.206
75548,Food Indices (2015=100),Jan 1 2020,104.0259
75549,Food Indices (2015=100),Jan 1 2021,105.0644
75550,Food Indices (2015=100),Feb 1 2000,78.55125
75551,Food Indices (2015=100),Feb 1 2001,83.79285
75552,Food Indices (2015=100),Feb 1 2002,86.35804
75553,Food Indices (2015=100),Feb 1 2003,88.25487
75554,Food Indices (2015=100),Feb 1 2004,89.10041
75555,Food Indices (2015=100),Feb 1 2005,88.51473
75556,Food Indices (2015=100),Feb 1 2006,90.07195
75557,Food Indices (2015=100),Feb 1 2007,93.30059
75558,Food Indices (2015=100),Feb 1 2008,95.46121
75559,Food Indices (2015=100),Feb 1 2009,96.38255
75560,Food Indices (2015=100),Feb 1 2010,92.28672
75561,Food Indices (2015=100),Feb 1 2011,94.48278
75562,Food Indices (2015=100),Feb 1 2012,97.73602
75563,Food Indices (2015=100),Feb 1 2013,99.68698
75564,Food Indices (2015=100),Feb 1 2014,99.63776
75565,Food Indices (2015=100),Feb 1 2015,99.64465
75566,Food Indices (2015=100),Feb 1 2016,99.02649
75567,Food Indices (2015=100),Feb 1 2017,101.3771
75568,Food Indices (2015=100),Feb 1 2018,101.8368
75569,Food Indices (2015=100),Feb 1 2019,103.1223
75570,Food Indices (2015=100),Feb 1 2020,103.9787
75571,Food Indices (2015=100),Feb 1 2021,104.9059
75572,Food Indices (2015=100),Mar 1 2000,78.34749
75573,Food Indices (2015=100),Mar 1 2001,84.74274
75574,Food Indices (2015=100),Mar 1 2002,86.46239
75575,Food Indices (2015=100),Mar 1 2003,87.618
75576,Food Indices (2015=100),Mar 1 2004,89.42328
75577,Food Indices (2015=100),Mar 1 2005,88.98524
75578,Food Indices (2015=100),Mar 1 2006,90.13594
75579,Food Indices (2015=100),Mar 1 2007,92.86748
75580,Food Indices (2015=100),Mar 1 2008,96.26739
75581,Food Indices (2015=100),Mar 1 2009,95.83329
75582,Food Indices (2015=100),Mar 1 2010,92.34086
75583,Food Indices (2015=100),Mar 1 2011,94.83321
75584,Food Indices (2015=100),Mar 1 2012,97.5992
75585,Food Indices (2015=100),Mar 1 2013,99.70076
75586,Food Indices (2015=100),Mar 1 2014,99.28635
75587,Food Indices (2015=100),Mar 1 2015,99.56985
75588,Food Indices (2015=100),Mar 1 2016,98.84241
75589,Food Indices (2015=100),Mar 1 2017,101.4952
75590,Food Indices (2015=100),Mar 1 2018,101.7974
75591,Food Indices (2015=100),Mar 1 2019,102.9757
75592,Food Indices (2015=100),Mar 1 2020,104.2317
75593,Food Indices (2015=100),Mar 1 2021,105.0329
75594,Food Indices (2015=100),Apr 1 2000,79.03161
75595,Food Indices (2015=100),Apr 1 2001,84.68861
75596,Food Indices (2015=100),Apr 1 2002,86.60806
75597,Food Indices (2015=100),Apr 1 2003,88.10229
75598,Food Indices (2015=100),Apr 1 2004,90.11034
75599,Food Indices (2015=100),Apr 1 2005,88.96655
75600,Food Indices (2015=100),Apr 1 2006,90.58578
75601,Food Indices (2015=100),Apr 1 2007,93.7209
75602,Food Indices (2015=100),Apr 1 2008,96.61289
