,symbol,date,price
76560,Food Indices (2015=100),Jan 1 2000,65.592224
76561,Food Indices (2015=100),Jan 1 2001,67.994429
76562,Food Indices (2015=100),Jan 1 2002,70.45143
76563,Food Indices (2015=100),Jan 1 2003,72.932945
76564,Food Indices (2015=100),Jan 1 2004,75.208378
76565,Food Indices (2015=100),Jan 1 2005,77.550887
76566,Food Indices (2015=100),Jan 1 2006,79.641068
76567,Food Indices (2015=100),Jan 1 2007,81.632142
76568,Food Indices (2015=100),Jan 1 2008,84.041378
76569,Food Indices (2015=100),Jan 1 2009,86.716731
76570,Food Indices (2015=100),Jan 1 2010,89.344946
76571,Food Indices (2015=100),Jan 1 2011,93.055284
76572,Food Indices (2015=100),Jan 1 2012,95.103391
76573,Food Indices (2015=100),Jan 1 2013,97.656103
76574,Food Indices (2015=100),Jan 1 2014,98.843412
76575,Food Indices (2015=100),Jan 1 2015,99.140239
76576,Food Indices (2015=100),Jan 1 2016,97.755046
76577,Food Indices (2015=100),Jan 1 2017,95.875141
76578,Food Indices (2015=100),Jan 1 2018,101.415913
76579,Food Indices (2015=100),Jan 1 2019,98.853306
76580,Food Indices (2015=100),Jan 1 2020,99.953285
76581,Food Indices (2015=100),Jan 1 2021,100.470869
76582,Food Indices (2015=100),Feb 1 2000,65.791766
76583,Food Indices (2015=100),Feb 1 2001,68.19672
76584,Food Indices (2015=100),Feb 1 2002,70.658564
76585,Food Indices (2015=100),Feb 1 2003,73.122157
76586,Food Indices (2015=100),Feb 1 2004,75.408385
76587,Food Indices (2015=100),Feb 1 2005,77.73554
76588,Food Indices (2015=100),Feb 1 2006,79.804041
76589,Food Indices (2015=100),Feb 1 2007,81.776592
76590,Food Indices (2015=100),Feb 1 2008,84.308022
76591,Food Indices (2015=100),Feb 1 2009,86.383906
76592,Food Indices (2015=100),Feb 1 2010,89.809975
76593,Food Indices (2015=100),Feb 1 2011,93.223486
76594,Food Indices (2015=100),Feb 1 2012,95.518949
76595,Food Indices (2015=100),Feb 1 2013,98.051873
76596,Food Indices (2015=100),Feb 1 2014,99.437066
76597,Food Indices (2015=100),Feb 1 2015,99.338123
76598,Food Indices (2015=100),Feb 1 2016,98.051873
76599,Food Indices (2015=100),Feb 1 2017,97.557161
76600,Food Indices (2015=100),Feb 1 2018,101.148768
76601,Food Indices (2015=100),Feb 1 2019,99.971354
76602,Food Indices (2015=100),Feb 1 2020,99.893564
76603,Food Indices (2015=100),Feb 1 2021,100.421101
76604,Food Indices (2015=100),Mar 1 2000,65.990989
76605,Food Indices (2015=100),Mar 1 2001,68.399352
76606,Food Indices (2015=100),Mar 1 2002,70.865932
76607,Food Indices (2015=100),Mar 1 2003,73.311369
76608,Food Indices (2015=100),Mar 1 2004,75.607539
76609,Food Indices (2015=100),Mar 1 2005,77.954381
76610,Food Indices (2015=100),Mar 1 2006,79.964433
76611,Food Indices (2015=100),Mar 1 2007,81.917499
76612,Food Indices (2015=100),Mar 1 2008,84.248047
76613,Food Indices (2015=100),Mar 1 2009,87.569987
76614,Food Indices (2015=100),Mar 1 2010,89.671455
76615,Food Indices (2015=100),Mar 1 2011,93.688515
76616,Food Indices (2015=100),Mar 1 2012,95.904824
76617,Food Indices (2015=100),Mar 1 2013,98.546585
