,symbol,date,indices
82752,Food Indices (2015=100),Jan 1 2000,9.605447
82753,Food Indices (2015=100),Jan 1 2001,11.48857
82754,Food Indices (2015=100),Jan 1 2002,13.371693
82755,Food Indices (2015=100),Jan 1 2003,15.254816
82756,Food Indices (2015=100),Jan 1 2004,17.137939
82757,Food Indices (2015=100),Jan 1 2005,19.021062
82758,Food Indices (2015=100),Jan 1 2006,22.529835
82759,Food Indices (2015=100),Jan 1 2007,28.5389
82760,Food Indices (2015=100),Jan 1 2008,38.87689
82761,Food Indices (2015=100),Jan 1 2009,49.444546
82762,Food Indices (2015=100),Jan 1 2010,59.845023
82763,Food Indices (2015=100),Jan 1 2011,69.280877
82764,Food Indices (2015=100),Jan 1 2012,76.887099
82765,Food Indices (2015=100),Jan 1 2013,87.249429
82766,Food Indices (2015=100),Jan 1 2014,93.374503
82767,Food Indices (2015=100),Jan 1 2015,98.771179
82768,Food Indices (2015=100),Jan 1 2016,97.64468
82769,Food Indices (2015=100),Jan 1 2017,102.802328
82770,Food Indices (2015=100),Jan 1 2018,112.01469
82771,Food Indices (2015=100),Jan 1 2019,123.22257
82772,Food Indices (2015=100),Jan 1 2020,136.070617
82773,Food Indices (2015=100),Jan 1 2021,149.760832
82774,Food Indices (2015=100),Feb 1 2000,9.762374
82775,Food Indices (2015=100),Feb 1 2001,11.645497
82776,Food Indices (2015=100),Feb 1 2002,13.52862
82777,Food Indices (2015=100),Feb 1 2003,15.411743
82778,Food Indices (2015=100),Feb 1 2004,17.294866
82779,Food Indices (2015=100),Feb 1 2005,19.924251
82780,Food Indices (2015=100),Feb 1 2006,24.034542
82781,Food Indices (2015=100),Feb 1 2007,28.962119
82782,Food Indices (2015=100),Feb 1 2008,40.327025
82783,Food Indices (2015=100),Feb 1 2009,49.985602
82784,Food Indices (2015=100),Feb 1 2010,60.520712
82785,Food Indices (2015=100),Feb 1 2011,69.994156
82786,Food Indices (2015=100),Feb 1 2012,77.587802
82787,Food Indices (2015=100),Feb 1 2013,87.739644
82788,Food Indices (2015=100),Feb 1 2014,93.7253
82789,Food Indices (2015=100),Feb 1 2015,98.642601
82790,Food Indices (2015=100),Feb 1 2016,97.899495
82791,Food Indices (2015=100),Feb 1 2017,103.228356
82792,Food Indices (2015=100),Feb 1 2018,112.57336
82793,Food Indices (2015=100),Feb 1 2019,124.745254
82794,Food Indices (2015=100),Feb 1 2020,136.810762
82795,Food Indices (2015=100),Feb 1 2021,150.664546
82796,Food Indices (2015=100),Mar 1 2000,9.919301
82797,Food Indices (2015=100),Mar 1 2001,11.802424
82798,Food Indices (2015=100),Mar 1 2002,13.685547
82799,Food Indices (2015=100),Mar 1 2003,15.56867
82800,Food Indices (2015=100),Mar 1 2004,17.451793
82801,Food Indices (2015=100),Mar 1 2005,20.885357
82802,Food Indices (2015=100),Mar 1 2006,25.50411
82803,Food Indices (2015=100),Mar 1 2007,29.51675
82804,Food Indices (2015=100),Mar 1 2008,41.499902
82805,Food Indices (2015=100),Mar 1 2009,51.258554
82806,Food Indices (2015=100),Mar 1 2010,60.79806
82807,Food Indices (2015=100),Mar 1 2011,70.585936
82808,Food Indices (2015=100),Mar 1 2012,78.09769
82809,Food Indices (2015=100),Mar 1 2013,87.464306
82810,Food Indices (2015=100),Mar 1 2014,94.079611
82811,Food Indices (2015=100),Mar 1 2015,98.790239
82812,Food Indices (2015=100),Mar 1 2016,98.742616
82813,Food Indices (2015=100),Mar 1 2017,104.311761
82814,Food Indices (2015=100),Mar 1 2018,113.2926
82815,Food Indices (2015=100),Mar 1 2019,125.016479
82816,Food Indices (2015=100),Mar 1 2020,137.3197
82817,Food Indices (2015=100),Mar 1 2021,152.79792
82818,Food Indices (2015=100),Apr 1 2000,10.076228
82819,Food Indices (2015=100),Apr 1 2001,11.959351
82820,Food Indices (2015=100),Apr 1 2002,13.842474
82821,Food Indices (2015=100),Apr 1 2003,15.725597
82822,Food Indices (2015=100),Apr 1 2004,17.60872
82823,Food Indices (2015=100),Apr 1 2005,21.142349
82824,Food Indices (2015=100),Apr 1 2006,27.498037
82825,Food Indices (2015=100),Apr 1 2007,29.861276
82826,Food Indices (2015=100),Apr 1 2008,42.146662
82827,Food Indices (2015=100),Apr 1 2009,52.362034
82828,Food Indices (2015=100),Apr 1 2010,61.461734
82829,Food Indices (2015=100),Apr 1 2011,72.462638
82830,Food Indices (2015=100),Apr 1 2012,78.574101
82831,Food Indices (2015=100),Apr 1 2013,89.357509
82832,Food Indices (2015=100),Apr 1 2014,94.988827
82833,Food Indices (2015=100),Apr 1 2015,99.347538
82834,Food Indices (2015=100),Apr 1 2016,100.949118
82835,Food Indices (2015=100),Apr 1 2017,105.92542
