,symbol,date,price
87138,Food Indices (2015=100),Jan 1 2000,58.33
87139,Food Indices (2015=100),Jan 1 2001,61.09
87140,Food Indices (2015=100),Jan 1 2002,68.51
87141,Food Indices (2015=100),Jan 1 2003,70.39
87142,Food Indices (2015=100),Jan 1 2004,73.73
87143,Food Indices (2015=100),Jan 1 2005,72.01
87144,Food Indices (2015=100),Jan 1 2006,72.98
87145,Food Indices (2015=100),Jan 1 2007,76.16
87146,Food Indices (2015=100),Jan 1 2008,86.68
87147,Food Indices (2015=100),Jan 1 2009,89.61
87148,Food Indices (2015=100),Jan 1 2010,87.29
87149,Food Indices (2015=100),Jan 1 2011,90.48
87150,Food Indices (2015=100),Jan 1 2012,93.99
87151,Food Indices (2015=100),Jan 1 2013,98.86
87152,Food Indices (2015=100),Jan 1 2014,100.54
87153,Food Indices (2015=100),Jan 1 2015,99.2
87154,Food Indices (2015=100),Jan 1 2016,99.65
87155,Food Indices (2015=100),Jan 1 2017,102.47
87156,Food Indices (2015=100),Jan 1 2018,105.45
87157,Food Indices (2015=100),Jan 1 2019,106.26
87158,Food Indices (2015=100),Jan 1 2020,109.91
87159,Food Indices (2015=100),Jan 1 2021,109.97
87160,Food Indices (2015=100),Feb 1 2000,58.85
87161,Food Indices (2015=100),Feb 1 2001,61.86
87162,Food Indices (2015=100),Feb 1 2002,69.3
87163,Food Indices (2015=100),Feb 1 2003,71.54
87164,Food Indices (2015=100),Feb 1 2004,73.25
87165,Food Indices (2015=100),Feb 1 2005,72.89
87166,Food Indices (2015=100),Feb 1 2006,72.96
87167,Food Indices (2015=100),Feb 1 2007,75.43
87168,Food Indices (2015=100),Feb 1 2008,86.35
87169,Food Indices (2015=100),Feb 1 2009,88.94
87170,Food Indices (2015=100),Feb 1 2010,87.69
87171,Food Indices (2015=100),Feb 1 2011,91.24
87172,Food Indices (2015=100),Feb 1 2012,94.81
87173,Food Indices (2015=100),Feb 1 2013,98.66
87174,Food Indices (2015=100),Feb 1 2014,99.69
