,symbol,date,indices
89010,Food Indices (2015=100),Jan 1 2000,66.23882
89011,Food Indices (2015=100),Jan 1 2001,68.6632
89012,Food Indices (2015=100),Jan 1 2002,72.37467
89013,Food Indices (2015=100),Jan 1 2003,75.88821
89014,Food Indices (2015=100),Jan 1 2004,78.93225
89015,Food Indices (2015=100),Jan 1 2005,81.49059
89016,Food Indices (2015=100),Jan 1 2006,85.09437
89017,Food Indices (2015=100),Jan 1 2007,87.11832
89018,Food Indices (2015=100),Jan 1 2008,93.22264
89019,Food Indices (2015=100),Jan 1 2009,94.96267
89020,Food Indices (2015=100),Jan 1 2010,92.64465
89021,Food Indices (2015=100),Jan 1 2011,93.4731
89022,Food Indices (2015=100),Jan 1 2012,95.58223
89023,Food Indices (2015=100),Jan 1 2013,98.60397
89024,Food Indices (2015=100),Jan 1 2014,99.77515
89025,Food Indices (2015=100),Jan 1 2015,99.34216
89026,Food Indices (2015=100),Jan 1 2016,101.4229
89027,Food Indices (2015=100),Jan 1 2017,102.4136
89028,Food Indices (2015=100),Jan 1 2018,103.7156
89029,Food Indices (2015=100),Jan 1 2019,104.6992
89030,Food Indices (2015=100),Jan 1 2020,106.8245
89031,Food Indices (2015=100),Jan 1 2021,108.6741
89032,Food Indices (2015=100),Feb 1 2000,65.78876
89033,Food Indices (2015=100),Feb 1 2001,68.87143
89034,Food Indices (2015=100),Feb 1 2002,72.34933
89035,Food Indices (2015=100),Feb 1 2003,75.6347
89036,Food Indices (2015=100),Feb 1 2004,78.62196
89037,Food Indices (2015=100),Feb 1 2005,81.33545
89038,Food Indices (2015=100),Feb 1 2006,84.85709
89039,Food Indices (2015=100),Feb 1 2007,86.97535
89040,Food Indices (2015=100),Feb 1 2008,93.08981
89041,Food Indices (2015=100),Feb 1 2009,94.52665
89042,Food Indices (2015=100),Feb 1 2010,91.93079
89043,Food Indices (2015=100),Feb 1 2011,93.30883
89044,Food Indices (2015=100),Feb 1 2012,95.69073
89045,Food Indices (2015=100),Feb 1 2013,98.34743
89046,Food Indices (2015=100),Feb 1 2014,99.41618
89047,Food Indices (2015=100),Feb 1 2015,99.60783
89048,Food Indices (2015=100),Feb 1 2016,100.8703
89049,Food Indices (2015=100),Feb 1 2017,102.5697
89050,Food Indices (2015=100),Feb 1 2018,103.5442
89051,Food Indices (2015=100),Feb 1 2019,104.9851
89052,Food Indices (2015=100),Feb 1 2020,107.075
89053,Food Indices (2015=100),Feb 1 2021,108.742
89054,Food Indices (2015=100),Mar 1 2000,65.74303
89055,Food Indices (2015=100),Mar 1 2001,69.43331
89056,Food Indices (2015=100),Mar 1 2002,72.73262
89057,Food Indices (2015=100),Mar 1 2003,75.90443
89058,Food Indices (2015=100),Mar 1 2004,79.01945
89059,Food Indices (2015=100),Mar 1 2005,81.66804
89060,Food Indices (2015=100),Mar 1 2006,84.89156
89061,Food Indices (2015=100),Mar 1 2007,87.31606
89062,Food Indices (2015=100),Mar 1 2008,93.33418
89063,Food Indices (2015=100),Mar 1 2009,93.88985
89064,Food Indices (2015=100),Mar 1 2010,91.95209
89065,Food Indices (2015=100),Mar 1 2011,93.62012
89066,Food Indices (2015=100),Mar 1 2012,95.78706
89067,Food Indices (2015=100),Mar 1 2013,98.23183
89068,Food Indices (2015=100),Mar 1 2014,98.75505
89069,Food Indices (2015=100),Mar 1 2015,99.12618
89070,Food Indices (2015=100),Mar 1 2016,100.8277
89071,Food Indices (2015=100),Mar 1 2017,102.2169
89072,Food Indices (2015=100),Mar 1 2018,103.6334
89073,Food Indices (2015=100),Mar 1 2019,104.6079
89074,Food Indices (2015=100),Mar 1 2020,107.2281
89075,Food Indices (2015=100),Mar 1 2021,108.7785
89076,Food Indices (2015=100),Apr 1 2000,65.96944
