,symbol,date,price
90882,Food Indices,Jan 1 2000,75.94662
90883,Food Indices,Jan 1 2001,76.37752
90884,Food Indices,Jan 1 2002,81.71455
90885,Food Indices,Jan 1 2003,80.90704
90886,Food Indices,Jan 1 2004,81.57883
90887,Food Indices,Jan 1 2005,80.86632
90888,Food Indices,Jan 1 2006,80.3981
90889,Food Indices,Jan 1 2007,82.10812
90890,Food Indices,Jan 1 2008,86.46799
90891,Food Indices,Jan 1 2009,91.18073
90892,Food Indices,Jan 1 2010,92.44967
90893,Food Indices,Jan 1 2011,93.2945
90894,Food Indices,Jan 1 2012,94.29202
90895,Food Indices,Jan 1 2013,96.494
90896,Food Indices,Jan 1 2014,96.80615
90897,Food Indices,Jan 1 2015,98.22778
90898,Food Indices,Jan 1 2016,100.3857
90899,Food Indices,Jan 1 2017,102.0923
90900,Food Indices,Jan 1 2018,104.447
90901,Food Indices,Jan 1 2019,106.1536
90902,Food Indices,Jan 1 2020,108.7525
90903,Food Indices,Jan 1 2021,110.8222
90904,Food Indices,Feb 1 2000,76.64217
90905,Food Indices,Feb 1 2001,76.78127
90906,Food Indices,Feb 1 2002,81.3074
90907,Food Indices,Feb 1 2003,81.60597
90908,Food Indices,Feb 1 2004,81.45668
90909,Food Indices,Feb 1 2005,82.38634
90910,Food Indices,Feb 1 2006,80.94775
90911,Food Indices,Feb 1 2007,82.17937
90912,Food Indices,Feb 1 2008,87.02103
90913,Food Indices,Feb 1 2009,91.69984
90914,Food Indices,Feb 1 2010,92.67361
90915,Food Indices,Feb 1 2011,94.16309
90916,Food Indices,Feb 1 2012,95.13006
90917,Food Indices,Feb 1 2013,96.90115
90918,Food Indices,Feb 1 2014,97.45419
90919,Food Indices,Feb 1 2015,99.06243
90920,Food Indices,Feb 1 2016,100.691
90921,Food Indices,Feb 1 2017,102.7641
90922,Food Indices,Feb 1 2018,104.6302
90923,Food Indices,Feb 1 2019,107.504
90924,Food Indices,Feb 1 2020,110.1979
90925,Food Indices,Feb 1 2021,110.3506
90926,Food Indices,Mar 1 2000,76.69645
90927,Food Indices,Mar 1 2001,77.57521
90928,Food Indices,Mar 1 2002,82.38634
90929,Food Indices,Mar 1 2003,82.18276
90930,Food Indices,Mar 1 2004,81.99276
90931,Food Indices,Mar 1 2005,81.37525
90932,Food Indices,Mar 1 2006,80.99525
90933,Food Indices,Mar 1 2007,82.38973
90934,Food Indices,Mar 1 2008,88.01176
90935,Food Indices,Mar 1 2009,91.99163
90936,Food Indices,Mar 1 2010,93.01629
90937,Food Indices,Mar 1 2011,94.25809
90938,Food Indices,Mar 1 2012,95.41167
90939,Food Indices,Mar 1 2013,97.05383
90940,Food Indices,Mar 1 2014,97.20651
90941,Food Indices,Mar 1 2015,99.16761
90942,Food Indices,Mar 1 2016,101.1592
90943,Food Indices,Mar 1 2017,102.781
90944,Food Indices,Mar 1 2018,104.8812
90945,Food Indices,Mar 1 2019,108.2809
90946,Food Indices,Mar 1 2020,111.019
90947,Food Indices,Mar 1 2021,110.9376
90948,Food Indices,Apr 1 2000,76.73377
90949,Food Indices,Apr 1 2001,78.40986
90950,Food Indices,Apr 1 2002,81.91473
90951,Food Indices,Apr 1 2003,81.89437
90952,Food Indices,Apr 1 2004,81.76543
90953,Food Indices,Apr 1 2005,81.00204
90954,Food Indices,Apr 1 2006,80.84936
90955,Food Indices,Apr 1 2007,83.10224
90956,Food Indices,Apr 1 2008,88.47659
90957,Food Indices,Apr 1 2009,91.80163
90958,Food Indices,Apr 1 2010,92.97218
90959,Food Indices,Apr 1 2011,94.19701
90960,Food Indices,Apr 1 2012,94.76024
90961,Food Indices,Apr 1 2013,97.46777
90962,Food Indices,Apr 1 2014,97.07758
90963,Food Indices,Apr 1 2015,99.67994
90964,Food Indices,Apr 1 2016,101.2542
90965,Food Indices,Apr 1 2017,102.7234
90966,Food Indices,Apr 1 2018,105.3121
90967,Food Indices,Apr 1 2019,108.1045
90968,Food Indices,Apr 1 2020,111.9317
90969,Food Indices,Apr 1 2021,111.3413
90970,Food Indices,May 1 2000,77.12735
90971,Food Indices,May 1 2001,79.69917
90972,Food Indices,May 1 2002,81.81973
90973,Food Indices,May 1 2003,81.37186
90974,Food Indices,May 1 2004,81.78918
90975,Food Indices,May 1 2005,81.42275
90976,Food Indices,May 1 2006,82.14205
90977,Food Indices,May 1 2007,82.36259
90978,Food Indices,May 1 2008,88.88034
90979,Food Indices,May 1 2009,91.53359
90980,Food Indices,May 1 2010,92.53789
90981,Food Indices,May 1 2011,93.91201
90982,Food Indices,May 1 2012,95.15381
90983,Food Indices,May 1 2013,98.04795
90984,Food Indices,May 1 2014,97.60687
90985,Food Indices,May 1 2015,100.4026
90986,Food Indices,May 1 2016,101.3153
90987,Food Indices,May 1 2017,102.8116
90988,Food Indices,May 1 2018,105.9805
90989,Food Indices,May 1 2019,108.1893
90990,Food Indices,May 1 2020,112.3829
90991,Food Indices,May 1 2021,111.287
90992,Food Indices,Jun 1 2000,77.11378
90993,Food Indices,Jun 1 2001,79.3938
90994,Food Indices,Jun 1 2002,81.46008
90995,Food Indices,Jun 1 2003,81.43633
90996,Food Indices,Jun 1 2004,81.5924
90997,Food Indices,Jun 1 2005,80.98168
90998,Food Indices,Jun 1 2006,81.3549
90999,Food Indices,Jun 1 2007,82.2133
91000,Food Indices,Jun 1 2008,88.8057
91001,Food Indices,Jun 1 2009,91.31305
91002,Food Indices,Jun 1 2010,92.4361
91003,Food Indices,Jun 1 2011,93.61343
91004,Food Indices,Jun 1 2012,95.95793
91005,Food Indices,Jun 1 2013,98.19045
91006,Food Indices,Jun 1 2014,97.86813
91007,Food Indices,Jun 1 2015,99.8394
91008,Food Indices,Jun 1 2016,100.3924
91009,Food Indices,Jun 1 2017,102.6996
91010,Food Indices,Jun 1 2018,105.1459
91011,Food Indices,Jun 1 2019,108.3047
91012,Food Indices,Jun 1 2020,111.1479
91013,Food Indices,Jun 1 2021,110.8019
91014,Food Indices,Jul 1 2000,76.83216
91015,Food Indices,Jul 1 2001,79.37005
91016,Food Indices,Jul 1 2002,81.4499
91017,Food Indices,Jul 1 2003,81.87062
91018,Food Indices,Jul 1 2004,81.52793
91019,Food Indices,Jul 1 2005,80.55418
91020,Food Indices,Jul 1 2006,81.80276
91021,Food Indices,Jul 1 2007,82.94617
91022,Food Indices,Jul 1 2008,89.55553
91023,Food Indices,Jul 1 2009,91.50984
91024,Food Indices,Jul 1 2010,92.27324
91025,Food Indices,Jul 1 2011,94.02058
91026,Food Indices,Jul 1 2012,95.5406
91027,Food Indices,Jul 1 2013,98.40421
91028,Food Indices,Jul 1 2014,98.68581
91029,Food Indices,Jul 1 2015,100.725
91030,Food Indices,Jul 1 2016,101.6851
91031,Food Indices,Jul 1 2017,103.8295
91032,Food Indices,Jul 1 2018,106.4895
91033,Food Indices,Jul 1 2019,110.5711
91034,Food Indices,Jul 1 2020,112.2981
91035,Food Indices,Aug 1 2000,76.83895
91036,Food Indices,Aug 1 2001,79.46844
91037,Food Indices,Aug 1 2002,81.65008
91038,Food Indices,Aug 1 2003,82.0708
91039,Food Indices,Aug 1 2004,81.43293
91040,Food Indices,Aug 1 2005,80.40149
91041,Food Indices,Aug 1 2006,81.6874
91042,Food Indices,Aug 1 2007,82.90206
91043,Food Indices,Aug 1 2008,89.07713
91044,Food Indices,Aug 1 2009,91.38091
91045,Food Indices,Aug 1 2010,92.45985
91046,Food Indices,Aug 1 2011,94.2038
91047,Food Indices,Aug 1 2012,95.36078
91048,Food Indices,Aug 1 2013,97.6442
91049,Food Indices,Aug 1 2014,98.17688
91050,Food Indices,Aug 1 2015,100.8335
91051,Food Indices,Aug 1 2016,101.2135
91052,Food Indices,Aug 1 2017,103.782
91053,Food Indices,Aug 1 2018,106.062
91054,Food Indices,Aug 1 2019,109.594
91055,Food Indices,Aug 1 2020,111.8095
91056,Food Indices,Sep 1 2000,76.66592
91057,Food Indices,Sep 1 2001,79.45487
91058,Food Indices,Sep 1 2002,81.39561
91059,Food Indices,Sep 1 2003,82.39991
91060,Food Indices,Sep 1 2004,81.19543
91061,Food Indices,Sep 1 2005,80.26578
91062,Food Indices,Sep 1 2006,82.03687
91063,Food Indices,Sep 1 2007,82.71884
91064,Food Indices,Sep 1 2008,89.28749
91065,Food Indices,Sep 1 2009,90.75322
91066,Food Indices,Sep 1 2010,92.46664
91067,Food Indices,Sep 1 2011,93.56593
91068,Food Indices,Sep 1 2012,95.03506
91069,Food Indices,Sep 1 2013,97.6442
91070,Food Indices,Sep 1 2014,97.54919
91071,Food Indices,Sep 1 2015,100.6096
91072,Food Indices,Sep 1 2016,100.691
91073,Food Indices,Sep 1 2017,103.3612
91074,Food Indices,Sep 1 2018,106.5675
91075,Food Indices,Sep 1 2019,109.482
91076,Food Indices,Sep 1 2020,110.466
91077,Food Indices,Oct 1 2000,76.50645
91078,Food Indices,Oct 1 2001,80.13345
91079,Food Indices,Oct 1 2002,81.31419
91080,Food Indices,Oct 1 2003,81.98937
91081,Food Indices,Oct 1 2004,80.97829
91082,Food Indices,Oct 1 2005,80.03506
91083,Food Indices,Oct 1 2006,81.51437
91084,Food Indices,Oct 1 2007,83.72314
91085,Food Indices,Oct 1 2008,89.6641
91086,Food Indices,Oct 1 2009,91.03144
91087,Food Indices,Oct 1 2010,92.41914
91088,Food Indices,Oct 1 2011,93.56255
91089,Food Indices,Oct 1 2012,95.24881
91090,Food Indices,Oct 1 2013,96.80276
91091,Food Indices,Oct 1 2014,97.91902
91092,Food Indices,Oct 1 2015,100.9082
91093,Food Indices,Oct 1 2016,101.1355
91094,Food Indices,Oct 1 2017,103.6225
91095,Food Indices,Oct 1 2018,106.0518
91096,Food Indices,Oct 1 2019,108.9392
91097,Food Indices,Oct 1 2020,110.5406
91098,Food Indices,Nov 1 2000,76.37073
91099,Food Indices,Nov 1 2001,79.64487
91100,Food Indices,Nov 1 2002,80.31328
91101,Food Indices,Nov 1 2003,81.21239
91102,Food Indices,Nov 1 2004,80.21488
91103,Food Indices,Nov 1 2005,80.05202
91104,Food Indices,Nov 1 2006,81.66365
91105,Food Indices,Nov 1 2007,84.6494
91106,Food Indices,Nov 1 2008,89.84053
91107,Food Indices,Nov 1 2009,91.03484
91108,Food Indices,Nov 1 2010,92.98914
91109,Food Indices,Nov 1 2011,93.53201
91110,Food Indices,Nov 1 2012,95.37774
91111,Food Indices,Nov 1 2013,96.8808
91112,Food Indices,Nov 1 2014,98.10902
91113,Food Indices,Nov 1 2015,100.4908
91114,Food Indices,Nov 1 2016,101.0812
91115,Food Indices,Nov 1 2017,103.6293
91116,Food Indices,Nov 1 2018,105.9195
91117,Food Indices,Nov 1 2019,109.2615
91118,Food Indices,Nov 1 2020,110.5202
91119,Food Indices,Dec 1 2000,76.61163
91120,Food Indices,Dec 1 2001,80.20131
91121,Food Indices,Dec 1 2002,80.50668
91122,Food Indices,Dec 1 2003,81.41257
91123,Food Indices,Dec 1 2004,80.56435
91124,Food Indices,Dec 1 2005,80.05202
91125,Food Indices,Dec 1 2006,81.399
91126,Food Indices,Dec 1 2007,85.29745
91127,Food Indices,Dec 1 2008,90.37322
91128,Food Indices,Dec 1 2009,91.03822
91129,Food Indices,Dec 1 2010,93.45397
91130,Food Indices,Dec 1 2011,94.04433
91131,Food Indices,Dec 1 2012,95.81882
91132,Food Indices,Dec 1 2013,96.80615
91133,Food Indices,Dec 1 2014,98.2142
91134,Food Indices,Dec 1 2015,100.0532
91135,Food Indices,Dec 1 2016,101.6478
91136,Food Indices,Dec 1 2017,104.5453
91137,Food Indices,Dec 1 2018,106.5675
91138,Food Indices,Dec 1 2019,109.2784
91139,Food Indices,Dec 1 2020,110.371
91140,General Indices,Jan 1 2000,82.27969
91141,General Indices,Jan 1 2001,83.51794
91142,General Indices,Jan 1 2002,85.78381
91143,General Indices,Jan 1 2003,88.06882
91144,General Indices,Jan 1 2004,88.7071
91145,General Indices,Jan 1 2005,88.68476
91146,General Indices,Jan 1 2006,89.22729
91147,General Indices,Jan 1 2007,90.95701
91148,General Indices,Jan 1 2008,93.86434
91149,General Indices,Jan 1 2009,95.06429
91150,General Indices,Jan 1 2010,95.36109
91151,General Indices,Jan 1 2011,97.70355
91152,General Indices,Jan 1 2012,99.52263
91153,General Indices,Jan 1 2013,99.5705
91154,General Indices,Jan 1 2014,99.37582
91155,General Indices,Jan 1 2015,99.17158
91156,General Indices,Jan 1 2016,99.93112
91157,General Indices,Jan 1 2017,101.3257
91158,General Indices,Jan 1 2018,102.9246
91159,General Indices,Jan 1 2019,104.8554
91160,General Indices,Jan 1 2020,106.2149
91161,General Indices,Jan 1 2021,107.8968
91162,General Indices,Feb 1 2000,82.66904
91163,General Indices,Feb 1 2001,83.82112
91164,General Indices,Feb 1 2002,85.99125
91165,General Indices,Feb 1 2003,88.84752
91166,General Indices,Feb 1 2004,88.49328
91167,General Indices,Feb 1 2005,89.10283
91168,General Indices,Feb 1 2006,89.64536
91169,General Indices,Feb 1 2007,91.41656
