,symbol,date,indices
92430,Food Indices (2015=100),Jan 1 2000,22.168177
92431,Food Indices (2015=100),Jan 1 2001,24.494092
92432,Food Indices (2015=100),Jan 1 2002,27.04925
92433,Food Indices (2015=100),Jan 1 2003,29.853968
92434,Food Indices (2015=100),Jan 1 2004,32.92997
92435,Food Indices (2015=100),Jan 1 2005,36.300401
92436,Food Indices (2015=100),Jan 1 2006,39.989812
92437,Food Indices (2015=100),Jan 1 2007,44.490051
92438,Food Indices (2015=100),Jan 1 2008,55.936189
92439,Food Indices (2015=100),Jan 1 2009,62.544972
92440,Food Indices (2015=100),Jan 1 2010,64.725189
92441,Food Indices (2015=100),Jan 1 2011,75.762537
92442,Food Indices (2015=100),Jan 1 2012,81.281211
92443,Food Indices (2015=100),Jan 1 2013,86.186699
92444,Food Indices (2015=100),Jan 1 2014,88.91197
92445,Food Indices (2015=100),Jan 1 2015,98.041628
92446,Food Indices (2015=100),Jan 1 2016,103.151511
92447,Food Indices (2015=100),Jan 1 2017,108.806449
92448,Food Indices (2015=100),Jan 1 2018,116.641603
92449,Food Indices (2015=100),Jan 1 2019,124.136099
92450,Food Indices (2015=100),Jan 1 2020,137.489927
92451,Food Indices (2015=100),Jan 1 2021,155.408585
92452,Food Indices (2015=100),Feb 1 2000,22.360423
92453,Food Indices (2015=100),Feb 1 2001,24.705301
92454,Food Indices (2015=100),Feb 1 2002,27.281106
92455,Food Indices (2015=100),Feb 1 2003,30.108271
92456,Food Indices (2015=100),Feb 1 2004,33.208639
92457,Food Indices (2015=100),Feb 1 2005,36.605472
92458,Food Indices (2015=100),Feb 1 2006,40.323436
92459,Food Indices (2015=100),Feb 1 2007,44.694446
92460,Food Indices (2015=100),Feb 1 2008,56.34498
92461,Food Indices (2015=100),Feb 1 2009,62.681235
92462,Food Indices (2015=100),Feb 1 2010,65.202111
92463,Food Indices (2015=100),Feb 1 2011,77.261436
92464,Food Indices (2015=100),Feb 1 2012,81.076815
92465,Food Indices (2015=100),Feb 1 2013,86.459226
92466,Food Indices (2015=100),Feb 1 2014,89.048233
92467,Food Indices (2015=100),Feb 1 2015,97.973496
92468,Food Indices (2015=100),Feb 1 2016,103.560302
92469,Food Indices (2015=100),Feb 1 2017,110.305348
92470,Food Indices (2015=100),Feb 1 2018,116.437208
92471,Food Indices (2015=100),Feb 1 2019,125.498734
92472,Food Indices (2015=100),Feb 1 2020,138.171245
92473,Food Indices (2015=100),Feb 1 2021,156.839352
92474,Food Indices (2015=100),Mar 1 2000,22.552669
92475,Food Indices (2015=100),Mar 1 2001,24.91651
92476,Food Indices (2015=100),Mar 1 2002,27.512961
92477,Food Indices (2015=100),Mar 1 2003,30.362574
92478,Food Indices (2015=100),Mar 1 2004,33.487308
92479,Food Indices (2015=100),Mar 1 2005,36.910544
92480,Food Indices (2015=100),Mar 1 2006,40.657061
92481,Food Indices (2015=100),Mar 1 2007,45.035105
92482,Food Indices (2015=100),Mar 1 2008,56.821902
92483,Food Indices (2015=100),Mar 1 2009,63.294421
92484,Food Indices (2015=100),Mar 1 2010,65.406506
92485,Food Indices (2015=100),Mar 1 2011,78.624071
92486,Food Indices (2015=100),Mar 1 2012,80.804288
92487,Food Indices (2015=100),Mar 1 2013,86.799885
92488,Food Indices (2015=100),Mar 1 2014,90.479001
92489,Food Indices (2015=100),Mar 1 2015,99.131736
92490,Food Indices (2015=100),Mar 1 2016,103.287775
92491,Food Indices (2015=100),Mar 1 2017,112.68996
92492,Food Indices (2015=100),Mar 1 2018,114.120727
92493,Food Indices (2015=100),Mar 1 2019,125.498734
92494,Food Indices (2015=100),Mar 1 2020,141.782229
92495,Food Indices (2015=100),Mar 1 2021,160.5866
92496,Food Indices (2015=100),Apr 1 2000,22.744915
92497,Food Indices (2015=100),Apr 1 2001,25.127719
92498,Food Indices (2015=100),Apr 1 2002,27.744817
92499,Food Indices (2015=100),Apr 1 2003,30.616877
92500,Food Indices (2015=100),Apr 1 2004,33.765977
92501,Food Indices (2015=100),Apr 1 2005,37.215615
92502,Food Indices (2015=100),Apr 1 2006,40.990686
92503,Food Indices (2015=100),Apr 1 2007,45.443896
92504,Food Indices (2015=100),Apr 1 2008,58.525197
92505,Food Indices (2015=100),Apr 1 2009,63.430685
92506,Food Indices (2015=100),Apr 1 2010,65.610902
92507,Food Indices (2015=100),Apr 1 2011,80.191102
92508,Food Indices (2015=100),Apr 1 2012,80.327366
92509,Food Indices (2015=100),Apr 1 2013,86.799885
92510,Food Indices (2015=100),Apr 1 2014,93.13614
92511,Food Indices (2015=100),Apr 1 2015,100.358108
92512,Food Indices (2015=100),Apr 1 2016,103.900961
92513,Food Indices (2015=100),Apr 1 2017,114.733913
92514,Food Indices (2015=100),Apr 1 2018,115.142704
92515,Food Indices (2015=100),Apr 1 2019,128.01961
92516,Food Indices (2015=100),Apr 1 2020,148.867934
92517,Food Indices (2015=100),Apr 1 2021,162.358026
92518,Food Indices (2015=100),May 1 2000,22.93716
92519,Food Indices (2015=100),May 1 2001,25.338929
92520,Food Indices (2015=100),May 1 2002,27.976673
92521,Food Indices (2015=100),May 1 2003,30.87118
92522,Food Indices (2015=100),May 1 2004,34.044646
92523,Food Indices (2015=100),May 1 2005,37.520687
92524,Food Indices (2015=100),May 1 2006,41.32431
92525,Food Indices (2015=100),May 1 2007,45.648291
92526,Food Indices (2015=100),May 1 2008,59.547174
92527,Food Indices (2015=100),May 1 2009,63.975739
92528,Food Indices (2015=100),May 1 2010,65.883429
92529,Food Indices (2015=100),May 1 2011,80.668025
92530,Food Indices (2015=100),May 1 2012,80.940552
92531,Food Indices (2015=100),May 1 2013,86.868016
92532,Food Indices (2015=100),May 1 2014,94.29438
92533,Food Indices (2015=100),May 1 2015,100.971294
92534,Food Indices (2015=100),May 1 2016,103.969093
92535,Food Indices (2015=100),May 1 2017,116.369076
92536,Food Indices (2015=100),May 1 2018,116.164681
92537,Food Indices (2015=100),May 1 2019,130.33609
92538,Food Indices (2015=100),May 1 2020,150.63936
92539,Food Indices (2015=100),May 1 2021,164.265716
92540,Food Indices (2015=100),Jun 1 2000,23.129406
92541,Food Indices (2015=100),Jun 1 2001,25.550138
92542,Food Indices (2015=100),Jun 1 2002,28.208529
92543,Food Indices (2015=100),Jun 1 2003,31.125483
92544,Food Indices (2015=100),Jun 1 2004,34.323315
92545,Food Indices (2015=100),Jun 1 2005,37.825758
92546,Food Indices (2015=100),Jun 1 2006,41.657935
92547,Food Indices (2015=100),Jun 1 2007,45.443896
92548,Food Indices (2015=100),Jun 1 2008,60.432887
92549,Food Indices (2015=100),Jun 1 2009,64.520793
92550,Food Indices (2015=100),Jun 1 2010,66.496615
92551,Food Indices (2015=100),Jun 1 2011,79.71418
92552,Food Indices (2015=100),Jun 1 2012,80.940552
92553,Food Indices (2015=100),Jun 1 2013,86.663621
92554,Food Indices (2015=100),Jun 1 2014,94.703171
92555,Food Indices (2015=100),Jun 1 2015,100.221845
92556,Food Indices (2015=100),Jun 1 2016,104.65041
92557,Food Indices (2015=100),Jun 1 2017,117.595448
92558,Food Indices (2015=100),Jun 1 2018,115.551495
92559,Food Indices (2015=100),Jun 1 2019,130.813013
92560,Food Indices (2015=100),Jun 1 2020,146.41519
92561,Food Indices (2015=100),Jun 1 2021,166.255018
92562,Food Indices (2015=100),Jul 1 2000,23.321652
92563,Food Indices (2015=100),Jul 1 2001,25.761347
92564,Food Indices (2015=100),Jul 1 2002,28.440385
92565,Food Indices (2015=100),Jul 1 2003,31.379786
92566,Food Indices (2015=100),Jul 1 2004,34.601984
92567,Food Indices (2015=100),Jul 1 2005,38.13083
92568,Food Indices (2015=100),Jul 1 2006,41.991559
92569,Food Indices (2015=100),Jul 1 2007,45.852686
92570,Food Indices (2015=100),Jul 1 2008,61.795522
92571,Food Indices (2015=100),Jul 1 2009,64.452662
92572,Food Indices (2015=100),Jul 1 2010,67.382328
92573,Food Indices (2015=100),Jul 1 2011,80.054839
92574,Food Indices (2015=100),Jul 1 2012,81.349342
92575,Food Indices (2015=100),Jul 1 2013,85.982303
92576,Food Indices (2015=100),Jul 1 2014,94.29438
92577,Food Indices (2015=100),Jul 1 2015,99.540527
92578,Food Indices (2015=100),Jul 1 2016,105.059201
92579,Food Indices (2015=100),Jul 1 2017,117.867975
92580,Food Indices (2015=100),Jul 1 2018,116.028417
92581,Food Indices (2015=100),Jul 1 2019,132.652571
92582,Food Indices (2015=100),Jul 1 2020,145.120686
92583,Food Indices (2015=100),Aug 1 2000,23.513898
92584,Food Indices (2015=100),Aug 1 2001,25.972556
92585,Food Indices (2015=100),Aug 1 2002,28.672241
92586,Food Indices (2015=100),Aug 1 2003,31.634089
92587,Food Indices (2015=100),Aug 1 2004,34.880653
92588,Food Indices (2015=100),Aug 1 2005,38.435901
92589,Food Indices (2015=100),Aug 1 2006,42.325184
92590,Food Indices (2015=100),Aug 1 2007,46.261477
92591,Food Indices (2015=100),Aug 1 2008,63.294421
92592,Food Indices (2015=100),Aug 1 2009,64.588925
92593,Food Indices (2015=100),Aug 1 2010,68.268041
92594,Food Indices (2015=100),Aug 1 2011,80.804288
92595,Food Indices (2015=100),Aug 1 2012,82.916373
92596,Food Indices (2015=100),Aug 1 2013,86.868016
92597,Food Indices (2015=100),Aug 1 2014,94.158117
