,symbol,date,price
93462,Food Indices,Jan 1 2000,39.734612
93463,Food Indices,Jan 1 2001,41.784951
93464,Food Indices,Jan 1 2002,43.83529
93465,Food Indices,Jan 1 2003,45.885628
93466,Food Indices,Jan 1 2004,48.035519
93467,Food Indices,Jan 1 2005,49.836851
93468,Food Indices,Jan 1 2006,49.236407
93469,Food Indices,Jan 1 2007,55.335654
93470,Food Indices,Jan 1 2008,59.886387
93471,Food Indices,Jan 1 2009,63.299437
93472,Food Indices,Jan 1 2010,64.847951
93473,Food Indices,Jan 1 2011,72.938144
93474,Food Indices,Jan 1 2012,84.820614
93475,Food Indices,Jan 1 2013,96.610883
93476,Food Indices,Jan 1 2014,100.11854
93477,Food Indices,Jan 1 2015,100.419196
93478,Food Indices,Jan 1 2016,98.51504
93479,Food Indices,Jan 1 2017,98.815696
93480,Food Indices,Jan 1 2018,99.918102
93481,Food Indices,Jan 1 2019,101.321165
93482,Food Indices,Jan 1 2020,101.421384
93483,Food Indices,Jan 1 2021,104.728603
93484,Food Indices,Feb 1 2000,39.905473
93485,Food Indices,Feb 1 2001,41.955812
93486,Food Indices,Feb 1 2002,44.006151
93487,Food Indices,Feb 1 2003,46.05649
93488,Food Indices,Feb 1 2004,48.098724
93489,Food Indices,Feb 1 2005,49.615635
93490,Food Indices,Feb 1 2006,49.268009
93491,Food Indices,Feb 1 2007,57.294997
93492,Food Indices,Feb 1 2008,60.518434
93493,Food Indices,Feb 1 2009,63.173028
93494,Food Indices,Feb 1 2010,65.227179
93495,Food Indices,Feb 1 2011,74.865885
93496,Food Indices,Feb 1 2012,85.263046
93497,Food Indices,Feb 1 2013,97.312415
93498,Food Indices,Feb 1 2014,99.817884
93499,Food Indices,Feb 1 2015,100.519415
93500,Food Indices,Feb 1 2016,97.613071
93501,Food Indices,Feb 1 2017,98.715477
93502,Food Indices,Feb 1 2018,100.11854
93503,Food Indices,Feb 1 2019,101.421384
93504,Food Indices,Feb 1 2020,101.321165
93505,Food Indices,Feb 1 2021,105.329915
93506,Food Indices,Mar 1 2000,40.076335
93507,Food Indices,Mar 1 2001,42.126674
93508,Food Indices,Mar 1 2002,44.177013
93509,Food Indices,Mar 1 2003,46.227352
93510,Food Indices,Mar 1 2004,48.161928
93511,Food Indices,Mar 1 2005,49.394419
93512,Food Indices,Mar 1 2006,49.299612
93513,Food Indices,Mar 1 2007,59.254341
93514,Food Indices,Mar 1 2008,61.15048
93515,Food Indices,Mar 1 2009,63.046619
93516,Food Indices,Mar 1 2010,65.606406
93517,Food Indices,Mar 1 2011,76.793626
93518,Food Indices,Mar 1 2012,85.705479
93519,Food Indices,Mar 1 2013,98.214383
93520,Food Indices,Mar 1 2014,99.918102
93521,Food Indices,Mar 1 2015,100.719852
93522,Food Indices,Mar 1 2016,97.913727
93523,Food Indices,Mar 1 2017,98.815696
93524,Food Indices,Mar 1 2018,100.218759
93525,Food Indices,Mar 1 2019,101.521602
93526,Food Indices,Mar 1 2020,101.822259
93527,Food Indices,Mar 1 2021,106.332103
93528,Food Indices,Apr 1 2000,40.247197
93529,Food Indices,Apr 1 2001,42.297535
93530,Food Indices,Apr 1 2002,44.347874
93531,Food Indices,Apr 1 2003,46.398213
93532,Food Indices,Apr 1 2004,48.762372
93533,Food Indices,Apr 1 2005,49.331214
93534,Food Indices,Apr 1 2006,50.405693
93535,Food Indices,Apr 1 2007,58.780306
93536,Food Indices,Apr 1 2008,62.698993
