,symbol,date,indices
93978,Food Indices (2015=100),Jan 1 2000,68.300658
93979,Food Indices (2015=100),Jan 1 2001,60.270843
93980,Food Indices (2015=100),Jan 1 2002,68.300658
93981,Food Indices (2015=100),Jan 1 2003,65.466605
93982,Food Indices (2015=100),Jan 1 2004,62.632553
93983,Food Indices (2015=100),Jan 1 2005,66.600226
93984,Food Indices (2015=100),Jan 1 2006,69.717684
93985,Food Indices (2015=100),Jan 1 2007,71.040241
93986,Food Indices (2015=100),Jan 1 2008,76.774474
93987,Food Indices (2015=100),Jan 1 2009,91.653248
93988,Food Indices (2015=100),Jan 1 2010,95.403643
93989,Food Indices (2015=100),Jan 1 2011,98.473866
93990,Food Indices (2015=100),Jan 1 2012,97.047394
93991,Food Indices (2015=100),Jan 1 2013,101.742473
93992,Food Indices (2015=100),Jan 1 2014,92.097249
93993,Food Indices (2015=100),Jan 1 2015,98.49276
93994,Food Indices (2015=100),Jan 1 2016,103.782991
93995,Food Indices (2015=100),Jan 1 2017,100.665534
93996,Food Indices (2015=100),Jan 1 2018,99.607487
93997,Food Indices (2015=100),Jan 1 2019,103.556267
93998,Food Indices (2015=100),Jan 1 2020,101.827495
93999,Food Indices (2015=100),Jan 1 2021,106.824874
94000,Food Indices (2015=100),Feb 1 2000,67.828316
94001,Food Indices (2015=100),Feb 1 2001,62.160211
94002,Food Indices (2015=100),Feb 1 2002,66.222353
94003,Food Indices (2015=100),Feb 1 2003,65.466605
94004,Food Indices (2015=100),Feb 1 2004,62.160211
94005,Food Indices (2015=100),Feb 1 2005,66.883632
94006,Food Indices (2015=100),Feb 1 2006,68.584063
94007,Food Indices (2015=100),Feb 1 2007,69.245342
94008,Food Indices (2015=100),Feb 1 2008,79.466823
94009,Food Indices (2015=100),Feb 1 2009,89.357665
94010,Food Indices (2015=100),Feb 1 2010,94.213341
94011,Food Indices (2015=100),Feb 1 2011,93.911042
94012,Food Indices (2015=100),Feb 1 2012,95.989347
94013,Food Indices (2015=100),Feb 1 2013,100.882811
94014,Food Indices (2015=100),Feb 1 2014,93.731553
94015,Food Indices (2015=100),Feb 1 2015,98.700591
94016,Food Indices (2015=100),Feb 1 2016,102.347071
94017,Food Indices (2015=100),Feb 1 2017,99.248507
94018,Food Indices (2015=100),Feb 1 2018,99.92868
94019,Food Indices (2015=100),Feb 1 2019,102.715498
94020,Food Indices (2015=100),Feb 1 2020,101.893623
94021,Food Indices (2015=100),Feb 1 2021,106.80598
94022,Food Indices (2015=100),Mar 1 2000,64.994263
94023,Food Indices (2015=100),Mar 1 2001,62.632553
94024,Food Indices (2015=100),Mar 1 2002,68.111721
94025,Food Indices (2015=100),Mar 1 2003,64.61639
94026,Food Indices (2015=100),Mar 1 2004,60.837654
94027,Food Indices (2015=100),Mar 1 2005,67.072568
94028,Food Indices (2015=100),Mar 1 2006,68.017252
94029,Food Indices (2015=100),Mar 1 2007,68.961936
94030,Food Indices (2015=100),Mar 1 2008,78.654395
94031,Food Indices (2015=100),Mar 1 2009,90.991969
94032,Food Indices (2015=100),Mar 1 2010,95.271388
94033,Food Indices (2015=100),Mar 1 2011,94.770705
94034,Food Indices (2015=100),Mar 1 2012,95.573686
94035,Food Indices (2015=100),Mar 1 2013,100.882811
94036,Food Indices (2015=100),Mar 1 2014,94.364491
94037,Food Indices (2015=100),Mar 1 2015,97.198543
94038,Food Indices (2015=100),Mar 1 2016,100.608852
94039,Food Indices (2015=100),Mar 1 2017,100.901705
94040,Food Indices (2015=100),Mar 1 2018,99.550806
94041,Food Indices (2015=100),Mar 1 2019,102.177028
94042,Food Indices (2015=100),Mar 1 2020,103.735757
94043,Food Indices (2015=100),Mar 1 2021,104.944952
94044,Food Indices (2015=100),Apr 1 2000,64.61639
94045,Food Indices (2015=100),Apr 1 2001,64.805327
94046,Food Indices (2015=100),Apr 1 2002,71.323647
94047,Food Indices (2015=100),Apr 1 2003,66.222353
94048,Food Indices (2015=100),Apr 1 2004,61.876806
94049,Food Indices (2015=100),Apr 1 2005,71.512583
94050,Food Indices (2015=100),Apr 1 2006,71.418115
94051,Food Indices (2015=100),Apr 1 2007,70.756836
94052,Food Indices (2015=100),Apr 1 2008,80.534316
94053,Food Indices (2015=100),Apr 1 2009,93.032486
94054,Food Indices (2015=100),Apr 1 2010,96.69786
94055,Food Indices (2015=100),Apr 1 2011,95.649261
94056,Food Indices (2015=100),Apr 1 2012,100.306554
94057,Food Indices (2015=100),Apr 1 2013,100.797789
94058,Food Indices (2015=100),Apr 1 2014,97.085181
94059,Food Indices (2015=100),Apr 1 2015,97.170202
94060,Food Indices (2015=100),Apr 1 2016,104.567079
94061,Food Indices (2015=100),Apr 1 2017,103.310649
94062,Food Indices (2015=100),Apr 1 2018,104.746569
94063,Food Indices (2015=100),Apr 1 2019,102.517114
94064,Food Indices (2015=100),Apr 1 2020,107.1933
94065,Food Indices (2015=100),Apr 1 2021,112.993661
94066,Food Indices (2015=100),May 1 2000,65.1832
94067,Food Indices (2015=100),May 1 2001,67.072568
94068,Food Indices (2015=100),May 1 2002,73.874294
94069,Food Indices (2015=100),May 1 2003,69.717684
94070,Food Indices (2015=100),May 1 2004,64.899795
94071,Food Indices (2015=100),May 1 2005,75.29132
94072,Food Indices (2015=100),May 1 2006,73.968762
94073,Food Indices (2015=100),May 1 2007,73.118546
94074,Food Indices (2015=100),May 1 2008,90.028391
94075,Food Indices (2015=100),May 1 2009,93.174189
94076,Food Indices (2015=100),May 1 2010,92.12559
94077,Food Indices (2015=100),May 1 2011,96.508924
94078,Food Indices (2015=100),May 1 2012,101.685792
94079,Food Indices (2015=100),May 1 2013,102.432093
94080,Food Indices (2015=100),May 1 2014,97.869269
94081,Food Indices (2015=100),May 1 2015,101.969198
94082,Food Indices (2015=100),May 1 2016,110.348545
94083,Food Indices (2015=100),May 1 2017,106.324191
94084,Food Indices (2015=100),May 1 2018,109.337733
94085,Food Indices (2015=100),May 1 2019,106.371425
94086,Food Indices (2015=100),May 1 2020,108.024622
94087,Food Indices (2015=100),May 1 2021,116.233927
94088,Food Indices (2015=100),Jun 1 2000,65.1832
94089,Food Indices (2015=100),Jun 1 2001,67.922784
94090,Food Indices (2015=100),Jun 1 2002,73.401952
94091,Food Indices (2015=100),Jun 1 2003,70.095557
94092,Food Indices (2015=100),Jun 1 2004,65.750011
94093,Food Indices (2015=100),Jun 1 2005,75.102383
94094,Food Indices (2015=100),Jun 1 2006,73.968762
94095,Food Indices (2015=100),Jun 1 2007,73.024078
94096,Food Indices (2015=100),Jun 1 2008,86.429145
94097,Food Indices (2015=100),Jun 1 2009,95.309175
94098,Food Indices (2015=100),Jun 1 2010,95.082451
94099,Food Indices (2015=100),Jun 1 2011,99.012336
94100,Food Indices (2015=100),Jun 1 2012,100.316
94101,Food Indices (2015=100),Jun 1 2013,101.345706
94102,Food Indices (2015=100),Jun 1 2014,97.755907
94103,Food Indices (2015=100),Jun 1 2015,102.488774
94104,Food Indices (2015=100),Jun 1 2016,111.066505
94105,Food Indices (2015=100),Jun 1 2017,108.723689
94106,Food Indices (2015=100),Jun 1 2018,106.286404
94107,Food Indices (2015=100),Jun 1 2019,108.298581
94108,Food Indices (2015=100),Jun 1 2020,107.401131
94109,Food Indices (2015=100),Jun 1 2021,116.534183
94110,Food Indices (2015=100),Jul 1 2000,62.915958
94111,Food Indices (2015=100),Jul 1 2001,70.662368
94112,Food Indices (2015=100),Jul 1 2002,69.717684
94113,Food Indices (2015=100),Jul 1 2003,66.505758
94114,Food Indices (2015=100),Jul 1 2004,65.372137
94115,Food Indices (2015=100),Jul 1 2005,77.086219
94116,Food Indices (2015=100),Jul 1 2006,68.773
94117,Food Indices (2015=100),Jul 1 2007,75.763662
94118,Food Indices (2015=100),Jul 1 2008,88.063448
94119,Food Indices (2015=100),Jul 1 2009,97.529182
94120,Food Indices (2015=100),Jul 1 2010,96.149944
94121,Food Indices (2015=100),Jul 1 2011,97.217437
94122,Food Indices (2015=100),Jul 1 2012,100.948939
94123,Food Indices (2015=100),Jul 1 2013,99.654722
94124,Food Indices (2015=100),Jul 1 2014,97.56697
94125,Food Indices (2015=100),Jul 1 2015,101.855835
94126,Food Indices (2015=100),Jul 1 2016,111.14208
94127,Food Indices (2015=100),Jul 1 2017,105.001633
94128,Food Indices (2015=100),Jul 1 2018,105.133889
94129,Food Indices (2015=100),Jul 1 2019,104.056949
94130,Food Indices (2015=100),Jul 1 2020,107.580621
94131,Food Indices (2015=100),Aug 1 2000,60.270843
94132,Food Indices (2015=100),Aug 1 2001,69.528747
94133,Food Indices (2015=100),Aug 1 2002,66.316821
94134,Food Indices (2015=100),Aug 1 2003,61.121059
94135,Food Indices (2015=100),Aug 1 2004,64.899795
94136,Food Indices (2015=100),Aug 1 2005,72.551736
