,symbol,date,price
97074,Food Indices (2015=100),Jan 1 2000,16.686376
97075,Food Indices (2015=100),Jan 1 2001,22.077144
97076,Food Indices (2015=100),Jan 1 2002,24.948458
97077,Food Indices (2015=100),Jan 1 2003,25.077591
97078,Food Indices (2015=100),Jan 1 2004,26.74449
97079,Food Indices (2015=100),Jan 1 2005,29.643633
97080,Food Indices (2015=100),Jan 1 2006,32.446077
97081,Food Indices (2015=100),Jan 1 2007,33.068843
97082,Food Indices (2015=100),Jan 1 2008,42.534877
97083,Food Indices (2015=100),Jan 1 2009,52.312293
97084,Food Indices (2015=100),Jan 1 2010,58.104011
97085,Food Indices (2015=100),Jan 1 2011,63.086135
97086,Food Indices (2015=100),Jan 1 2012,63.459794
97087,Food Indices (2015=100),Jan 1 2013,62.08971
97088,Food Indices (2015=100),Jan 1 2014,61.716051
97089,Food Indices (2015=100),Jan 1 2015,80.336736
97090,Food Indices (2015=100),Jan 1 2016,110.914517
97091,Food Indices (2015=100),Jan 1 2017,114.215174
97092,Food Indices (2015=100),Jan 1 2018,134.579602
97093,Food Indices (2015=100),Jan 1 2019,145.22889
97094,Food Indices (2015=100),Jan 1 2020,149.775078
97095,Food Indices (2015=100),Jan 1 2021,158.55607
97096,Food Indices (2015=100),Feb 1 2000,17.152716
97097,Food Indices (2015=100),Feb 1 2001,22.338171
97098,Food Indices (2015=100),Feb 1 2002,24.948477
97099,Food Indices (2015=100),Feb 1 2003,25.206516
97100,Food Indices (2015=100),Feb 1 2004,26.993213
97101,Food Indices (2015=100),Feb 1 2005,30.017292
97102,Food Indices (2015=100),Feb 1 2006,33.317949
97103,Food Indices (2015=100),Feb 1 2007,33.068843
97104,Food Indices (2015=100),Feb 1 2008,44.154067
97105,Food Indices (2015=100),Feb 1 2009,53.059612
97106,Food Indices (2015=100),Feb 1 2010,60.159137
97107,Food Indices (2015=100),Feb 1 2011,63.272964
97108,Food Indices (2015=100),Feb 1 2012,63.646623
97109,Food Indices (2015=100),Feb 1 2013,61.965157
97110,Food Indices (2015=100),Feb 1 2014,62.463369
97111,Food Indices (2015=100),Feb 1 2015,84.882923
97112,Food Indices (2015=100),Feb 1 2016,110.104922
97113,Food Indices (2015=100),Feb 1 2017,115.89664
97114,Food Indices (2015=100),Feb 1 2018,135.949686
97115,Food Indices (2015=100),Feb 1 2019,146.536698
97116,Food Indices (2015=100),Feb 1 2020,149.152312
97117,Food Indices (2015=100),Feb 1 2021,161.856726
97118,Food Indices (2015=100),Mar 1 2000,17.619056
97119,Food Indices (2015=100),Mar 1 2001,22.599198
97120,Food Indices (2015=100),Mar 1 2002,24.948496
97121,Food Indices (2015=100),Mar 1 2003,25.335441
97122,Food Indices (2015=100),Mar 1 2004,27.241936
97123,Food Indices (2015=100),Mar 1 2005,30.702334
97124,Food Indices (2015=100),Mar 1 2006,33.131119
97125,Food Indices (2015=100),Mar 1 2007,33.131119
97126,Food Indices (2015=100),Mar 1 2008,46.645128
97127,Food Indices (2015=100),Mar 1 2009,53.869207
97128,Food Indices (2015=100),Mar 1 2010,60.906456
97129,Food Indices (2015=100),Mar 1 2011,64.393942
97130,Food Indices (2015=100),Mar 1 2012,63.771177
97131,Food Indices (2015=100),Mar 1 2013,61.778327
97132,Food Indices (2015=100),Mar 1 2014,63.958006
97133,Food Indices (2015=100),Mar 1 2015,98.147826
97134,Food Indices (2015=100),Mar 1 2016,109.357604
97135,Food Indices (2015=100),Mar 1 2017,117.204447
97136,Food Indices (2015=100),Mar 1 2018,137.444323
97137,Food Indices (2015=100),Mar 1 2019,147.097186
97138,Food Indices (2015=100),Mar 1 2020,149.775078
97139,Food Indices (2015=100),Mar 1 2021,165.281936
97140,Food Indices (2015=100),Apr 1 2000,18.085396
97141,Food Indices (2015=100),Apr 1 2001,22.860225
97142,Food Indices (2015=100),Apr 1 2002,24.948515
97143,Food Indices (2015=100),Apr 1 2003,25.464366
97144,Food Indices (2015=100),Apr 1 2004,27.49066
97145,Food Indices (2015=100),Apr 1 2005,30.95144
97146,Food Indices (2015=100),Apr 1 2006,32.944289
97147,Food Indices (2015=100),Apr 1 2007,33.317949
97148,Food Indices (2015=100),Apr 1 2008,49.073913
97149,Food Indices (2015=100),Apr 1 2009,54.491972
97150,Food Indices (2015=100),Apr 1 2010,60.595073
97151,Food Indices (2015=100),Apr 1 2011,65.390367
97152,Food Indices (2015=100),Apr 1 2012,63.646623
97153,Food Indices (2015=100),Apr 1 2013,61.716051
97154,Food Indices (2015=100),Apr 1 2014,66.635897
97155,Food Indices (2015=100),Apr 1 2015,102.444908
97156,Food Indices (2015=100),Apr 1 2016,109.482157
97157,Food Indices (2015=100),Apr 1 2017,118.574531
97158,Food Indices (2015=100),Apr 1 2018,138.93896
97159,Food Indices (2015=100),Apr 1 2019,149.152312
97160,Food Indices (2015=100),Apr 1 2020,152.888905
97161,Food Indices (2015=100),Apr 1 2021,167.270381
97162,Food Indices (2015=100),May 1 2000,18.551737
97163,Food Indices (2015=100),May 1 2001,23.121251
97164,Food Indices (2015=100),May 1 2002,24.948533
97165,Food Indices (2015=100),May 1 2003,25.593291
97166,Food Indices (2015=100),May 1 2004,27.739383
97167,Food Indices (2015=100),May 1 2005,31.13827
97168,Food Indices (2015=100),May 1 2006,32.819736
97169,Food Indices (2015=100),May 1 2007,33.691608
97170,Food Indices (2015=100),May 1 2008,50.008061
97171,Food Indices (2015=100),May 1 2009,54.678802
97172,Food Indices (2015=100),May 1 2010,59.723201
97173,Food Indices (2015=100),May 1 2011,65.888579
97174,Food Indices (2015=100),May 1 2012,63.148411
97175,Food Indices (2015=100),May 1 2013,61.716051
97176,Food Indices (2015=100),May 1 2014,69.064682
97177,Food Indices (2015=100),May 1 2015,105.621011
97178,Food Indices (2015=100),May 1 2016,109.668986
97179,Food Indices (2015=100),May 1 2017,121.314699
97180,Food Indices (2015=100),May 1 2018,138.004812
97181,Food Indices (2015=100),May 1 2019,150.646949
97182,Food Indices (2015=100),May 1 2020,154.694924
97183,Food Indices (2015=100),May 1 2021,170.102408
97184,Food Indices (2015=100),Jun 1 2000,19.018077
97185,Food Indices (2015=100),Jun 1 2001,23.382278
97186,Food Indices (2015=100),Jun 1 2002,24.948552
97187,Food Indices (2015=100),Jun 1 2003,25.722216
97188,Food Indices (2015=100),Jun 1 2004,27.988106
97189,Food Indices (2015=100),Jun 1 2005,31.325099
97190,Food Indices (2015=100),Jun 1 2006,32.75746
97191,Food Indices (2015=100),Jun 1 2007,34.937139
97192,Food Indices (2015=100),Jun 1 2008,50.319444
97193,Food Indices (2015=100),Jun 1 2009,54.741078
97194,Food Indices (2015=100),Jun 1 2010,59.162713
97195,Food Indices (2015=100),Jun 1 2011,66.075408
97196,Food Indices (2015=100),Jun 1 2012,62.774752
97197,Food Indices (2015=100),Jun 1 2013,61.653774
97198,Food Indices (2015=100),Jun 1 2014,69.500618
97199,Food Indices (2015=100),Jun 1 2015,105.621011
97200,Food Indices (2015=100),Jun 1 2016,109.046221
97201,Food Indices (2015=100),Jun 1 2017,125.362674
97202,Food Indices (2015=100),Jun 1 2018,137.31977
97203,Food Indices (2015=100),Jun 1 2019,149.027759
97204,Food Indices (2015=100),Jun 1 2020,155.31769
97205,Food Indices (2015=100),Jun 1 2021,170.589782
97206,Food Indices (2015=100),Jul 1 2000,19.484417
97207,Food Indices (2015=100),Jul 1 2001,23.643305
97208,Food Indices (2015=100),Jul 1 2002,24.948571
97209,Food Indices (2015=100),Jul 1 2003,25.851141
97210,Food Indices (2015=100),Jul 1 2004,28.236829
97211,Food Indices (2015=100),Jul 1 2005,31.325099
97212,Food Indices (2015=100),Jul 1 2006,32.134694
97213,Food Indices (2015=100),Jul 1 2007,35.746734
97214,Food Indices (2015=100),Jul 1 2008,49.634402
97215,Food Indices (2015=100),Jul 1 2009,54.616525
97216,Food Indices (2015=100),Jul 1 2010,58.789053
97217,Food Indices (2015=100),Jul 1 2011,64.393942
97218,Food Indices (2015=100),Jul 1 2012,62.463369
97219,Food Indices (2015=100),Jul 1 2013,61.466945
97220,Food Indices (2015=100),Jul 1 2014,69.002406
97221,Food Indices (2015=100),Jul 1 2015,103.503609
97222,Food Indices (2015=100),Jul 1 2016,108.049796
97223,Food Indices (2015=100),Jul 1 2017,125.736333
97224,Food Indices (2015=100),Jul 1 2018,134.704155
97225,Food Indices (2015=100),Jul 1 2019,147.969058
97226,Food Indices (2015=100),Jul 1 2020,153.138011
97227,Food Indices (2015=100),Aug 1 2000,19.950757
97228,Food Indices (2015=100),Aug 1 2001,23.904332
97229,Food Indices (2015=100),Aug 1 2002,24.94859
97230,Food Indices (2015=100),Aug 1 2003,25.980066
97231,Food Indices (2015=100),Aug 1 2004,28.485553
97232,Food Indices (2015=100),Aug 1 2005,31.075993
97233,Food Indices (2015=100),Aug 1 2006,31.698759
97234,Food Indices (2015=100),Aug 1 2007,35.99584
97235,Food Indices (2015=100),Aug 1 2008,49.385296
97236,Food Indices (2015=100),Aug 1 2009,53.931483
97237,Food Indices (2015=100),Aug 1 2010,58.726777
97238,Food Indices (2015=100),Aug 1 2011,63.584347
97239,Food Indices (2015=100),Aug 1 2012,62.151987
97240,Food Indices (2015=100),Aug 1 2013,60.532796
97241,Food Indices (2015=100),Aug 1 2014,68.940129
97242,Food Indices (2015=100),Aug 1 2015,101.759866
97243,Food Indices (2015=100),Aug 1 2016,106.991095
97244,Food Indices (2015=100),Aug 1 2017,124.989015
97245,Food Indices (2015=100),Aug 1 2018,133.89456
97246,Food Indices (2015=100),Aug 1 2019,147.533122
97247,Food Indices (2015=100),Aug 1 2020,150.896055
97248,Food Indices (2015=100),Sep 1 2000,20.417097
97249,Food Indices (2015=100),Sep 1 2001,24.165358
97250,Food Indices (2015=100),Sep 1 2002,24.948609
97251,Food Indices (2015=100),Sep 1 2003,26.108991
97252,Food Indices (2015=100),Sep 1 2004,28.734276
97253,Food Indices (2015=100),Sep 1 2005,30.889164
97254,Food Indices (2015=100),Sep 1 2006,32.072418
97255,Food Indices (2015=100),Sep 1 2007,37.116818
97256,Food Indices (2015=100),Sep 1 2008,49.572126
97257,Food Indices (2015=100),Sep 1 2009,54.118313
97258,Food Indices (2015=100),Sep 1 2010,61.280115
97259,Food Indices (2015=100),Sep 1 2011,63.397517
97260,Food Indices (2015=100),Sep 1 2012,62.08971
97261,Food Indices (2015=100),Sep 1 2013,60.47052
97262,Food Indices (2015=100),Sep 1 2014,70.932979
97263,Food Indices (2015=100),Sep 1 2015,102.94312
