,symbol,date,price
97590,Food Indices,Jan 1 2000,56.868875
97591,Food Indices,Jan 1 2001,57.19366
97592,Food Indices,Jan 1 2002,57.78417
97593,Food Indices,Jan 1 2003,58.627074
97594,Food Indices,Jan 1 2004,60.179541
97595,Food Indices,Jan 1 2005,64.241672
97596,Food Indices,Jan 1 2006,67.170406
97597,Food Indices,Jan 1 2007,70.903948
97598,Food Indices,Jan 1 2008,74.847043
97599,Food Indices,Jan 1 2009,81.327991
97600,Food Indices,Jan 1 2010,82.671602
97601,Food Indices,Jan 1 2011,85.862678
97602,Food Indices,Jan 1 2012,92.719047
97603,Food Indices,Jan 1 2013,95.435907
97604,Food Indices,Jan 1 2014,97.510601
97605,Food Indices,Jan 1 2015,97.648914
97606,Food Indices,Jan 1 2016,99.990354
97607,Food Indices,Jan 1 2017,100.622641
97608,Food Indices,Jan 1 2018,107.893604
97609,Food Indices,Jan 1 2019,106.722671
97610,Food Indices,Jan 1 2020,104.950574
97611,Food Indices,Jan 1 2021,107.884702
97612,Food Indices,Feb 1 2000,56.894072
97613,Food Indices,Feb 1 2001,57.241282
97614,Food Indices,Feb 1 2002,57.85084
97615,Food Indices,Feb 1 2003,58.736604
97616,Food Indices,Feb 1 2004,60.527179
97617,Food Indices,Feb 1 2005,64.47978
97618,Food Indices,Feb 1 2006,67.479947
97619,Food Indices,Feb 1 2007,71.232537
97620,Food Indices,Feb 1 2008,76.714267
97621,Food Indices,Feb 1 2009,80.932811
97622,Food Indices,Feb 1 2010,82.068953
97623,Food Indices,Feb 1 2011,85.921955
97624,Food Indices,Feb 1 2012,92.373264
97625,Food Indices,Feb 1 2013,94.685066
97626,Food Indices,Feb 1 2014,97.214216
97627,Food Indices,Feb 1 2015,98.063853
97628,Food Indices,Feb 1 2016,99.644572
97629,Food Indices,Feb 1 2017,100.415172
97630,Food Indices,Feb 1 2018,106.91332
97631,Food Indices,Feb 1 2019,104.859329
97632,Food Indices,Feb 1 2020,108.432747
97633,Food Indices,Feb 1 2021,106.916196
97634,Food Indices,Mar 1 2000,56.919269
97635,Food Indices,Mar 1 2001,57.288904
97636,Food Indices,Mar 1 2002,57.91751
97637,Food Indices,Mar 1 2003,58.846133
97638,Food Indices,Mar 1 2004,60.874818
97639,Food Indices,Mar 1 2005,64.717889
97640,Food Indices,Mar 1 2006,67.789489
97641,Food Indices,Mar 1 2007,71.561127
97642,Food Indices,Mar 1 2008,76.625352
97643,Food Indices,Mar 1 2009,79.154502
97644,Food Indices,Mar 1 2010,81.476183
97645,Food Indices,Mar 1 2011,85.566293
97646,Food Indices,Mar 1 2012,92.926516
97647,Food Indices,Mar 1 2013,94.922174
97648,Food Indices,Mar 1 2014,96.789398
97649,Food Indices,Mar 1 2015,97.935419
97650,Food Indices,Mar 1 2016,100.553485
97651,Food Indices,Mar 1 2017,100.158305
97652,Food Indices,Mar 1 2018,105.085001
97653,Food Indices,Mar 1 2019,104.31256
97654,Food Indices,Mar 1 2020,105.419865
97655,Food Indices,Mar 1 2021,105.810501
97656,Food Indices,Apr 1 2000,56.944465
97657,Food Indices,Apr 1 2001,57.336526
97658,Food Indices,Apr 1 2002,57.984181
97659,Food Indices,Apr 1 2003,58.955663
97660,Food Indices,Apr 1 2004,61.222456
97661,Food Indices,Apr 1 2005,64.955997
97662,Food Indices,Apr 1 2006,68.09903
97663,Food Indices,Apr 1 2007,71.889717
97664,Food Indices,Apr 1 2008,77.721975
97665,Food Indices,Apr 1 2009,78.917394
97666,Food Indices,Apr 1 2010,82.483891
97667,Food Indices,Apr 1 2011,86.633279
97668,Food Indices,Apr 1 2012,92.491818
97669,Food Indices,Apr 1 2013,94.773981
97670,Food Indices,Apr 1 2014,97.016626
97671,Food Indices,Apr 1 2015,97.866263
97672,Food Indices,Apr 1 2016,100.869629
97673,Food Indices,Apr 1 2017,100.415172
97674,Food Indices,Apr 1 2018,105.377746
97675,Food Indices,Apr 1 2019,103.945619
97676,Food Indices,Apr 1 2020,109.387495
97677,Food Indices,Apr 1 2021,105.533466
97678,Food Indices,May 1 2000,56.969662
97679,Food Indices,May 1 2001,57.384147
97680,Food Indices,May 1 2002,58.050851
97681,Food Indices,May 1 2003,59.065193
97682,Food Indices,May 1 2004,61.570095
97683,Food Indices,May 1 2005,65.194106
97684,Food Indices,May 1 2006,68.408571
97685,Food Indices,May 1 2007,72.218307
97686,Food Indices,May 1 2008,80.399318
97687,Food Indices,May 1 2009,79.470646
97688,Food Indices,May 1 2010,83.442202
97689,Food Indices,May 1 2011,87.808938
97690,Food Indices,May 1 2012,93.795911
97691,Food Indices,May 1 2013,95.821208
97692,Food Indices,May 1 2014,97.846504
97693,Food Indices,May 1 2015,99.249392
97694,Food Indices,May 1 2016,99.901438
97695,Food Indices,May 1 2017,101.126496
97696,Food Indices,May 1 2018,103.803838
