,symbol,date,price
98106,Food Indices (2015=100),Jan 1 2000,65.7
98107,Food Indices (2015=100),Jan 1 2001,66.7
98108,Food Indices (2015=100),Jan 1 2002,69.3
98109,Food Indices (2015=100),Jan 1 2003,68.6
98110,Food Indices (2015=100),Jan 1 2004,70.6
98111,Food Indices (2015=100),Jan 1 2005,70.9
98112,Food Indices (2015=100),Jan 1 2006,71.7
98113,Food Indices (2015=100),Jan 1 2007,74.5
98114,Food Indices (2015=100),Jan 1 2008,79.1
98115,Food Indices (2015=100),Jan 1 2009,87.2
98116,Food Indices (2015=100),Jan 1 2010,88.8
98117,Food Indices (2015=100),Jan 1 2011,94.5
98118,Food Indices (2015=100),Jan 1 2012,97.8
98119,Food Indices (2015=100),Jan 1 2013,101.9
98120,Food Indices (2015=100),Jan 1 2014,103.9
98121,Food Indices (2015=100),Jan 1 2015,101.3
98122,Food Indices (2015=100),Jan 1 2016,98.7
98123,Food Indices (2015=100),Jan 1 2017,98.2
98124,Food Indices (2015=100),Jan 1 2018,101.8
98125,Food Indices (2015=100),Jan 1 2019,102.7
98126,Food Indices (2015=100),Jan 1 2020,104.2
98127,Food Indices (2015=100),Jan 1 2021,103.5
98128,Food Indices (2015=100),Feb 1 2000,65.7
98129,Food Indices (2015=100),Feb 1 2001,66.8
98130,Food Indices (2015=100),Feb 1 2002,69.3
98131,Food Indices (2015=100),Feb 1 2003,69.1
98132,Food Indices (2015=100),Feb 1 2004,70.8
98133,Food Indices (2015=100),Feb 1 2005,71.4
98134,Food Indices (2015=100),Feb 1 2006,72.1
98135,Food Indices (2015=100),Feb 1 2007,75.2
98136,Food Indices (2015=100),Feb 1 2008,79.4
98137,Food Indices (2015=100),Feb 1 2009,88.6
98138,Food Indices (2015=100),Feb 1 2010,89.8
98139,Food Indices (2015=100),Feb 1 2011,95.4
98140,Food Indices (2015=100),Feb 1 2012,99.0
98141,Food Indices (2015=100),Feb 1 2013,102.6
98142,Food Indices (2015=100),Feb 1 2014,104.4
98143,Food Indices (2015=100),Feb 1 2015,101.0
98144,Food Indices (2015=100),Feb 1 2016,98.8
98145,Food Indices (2015=100),Feb 1 2017,99.0
98146,Food Indices (2015=100),Feb 1 2018,101.9
98147,Food Indices (2015=100),Feb 1 2019,103.1
98148,Food Indices (2015=100),Feb 1 2020,104.4
98149,Food Indices (2015=100),Feb 1 2021,103.8
98150,Food Indices (2015=100),Mar 1 2000,65.2
98151,Food Indices (2015=100),Mar 1 2001,67.7
98152,Food Indices (2015=100),Mar 1 2002,69.5
98153,Food Indices (2015=100),Mar 1 2003,69.4
98154,Food Indices (2015=100),Mar 1 2004,70.8
98155,Food Indices (2015=100),Mar 1 2005,72.0
98156,Food Indices (2015=100),Mar 1 2006,71.7
98157,Food Indices (2015=100),Mar 1 2007,75.6
98158,Food Indices (2015=100),Mar 1 2008,79.8
98159,Food Indices (2015=100),Mar 1 2009,88.2
98160,Food Indices (2015=100),Mar 1 2010,90.1
98161,Food Indices (2015=100),Mar 1 2011,94.2
98162,Food Indices (2015=100),Mar 1 2012,98.5
98163,Food Indices (2015=100),Mar 1 2013,102.1
98164,Food Indices (2015=100),Mar 1 2014,103.9
98165,Food Indices (2015=100),Mar 1 2015,100.9
98166,Food Indices (2015=100),Mar 1 2016,98.1
98167,Food Indices (2015=100),Mar 1 2017,99.3
98168,Food Indices (2015=100),Mar 1 2018,102.3
98169,Food Indices (2015=100),Mar 1 2019,103.2
98170,Food Indices (2015=100),Mar 1 2020,104.6
98171,Food Indices (2015=100),Mar 1 2021,103.1
98172,Food Indices (2015=100),Apr 1 2000,65.0
98173,Food Indices (2015=100),Apr 1 2001,67.9
98174,Food Indices (2015=100),Apr 1 2002,69.3
98175,Food Indices (2015=100),Apr 1 2003,69.6
98176,Food Indices (2015=100),Apr 1 2004,70.6
98177,Food Indices (2015=100),Apr 1 2005,71.4
98178,Food Indices (2015=100),Apr 1 2006,71.5
98179,Food Indices (2015=100),Apr 1 2007,75.8
98180,Food Indices (2015=100),Apr 1 2008,80.8
98181,Food Indices (2015=100),Apr 1 2009,87.8
98182,Food Indices (2015=100),Apr 1 2010,90.4
98183,Food Indices (2015=100),Apr 1 2011,94.3
98184,Food Indices (2015=100),Apr 1 2012,98.4
98185,Food Indices (2015=100),Apr 1 2013,102.9
98186,Food Indices (2015=100),Apr 1 2014,103.4
98187,Food Indices (2015=100),Apr 1 2015,100.5
98188,Food Indices (2015=100),Apr 1 2016,98.0
98189,Food Indices (2015=100),Apr 1 2017,99.5
98190,Food Indices (2015=100),Apr 1 2018,102.2
98191,Food Indices (2015=100),Apr 1 2019,102.9
98192,Food Indices (2015=100),Apr 1 2020,104.4
98193,Food Indices (2015=100),Apr 1 2021,103.9
98194,Food Indices (2015=100),May 1 2000,65.7
98195,Food Indices (2015=100),May 1 2001,69.7
98196,Food Indices (2015=100),May 1 2002,69.1
98197,Food Indices (2015=100),May 1 2003,70.0
98198,Food Indices (2015=100),May 1 2004,70.8
98199,Food Indices (2015=100),May 1 2005,71.8
98200,Food Indices (2015=100),May 1 2006,72.6
98201,Food Indices (2015=100),May 1 2007,76.1
98202,Food Indices (2015=100),May 1 2008,82.2
98203,Food Indices (2015=100),May 1 2009,88.6
98204,Food Indices (2015=100),May 1 2010,90.2
98205,Food Indices (2015=100),May 1 2011,95.6
98206,Food Indices (2015=100),May 1 2012,98.7
98207,Food Indices (2015=100),May 1 2013,102.9
98208,Food Indices (2015=100),May 1 2014,102.2
98209,Food Indices (2015=100),May 1 2015,100.4
98210,Food Indices (2015=100),May 1 2016,97.6
98211,Food Indices (2015=100),May 1 2017,99.6
98212,Food Indices (2015=100),May 1 2018,101.9
98213,Food Indices (2015=100),May 1 2019,103.0
98214,Food Indices (2015=100),May 1 2020,105.0
98215,Food Indices (2015=100),May 1 2021,103.6
98216,Food Indices (2015=100),Jun 1 2000,65.9
98217,Food Indices (2015=100),Jun 1 2001,70.1
98218,Food Indices (2015=100),Jun 1 2002,68.7
98219,Food Indices (2015=100),Jun 1 2003,69.7
98220,Food Indices (2015=100),Jun 1 2004,70.3
98221,Food Indices (2015=100),Jun 1 2005,71.8
98222,Food Indices (2015=100),Jun 1 2006,73.1
98223,Food Indices (2015=100),Jun 1 2007,76.6
98224,Food Indices (2015=100),Jun 1 2008,83.9
98225,Food Indices (2015=100),Jun 1 2009,88.5
98226,Food Indices (2015=100),Jun 1 2010,90.2
98227,Food Indices (2015=100),Jun 1 2011,96.5
98228,Food Indices (2015=100),Jun 1 2012,98.6
98229,Food Indices (2015=100),Jun 1 2013,102.3
98230,Food Indices (2015=100),Jun 1 2014,102.4
98231,Food Indices (2015=100),Jun 1 2015,100.1
98232,Food Indices (2015=100),Jun 1 2016,97.2
98233,Food Indices (2015=100),Jun 1 2017,99.5
98234,Food Indices (2015=100),Jun 1 2018,101.5
98235,Food Indices (2015=100),Jun 1 2019,103.2
98236,Food Indices (2015=100),Jun 1 2020,104.4
98237,Food Indices (2015=100),Jun 1 2021,103.8
98238,Food Indices (2015=100),Jul 1 2000,66.4
98239,Food Indices (2015=100),Jul 1 2001,68.7
98240,Food Indices (2015=100),Jul 1 2002,68.6
98241,Food Indices (2015=100),Jul 1 2003,69.6
98242,Food Indices (2015=100),Jul 1 2004,69.8
98243,Food Indices (2015=100),Jul 1 2005,71.0
98244,Food Indices (2015=100),Jul 1 2006,73.2
98245,Food Indices (2015=100),Jul 1 2007,75.3
98246,Food Indices (2015=100),Jul 1 2008,84.6
98247,Food Indices (2015=100),Jul 1 2009,88.1
98248,Food Indices (2015=100),Jul 1 2010,91.1
98249,Food Indices (2015=100),Jul 1 2011,96.7
98250,Food Indices (2015=100),Jul 1 2012,98.8
98251,Food Indices (2015=100),Jul 1 2013,102.6
98252,Food Indices (2015=100),Jul 1 2014,102.2
98253,Food Indices (2015=100),Jul 1 2015,99.5
98254,Food Indices (2015=100),Jul 1 2016,96.9
98255,Food Indices (2015=100),Jul 1 2017,99.4
98256,Food Indices (2015=100),Jul 1 2018,101.7
98257,Food Indices (2015=100),Jul 1 2019,103.2
98258,Food Indices (2015=100),Jul 1 2020,104.1
98259,Food Indices (2015=100),Aug 1 2000,65.9
98260,Food Indices (2015=100),Aug 1 2001,68.5
98261,Food Indices (2015=100),Aug 1 2002,68.5
98262,Food Indices (2015=100),Aug 1 2003,69.7
98263,Food Indices (2015=100),Aug 1 2004,69.7
98264,Food Indices (2015=100),Aug 1 2005,71.2
98265,Food Indices (2015=100),Aug 1 2006,73.5
98266,Food Indices (2015=100),Aug 1 2007,75.7
98267,Food Indices (2015=100),Aug 1 2008,85.7
98268,Food Indices (2015=100),Aug 1 2009,87.5
98269,Food Indices (2015=100),Aug 1 2010,91.2
98270,Food Indices (2015=100),Aug 1 2011,96.9
98271,Food Indices (2015=100),Aug 1 2012,99.0
98272,Food Indices (2015=100),Aug 1 2013,103.1
98273,Food Indices (2015=100),Aug 1 2014,102.0
98274,Food Indices (2015=100),Aug 1 2015,99.5
98275,Food Indices (2015=100),Aug 1 2016,97.3
98276,Food Indices (2015=100),Aug 1 2017,99.5
98277,Food Indices (2015=100),Aug 1 2018,101.9
98278,Food Indices (2015=100),Aug 1 2019,103.8
98279,Food Indices (2015=100),Aug 1 2020,104.2
98280,Food Indices (2015=100),Sep 1 2000,66.1
98281,Food Indices (2015=100),Sep 1 2001,68.4
98282,Food Indices (2015=100),Sep 1 2002,68.6
98283,Food Indices (2015=100),Sep 1 2003,70.2
98284,Food Indices (2015=100),Sep 1 2004,69.8
98285,Food Indices (2015=100),Sep 1 2005,71.2
98286,Food Indices (2015=100),Sep 1 2006,73.9
98287,Food Indices (2015=100),Sep 1 2007,76.7
98288,Food Indices (2015=100),Sep 1 2008,85.4
98289,Food Indices (2015=100),Sep 1 2009,86.7
98290,Food Indices (2015=100),Sep 1 2010,91.2
98291,Food Indices (2015=100),Sep 1 2011,97.1
98292,Food Indices (2015=100),Sep 1 2012,99.0
98293,Food Indices (2015=100),Sep 1 2013,103.2
98294,Food Indices (2015=100),Sep 1 2014,101.8
98295,Food Indices (2015=100),Sep 1 2015,99.5
98296,Food Indices (2015=100),Sep 1 2016,97.2
98297,Food Indices (2015=100),Sep 1 2017,100.3
98298,Food Indices (2015=100),Sep 1 2018,101.8
98299,Food Indices (2015=100),Sep 1 2019,103.5
98300,Food Indices (2015=100),Sep 1 2020,103.5
