,symbol,date,price
99138,Food Indices (2015=100),Jan 1 2000,68.48385
99139,Food Indices (2015=100),Jan 1 2001,70.5429
99140,Food Indices (2015=100),Jan 1 2002,72.23132
99141,Food Indices (2015=100),Jan 1 2003,72.4784
99142,Food Indices (2015=100),Jan 1 2004,75.4846
99143,Food Indices (2015=100),Jan 1 2005,77.46129
99144,Food Indices (2015=100),Jan 1 2006,79.27325
99145,Food Indices (2015=100),Jan 1 2007,80.68082
99146,Food Indices (2015=100),Jan 1 2008,85.28566
99147,Food Indices (2015=100),Jan 1 2009,90.16683
99148,Food Indices (2015=100),Jan 1 2010,88.43106
99149,Food Indices (2015=100),Jan 1 2011,90.28956
99150,Food Indices (2015=100),Jan 1 2012,95.10648
99151,Food Indices (2015=100),Jan 1 2013,96.23814
99152,Food Indices (2015=100),Jan 1 2014,97.14369
99153,Food Indices (2015=100),Jan 1 2015,100.3695
99154,Food Indices (2015=100),Jan 1 2016,99.90825
99155,Food Indices (2015=100),Jan 1 2017,97.96968
99156,Food Indices (2015=100),Jan 1 2018,98.99831
99157,Food Indices (2015=100),Jan 1 2019,99.64385
99158,Food Indices (2015=100),Jan 1 2020,100.3598
99159,Food Indices (2015=100),Jan 1 2021,104.07
99160,Food Indices (2015=100),Feb 1 2000,68.48385
99161,Food Indices (2015=100),Feb 1 2001,70.7488
99162,Food Indices (2015=100),Feb 1 2002,72.35486
99163,Food Indices (2015=100),Feb 1 2003,72.97257
99164,Food Indices (2015=100),Feb 1 2004,75.64933
99165,Food Indices (2015=100),Feb 1 2005,77.29657
99166,Food Indices (2015=100),Feb 1 2006,79.1497
99167,Food Indices (2015=100),Feb 1 2007,81.42907
99168,Food Indices (2015=100),Feb 1 2008,85.59617
99169,Food Indices (2015=100),Feb 1 2009,89.74555
99170,Food Indices (2015=100),Feb 1 2010,88.42694
99171,Food Indices (2015=100),Feb 1 2011,90.89944
99172,Food Indices (2015=100),Feb 1 2012,94.96812
99173,Food Indices (2015=100),Feb 1 2013,96.16813
99174,Food Indices (2015=100),Feb 1 2014,97.4544
99175,Food Indices (2015=100),Feb 1 2015,100.2769
99176,Food Indices (2015=100),Feb 1 2016,99.92658
99177,Food Indices (2015=100),Feb 1 2017,98.1974
99178,Food Indices (2015=100),Feb 1 2018,98.72523
99179,Food Indices (2015=100),Feb 1 2019,99.92369
99180,Food Indices (2015=100),Feb 1 2020,100.742
99181,Food Indices (2015=100),Feb 1 2021,104.3238
99182,Food Indices (2015=100),Mar 1 2000,68.52503
99183,Food Indices (2015=100),Mar 1 2001,70.83116
99184,Food Indices (2015=100),Mar 1 2002,72.56076
99185,Food Indices (2015=100),Mar 1 2003,73.09612
99186,Food Indices (2015=100),Mar 1 2004,75.81406
99187,Food Indices (2015=100),Mar 1 2005,77.46129
99188,Food Indices (2015=100),Mar 1 2006,79.19089
99189,Food Indices (2015=100),Mar 1 2007,81.87424
99190,Food Indices (2015=100),Mar 1 2008,85.69459
99191,Food Indices (2015=100),Mar 1 2009,89.34157
99192,Food Indices (2015=100),Mar 1 2010,88.76545
99193,Food Indices (2015=100),Mar 1 2011,91.9129
99194,Food Indices (2015=100),Mar 1 2012,95.1489
99195,Food Indices (2015=100),Mar 1 2013,96.19037
99196,Food Indices (2015=100),Mar 1 2014,97.81818
99197,Food Indices (2015=100),Mar 1 2015,99.72781
99198,Food Indices (2015=100),Mar 1 2016,99.20384
99199,Food Indices (2015=100),Mar 1 2017,98.3354
99200,Food Indices (2015=100),Mar 1 2018,98.71365
99201,Food Indices (2015=100),Mar 1 2019,100.1283
99202,Food Indices (2015=100),Mar 1 2020,101.2022
99203,Food Indices (2015=100),Mar 1 2021,104.5361
99204,Food Indices (2015=100),Apr 1 2000,68.56622
99205,Food Indices (2015=100),Apr 1 2001,70.91353
99206,Food Indices (2015=100),Apr 1 2002,72.76666
99207,Food Indices (2015=100),Apr 1 2003,73.13729
99208,Food Indices (2015=100),Apr 1 2004,75.89642
99209,Food Indices (2015=100),Apr 1 2005,78.24373
99210,Food Indices (2015=100),Apr 1 2006,78.98499
99211,Food Indices (2015=100),Apr 1 2007,82.05296
99212,Food Indices (2015=100),Apr 1 2008,86.8493
99213,Food Indices (2015=100),Apr 1 2009,88.87128
99214,Food Indices (2015=100),Apr 1 2010,88.83587
99215,Food Indices (2015=100),Apr 1 2011,92.28559
99216,Food Indices (2015=100),Apr 1 2012,95.29139
99217,Food Indices (2015=100),Apr 1 2013,96.27108
99218,Food Indices (2015=100),Apr 1 2014,98.28425
99219,Food Indices (2015=100),Apr 1 2015,99.60719
99220,Food Indices (2015=100),Apr 1 2016,99.32446
99221,Food Indices (2015=100),Apr 1 2017,98.56505
99222,Food Indices (2015=100),Apr 1 2018,99.11314
99223,Food Indices (2015=100),Apr 1 2019,99.83878
99224,Food Indices (2015=100),Apr 1 2020,103.9041
99225,Food Indices (2015=100),Apr 1 2021,105.1749
99226,Food Indices (2015=100),May 1 2000,68.97802
99227,Food Indices (2015=100),May 1 2001,71.16061
99228,Food Indices (2015=100),May 1 2002,72.27249
99229,Food Indices (2015=100),May 1 2003,73.26083
99230,Food Indices (2015=100),May 1 2004,76.84357
99231,Food Indices (2015=100),May 1 2005,78.32609
99232,Food Indices (2015=100),May 1 2006,78.98499
99233,Food Indices (2015=100),May 1 2007,82.45942
99234,Food Indices (2015=100),May 1 2008,87.22117
99235,Food Indices (2015=100),May 1 2009,88.56531
99236,Food Indices (2015=100),May 1 2010,88.83422
99237,Food Indices (2015=100),May 1 2011,92.77853
99238,Food Indices (2015=100),May 1 2012,95.25968
99239,Food Indices (2015=100),May 1 2013,96.02729
99240,Food Indices (2015=100),May 1 2014,98.86997
99241,Food Indices (2015=100),May 1 2015,99.4885
99242,Food Indices (2015=100),May 1 2016,98.79471
99243,Food Indices (2015=100),May 1 2017,98.62777
99244,Food Indices (2015=100),May 1 2018,98.77058
99245,Food Indices (2015=100),May 1 2019,99.95939
99246,Food Indices (2015=100),May 1 2020,104.786
99247,Food Indices (2015=100),May 1 2021,105.4962
99248,Food Indices (2015=100),Jun 1 2000,68.89566
99249,Food Indices (2015=100),Jun 1 2001,71.36652
99250,Food Indices (2015=100),Jun 1 2002,72.14896
99251,Food Indices (2015=100),Jun 1 2003,73.79619
99252,Food Indices (2015=100),Jun 1 2004,77.0083
99253,Food Indices (2015=100),Jun 1 2005,78.079
99254,Food Indices (2015=100),Jun 1 2006,79.23207
99255,Food Indices (2015=100),Jun 1 2007,82.83581
99256,Food Indices (2015=100),Jun 1 2008,87.85165
99257,Food Indices (2015=100),Jun 1 2009,88.5196
99258,Food Indices (2015=100),Jun 1 2010,88.73498
99259,Food Indices (2015=100),Jun 1 2011,93.00996
99260,Food Indices (2015=100),Jun 1 2012,95.42152
99261,Food Indices (2015=100),Jun 1 2013,96.28467
99262,Food Indices (2015=100),Jun 1 2014,98.71558
99263,Food Indices (2015=100),Jun 1 2015,99.68728
99264,Food Indices (2015=100),Jun 1 2016,98.40583
99265,Food Indices (2015=100),Jun 1 2017,98.35373
99266,Food Indices (2015=100),Jun 1 2018,98.71751
99267,Food Indices (2015=100),Jun 1 2019,99.64578
99268,Food Indices (2015=100),Jun 1 2020,105.2936
99269,Food Indices (2015=100),Jun 1 2021,106.2788
99270,Food Indices (2015=100),Jul 1 2000,69.30747
99271,Food Indices (2015=100),Jul 1 2001,71.6136
99272,Food Indices (2015=100),Jul 1 2002,72.19013
99273,Food Indices (2015=100),Jul 1 2003,73.71383
99274,Food Indices (2015=100),Jul 1 2004,77.09066
99275,Food Indices (2015=100),Jul 1 2005,78.24373
99276,Food Indices (2015=100),Jul 1 2006,79.39679
99277,Food Indices (2015=100),Jul 1 2007,83.01907
99278,Food Indices (2015=100),Jul 1 2008,88.9623
99279,Food Indices (2015=100),Jul 1 2009,88.1465
99280,Food Indices (2015=100),Jul 1 2010,88.72468
99281,Food Indices (2015=100),Jul 1 2011,93.55396
99282,Food Indices (2015=100),Jul 1 2012,95.39887
99283,Food Indices (2015=100),Jul 1 2013,96.31926
99284,Food Indices (2015=100),Jul 1 2014,98.99155
99285,Food Indices (2015=100),Jul 1 2015,99.89088
99286,Food Indices (2015=100),Jul 1 2016,98.3132
99287,Food Indices (2015=100),Jul 1 2017,98.62488
99288,Food Indices (2015=100),Jul 1 2018,98.98769
99289,Food Indices (2015=100),Jul 1 2019,99.63035
99290,Food Indices (2015=100),Jul 1 2020,104.2563
99291,Food Indices (2015=100),Aug 1 2000,69.55456
99292,Food Indices (2015=100),Aug 1 2001,71.73714
99293,Food Indices (2015=100),Aug 1 2002,72.10777
99294,Food Indices (2015=100),Aug 1 2003,74.12563
99295,Food Indices (2015=100),Aug 1 2004,77.0083
99296,Food Indices (2015=100),Aug 1 2005,78.16136
99297,Food Indices (2015=100),Aug 1 2006,79.64388
99298,Food Indices (2015=100),Aug 1 2007,83.32463
99299,Food Indices (2015=100),Aug 1 2008,89.54748
99300,Food Indices (2015=100),Aug 1 2009,88.03202
99301,Food Indices (2015=100),Aug 1 2010,88.68761
99302,Food Indices (2015=100),Aug 1 2011,94.09509
99303,Food Indices (2015=100),Aug 1 2012,95.47917
99304,Food Indices (2015=100),Aug 1 2013,96.39339
99305,Food Indices (2015=100),Aug 1 2014,99.37656
99306,Food Indices (2015=100),Aug 1 2015,100.2112
99307,Food Indices (2015=100),Aug 1 2016,98.27074
99308,Food Indices (2015=100),Aug 1 2017,98.58821
99309,Food Indices (2015=100),Aug 1 2018,99.07358
99310,Food Indices (2015=100),Aug 1 2019,99.54446
99311,Food Indices (2015=100),Aug 1 2020,104.1685
99312,Food Indices (2015=100),Sep 1 2000,69.59573
99313,Food Indices (2015=100),Sep 1 2001,71.77833
99314,Food Indices (2015=100),Sep 1 2002,72.23132
99315,Food Indices (2015=100),Sep 1 2003,74.33154
99316,Food Indices (2015=100),Sep 1 2004,76.76122
99317,Food Indices (2015=100),Sep 1 2005,78.32609
99318,Food Indices (2015=100),Sep 1 2006,80.0145
99319,Food Indices (2015=100),Sep 1 2007,83.72079
99320,Food Indices (2015=100),Sep 1 2008,90.08612
99321,Food Indices (2015=100),Sep 1 2009,87.83847
99322,Food Indices (2015=100),Sep 1 2010,89.01913
99323,Food Indices (2015=100),Sep 1 2011,94.68603
99324,Food Indices (2015=100),Sep 1 2012,95.45282
99325,Food Indices (2015=100),Sep 1 2013,96.3798
99326,Food Indices (2015=100),Sep 1 2014,99.7336
99327,Food Indices (2015=100),Sep 1 2015,100.494
99328,Food Indices (2015=100),Sep 1 2016,98.28425
99329,Food Indices (2015=100),Sep 1 2017,98.70207
99330,Food Indices (2015=100),Sep 1 2018,99.12182
99331,Food Indices (2015=100),Sep 1 2019,99.70465
99332,Food Indices (2015=100),Sep 1 2020,103.7728
99333,Food Indices (2015=100),Oct 1 2000,69.63692
99334,Food Indices (2015=100),Oct 1 2001,72.14896
99335,Food Indices (2015=100),Oct 1 2002,72.06659
99336,Food Indices (2015=100),Oct 1 2003,74.70217
99337,Food Indices (2015=100),Oct 1 2004,77.29657
99338,Food Indices (2015=100),Oct 1 2005,78.49081
99339,Food Indices (2015=100),Oct 1 2006,80.22041
99340,Food Indices (2015=100),Oct 1 2007,84.04241
99341,Food Indices (2015=100),Oct 1 2008,90.40527
99342,Food Indices (2015=100),Oct 1 2009,87.90971
99343,Food Indices (2015=100),Oct 1 2010,89.17067
99344,Food Indices (2015=100),Oct 1 2011,94.7128
99345,Food Indices (2015=100),Oct 1 2012,95.70361
99346,Food Indices (2015=100),Oct 1 2013,96.45351
99347,Food Indices (2015=100),Oct 1 2014,99.9565
99348,Food Indices (2015=100),Oct 1 2015,100.631
99349,Food Indices (2015=100),Oct 1 2016,98.2939
99350,Food Indices (2015=100),Oct 1 2017,98.87672
99351,Food Indices (2015=100),Oct 1 2018,99.02147
99352,Food Indices (2015=100),Oct 1 2019,100.0356
99353,Food Indices (2015=100),Oct 1 2020,104.0054
99354,Food Indices (2015=100),Nov 1 2000,69.51337
99355,Food Indices (2015=100),Nov 1 2001,71.94305
99356,Food Indices (2015=100),Nov 1 2002,72.35486
99357,Food Indices (2015=100),Nov 1 2003,75.23752
99358,Food Indices (2015=100),Nov 1 2004,77.66719
99359,Food Indices (2015=100),Nov 1 2005,78.82026
99360,Food Indices (2015=100),Nov 1 2006,80.13805
99361,Food Indices (2015=100),Nov 1 2007,84.46987
99362,Food Indices (2015=100),Nov 1 2008,90.45881
99363,Food Indices (2015=100),Nov 1 2009,87.87306
99364,Food Indices (2015=100),Nov 1 2010,89.40582
99365,Food Indices (2015=100),Nov 1 2011,94.69427
99366,Food Indices (2015=100),Nov 1 2012,95.90334
99367,Food Indices (2015=100),Nov 1 2013,96.42263
99368,Food Indices (2015=100),Nov 1 2014,99.72105
99369,Food Indices (2015=100),Nov 1 2015,99.9893
99370,Food Indices (2015=100),Nov 1 2016,97.78345
99371,Food Indices (2015=100),Nov 1 2017,98.39522
99372,Food Indices (2015=100),Nov 1 2018,98.78988
99373,Food Indices (2015=100),Nov 1 2019,99.77026
99374,Food Indices (2015=100),Nov 1 2020,103.3714
99375,Food Indices (2015=100),Dec 1 2000,70.0899
99376,Food Indices (2015=100),Dec 1 2001,71.94305
99377,Food Indices (2015=100),Dec 1 2002,72.43722
99378,Food Indices (2015=100),Dec 1 2003,75.73169
99379,Food Indices (2015=100),Dec 1 2004,77.58483
99380,Food Indices (2015=100),Dec 1 2005,78.9438
99381,Food Indices (2015=100),Dec 1 2006,80.05569
99382,Food Indices (2015=100),Dec 1 2007,84.62801
99383,Food Indices (2015=100),Dec 1 2008,90.25332
99384,Food Indices (2015=100),Dec 1 2009,88.06084
99385,Food Indices (2015=100),Dec 1 2010,89.53512
99386,Food Indices (2015=100),Dec 1 2011,94.8907
99387,Food Indices (2015=100),Dec 1 2012,96.10554
99388,Food Indices (2015=100),Dec 1 2013,96.49429
99389,Food Indices (2015=100),Dec 1 2014,100.0839
99390,Food Indices (2015=100),Dec 1 2015,99.62649
99391,Food Indices (2015=100),Dec 1 2016,97.5866
99392,Food Indices (2015=100),Dec 1 2017,98.46566
99393,Food Indices (2015=100),Dec 1 2018,99.05235
99394,Food Indices (2015=100),Dec 1 2019,99.76737
99395,Food Indices (2015=100),Dec 1 2020,103.7063
99396,General Indices (2015=100),Jan 1 2000,71.21852
99397,General Indices (2015=100),Jan 1 2001,73.87656
99398,General Indices (2015=100),Jan 1 2002,74.72038
99399,General Indices (2015=100),Jan 1 2003,76.66117
99400,General Indices (2015=100),Jan 1 2004,78.13786
99401,General Indices (2015=100),Jan 1 2005,80.45837
99402,General Indices (2015=100),Jan 1 2006,83.66489
99403,General Indices (2015=100),Jan 1 2007,85.40147
99404,General Indices (2015=100),Jan 1 2008,89.0569
99405,General Indices (2015=100),Jan 1 2009,89.08348
99406,General Indices (2015=100),Jan 1 2010,91.42255
99407,General Indices (2015=100),Jan 1 2011,92.91443
99408,General Indices (2015=100),Jan 1 2012,95.63238
99409,General Indices (2015=100),Jan 1 2013,97.15759
99410,General Indices (2015=100),Jan 1 2014,98.69166
99411,General Indices (2015=100),Jan 1 2015,98.60348
99412,General Indices (2015=100),Jan 1 2016,99.95739
99413,General Indices (2015=100),Jan 1 2017,102.4564
99414,General Indices (2015=100),Jan 1 2018,104.5777
99415,General Indices (2015=100),Jan 1 2019,106.2
99416,General Indices (2015=100),Jan 1 2020,108.8407
99417,General Indices (2015=100),Jan 1 2021,110.3642
99418,General Indices (2015=100),Feb 1 2000,71.64043
99419,General Indices (2015=100),Feb 1 2001,74.1719
99420,General Indices (2015=100),Feb 1 2002,75.01572
99421,General Indices (2015=100),Feb 1 2003,77.25185
99422,General Indices (2015=100),Feb 1 2004,78.55977
99423,General Indices (2015=100),Feb 1 2005,80.92246
99424,General Indices (2015=100),Feb 1 2006,83.83365
99425,General Indices (2015=100),Feb 1 2007,85.8584
99426,General Indices (2015=100),Feb 1 2008,89.31554
99427,General Indices (2015=100),Feb 1 2009,89.52649
99428,General Indices (2015=100),Feb 1 2010,91.44534
99429,General Indices (2015=100),Feb 1 2011,93.37263
99430,General Indices (2015=100),Feb 1 2012,96.05344
99431,General Indices (2015=100),Feb 1 2013,97.95331
99432,General Indices (2015=100),Feb 1 2014,99.05661
99433,General Indices (2015=100),Feb 1 2015,99.03172
99434,General Indices (2015=100),Feb 1 2016,100.0397
99435,General Indices (2015=100),Feb 1 2017,102.7787
99436,General Indices (2015=100),Feb 1 2018,105.052
99437,General Indices (2015=100),Feb 1 2019,106.6489
99438,General Indices (2015=100),Feb 1 2020,109.139
99439,General Indices (2015=100),Feb 1 2021,110.9684
99440,General Indices (2015=100),Mar 1 2000,72.2311
99441,General Indices (2015=100),Mar 1 2001,74.34066
99442,General Indices (2015=100),Mar 1 2002,75.43763
99443,General Indices (2015=100),Mar 1 2003,77.71594
99444,General Indices (2015=100),Mar 1 2004,79.06606
99445,General Indices (2015=100),Mar 1 2005,81.55533
99446,General Indices (2015=100),Mar 1 2006,84.29775
99447,General Indices (2015=100),Mar 1 2007,86.6402
99448,General Indices (2015=100),Mar 1 2008,90.08974
99449,General Indices (2015=100),Mar 1 2009,89.74419
99450,General Indices (2015=100),Mar 1 2010,91.82084
99451,General Indices (2015=100),Mar 1 2011,94.28311
99452,General Indices (2015=100),Mar 1 2012,96.78293
99453,General Indices (2015=100),Mar 1 2013,98.20941
99454,General Indices (2015=100),Mar 1 2014,99.69453
99455,General Indices (2015=100),Mar 1 2015,99.62112
99456,General Indices (2015=100),Mar 1 2016,100.4704
99457,General Indices (2015=100),Mar 1 2017,102.8622
99458,General Indices (2015=100),Mar 1 2018,105.2895
99459,General Indices (2015=100),Mar 1 2019,107.2505
99460,General Indices (2015=100),Mar 1 2020,108.9015
99461,General Indices (2015=100),Mar 1 2021,111.7544
99462,General Indices (2015=100),Apr 1 2000,72.2733
99463,General Indices (2015=100),Apr 1 2001,74.63599
99464,General Indices (2015=100),Apr 1 2002,75.85954
99465,General Indices (2015=100),Apr 1 2003,77.54718
99466,General Indices (2015=100),Apr 1 2004,79.31921
99467,General Indices (2015=100),Apr 1 2005,82.10381
99468,General Indices (2015=100),Apr 1 2006,85.015
99469,General Indices (2015=100),Apr 1 2007,87.20303
99470,General Indices (2015=100),Apr 1 2008,90.63612
99471,General Indices (2015=100),Apr 1 2009,89.96823
99472,General Indices (2015=100),Apr 1 2010,91.98032
99473,General Indices (2015=100),Apr 1 2011,94.89024
99474,General Indices (2015=100),Apr 1 2012,97.07532
99475,General Indices (2015=100),Apr 1 2013,98.10731
99476,General Indices (2015=100),Apr 1 2014,100.0232
99477,General Indices (2015=100),Apr 1 2015,99.82364
99478,General Indices (2015=100),Apr 1 2016,100.9468
99479,General Indices (2015=100),Apr 1 2017,103.1673
99480,General Indices (2015=100),Apr 1 2018,105.708
99481,General Indices (2015=100),Apr 1 2019,107.8184
99482,General Indices (2015=100),Apr 1 2020,108.1733
99483,General Indices (2015=100),Apr 1 2021,112.6729
99484,General Indices (2015=100),May 1 2000,72.35768
99485,General Indices (2015=100),May 1 2001,74.97353
99486,General Indices (2015=100),May 1 2002,75.85954
99487,General Indices (2015=100),May 1 2003,77.42061
99488,General Indices (2015=100),May 1 2004,79.78331
99489,General Indices (2015=100),May 1 2005,82.01943
99490,General Indices (2015=100),May 1 2006,85.43691
99491,General Indices (2015=100),May 1 2007,87.7359
99492,General Indices (2015=100),May 1 2008,91.39935
99493,General Indices (2015=100),May 1 2009,90.22813
99494,General Indices (2015=100),May 1 2010,92.05163
99495,General Indices (2015=100),May 1 2011,95.33662
99496,General Indices (2015=100),May 1 2012,96.9614
99497,General Indices (2015=100),May 1 2013,98.28198
99498,General Indices (2015=100),May 1 2014,100.3725
99499,General Indices (2015=100),May 1 2015,100.3325
99500,General Indices (2015=100),May 1 2016,101.3552
99501,General Indices (2015=100),May 1 2017,103.2555
99502,General Indices (2015=100),May 1 2018,106.1477
99503,General Indices (2015=100),May 1 2019,108.0479
99504,General Indices (2015=100),May 1 2020,108.1754
99505,General Indices (2015=100),May 1 2021,113.5762
99506,General Indices (2015=100),Jun 1 2000,72.7374
99507,General Indices (2015=100),Jun 1 2001,75.1001
99508,General Indices (2015=100),Jun 1 2002,75.90173
99509,General Indices (2015=100),Jun 1 2003,77.50499
99510,General Indices (2015=100),Jun 1 2004,80.03645
99511,General Indices (2015=100),Jun 1 2005,82.06162
99512,General Indices (2015=100),Jun 1 2006,85.60567
99513,General Indices (2015=100),Jun 1 2007,87.90593
99514,General Indices (2015=100),Jun 1 2008,92.32038
99515,General Indices (2015=100),Jun 1 2009,91.00317
99516,General Indices (2015=100),Jun 1 2010,91.96176
99517,General Indices (2015=100),Jun 1 2011,95.23452
99518,General Indices (2015=100),Jun 1 2012,96.81921
99519,General Indices (2015=100),Jun 1 2013,98.51783
99520,General Indices (2015=100),Jun 1 2014,100.5595
99521,General Indices (2015=100),Jun 1 2015,100.6839
99522,General Indices (2015=100),Jun 1 2016,101.6881
99523,General Indices (2015=100),Jun 1 2017,103.3491
99524,General Indices (2015=100),Jun 1 2018,106.3168
99525,General Indices (2015=100),Jun 1 2019,108.0695
99526,General Indices (2015=100),Jun 1 2020,108.7673
99527,General Indices (2015=100),Jun 1 2021,114.6314
99528,General Indices (2015=100),Jul 1 2000,72.90617
99529,General Indices (2015=100),Jul 1 2001,74.88914
99530,General Indices (2015=100),Jul 1 2002,75.98611
99531,General Indices (2015=100),Jul 1 2003,77.58937
99532,General Indices (2015=100),Jul 1 2004,79.90988
99533,General Indices (2015=100),Jul 1 2005,82.44135
99534,General Indices (2015=100),Jul 1 2006,85.85882
99535,General Indices (2015=100),Jul 1 2007,87.88357
99536,General Indices (2015=100),Jul 1 2008,92.80516
99537,General Indices (2015=100),Jul 1 2009,90.85889
99538,General Indices (2015=100),Jul 1 2010,91.98116
99539,General Indices (2015=100),Jul 1 2011,95.3189
99540,General Indices (2015=100),Jul 1 2012,96.66142
99541,General Indices (2015=100),Jul 1 2013,98.55664
99542,General Indices (2015=100),Jul 1 2014,100.5202
99543,General Indices (2015=100),Jul 1 2015,100.6907
99544,General Indices (2015=100),Jul 1 2016,101.5235
99545,General Indices (2015=100),Jul 1 2017,103.2778
99546,General Indices (2015=100),Jul 1 2018,106.324
99547,General Indices (2015=100),Jul 1 2019,108.25
99548,General Indices (2015=100),Jul 1 2020,109.3175
99549,General Indices (2015=100),Aug 1 2000,72.90617
99550,General Indices (2015=100),Aug 1 2001,74.88914
99551,General Indices (2015=100),Aug 1 2002,76.23926
99552,General Indices (2015=100),Aug 1 2003,77.88471
99553,General Indices (2015=100),Aug 1 2004,79.95207
99554,General Indices (2015=100),Aug 1 2005,82.86325
99555,General Indices (2015=100),Aug 1 2006,86.02759
99556,General Indices (2015=100),Aug 1 2007,87.7224
99557,General Indices (2015=100),Aug 1 2008,92.43472
99558,General Indices (2015=100),Aug 1 2009,91.06267
99559,General Indices (2015=100),Aug 1 2010,92.10816
99560,General Indices (2015=100),Aug 1 2011,95.58175
99561,General Indices (2015=100),Aug 1 2012,97.19936
99562,General Indices (2015=100),Aug 1 2013,98.6752
99563,General Indices (2015=100),Aug 1 2014,100.3523
99564,General Indices (2015=100),Aug 1 2015,100.5481
99565,General Indices (2015=100),Aug 1 2016,101.6168
99566,General Indices (2015=100),Aug 1 2017,103.5871
99567,General Indices (2015=100),Aug 1 2018,106.3831
99568,General Indices (2015=100),Aug 1 2019,108.2446
99569,General Indices (2015=100),Aug 1 2020,109.6622
99570,General Indices (2015=100),Sep 1 2000,73.28588
99571,General Indices (2015=100),Sep 1 2001,75.22667
99572,General Indices (2015=100),Sep 1 2002,76.36583
99573,General Indices (2015=100),Sep 1 2003,78.13786
99574,General Indices (2015=100),Sep 1 2004,80.12083
99575,General Indices (2015=100),Sep 1 2005,83.87584
99576,General Indices (2015=100),Sep 1 2006,85.60567
99577,General Indices (2015=100),Sep 1 2007,87.96416
99578,General Indices (2015=100),Sep 1 2008,92.30688
99579,General Indices (2015=100),Sep 1 2009,91.11962
99580,General Indices (2015=100),Sep 1 2010,92.16174
99581,General Indices (2015=100),Sep 1 2011,95.72689
99582,General Indices (2015=100),Sep 1 2012,97.63308
99583,General Indices (2015=100),Sep 1 2013,98.78996
99584,General Indices (2015=100),Sep 1 2014,100.4278
99585,General Indices (2015=100),Sep 1 2015,100.3915
99586,General Indices (2015=100),Sep 1 2016,101.861
99587,General Indices (2015=100),Sep 1 2017,104.1356
99588,General Indices (2015=100),Sep 1 2018,106.5067
99589,General Indices (2015=100),Sep 1 2019,108.3294
99590,General Indices (2015=100),Sep 1 2020,109.8149
99591,General Indices (2015=100),Oct 1 2000,73.41245
99592,General Indices (2015=100),Oct 1 2001,74.97353
99593,General Indices (2015=100),Oct 1 2002,76.4924
99594,General Indices (2015=100),Oct 1 2003,78.05347
99595,General Indices (2015=100),Oct 1 2004,80.54275
99596,General Indices (2015=100),Oct 1 2005,84.0446
99597,General Indices (2015=100),Oct 1 2006,85.14157
99598,General Indices (2015=100),Oct 1 2007,88.15233
99599,General Indices (2015=100),Oct 1 2008,91.37446
99600,General Indices (2015=100),Oct 1 2009,91.20738
99601,General Indices (2015=100),Oct 1 2010,92.2765
99602,General Indices (2015=100),Oct 1 2011,95.52943
99603,General Indices (2015=100),Oct 1 2012,97.59511
99604,General Indices (2015=100),Oct 1 2013,98.53555
99605,General Indices (2015=100),Oct 1 2014,100.1755
99606,General Indices (2015=100),Oct 1 2015,100.3464
99607,General Indices (2015=100),Oct 1 2016,101.988
99608,General Indices (2015=100),Oct 1 2017,104.0697
99609,General Indices (2015=100),Oct 1 2018,106.6949
99610,General Indices (2015=100),Oct 1 2019,108.577
99611,General Indices (2015=100),Oct 1 2020,109.8605
99612,General Indices (2015=100),Nov 1 2000,73.45464
99613,General Indices (2015=100),Nov 1 2001,74.84695
99614,General Indices (2015=100),Nov 1 2002,76.4924
99615,General Indices (2015=100),Nov 1 2003,77.84251
99616,General Indices (2015=100),Nov 1 2004,80.58494
99617,General Indices (2015=100),Nov 1 2005,83.36954
99618,General Indices (2015=100),Nov 1 2006,85.015
99619,General Indices (2015=100),Nov 1 2007,88.67592
99620,General Indices (2015=100),Nov 1 2008,89.62437
99621,General Indices (2015=100),Nov 1 2009,91.27193
99622,General Indices (2015=100),Nov 1 2010,92.31532
99623,General Indices (2015=100),Nov 1 2011,95.44885
99624,General Indices (2015=100),Nov 1 2012,97.1327
99625,General Indices (2015=100),Nov 1 2013,98.3343
99626,General Indices (2015=100),Nov 1 2014,99.63463
99627,General Indices (2015=100),Nov 1 2015,100.1346
99628,General Indices (2015=100),Nov 1 2016,101.8294
99629,General Indices (2015=100),Nov 1 2017,104.0723
99630,General Indices (2015=100),Nov 1 2018,106.3375
99631,General Indices (2015=100),Nov 1 2019,108.5188
99632,General Indices (2015=100),Nov 1 2020,109.7934
99633,General Indices (2015=100),Dec 1 2000,73.41245
99634,General Indices (2015=100),Dec 1 2001,74.55161
99635,General Indices (2015=100),Dec 1 2002,76.32364
99636,General Indices (2015=100),Dec 1 2003,77.75813
99637,General Indices (2015=100),Dec 1 2004,80.2896
99638,General Indices (2015=100),Dec 1 2005,83.03202
99639,General Indices (2015=100),Dec 1 2006,85.14157
99640,General Indices (2015=100),Dec 1 2007,88.61642
99641,General Indices (2015=100),Dec 1 2008,88.69743
99642,General Indices (2015=100),Dec 1 2009,91.11118
99643,General Indices (2015=100),Dec 1 2010,92.47396
99644,General Indices (2015=100),Dec 1 2011,95.21342
99645,General Indices (2015=100),Dec 1 2012,96.87111
