,symbol,date,price
99654,Food Indices,Jan 1 2000,22.634689
99655,Food Indices,Jan 1 2001,24.841455
99656,Food Indices,Jan 1 2002,25.80986
99657,Food Indices,Jan 1 2003,29.892141
99658,Food Indices,Jan 1 2004,36.296453
99659,Food Indices,Jan 1 2005,40.164721
99660,Food Indices,Jan 1 2006,41.2138
99661,Food Indices,Jan 1 2007,45.28631
99662,Food Indices,Jan 1 2008,53.138109
99663,Food Indices,Jan 1 2009,60.207986
99664,Food Indices,Jan 1 2010,61.432997
99665,Food Indices,Jan 1 2011,66.606714
99666,Food Indices,Jan 1 2012,71.128829
99667,Food Indices,Jan 1 2013,79.703905
99668,Food Indices,Jan 1 2014,86.676042
99669,Food Indices,Jan 1 2015,96.24807
99670,Food Indices,Jan 1 2016,104.256253
99671,Food Indices,Jan 1 2017,110.837429
99672,Food Indices,Jan 1 2018,118.363427
99673,Food Indices,Jan 1 2019,125.967618
99674,Food Indices,Jan 1 2020,142.583458
99675,Food Indices,Jan 1 2021,156.807921
99676,Food Indices,Feb 1 2000,22.829954
99677,Food Indices,Feb 1 2001,24.900308
99678,Food Indices,Feb 1 2002,26.130878
99679,Food Indices,Feb 1 2003,30.443222
99680,Food Indices,Feb 1 2004,36.638872
99681,Food Indices,Feb 1 2005,40.040917
99682,Food Indices,Feb 1 2006,41.650373
99683,Food Indices,Feb 1 2007,45.885783
99684,Food Indices,Feb 1 2008,53.770163
99685,Food Indices,Feb 1 2009,59.419548
99686,Food Indices,Feb 1 2010,61.048552
99687,Food Indices,Feb 1 2011,67.232251
99688,Food Indices,Feb 1 2012,71.767398
99689,Food Indices,Feb 1 2013,80.492343
99690,Food Indices,Feb 1 2014,88.826328
99691,Food Indices,Feb 1 2015,96.925735
99692,Food Indices,Feb 1 2016,105.605068
99693,Food Indices,Feb 1 2017,110.342212
99694,Food Indices,Feb 1 2018,119.145349
99695,Food Indices,Feb 1 2019,128.130935
99696,Food Indices,Feb 1 2020,142.446622
99697,Food Indices,Feb 1 2021,157.022949
99698,Food Indices,Mar 1 2000,23.025218
99699,Food Indices,Mar 1 2001,24.959162
99700,Food Indices,Mar 1 2002,26.451896
99701,Food Indices,Mar 1 2003,30.994303
99702,Food Indices,Mar 1 2004,36.981291
99703,Food Indices,Mar 1 2005,40.177754
99704,Food Indices,Mar 1 2006,41.754629
99705,Food Indices,Mar 1 2007,46.661189
99706,Food Indices,Mar 1 2008,55.145042
