,symbol,date,indices
102234,Food Indices (2015=100),Jan 1 2000,12.00295
102235,Food Indices (2015=100),Jan 1 2001,16.031607
102236,Food Indices (2015=100),Jan 1 2002,20.060263
102237,Food Indices (2015=100),Jan 1 2003,24.08892
102238,Food Indices (2015=100),Jan 1 2004,28.117576
102239,Food Indices (2015=100),Jan 1 2005,32.147457
102240,Food Indices (2015=100),Jan 1 2006,36.864205
102241,Food Indices (2015=100),Jan 1 2007,42.401854
102242,Food Indices (2015=100),Jan 1 2008,51.036136
102243,Food Indices (2015=100),Jan 1 2009,54.810376
102244,Food Indices (2015=100),Jan 1 2010,59.14813
102245,Food Indices (2015=100),Jan 1 2011,64.883821
102246,Food Indices (2015=100),Jan 1 2012,79.495079
102247,Food Indices (2015=100),Jan 1 2013,84.817593
102248,Food Indices (2015=100),Jan 1 2014,89.029072
102249,Food Indices (2015=100),Jan 1 2015,92.125918
102250,Food Indices (2015=100),Jan 1 2016,109.580886
102251,Food Indices (2015=100),Jan 1 2017,121.941937
102252,Food Indices (2015=100),Jan 1 2018,128.940933
102253,Food Indices (2015=100),Jan 1 2019,135.23223
102254,Food Indices (2015=100),Jan 1 2020,144.754336
102255,Food Indices (2015=100),Jan 1 2021,153.644771
102256,Food Indices (2015=100),Feb 1 2000,12.338672
102257,Food Indices (2015=100),Feb 1 2001,16.367328
102258,Food Indices (2015=100),Feb 1 2002,20.395985
102259,Food Indices (2015=100),Feb 1 2003,24.424641
102260,Food Indices (2015=100),Feb 1 2004,28.453298
102261,Food Indices (2015=100),Feb 1 2005,31.932156
102262,Food Indices (2015=100),Feb 1 2006,36.889495
102263,Food Indices (2015=100),Feb 1 2007,42.109179
102264,Food Indices (2015=100),Feb 1 2008,52.92161
102265,Food Indices (2015=100),Feb 1 2009,54.532746
102266,Food Indices (2015=100),Feb 1 2010,59.24468
102267,Food Indices (2015=100),Feb 1 2011,66.292406
102268,Food Indices (2015=100),Feb 1 2012,75.501187
102269,Food Indices (2015=100),Feb 1 2013,86.303326
102270,Food Indices (2015=100),Feb 1 2014,90.132593
102271,Food Indices (2015=100),Feb 1 2015,93.580499
102272,Food Indices (2015=100),Feb 1 2016,111.035467
102273,Food Indices (2015=100),Feb 1 2017,124.258803
102274,Food Indices (2015=100),Feb 1 2018,129.368455
102275,Food Indices (2015=100),Feb 1 2019,135.370762
102276,Food Indices (2015=100),Feb 1 2020,145.779996
102277,Food Indices (2015=100),Feb 1 2021,155.005469
102278,Food Indices (2015=100),Mar 1 2000,12.674393
102279,Food Indices (2015=100),Mar 1 2001,16.70305
102280,Food Indices (2015=100),Mar 1 2002,20.731706
102281,Food Indices (2015=100),Mar 1 2003,24.760363
102282,Food Indices (2015=100),Mar 1 2004,28.789019
102283,Food Indices (2015=100),Mar 1 2005,32.186601
