,symbol,date,price
102750,Food Indices (2015=100),Jan 1 2000,17.884103
102751,Food Indices (2015=100),Jan 1 2001,21.856984
102752,Food Indices (2015=100),Jan 1 2002,26.158208
102753,Food Indices (2015=100),Jan 1 2003,33.10297
102754,Food Indices (2015=100),Jan 1 2004,37.228932
102755,Food Indices (2015=100),Jan 1 2005,43.881837
102756,Food Indices (2015=100),Jan 1 2006,49.48254
102757,Food Indices (2015=100),Jan 1 2007,49.992071
102758,Food Indices (2015=100),Jan 1 2008,53.4428
102759,Food Indices (2015=100),Jan 1 2009,64.838905
102760,Food Indices (2015=100),Jan 1 2010,69.251341
102761,Food Indices (2015=100),Jan 1 2011,72.182404
102762,Food Indices (2015=100),Jan 1 2012,76.578998
102763,Food Indices (2015=100),Jan 1 2013,82.407968
102764,Food Indices (2015=100),Jan 1 2014,87.268758
102765,Food Indices (2015=100),Jan 1 2015,93.687919
102766,Food Indices (2015=100),Jan 1 2016,117.958714
102767,Food Indices (2015=100),Jan 1 2017,126.632538
102768,Food Indices (2015=100),Jan 1 2018,132.42172
102769,Food Indices (2015=100),Jan 1 2019,143.25737
102770,Food Indices (2015=100),Jan 1 2020,165.253606
102771,Food Indices (2015=100),Jan 1 2021,207.535187
102772,Food Indices (2015=100),Feb 1 2000,18.214494
102773,Food Indices (2015=100),Feb 1 2001,22.195563
102774,Food Indices (2015=100),Feb 1 2002,26.735062
102775,Food Indices (2015=100),Feb 1 2003,33.268671
102776,Food Indices (2015=100),Feb 1 2004,37.556192
102777,Food Indices (2015=100),Feb 1 2005,44.428652
102778,Food Indices (2015=100),Feb 1 2006,48.968866
102779,Food Indices (2015=100),Feb 1 2007,51.011134
102780,Food Indices (2015=100),Feb 1 2008,55.630057
102781,Food Indices (2015=100),Feb 1 2009,64.706344
102782,Food Indices (2015=100),Feb 1 2010,69.543121
102783,Food Indices (2015=100),Feb 1 2011,72.527235
102784,Food Indices (2015=100),Feb 1 2012,76.532579
102785,Food Indices (2015=100),Feb 1 2013,81.651992
102786,Food Indices (2015=100),Feb 1 2014,87.772742
102787,Food Indices (2015=100),Feb 1 2015,94.424001
102788,Food Indices (2015=100),Feb 1 2016,119.324775
102789,Food Indices (2015=100),Feb 1 2017,128.171015
102790,Food Indices (2015=100),Feb 1 2018,134.046404
102791,Food Indices (2015=100),Feb 1 2019,144.364807
102792,Food Indices (2015=100),Feb 1 2020,167.382274
102793,Food Indices (2015=100),Feb 1 2021,213.114419
102794,Food Indices (2015=100),Mar 1 2000,18.544885
102795,Food Indices (2015=100),Mar 1 2001,22.534142
102796,Food Indices (2015=100),Mar 1 2002,27.311915
102797,Food Indices (2015=100),Mar 1 2003,33.024262
102798,Food Indices (2015=100),Mar 1 2004,38.28942
102799,Food Indices (2015=100),Mar 1 2005,44.407939
102800,Food Indices (2015=100),Mar 1 2006,49.267128
102801,Food Indices (2015=100),Mar 1 2007,51.665654
102802,Food Indices (2015=100),Mar 1 2008,56.359143
102803,Food Indices (2015=100),Mar 1 2009,64.205097
102804,Food Indices (2015=100),Mar 1 2010,70.378673
102805,Food Indices (2015=100),Mar 1 2011,73.276579
102806,Food Indices (2015=100),Mar 1 2012,77.978216
102807,Food Indices (2015=100),Mar 1 2013,82.666591
