,symbol,date,price
50,Value US$ per capita,Jan 1 1970,320.869376
51,Value US$ per capita,Jan 1 1971,347.554636
52,Value US$ per capita,Jan 1 1972,387.588717
53,Value US$ per capita,Jan 1 1973,457.560942
54,Value US$ per capita,Jan 1 1974,602.406837
55,Value US$ per capita,Jan 1 1975,672.23097
56,Value US$ per capita,Jan 1 1976,732.914991
57,Value US$ per capita,Jan 1 1977,822.215406
58,Value US$ per capita,Jan 1 1978,915.884218
59,Value US$ per capita,Jan 1 1979,1042.343311
60,Value US$ per capita,Jan 1 1980,1283.62419
61,Value US$ per capita,Jan 1 1981,1183.514767
62,Value US$ per capita,Jan 1 1982,1128.871981
63,Value US$ per capita,Jan 1 1983,1108.745596
64,Value US$ per capita,Jan 1 1984,1050.164245
65,Value US$ per capita,Jan 1 1985,1006.433525
66,Value US$ per capita,Jan 1 1986,859.815199
67,Value US$ per capita,Jan 1 1987,799.444478
68,Value US$ per capita,Jan 1 1988,829.05488
69,Value US$ per capita,Jan 1 1989,810.946278
70,Value US$ per capita,Jan 1 1990,937.617303
71,Value US$ per capita,Jan 1 1991,913.860986
72,Value US$ per capita,Jan 1 1992,923.973312
73,Value US$ per capita,Jan 1 1993,832.56987
74,Value US$ per capita,Jan 1 1994,776.469478
75,Value US$ per capita,Jan 1 1995,819.490795
76,Value US$ per capita,Jan 1 1996,839.049857
77,Value US$ per capita,Jan 1 1997,846.665837
78,Value US$ per capita,Jan 1 1998,815.945005
79,Value US$ per capita,Jan 1 1999,807.86705
80,Value US$ per capita,Jan 1 2000,809.117902
81,Value US$ per capita,Jan 1 2001,774.339329
82,Value US$ per capita,Jan 1 2002,777.162625
83,Value US$ per capita,Jan 1 2003,901.182814
84,Value US$ per capita,Jan 1 2004,1068.864527
85,Value US$ per capita,Jan 1 2005,1233.20633
86,Value US$ per capita,Jan 1 2006,1395.453693
87,Value US$ per capita,Jan 1 2007,1584.595344
88,Value US$ per capita,Jan 1 2008,1833.445382
89,Value US$ per capita,Jan 1 2009,1678.759155
90,Value US$ per capita,Jan 1 2010,1912.147185
91,Value US$ per capita,Jan 1 2011,2075.145931
92,Value US$ per capita,Jan 1 2012,2188.627762
93,Value US$ per capita,Jan 1 2013,2187.001294
94,Value US$ per capita,Jan 1 2014,2222.841048
95,Value US$ per capita,Jan 1 2015,1960.446772
96,Value US$ per capita,Jan 1 2016,1785.915816
97,Value US$ per capita,Jan 1 2017,1806.773255
98,Value US$ per capita,Jan 1 2018,1858.784844
99,Value US$ per capita,Jan 1 2019,1883.610272
