,symbol,date,price
300,Value US$ per capita,Jan 1 1970,527.69408
301,Value US$ per capita,Jan 1 1971,639.496203
302,Value US$ per capita,Jan 1 1972,879.508042
303,Value US$ per capita,Jan 1 1973,1231.112789
304,Value US$ per capita,Jan 1 1974,1323.344427
305,Value US$ per capita,Jan 1 1975,1362.849484
306,Value US$ per capita,Jan 1 1976,1138.436624
307,Value US$ per capita,Jan 1 1977,1300.272449
308,Value US$ per capita,Jan 1 1978,1475.007708
309,Value US$ per capita,Jan 1 1979,1818.86699
310,Value US$ per capita,Jan 1 1980,2173.274382
311,Value US$ per capita,Jan 1 1981,2461.143653
312,Value US$ per capita,Jan 1 1982,2727.882902
313,Value US$ per capita,Jan 1 1983,3030.751321
314,Value US$ per capita,Jan 1 1984,3429.975387
315,Value US$ per capita,Jan 1 1985,3961.720448
316,Value US$ per capita,Jan 1 1986,4703.189117
317,Value US$ per capita,Jan 1 1987,5463.228512
318,Value US$ per capita,Jan 1 1988,6453.465818
319,Value US$ per capita,Jan 1 1989,7076.446528
320,Value US$ per capita,Jan 1 1990,7348.233917
321,Value US$ per capita,Jan 1 1991,7601.865441
322,Value US$ per capita,Jan 1 1992,7744.280087
323,Value US$ per capita,Jan 1 1993,8136.188547
324,Value US$ per capita,Jan 1 1994,8770.752182
325,Value US$ per capita,Jan 1 1995,8406.603779
326,Value US$ per capita,Jan 1 1996,9030.961048
327,Value US$ per capita,Jan 1 1997,9492.057884
328,Value US$ per capita,Jan 1 1998,9940.17343
329,Value US$ per capita,Jan 1 1999,10260.599405
330,Value US$ per capita,Jan 1 2000,10871.005714
331,Value US$ per capita,Jan 1 2001,10367.319607
332,Value US$ per capita,Jan 1 2002,10401.449409
333,Value US$ per capita,Jan 1 2003,10799.448881
334,Value US$ per capita,Jan 1 2004,11448.536517
335,Value US$ per capita,Jan 1 2005,12557.08541
336,Value US$ per capita,Jan 1 2006,13997.665929
337,Value US$ per capita,Jan 1 2007,15623.250652
338,Value US$ per capita,Jan 1 2008,16043.542166
339,Value US$ per capita,Jan 1 2009,14160.072276
340,Value US$ per capita,Jan 1 2010,13049.257055
341,Value US$ per capita,Jan 1 2011,12746.205024
342,Value US$ per capita,Jan 1 2012,13272.441329
343,Value US$ per capita,Jan 1 2013,12909.744178
344,Value US$ per capita,Jan 1 2014,13501.580922
345,Value US$ per capita,Jan 1 2015,14286.09316
346,Value US$ per capita,Jan 1 2016,15197.617455
347,Value US$ per capita,Jan 1 2017,15383.415188
348,Value US$ per capita,Jan 1 2018,16672.74424
349,Value US$ per capita,Jan 1 2019,17112.821135
