,symbol,date,price
150,Value US$ per capita,Jan 1 1970,245.505616
151,Value US$ per capita,Jan 1 1971,263.532711
152,Value US$ per capita,Jan 1 1972,311.528316
153,Value US$ per capita,Jan 1 1973,397.907228
154,Value US$ per capita,Jan 1 1974,472.130026
155,Value US$ per capita,Jan 1 1975,507.943779
156,Value US$ per capita,Jan 1 1976,555.815283
157,Value US$ per capita,Jan 1 1977,649.567442
158,Value US$ per capita,Jan 1 1978,805.33226
159,Value US$ per capita,Jan 1 1979,891.003125
160,Value US$ per capita,Jan 1 1980,967.013628
161,Value US$ per capita,Jan 1 1981,1023.036271
162,Value US$ per capita,Jan 1 1982,970.747311
163,Value US$ per capita,Jan 1 1983,1008.432449
164,Value US$ per capita,Jan 1 1984,1027.538544
165,Value US$ per capita,Jan 1 1985,998.821975
166,Value US$ per capita,Jan 1 1986,1220.097523
167,Value US$ per capita,Jan 1 1987,1404.731885
168,Value US$ per capita,Jan 1 1988,1637.018048
169,Value US$ per capita,Jan 1 1989,1653.155203
170,Value US$ per capita,Jan 1 1990,1699.572029
171,Value US$ per capita,Jan 1 1991,1843.750445
172,Value US$ per capita,Jan 1 1992,1963.815964
173,Value US$ per capita,Jan 1 1993,2174.156725
174,Value US$ per capita,Jan 1 1994,2300.745137
175,Value US$ per capita,Jan 1 1995,2575.722316
176,Value US$ per capita,Jan 1 1996,2471.084232
177,Value US$ per capita,Jan 1 1997,2347.351546
178,Value US$ per capita,Jan 1 1998,2105.679536
179,Value US$ per capita,Jan 1 1999,2309.806016
180,Value US$ per capita,Jan 1 2000,2463.526939
181,Value US$ per capita,Jan 1 2001,2282.408509
182,Value US$ per capita,Jan 1 2002,2309.555346
183,Value US$ per capita,Jan 1 2003,2524.223001
184,Value US$ per capita,Jan 1 2004,2816.915308
185,Value US$ per capita,Jan 1 2005,3039.623398
186,Value US$ per capita,Jan 1 2006,3260.837603
187,Value US$ per capita,Jan 1 2007,3685.619281
188,Value US$ per capita,Jan 1 2008,4218.086744
189,Value US$ per capita,Jan 1 2009,4242.454986
190,Value US$ per capita,Jan 1 2010,4901.909736
191,Value US$ per capita,Jan 1 2011,5625.800185
192,Value US$ per capita,Jan 1 2012,5903.530195
193,Value US$ per capita,Jan 1 2013,5939.487439
194,Value US$ per capita,Jan 1 2014,6074.144519
195,Value US$ per capita,Jan 1 2015,5936.261917
196,Value US$ per capita,Jan 1 2016,6106.581657
197,Value US$ per capita,Jan 1 2017,6489.354427
198,Value US$ per capita,Jan 1 2018,6944.0722
199,Value US$ per capita,Jan 1 2019,7093.487472
