,symbol,date,price
610,Value US$ per capita,Jan 1 1970,4504.537538
611,Value US$ per capita,Jan 1 1971,4546.235873
612,Value US$ per capita,Jan 1 1972,4779.151996
613,Value US$ per capita,Jan 1 1973,5357.449275
614,Value US$ per capita,Jan 1 1974,6369.622084
615,Value US$ per capita,Jan 1 1975,5829.155134
616,Value US$ per capita,Jan 1 1976,6287.730843
617,Value US$ per capita,Jan 1 1977,6534.81569
618,Value US$ per capita,Jan 1 1978,7453.658357
619,Value US$ per capita,Jan 1 1979,8858.086467
620,Value US$ per capita,Jan 1 1980,10397.163427
621,Value US$ per capita,Jan 1 1981,10534.598503
622,Value US$ per capita,Jan 1 1982,11600.243494
623,Value US$ per capita,Jan 1 1983,12630.002305
624,Value US$ per capita,Jan 1 1984,13204.953325
625,Value US$ per capita,Jan 1 1985,14094.831493
626,Value US$ per capita,Jan 1 1986,14953.541158
627,Value US$ per capita,Jan 1 1987,16176.073918
628,Value US$ per capita,Jan 1 1988,16534.437695
629,Value US$ per capita,Jan 1 1989,18321.336587
630,Value US$ per capita,Jan 1 1990,18607.001272
631,Value US$ per capita,Jan 1 1991,17951.164512
632,Value US$ per capita,Jan 1 1992,17601.031466
633,Value US$ per capita,Jan 1 1993,17177.63755
634,Value US$ per capita,Jan 1 1994,17790.915939
635,Value US$ per capita,Jan 1 1995,18432.917005
636,Value US$ per capita,Jan 1 1996,20644.253992
637,Value US$ per capita,Jan 1 1997,22036.623306
638,Value US$ per capita,Jan 1 1998,23514.35149
639,Value US$ per capita,Jan 1 1999,26130.203835
640,Value US$ per capita,Jan 1 2000,27097.711465
641,Value US$ per capita,Jan 1 2001,27486.137639
642,Value US$ per capita,Jan 1 2002,28866.931028
643,Value US$ per capita,Jan 1 2003,28327.302805
644,Value US$ per capita,Jan 1 2004,28395.956023
645,Value US$ per capita,Jan 1 2005,30278.366922
646,Value US$ per capita,Jan 1 2006,30713.856322
647,Value US$ per capita,Jan 1 2007,31471.980414
648,Value US$ per capita,Jan 1 2008,30627.238631
649,Value US$ per capita,Jan 1 2009,28552.304894
650,Value US$ per capita,Jan 1 2010,28443.52035
651,Value US$ per capita,Jan 1 2011,28006.16278
652,Value US$ per capita,Jan 1 2012,29485.620929
653,Value US$ per capita,Jan 1 2013,28783.475729
654,Value US$ per capita,Jan 1 2014,29980.061139
655,Value US$ per capita,Jan 1 2015,31295.062078
656,Value US$ per capita,Jan 1 2016,31562.723256
657,Value US$ per capita,Jan 1 2017,32719.152336
658,Value US$ per capita,Jan 1 2018,33767.76606
659,Value US$ per capita,Jan 1 2019,34863.742098
