,symbol,date,price
760,Value US$,Jan 1 1970,912.466209
761,Value US$,Jan 1 1971,1020.528492
762,Value US$,Jan 1 1972,1160.592372
763,Value US$,Jan 1 1973,1406.994912
764,Value US$,Jan 1 1974,1671.537016
765,Value US$,Jan 1 1975,1952.766034
766,Value US$,Jan 1 1976,2107.205594
767,Value US$,Jan 1 1977,2383.894072
768,Value US$,Jan 1 1978,2654.465572
769,Value US$,Jan 1 1979,3203.839412
770,Value US$,Jan 1 1980,4095.032941
771,Value US$,Jan 1 1981,4490.93575
772,Value US$,Jan 1 1982,4677.825312
773,Value US$,Jan 1 1983,4952.490887
774,Value US$,Jan 1 1984,5383.134589
775,Value US$,Jan 1 1985,5616.657453
776,Value US$,Jan 1 1986,6146.682226
777,Value US$,Jan 1 1987,6744.627494
778,Value US$,Jan 1 1988,7147.48463
779,Value US$,Jan 1 1989,7873.903411
780,Value US$,Jan 1 1990,7874.346353
781,Value US$,Jan 1 1991,7782.366203
782,Value US$,Jan 1 1992,7493.850196
783,Value US$,Jan 1 1993,7874.690011
784,Value US$,Jan 1 1994,8247.338833
785,Value US$,Jan 1 1995,8637.001021
786,Value US$,Jan 1 1996,9171.656471
787,Value US$,Jan 1 1997,9653.102951
788,Value US$,Jan 1 1998,10837.923302
789,Value US$,Jan 1 1999,11309.996646
790,Value US$,Jan 1 2000,11609.32498
791,Value US$,Jan 1 2001,11549.388325
792,Value US$,Jan 1 2002,11705.869931
793,Value US$,Jan 1 2003,12054.7206
794,Value US$,Jan 1 2004,12891.441971
795,Value US$,Jan 1 2005,14242.435422
796,Value US$,Jan 1 2006,15199.277778
797,Value US$,Jan 1 2007,16770.721206
798,Value US$,Jan 1 2008,17092.403535
799,Value US$,Jan 1 2009,15886.113325
800,Value US$,Jan 1 2010,16056.193754
801,Value US$,Jan 1 2011,16459.059957
802,Value US$,Jan 1 2012,16249.8546
803,Value US$,Jan 1 2013,16452.042941
804,Value US$,Jan 1 2014,16488.487708
805,Value US$,Jan 1 2015,16525.07325
806,Value US$,Jan 1 2016,16900.166552
807,Value US$,Jan 1 2017,17392.010677
808,Value US$,Jan 1 2018,17745.891202
809,Value US$,Jan 1 2019,18148.958511
