,symbol,date,price
890,Value US$,Jan 1 1970,228.493408
891,Value US$,Jan 1 1971,283.551846
892,Value US$,Jan 1 1972,361.778538
893,Value US$,Jan 1 1973,578.601265
894,Value US$,Jan 1 1974,760.062642
895,Value US$,Jan 1 1975,867.715934
896,Value US$,Jan 1 1976,674.437941
897,Value US$,Jan 1 1977,855.232683
898,Value US$,Jan 1 1978,962.599917
899,Value US$,Jan 1 1979,1106.525647
900,Value US$,Jan 1 1980,1495.617568
901,Value US$,Jan 1 1981,1447.538884
902,Value US$,Jan 1 1982,1310.179647
903,Value US$,Jan 1 1983,1343.127825
904,Value US$,Jan 1 1984,1456.465016
905,Value US$,Jan 1 1985,1404.65619
906,Value US$,Jan 1 1986,1488.280339
907,Value US$,Jan 1 1987,1756.435618
908,Value US$,Jan 1 1988,1947.762576
909,Value US$,Jan 1 1989,2191.834059
910,Value US$,Jan 1 1990,2393.866469
911,Value US$,Jan 1 1991,2506.66738
912,Value US$,Jan 1 1992,2666.881559
913,Value US$,Jan 1 1993,2832.975268
914,Value US$,Jan 1 1994,2880.125469
915,Value US$,Jan 1 1995,2996.382861
916,Value US$,Jan 1 1996,3001.833835
917,Value US$,Jan 1 1997,2952.948614
918,Value US$,Jan 1 1998,2992.444787
919,Value US$,Jan 1 1999,3065.979685
920,Value US$,Jan 1 2000,3364.423769
921,Value US$,Jan 1 2001,3404.407454
922,Value US$,Jan 1 2002,3525.688951
923,Value US$,Jan 1 2003,3650.418901
924,Value US$,Jan 1 2004,3802.359678
925,Value US$,Jan 1 2005,3883.162835
926,Value US$,Jan 1 2006,4153.912429
927,Value US$,Jan 1 2007,4252.487024
928,Value US$,Jan 1 2008,4404.300536
929,Value US$,Jan 1 2009,4186.525905
930,Value US$,Jan 1 2010,4270.799647
931,Value US$,Jan 1 2011,4423.490439
932,Value US$,Jan 1 2012,4505.62068
933,Value US$,Jan 1 2013,4568.542052
934,Value US$,Jan 1 2014,4705.610045
935,Value US$,Jan 1 2015,4775.915077
936,Value US$,Jan 1 2016,4818.404393
937,Value US$,Jan 1 2017,4887.55982
938,Value US$,Jan 1 2018,4884.742421
939,Value US$,Jan 1 2019,4815.171852
