,symbol,date,price
1270,Value US$,Jan 1 1970,1181.821105
1271,Value US$,Jan 1 1971,1001.056105
1272,Value US$,Jan 1 1972,1025.559561
1273,Value US$,Jan 1 1973,1140.343052
1274,Value US$,Jan 1 1974,1341.463265
1275,Value US$,Jan 1 1975,1454.842602
1276,Value US$,Jan 1 1976,1568.063303
1277,Value US$,Jan 1 1977,1605.290996
1278,Value US$,Jan 1 1978,1844.957356
1279,Value US$,Jan 1 1979,2266.062667
1280,Value US$,Jan 1 1980,2764.332288
1281,Value US$,Jan 1 1981,2933.603924
1282,Value US$,Jan 1 1982,3333.913789
1283,Value US$,Jan 1 1983,3608.91021
1284,Value US$,Jan 1 1984,3794.363984
1285,Value US$,Jan 1 1985,3772.243551
1286,Value US$,Jan 1 1986,3911.265547
1287,Value US$,Jan 1 1987,4435.080548
1288,Value US$,Jan 1 1988,4755.024143
1289,Value US$,Jan 1 1989,5425.872316
1290,Value US$,Jan 1 1990,6855.021442
1291,Value US$,Jan 1 1991,8706.440076
1292,Value US$,Jan 1 1992,10911.621217
1293,Value US$,Jan 1 1993,14366.106622
1294,Value US$,Jan 1 1994,18386.280067
1295,Value US$,Jan 1 1995,23474.773935
1296,Value US$,Jan 1 1996,26292.255307
1297,Value US$,Jan 1 1997,30313.578286
1298,Value US$,Jan 1 1998,34626.577065
1299,Value US$,Jan 1 1999,38377.926296
1300,Value US$,Jan 1 2000,42224.963517
1301,Value US$,Jan 1 2001,44740.429891
1302,Value US$,Jan 1 2002,42481.931563
1303,Value US$,Jan 1 2003,37518.170589
1304,Value US$,Jan 1 2004,38144.591475
1305,Value US$,Jan 1 2005,42996.820357
1306,Value US$,Jan 1 2006,44827.560296
1307,Value US$,Jan 1 2007,46095.241226
1308,Value US$,Jan 1 2008,43409.195655
1309,Value US$,Jan 1 2009,36997.649395
1310,Value US$,Jan 1 2010,36732.21501
1311,Value US$,Jan 1 2011,34572.705498
1312,Value US$,Jan 1 2012,35615.255567
1313,Value US$,Jan 1 2013,35802.255313
1314,Value US$,Jan 1 2014,37923.719273
1315,Value US$,Jan 1 2015,40283.07605
1316,Value US$,Jan 1 2016,43818.088912
1317,Value US$,Jan 1 2017,40819.893836
1318,Value US$,Jan 1 2018,41898.033723
1319,Value US$,Jan 1 2019,43188.619547
