,symbol,date,price
1320,Value US$,Jan 1 1970,1736.444515
1321,Value US$,Jan 1 1971,1828.605854
1322,Value US$,Jan 1 1972,2395.041403
1323,Value US$,Jan 1 1973,3662.736252
1324,Value US$,Jan 1 1974,8695.393103
1325,Value US$,Jan 1 1975,9078.794523
1326,Value US$,Jan 1 1976,10627.296708
1327,Value US$,Jan 1 1977,12456.166569
1328,Value US$,Jan 1 1978,13457.929227
1329,Value US$,Jan 1 1979,18771.267409
1330,Value US$,Jan 1 1980,31929.665464
1331,Value US$,Jan 1 1981,27416.660636
1332,Value US$,Jan 1 1982,25990.642995
1333,Value US$,Jan 1 1983,22769.144142
1334,Value US$,Jan 1 1984,21775.264095
1335,Value US$,Jan 1 1985,19717.145433
1336,Value US$,Jan 1 1986,11685.931485
1337,Value US$,Jan 1 1987,13048.036107
1338,Value US$,Jan 1 1988,12067.776905
1339,Value US$,Jan 1 1989,13156.226421
1340,Value US$,Jan 1 1990,15076.868165
1341,Value US$,Jan 1 1991,15405.522197
1342,Value US$,Jan 1 1992,16929.068769
1343,Value US$,Jan 1 1993,16151.007466
1344,Value US$,Jan 1 1994,15646.835801
1345,Value US$,Jan 1 1995,17654.574463
1346,Value US$,Jan 1 1996,18607.272136
1347,Value US$,Jan 1 1997,18458.02006
1348,Value US$,Jan 1 1998,14061.170293
1349,Value US$,Jan 1 1999,15623.367473
1350,Value US$,Jan 1 2000,19959.206675
1351,Value US$,Jan 1 2001,18251.706896
1352,Value US$,Jan 1 2002,18670.902741
1353,Value US$,Jan 1 2003,20566.273045
1354,Value US$,Jan 1 2004,24268.132258
1355,Value US$,Jan 1 2005,28926.013542
1356,Value US$,Jan 1 2006,34326.558482
1357,Value US$,Jan 1 2007,36191.788639
1358,Value US$,Jan 1 2008,42034.315686
1359,Value US$,Jan 1 2009,30977.133666
1360,Value US$,Jan 1 2010,35268.898353
1361,Value US$,Jan 1 2011,47054.496896
1362,Value US$,Jan 1 2012,47741.775058
1363,Value US$,Jan 1 2013,44740.883573
1364,Value US$,Jan 1 2014,41725.449487
1365,Value US$,Jan 1 2015,31164.329149
1366,Value US$,Jan 1 2016,27156.424196
1367,Value US$,Jan 1 2017,28572.292244
1368,Value US$,Jan 1 2018,31627.233053
1369,Value US$,Jan 1 2019,31086.329196
