,symbol,date,price
1370,Value US$,Jan 1 1970,1057.883756
1371,Value US$,Jan 1 1971,1039.537759
1372,Value US$,Jan 1 1972,1208.94571
1373,Value US$,Jan 1 1973,1433.56375
1374,Value US$,Jan 1 1974,1551.278578
1375,Value US$,Jan 1 1975,1362.760258
1376,Value US$,Jan 1 1976,1439.147104
1377,Value US$,Jan 1 1977,1466.538755
1378,Value US$,Jan 1 1978,1583.787408
1379,Value US$,Jan 1 1979,1061.495935
1380,Value US$,Jan 1 1980,1219.945055
1381,Value US$,Jan 1 1981,1396.676564
1382,Value US$,Jan 1 1982,1513.234747
1383,Value US$,Jan 1 1983,1622.374661
1384,Value US$,Jan 1 1984,1734.93542
1385,Value US$,Jan 1 1985,1836.510578
1386,Value US$,Jan 1 1986,1952.936667
1387,Value US$,Jan 1 1987,2125.228318
1388,Value US$,Jan 1 1988,2447.527322
1389,Value US$,Jan 1 1989,2470.614109
1390,Value US$,Jan 1 1990,2344.186603
1391,Value US$,Jan 1 1991,958.378641
1392,Value US$,Jan 1 1992,1092.139708
1393,Value US$,Jan 1 1993,1391.191041
1394,Value US$,Jan 1 1994,1261.605914
1395,Value US$,Jan 1 1995,2266.520571
1396,Value US$,Jan 1 1996,1482.731925
1397,Value US$,Jan 1 1997,1378.033139
1398,Value US$,Jan 1 1998,1847.092671
1399,Value US$,Jan 1 1999,1690.477238
1400,Value US$,Jan 1 2000,1656.172907
1401,Value US$,Jan 1 2001,1788.42271
1402,Value US$,Jan 1 2002,2085.245321
1403,Value US$,Jan 1 2003,2709.393949
1404,Value US$,Jan 1 2004,3377.532549
1405,Value US$,Jan 1 2005,3885.62167
1406,Value US$,Jan 1 2006,4505.368457
1407,Value US$,Jan 1 2007,5860.561842
1408,Value US$,Jan 1 2008,7235.197632
1409,Value US$,Jan 1 2009,6957.832948
1410,Value US$,Jan 1 2010,6782.963385
1411,Value US$,Jan 1 2011,7774.497638
1412,Value US$,Jan 1 2012,7364.603377
1413,Value US$,Jan 1 2013,7625.778791
1414,Value US$,Jan 1 2014,7850.760855
1415,Value US$,Jan 1 2015,7032.294077
1416,Value US$,Jan 1 2016,7520.155731
1417,Value US$,Jan 1 2017,8300.173316
1418,Value US$,Jan 1 2018,9387.813427
1419,Value US$,Jan 1 2019,9703.487814
