,symbol,date,price
1520,Value US$,Jan 1 1970,271.531357
1521,Value US$,Jan 1 1971,303.284982
1522,Value US$,Jan 1 1972,342.360715
1523,Value US$,Jan 1 1973,423.725034
1524,Value US$,Jan 1 1974,425.835408
1525,Value US$,Jan 1 1975,495.71463
1526,Value US$,Jan 1 1976,460.71773
1527,Value US$,Jan 1 1977,429.051872
1528,Value US$,Jan 1 1978,488.788295
1529,Value US$,Jan 1 1979,517.397895
1530,Value US$,Jan 1 1980,569.932635
1531,Value US$,Jan 1 1981,549.489611
1532,Value US$,Jan 1 1982,543.615709
1533,Value US$,Jan 1 1983,524.672881
1534,Value US$,Jan 1 1984,490.590956
1535,Value US$,Jan 1 1985,502.72175
1536,Value US$,Jan 1 1986,685.070764
1537,Value US$,Jan 1 1987,836.304558
1538,Value US$,Jan 1 1988,926.4209
1539,Value US$,Jan 1 1989,921.558765
1540,Value US$,Jan 1 1990,1036.63885
1541,Value US$,Jan 1 1991,1054.756585
1542,Value US$,Jan 1 1992,1145.878698
1543,Value US$,Jan 1 1993,1123.266093
1544,Value US$,Jan 1 1994,1235.875476
1545,Value US$,Jan 1 1995,1444.412704
1546,Value US$,Jan 1 1996,1451.623194
1547,Value US$,Jan 1 1997,1387.884607
1548,Value US$,Jan 1 1998,1449.247423
1549,Value US$,Jan 1 1999,1614.355465
1550,Value US$,Jan 1 2000,1432.18499
1551,Value US$,Jan 1 2001,1469.577504
1552,Value US$,Jan 1 2002,1594.337011
1553,Value US$,Jan 1 2003,2057.416027
1554,Value US$,Jan 1 2004,2302.137468
1555,Value US$,Jan 1 2005,2387.295123
1556,Value US$,Jan 1 2006,2685.51729
1557,Value US$,Jan 1 2007,3186.834196
1558,Value US$,Jan 1 2008,3721.238989
1559,Value US$,Jan 1 2009,3517.397872
1560,Value US$,Jan 1 2010,3378.25458
1561,Value US$,Jan 1 2011,3738.197803
1562,Value US$,Jan 1 2012,3467.471254
1563,Value US$,Jan 1 2013,3616.921103
1564,Value US$,Jan 1 2014,3585.238369
1565,Value US$,Jan 1 2015,3041.782597
1566,Value US$,Jan 1 2016,3130.986829
1567,Value US$,Jan 1 2017,3292.638357
1568,Value US$,Jan 1 2018,3616.441531
1569,Value US$,Jan 1 2019,3603.782576
