,symbol,date,price
1620,Value US$,Jan 1 1970,201.822877
1621,Value US$,Jan 1 1971,220.536376
1622,Value US$,Jan 1 1972,277.141643
1623,Value US$,Jan 1 1973,366.516339
1624,Value US$,Jan 1 1974,380.959049
1625,Value US$,Jan 1 1975,486.665613
1626,Value US$,Jan 1 1976,515.508564
1627,Value US$,Jan 1 1977,585.92463
1628,Value US$,Jan 1 1978,749.109621
1629,Value US$,Jan 1 1979,967.725834
1630,Value US$,Jan 1 1980,1170.29558
1631,Value US$,Jan 1 1981,1065.307937
1632,Value US$,Jan 1 1982,1036.433903
1633,Value US$,Jan 1 1983,1048.320189
1634,Value US$,Jan 1 1984,1000.772621
1635,Value US$,Jan 1 1985,952.963091
1636,Value US$,Jan 1 1986,1128.789623
1637,Value US$,Jan 1 1987,1191.926323
1638,Value US$,Jan 1 1988,1128.886911
1639,Value US$,Jan 1 1989,1008.512492
1640,Value US$,Jan 1 1990,1087.785754
1641,Value US$,Jan 1 1991,1014.302386
1642,Value US$,Jan 1 1992,1003.937337
1643,Value US$,Jan 1 1993,1031.550366
1644,Value US$,Jan 1 1994,581.630132
1645,Value US$,Jan 1 1995,708.920298
1646,Value US$,Jan 1 1996,739.229444
1647,Value US$,Jan 1 1997,687.98722
1648,Value US$,Jan 1 1998,722.051258
1649,Value US$,Jan 1 1999,717.383508
1650,Value US$,Jan 1 2000,647.591819
1651,Value US$,Jan 1 2001,654.201288
1652,Value US$,Jan 1 2002,719.500959
1653,Value US$,Jan 1 2003,877.065169
1654,Value US$,Jan 1 2004,988.749837
1655,Value US$,Jan 1 2005,1011.879991
1656,Value US$,Jan 1 2006,1062.137414
1657,Value US$,Jan 1 2007,1194.069894
1658,Value US$,Jan 1 2008,1371.746845
1659,Value US$,Jan 1 2009,1314.706041
1660,Value US$,Jan 1 2010,1285.26167
1661,Value US$,Jan 1 2011,1403.255596
1662,Value US$,Jan 1 2012,1354.623055
1663,Value US$,Jan 1 2013,1465.222481
1664,Value US$,Jan 1 2014,1540.568736
1665,Value US$,Jan 1 2015,1326.498625
1666,Value US$,Jan 1 2016,1364.329391
1667,Value US$,Jan 1 2017,1425.106072
1668,Value US$,Jan 1 2018,1534.491991
1669,Value US$,Jan 1 2019,1501.808291
